Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2015-2016,2016-02-02,Tue,Premier League,Matchweek 24,Home,L 1–2,Crystal Palace,Bournemouth,N,,33,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,,,Match Report
2015-2016,2016-02-06,Sat,Premier League,Matchweek 25,Away,D 1–1,Crystal Palace,Swansea City,Y,FW,85,0,0,0,0,3,1,0,0,5,1,0,0,0,0,0,,,Match Report
2015-2016,2016-02-13,Sat,Premier League,Matchweek 26,Home,L 1–2,Crystal Palace,Watford,Y,FW,90,1,0,0,0,2,2,0,0,0,0,5,3,2,0,0,,,Match Report
2015-2016,2016-02-21,Sun,FA Cup,Fifth round,Away,W 1–0,Crystal Palace,Tottenham,Y,,75,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-02-27,Sat,Premier League,Matchweek 27,Away,L 2–3,Crystal Palace,West Brom,Y,FW,45,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,Match Report
2015-2016,2016-03-01,Tue,Premier League,Matchweek 28,Away,D 2–2,Crystal Palace,Sunderland,N,,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,Match Report
2015-2016,2016-03-06,Sun,Premier League,Matchweek 29,Home,L 1–2,Crystal Palace,Liverpool,Y,FW,81,0,0,0,0,2,1,0,0,0,1,2,1,2,1,0,,,Match Report
2015-2016,2016-03-11,Fri,FA Cup,Quarter-finals,Away,W 2–0,Crystal Palace,Reading,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-03-19,Sat,Premier League,Matchweek 31,Home,L 0–1,Crystal Palace,Leicester City,Y,FW,45,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,Match Report
2015-2016,2016-03-29,Tue,Africa Cup of Nations qualification,Group stage,Home,D 0–0,tg Togo,tn Tunisia,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-04-13,Wed,Premier League,Matchweek 35,Home,D 0–0,Crystal Palace,Everton,N,,25,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,,,Match Report
2015-2016,2016-04-17,Sun,Premier League,Matchweek 34,Away,D 1–1,Crystal Palace,Arsenal,N,,27,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,,,Match Report
2015-2016,2016-04-20,Wed,Premier League,Matchweek 30,Away,L 0–2,Crystal Palace,Manchester Utd,Y,FW,74,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,Match Report
2015-2016,2016-04-24,Sun,FA Cup,Semi-finals,Home,W 2–1,Crystal Palace,Watford,N,,5,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-04-30,Sat,Premier League,Matchweek 36,Away,L 0–1,Crystal Palace,Newcastle Utd,N,,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Match Report
2015-2016,2016-05-07,Sat,Premier League,Matchweek 37,Home,W 2–1,Crystal Palace,Stoke City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2016-05-15,Sun,Premier League,Matchweek 38,Away,L 1–4,Crystal Palace,Southampton,Y,FW,90,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,,Match Report
2015-2016,2016-05-21,Sat,FA Cup,Final,Home,L 1–2,Crystal Palace,Manchester Utd,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2016-05-27,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,tg Togo,zm Zambia,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-06-05,Sun,Africa Cup of Nations qualification,Group stage,Away,D 2–2,tg Togo,lr Liberia,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
