Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2015-2016,2015-07-02,Thu,Europa Lg,First qualifying round,Away,D 1–1,sco Aberdeen,mk FK Shkëndija,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-07-09,Thu,Europa Lg,First qualifying round,Home,D 0–0,sco Aberdeen,mk FK Shkëndija,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-07-16,Thu,Europa Lg,Second qualifying round,Away,W 3–0,sco Aberdeen,hr Rijeka,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-07-23,Thu,Europa Lg,Second qualifying round,Home,D 2–2,sco Aberdeen,hr Rijeka,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-07-30,Thu,Europa Lg,Third qualifying round,Away,L 1–2,sco Aberdeen,kz FC Kairat,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-08-02,Sun,Premiership,Regular Season,Away,W 1–0,Aberdeen,Dundee United,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-08-06,Thu,Europa Lg,Third qualifying round,Home,D 1–1,sco Aberdeen,kz FC Kairat,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-08-09,Sun,Premiership,Regular Season,Home,W 2–0,Aberdeen,Kilmarnock,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-08-15,Sat,Premiership,Regular Season,Away,W 2–1,Aberdeen,Motherwell,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-08-22,Sat,Premiership,Regular Season,Home,W 2–0,Aberdeen,Dundee,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-08-29,Sat,Premiership,Regular Season,Away,W 2–0,Aberdeen,Partick Thistle,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-09-03,Thu,Euro Qualifying,Group stage,Away,W 1–0,wal Wales,cy Cyprus,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-09-06,Sun,Euro Qualifying,Group stage,Home,D 0–0,wal Wales,il Israel,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-09-12,Sat,Premiership,Regular Season,Home,W 2–1,Aberdeen,Celtic,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-09-15,Tue,Premiership,Regular Season,Home,W 1–0,Aberdeen,Hamilton,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-09-20,Sun,Premiership,Regular Season,Away,W 3–1,Aberdeen,Hearts,Y,GK,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-2016,2015-09-26,Sat,Premiership,Regular Season,Away,L 1–2,Aberdeen,Inverness CT,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-10-03,Sat,Premiership,Regular Season,Home,L 1–5,Aberdeen,St Johnstone,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-10-10,Sat,Euro Qualifying,Group stage,Away,L 0–2,wal Wales,ba Bosnia and Herzegovina,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-10-13,Tue,Euro Qualifying,Group stage,Home,W 2–0,wal Wales,ad Andorra,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-10-16,Fri,Premiership,Regular Season,Away,L 0–2,Aberdeen,Ross County,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-10-24,Sat,Premiership,Regular Season,Home,D 1–1,Aberdeen,Motherwell,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-10-31,Sat,Premiership,Regular Season,Away,L 1–3,Aberdeen,Celtic,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-11-07,Sat,Premiership,Regular Season,Home,W 2–0,Aberdeen,Dundee United,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-11-13,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,wal Wales,nl Netherlands,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-11-22,Sun,Premiership,Regular Season,Away,D 1–1,Aberdeen,Hamilton,Y,GK,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
