Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2015-2016,2015-09-23,Wed,League Cup,Third round,Home,W 1 (3)–1 (2),Liverpool,Carlisle United,Y,,63,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-09-26,Sat,Premier League,Matchweek 7,Home,W 3–2,Liverpool,Aston Villa,N,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
2015-2016,2015-10-01,Thu,Europa Lg,Group stage,Home,D 1–1,eng Liverpool,ch Sion,Y,CM,90,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,Match Report
2015-2016,2015-10-04,Sun,Premier League,Matchweek 8,Away,D 1–1,Liverpool,Everton,N,,12,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,,Match Report
2015-2016,2015-10-10,Sat,Euro Qualifying,Group stage,Away,L 0–2,wal Wales,ba Bosnia and Herzegovina,Y,DM,84,0,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,Match Report
2015-2016,2015-10-13,Tue,Euro Qualifying,Group stage,Home,W 2–0,wal Wales,ad Andorra,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-10-17,Sat,Premier League,Matchweek 9,Away,D 0–0,Liverpool,Tottenham,N,,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,Match Report
2015-2016,2015-10-22,Thu,Europa Lg,Group stage,Home,D 1–1,eng Liverpool,ru Rubin Kazan,Y,CM,45,0,0,0,0,0,0,1,0,2,0,0,1,1,2,0,0,0,Match Report
2015-2016,2015-10-25,Sun,Premier League,Matchweek 10,Home,D 1–1,Liverpool,Southampton,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-10-28,Wed,League Cup,Fourth round,Home,W 1–0,Liverpool,Bournemouth,Y,DM,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-2016,2015-10-31,Sat,Premier League,Matchweek 11,Away,W 3–1,Liverpool,Chelsea,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-11-05,Thu,Europa Lg,Group stage,Away,W 1–0,eng Liverpool,ru Rubin Kazan,Y,CM,90,0,0,0,0,0,0,0,0,2,1,0,0,3,2,0,0,0,Match Report
2015-2016,2015-11-08,Sun,Premier League,Matchweek 12,Home,L 1–2,Liverpool,Crystal Palace,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-11-13,Fri,Friendlies (M),Friendlies (M),Home,L 2–3,wal Wales,nl Netherlands,Y,,90,0,1,0,1,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-11-21,Sat,Premier League,Matchweek 13,Away,W 4–1,Liverpool,Manchester City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-11-26,Thu,Europa Lg,Group stage,Home,W 2–1,eng Liverpool,fr Bordeaux,Y,CM,67,0,0,0,0,3,1,0,0,3,1,0,0,5,3,0,0,0,Match Report
2015-2016,2015-11-29,Sun,Premier League,Matchweek 14,Home,W 1–0,Liverpool,Swansea City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-12-02,Wed,League Cup,Quarter-finals,Away,W 6–1,Liverpool,Southampton,Y,DM,73,0,1,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-12-06,Sun,Premier League,Matchweek 15,Away,L 0–2,Liverpool,Newcastle Utd,Y,CM,90,0,0,0,0,1,0,0,0,1,2,0,0,3,3,0,,,Match Report
2015-2016,2015-12-13,Sun,Premier League,Matchweek 16,Home,D 2–2,Liverpool,West Brom,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-12-20,Sun,Premier League,Matchweek 17,Away,L 0–3,Liverpool,Watford,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2015-12-26,Sat,Premier League,Matchweek 18,Home,W 1–0,Liverpool,Leicester City,N,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
2015-2016,2016-01-02,Sat,Premier League,Matchweek 20,Away,L 0–2,Liverpool,West Ham,N,,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,Match Report
2015-2016,2016-01-05,Tue,League Cup,Semi-finals,Away,W 1–0,Liverpool,Stoke City,Y,CM,78,0,1,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-01-13,Wed,Premier League,Matchweek 21,Home,D 3–3,Liverpool,Arsenal,N,,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,Match Report
2015-2016,2016-01-17,Sun,Premier League,Matchweek 22,Home,L 0–1,Liverpool,Manchester Utd,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2016-01-20,Wed,FA Cup,Third round,Home,W 3–0,Liverpool,Exeter City,Y,,64,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-01-23,Sat,Premier League,Matchweek 23,Away,W 5–4,Liverpool,Norwich City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2016-01-26,Tue,League Cup,Semi-finals,Home,D 0 (6)–1 (5),Liverpool,Stoke City,N,,36,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-2016,2016-01-30,Sat,FA Cup,Fourth round,Home,D 0–0,Liverpool,West Ham,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
