Season,League,Team,Date,Player,#,Nation,Pos,Age,Min,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2020-2021,Bundesliga,Köln,2020-09-19,Dominick Drexler,24,de GER,RW,30-116,20,0,0,0,2,1,0,0,0,0,0,0,0,3,1,0,100.0
2020-2021,Bundesliga,Köln,2020-09-19,Ondrej Duda,18,sk SVK,AM,25-289,88,1,0,0,5,6,0,0,0,1,0,0,0,6,2,2,50.0
2020-2021,Bundesliga,Köln,2020-09-19,Noah Katterbach,3,de GER,AM,19-159,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
2020-2021,Bundesliga,Köln,2020-09-19,Jonas Hector,14,de GER,CM,30-115,90,1,0,0,1,1,0,0,0,0,0,0,0,7,3,2,60.0
2020-2021,Bundesliga,Köln,2020-09-19,Ellyes Skhiri,28,tn TUN,CM,25-132,85,0,0,0,1,1,0,0,2,1,0,0,0,13,1,0,100.0
2020-2021,Bundesliga,Köln,2020-09-19,Frederik Sørensen,30,dk DEN,CM,28-158,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0
2020-2021,Bundesliga,Köln,2020-09-19,Jannes Horn,23,de GER,LB,23-226,90,0,0,0,0,2,0,6,0,0,0,0,0,10,2,0,100.0
2020-2021,Bundesliga,Köln,2020-09-19,Rafael Czichos,5,de GER,CB,30-128,90,0,0,0,1,2,0,0,0,2,0,1,0,11,9,4,69.2
2020-2021,Bundesliga,Köln,2020-09-19,Sebastiaan Bornauw,33,be BEL,CB,21-181,90,1,0,0,1,0,0,0,0,2,0,0,0,5,1,2,33.3
2020-2021,Bundesliga,Köln,2020-09-19,Marco Höger,6,de GER,RB,31-003,45,0,0,0,0,1,0,1,1,2,0,0,0,6,2,3,40.0
2020-2021,Bundesliga,Köln,2020-09-19,Kingsley Ehizibue,19,nl NED,RB,25-117,45,0,0,0,1,1,0,1,1,0,0,0,0,5,4,2,66.7
2020-2021,Bundesliga,Köln,2020-09-19,Timo Horn,1,de GER,GK,27-130,90,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,
2020-2021,Bundesliga,Hoffenheim,2020-09-19,Moanes Dabour,10,il ISR,FW,28-128,61,0,0,0,1,1,1,0,0,1,0,0,0,6,2,1,66.7
2020-2021,Bundesliga,Hoffenheim,2020-09-19,Ihlas Bebou,9,tg TOG,FW,26-149,29,1,0,0,1,0,0,0,0,1,0,0,0,1,2,2,50.0
2020-2021,Bundesliga,Hoffenheim,2020-09-19,Christoph Baumgartner,14,at AUT,"FW,CM",21-049,90,0,0,0,2,2,0,0,1,1,1,0,0,1,4,13,23.5
2020-2021,Bundesliga,Hoffenheim,2020-09-19,Andrej Kramarić,27,hr CRO,AM,29-092,90,0,0,0,0,1,1,2,1,0,0,0,0,6,1,2,33.3
2020-2021,Bundesliga,Hoffenheim,2020-09-19,Diadie Samassékou,18,ml MLI,CM,24-252,75,0,0,0,2,1,0,0,0,1,0,0,0,17,2,2,50.0
2020-2021,Bundesliga,Hoffenheim,2020-09-19,Mijat Gaćinović,20,rs SRB,CM,25-224,15,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,
2020-2021,Bundesliga,Hoffenheim,2020-09-19,Dennis Geiger,8,de GER,CM,22-101,75,0,0,0,0,2,0,0,0,3,0,0,0,8,1,1,50.0
2020-2021,Bundesliga,Hoffenheim,2020-09-19,Ishak Belfodil,19,dz ALG,"FW,CM",28-251,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0
2020-2021,Bundesliga,Hoffenheim,2020-09-19,Pavel Kadeřábek,3,cz CZE,WB,28-147,90,1,0,0,2,4,0,0,1,1,0,0,0,10,3,4,42.9
2020-2021,Bundesliga,Hoffenheim,2020-09-19,Kevin Akpoguma,25,ng NGA,WB,25-153,89,0,0,0,2,1,0,2,0,1,0,0,0,4,1,0,100.0
2020-2021,Bundesliga,Hoffenheim,2020-09-19,Joshua Brenet,2,nl NED,WB,26-183,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
2020-2021,Bundesliga,Hoffenheim,2020-09-19,Ermin Bičakčić,4,ba BIH,CB,30-239,90,1,0,0,2,1,0,0,1,0,0,0,0,6,5,4,55.6
2020-2021,Bundesliga,Hoffenheim,2020-09-19,Kevin Vogt,22,de GER,CB,28-362,90,0,0,0,3,1,0,0,0,0,0,0,0,7,0,2,0.0
2020-2021,Bundesliga,Hoffenheim,2020-09-19,Kasim Nuhu,15,gh GHA,CB,25-089,90,0,0,0,1,1,0,0,1,0,0,0,0,12,4,2,66.7
2020-2021,Bundesliga,Hoffenheim,2020-09-19,Oliver Baumann,1,de GER,GK,30-109,90,1,0,0,0,1,0,0,0,0,0,0,0,10,0,0,
2020-2021,Bundesliga,Eint Frankfurt,2020-09-19,André Silva,33,pt POR,FW,24-318,90,0,0,0,0,0,1,0,0,0,0,0,0,5,2,4,33.3
2020-2021,Bundesliga,Eint Frankfurt,2020-09-19,Bas Dost,9,nl NED,FW,31-111,90,1,0,0,3,1,0,1,0,0,0,0,0,5,10,3,76.9
2020-2021,Bundesliga,Eint Frankfurt,2020-09-19,Daichi Kamada,15,jp JPN,AM,24-045,87,0,0,0,2,0,1,0,1,0,0,0,0,4,0,0,
2020-2021,Bundesliga,Eint Frankfurt,2020-09-19,Timothy Chandler,22,us USA,AM,30-174,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,100.0
2020-2021,Bundesliga,Eint Frankfurt,2020-09-19,Sebastian Rode,17,de GER,CM,29-344,75,0,0,0,3,1,0,0,1,2,0,0,0,10,1,2,33.3
2020-2021,Bundesliga,Eint Frankfurt,2020-09-19,Stefan Ilsanker,3,at AUT,CM,31-124,15,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
2020-2021,Bundesliga,Eint Frankfurt,2020-09-19,Dominik Kohr,28,de GER,CM,26-232,45,0,0,0,3,0,0,0,1,2,0,0,0,12,1,0,100.0
2020-2021,Bundesliga,Eint Frankfurt,2020-09-19,Aymen Barkok,27,ma MAR,CM,22-121,45,1,0,0,2,0,0,3,1,1,0,0,0,6,0,1,0.0
2020-2021,Bundesliga,Eint Frankfurt,2020-09-19,Filip Kostić,10,rs SRB,WB,27-323,90,0,0,0,0,1,0,11,0,4,0,0,0,13,0,0,
2020-2021,Bundesliga,Eint Frankfurt,2020-09-19,Danny da Costa,24,de GER,WB,27-068,45,0,0,0,1,0,0,0,0,1,0,0,0,4,0,1,0.0
2020-2021,Bundesliga,Eint Frankfurt,2020-09-19,Steven Zuber,11,ch SUI,WB,29-033,45,0,0,0,1,1,0,2,0,2,0,0,0,1,0,0,
2020-2021,Bundesliga,Eint Frankfurt,2020-09-19,Martin Hinteregger,13,at AUT,CB,28-012,90,0,0,0,1,2,0,0,2,4,0,0,0,14,3,1,75.0
2020-2021,Bundesliga,Eint Frankfurt,2020-09-19,Makoto Hasebe,20,jp JPN,CB,36-245,90,0,0,0,0,3,0,0,0,3,0,0,0,15,1,3,25.0
2020-2021,Bundesliga,Eint Frankfurt,2020-09-19,David Abraham,19,ar ARG,CB,34-066,90,0,0,0,1,0,0,1,2,2,0,0,0,13,4,2,66.7
2020-2021,Bundesliga,Eint Frankfurt,2020-09-19,Kevin Trapp,1,de GER,GK,30-073,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
