Season,League,Team,Date,Player,#,Nation,Pos,Age,Min,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2020-2021,Bundesliga,Schalke 04,2021-02-20,Ralf Fährmann,1,de GER,GK,32-146,31,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
2020-2021,Bundesliga,Schalke 04,2021-02-20,Michael Langer,34,at AUT,GK,36-045,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-2021,Bundesliga,Dortmund,2021-02-20,Erling Haaland,9,no NOR,FW,20-214,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,33.3
2020-2021,Bundesliga,Dortmund,2021-02-20,Julian Brandt,19,de GER,LW,24-294,60,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0.0
2020-2021,Bundesliga,Dortmund,2021-02-20,Jude Bellingham,22,eng ENG,"CM,LW",17-236,30,1,0,0,3,2,0,1,0,1,0,0,0,1,0,2,0.0
2020-2021,Bundesliga,Dortmund,2021-02-20,Jadon Sancho,7,eng ENG,"RW,LW",20-332,90,0,0,0,0,0,0,2,1,1,0,0,0,11,2,0,100.0
2020-2021,Bundesliga,Dortmund,2021-02-20,Marco Reus,11,de GER,"AM,LW",31-265,79,0,0,0,3,0,0,2,0,0,0,0,0,7,1,2,33.3
2020-2021,Bundesliga,Dortmund,2021-02-20,Reinier,20,br BRA,"RW,LW",19-032,11,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
2020-2021,Bundesliga,Dortmund,2021-02-20,Mahmoud Dahoud,8,de GER,"DM,CM",25-050,79,1,0,0,1,1,0,1,1,1,0,0,0,11,0,0,
2020-2021,Bundesliga,Dortmund,2021-02-20,Gio Reyna,32,us USA,CM,18-099,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-2021,Bundesliga,Dortmund,2021-02-20,Thomas Delaney,6,dk DEN,DM,29-170,82,0,0,0,2,3,0,0,0,3,0,0,0,10,3,0,100.0
2020-2021,Bundesliga,Dortmund,2021-02-20,Youssoufa Moukoko,18,de GER,DM,16-092,8,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,
2020-2021,Bundesliga,Dortmund,2021-02-20,Raphaël Guerreiro,13,pt POR,LB,27-060,90,0,0,0,1,0,0,1,1,2,0,0,0,3,1,0,100.0
2020-2021,Bundesliga,Dortmund,2021-02-20,Mats Hummels,15,de GER,CB,32-066,90,0,0,0,1,0,0,0,1,2,0,0,0,11,3,0,100.0
2020-2021,Bundesliga,Dortmund,2021-02-20,Emre Can,23,de GER,CB,27-039,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
2020-2021,Bundesliga,Dortmund,2021-02-20,Mateu Morey,2,es ESP,RB,20-355,82,0,0,0,3,1,0,0,1,1,0,0,0,4,0,0,
2020-2021,Bundesliga,Dortmund,2021-02-20,Thomas Meunier,24,be BEL,RB,29-161,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Dortmund,2021-02-20,Marwin Hitz,35,ch SUI,GK,33-155,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
2020-2021,Bundesliga,Augsburg,2021-02-21,Florian Niederlechner,7,de GER,FW,30-120,78,1,0,0,3,1,1,0,0,2,0,0,0,3,0,1,0.0
2020-2021,Bundesliga,Augsburg,2021-02-21,Marco Richter,23,de GER,FW,23-089,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
2020-2021,Bundesliga,Augsburg,2021-02-21,Ruben Vargas,16,ch SUI,LW,22-200,65,0,0,0,1,0,2,0,2,2,0,0,0,7,0,0,
2020-2021,Bundesliga,Augsburg,2021-02-21,André Hahn,28,de GER,LW,30-192,25,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,50.0
2020-2021,Bundesliga,Augsburg,2021-02-21,Daniel Caligiuri,20,it ITA,RW,33-037,78,0,0,0,3,3,1,0,1,1,0,0,0,6,2,1,66.7
2020-2021,Bundesliga,Augsburg,2021-02-21,Reece Oxford,36,eng ENG,RW,22-067,12,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,100.0
2020-2021,Bundesliga,Augsburg,2021-02-21,László Bénes,18,sk SVK,AM,23-165,72,1,0,0,1,3,0,0,1,1,0,0,0,9,0,0,
2020-2021,Bundesliga,Augsburg,2021-02-21,Jan Morávek,14,cz CZE,AM,31-112,18,0,0,0,2,0,0,0,1,1,0,0,0,1,0,1,0.0
2020-2021,Bundesliga,Augsburg,2021-02-21,Rani Khedira,8,de GER,DM,27-025,90,0,0,0,1,0,0,0,2,1,0,0,0,7,1,0,100.0
2020-2021,Bundesliga,Augsburg,2021-02-21,Tobias Strobl,33,de GER,DM,30-285,90,0,0,0,1,1,0,0,1,2,0,0,0,12,1,1,50.0
2020-2021,Bundesliga,Augsburg,2021-02-21,Mads Pedersen,3,dk DEN,LB,24-173,90,0,0,0,4,2,0,0,2,1,0,0,0,8,0,1,0.0
2020-2021,Bundesliga,Augsburg,2021-02-21,Ohis Felix Uduokhai,19,de GER,CB,23-165,90,0,0,0,0,1,0,0,0,1,0,0,0,7,1,3,25.0
2020-2021,Bundesliga,Augsburg,2021-02-21,Jeffrey Gouweleeuw,6,nl NED,CB,29-226,90,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,
2020-2021,Bundesliga,Augsburg,2021-02-21,Raphael Framberger,32,de GER,RB,25-168,71,0,0,0,0,0,0,1,2,1,0,0,0,3,0,1,0.0
2020-2021,Bundesliga,Augsburg,2021-02-21,Robert Gumny,2,pl POL,RB,22-262,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
2020-2021,Bundesliga,Augsburg,2021-02-21,Rafał Gikiewicz,1,pl POL,GK,33-118,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
2020-2021,Bundesliga,Leverkusen,2021-02-21,Patrik Schick,14,cz CZE,FW,25-028,90,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,60.0
2020-2021,Bundesliga,Leverkusen,2021-02-21,Moussa Diaby,19,fr FRA,LW,21-229,90,1,0,0,1,0,1,10,0,0,0,0,0,3,0,0,
2020-2021,Bundesliga,Leverkusen,2021-02-21,Leon Bailey,9,jm JAM,RW,23-196,58,0,0,0,1,3,0,2,1,1,0,0,0,7,2,0,100.0
2020-2021,Bundesliga,Leverkusen,2021-02-21,Jeremie Frimpong,30,nl NED,RW,20-073,32,0,0,0,0,2,0,5,0,0,0,0,0,5,0,2,0.0
2020-2021,Bundesliga,Leverkusen,2021-02-21,Florian Wirtz,27,de GER,CM,17-294,58,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,
2020-2021,Bundesliga,Leverkusen,2021-02-21,Lucas Alario,13,ar ARG,CM,28-136,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
2020-2021,Bundesliga,Leverkusen,2021-02-21,Kerem Demirbay,10,de GER,"CM,DM",27-233,90,0,0,0,3,3,0,5,0,1,0,0,0,4,1,0,100.0
2020-2021,Bundesliga,Leverkusen,2021-02-21,Charles Aránguiz,20,cl CHI,"DM,CB",31-310,90,1,0,0,3,0,0,0,2,1,0,0,0,15,1,1,50.0
2020-2021,Bundesliga,Leverkusen,2021-02-21,Wendell,18,br BRA,LB,27-216,90,0,0,0,1,4,0,3,1,2,0,0,0,14,0,2,0.0
2020-2021,Bundesliga,Leverkusen,2021-02-21,Edmond Tapsoba,12,bf BFA,CB,22-019,90,1,0,0,4,0,1,0,1,3,0,0,0,25,3,0,100.0
2020-2021,Bundesliga,Leverkusen,2021-02-21,Sven Bender,5,de GER,CB,31-300,73,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,100.0
2020-2021,Bundesliga,Leverkusen,2021-02-21,Demarai Gray,28,eng ENG,"CM,CB",24-238,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Leverkusen,2021-02-21,Timothy Fosu-Mensah,24,nl NED,RB,23-050,90,1,0,0,1,2,0,2,4,2,0,0,0,9,0,0,
2020-2021,Bundesliga,Leverkusen,2021-02-21,Niklas Lomb,36,de GER,GK,27-208,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
2020-2021,Bundesliga,Hertha BSC,2021-02-21,Dodi Lukebakio,11,be BEL,FW,23-150,59,0,0,0,2,1,4,1,0,1,0,0,0,4,1,2,33.3
2020-2021,Bundesliga,Hertha BSC,2021-02-21,Nemanja Radonjić,24,rs SRB,FW,25-006,31,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
2020-2021,Bundesliga,Hertha BSC,2021-02-21,Krzysztof Piątek,9,pl POL,FW,25-235,83,0,0,0,2,0,1,1,1,0,0,0,0,1,3,8,27.3
2020-2021,Bundesliga,Hertha BSC,2021-02-21,Jessic Ngankam,27,de GER,FW,20-216,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
2020-2021,Bundesliga,Hertha BSC,2021-02-21,Matheus Cunha,10,br BRA,CM,21-270,90,1,0,0,1,4,0,3,1,5,0,0,0,12,2,1,66.7
2020-2021,Bundesliga,Hertha BSC,2021-02-21,Lucas Tousart,29,fr FRA,CM,23-298,90,0,0,0,1,1,1,0,2,3,0,0,0,14,2,2,50.0
2020-2021,Bundesliga,Hertha BSC,2021-02-21,Sami Khedira,28,de GER,DM,33-323,67,0,0,0,2,1,0,0,1,3,0,0,0,8,0,0,
2020-2021,Bundesliga,Hertha BSC,2021-02-21,Mattéo Guendouzi,8,fr FRA,DM,21-313,23,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.0
2020-2021,Bundesliga,Hertha BSC,2021-02-21,Maximilian Mittelstädt,17,de GER,WB,23-340,90,0,0,0,0,0,0,0,2,1,0,0,0,10,0,0,
2020-2021,Bundesliga,Hertha BSC,2021-02-21,Mathew Leckie,7,au AUS,WB,30-017,59,0,0,0,1,0,0,0,1,0,0,0,0,5,2,1,66.7
2020-2021,Bundesliga,Hertha BSC,2021-02-21,Luca Netz,32,de GER,WB,17-282,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
2020-2021,Bundesliga,Hertha BSC,2021-02-21,Márton Dárdai,31,de GER,CB,19-009,90,0,0,0,0,0,0,2,0,3,0,0,0,5,0,2,0.0
2020-2021,Bundesliga,Hertha BSC,2021-02-21,Niklas Stark,5,de GER,CB,25-313,90,0,0,0,1,1,0,0,1,2,0,0,0,3,1,1,50.0
2020-2021,Bundesliga,Hertha BSC,2021-02-21,Lukas Klünter,13,de GER,CB,24-271,90,0,0,0,1,1,0,0,4,2,0,0,0,14,0,1,0.0
2020-2021,Bundesliga,Hertha BSC,2021-02-21,Rune Jarstein,22,no NOR,GK,36-145,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
2020-2021,Bundesliga,RB Leipzig,2021-02-21,Yussuf Poulsen,9,dk DEN,FW,26-251,82,0,0,0,2,1,1,0,0,0,0,0,0,2,2,1,66.7
2020-2021,Bundesliga,RB Leipzig,2021-02-21,Alexander Sørloth,19,no NOR,FW,25-078,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,RB Leipzig,2021-02-21,Dani Olmo,25,es ESP,LW,22-290,78,0,0,0,0,2,0,0,0,1,0,0,0,7,1,1,50.0
2020-2021,Bundesliga,RB Leipzig,2021-02-21,Justin Kluivert,21,nl NED,LW,21-292,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-2021,Bundesliga,RB Leipzig,2021-02-21,Hwang Hee-chan,11,kr KOR,RW,25-026,58,0,0,0,2,1,0,0,0,1,0,0,0,4,0,0,
2020-2021,Bundesliga,RB Leipzig,2021-02-21,Christopher Nkunku,18,fr FRA,RW,23-099,32,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0
2020-2021,Bundesliga,RB Leipzig,2021-02-21,Marcel Sabitzer,7,at AUT,DM,26-341,90,1,0,0,1,2,0,2,2,2,0,0,0,13,2,0,100.0
2020-2021,Bundesliga,RB Leipzig,2021-02-21,Amadou Haidara,8,ml MLI,DM,23-021,59,0,0,0,1,0,0,0,1,1,0,0,0,12,1,2,33.3
2020-2021,Bundesliga,RB Leipzig,2021-02-21,Nordi Mukiele,22,fr FRA,"WB,DM",23-112,31,0,0,0,0,0,0,1,0,1,0,0,0,3,1,0,100.0
2020-2021,Bundesliga,RB Leipzig,2021-02-21,Angeliño,3,es ESP,WB,24-048,90,0,0,0,0,1,0,3,1,0,0,0,0,3,0,4,0.0
2020-2021,Bundesliga,RB Leipzig,2021-02-21,Tyler Adams,14,us USA,"WB,DM",22-007,90,0,0,0,0,1,0,0,2,4,0,0,0,8,0,1,0.0
2020-2021,Bundesliga,RB Leipzig,2021-02-21,Marcel Halstenberg,23,de GER,CB,29-147,82,0,0,0,1,1,0,0,2,3,0,0,0,11,4,0,100.0
2020-2021,Bundesliga,RB Leipzig,2021-02-21,Ibrahima Konaté,6,fr FRA,CB,21-272,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
2020-2021,Bundesliga,RB Leipzig,2021-02-21,Willi Orban,4,hu HUN,CB,28-110,90,0,0,0,1,0,0,0,1,0,0,0,0,13,6,1,85.7
2020-2021,Bundesliga,RB Leipzig,2021-02-21,Lukas Klostermann,16,de GER,CB,24-264,90,0,0,0,0,2,0,0,1,1,0,0,0,10,2,1,66.7
2020-2021,Bundesliga,RB Leipzig,2021-02-21,Péter Gulácsi,1,hu HUN,GK,30-291,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
2020-2021,Bundesliga,Hoffenheim,2021-02-21,Moanes Dabour,10,il ISR,FW,28-283,60,0,0,0,0,2,0,1,1,1,0,0,0,7,1,0,100.0
2020-2021,Bundesliga,Hoffenheim,2021-02-21,Andrej Kramarić,27,hr CRO,FW,29-247,30,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,
2020-2021,Bundesliga,Hoffenheim,2021-02-21,Ihlas Bebou,9,tg TOG,FW,26-304,86,0,0,0,4,1,0,3,0,1,0,0,0,6,3,5,37.5
2020-2021,Bundesliga,Hoffenheim,2021-02-21,Ryan Sessegnon,17,eng ENG,WB,20-279,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
2020-2021,Bundesliga,Hoffenheim,2021-02-21,Christoph Baumgartner,14,at AUT,AM,21-204,86,0,0,0,1,2,0,0,1,0,0,0,0,13,3,4,42.9
2020-2021,Bundesliga,Hoffenheim,2021-02-21,Georginio Rutter,33,fr FRA,AM,18-307,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2020-2021,Bundesliga,Hoffenheim,2021-02-21,Diadie Samassékou,18,ml MLI,DM,25-041,90,0,0,0,2,2,0,1,0,1,0,0,0,13,1,1,50.0
2020-2021,Bundesliga,Hoffenheim,2021-02-21,Sebastian Rudy,16,de GER,DM,30-359,81,1,0,0,3,1,0,0,0,2,0,0,0,8,0,1,0.0
2020-2021,Bundesliga,Hoffenheim,2021-02-21,Sargis Adamyan,23,am ARM,"FW,DM",27-274,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,50.0
2020-2021,Bundesliga,Hoffenheim,2021-02-21,Marco John,30,de GER,WB,18-325,90,0,0,0,1,0,0,4,0,0,0,0,0,14,1,1,50.0
2020-2021,Bundesliga,Hoffenheim,2021-02-21,Pavel Kadeřábek,3,cz CZE,WB,28-302,81,1,0,0,4,1,1,1,0,0,0,0,0,1,1,4,20.0
2020-2021,Bundesliga,Hoffenheim,2021-02-21,Melayro Bogarde,32,nl NED,"DM,WB",18-269,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
2020-2021,Bundesliga,Hoffenheim,2021-02-21,Chris Richards,28,us USA,CB,20-330,90,0,0,0,0,1,0,0,1,1,0,0,0,11,3,3,50.0
2020-2021,Bundesliga,Hoffenheim,2021-02-21,Florian Grillitsch,11,at AUT,CB,25-198,90,0,0,0,0,0,0,0,1,1,0,0,0,7,2,1,66.7
2020-2021,Bundesliga,Hoffenheim,2021-02-21,Kasim Nuhu,15,gh GHA,CB,25-244,90,0,0,0,0,0,0,0,0,3,0,0,0,8,2,1,66.7
2020-2021,Bundesliga,Hoffenheim,2021-02-21,Oliver Baumann,1,de GER,GK,30-264,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
2020-2021,Bundesliga,Werder Bremen,2021-02-21,Milot Rashica,7,xk KVX,FW,24-238,68,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0.0
2020-2021,Bundesliga,Werder Bremen,2021-02-21,Jean-Manuel Mbom,34,de GER,FW,20-363,22,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,100.0
2020-2021,Bundesliga,Werder Bremen,2021-02-21,Josh Sargent,19,us USA,FW,21-001,81,0,0,0,0,0,0,2,0,1,0,0,0,2,2,1,66.7
2020-2021,Bundesliga,Werder Bremen,2021-02-21,Eren Dinkçi,43,de GER,FW,19-070,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Werder Bremen,2021-02-21,Leonardo Bittencourt,10,de GER,CM,27-064,56,0,0,0,0,1,0,2,1,0,0,0,0,5,1,0,100.0
2020-2021,Bundesliga,Werder Bremen,2021-02-21,Yuya Osako,8,jp JPN,CM,30-279,34,0,0,0,0,0,1,0,1,2,0,0,0,2,2,1,66.7
2020-2021,Bundesliga,Werder Bremen,2021-02-21,Maximilian Eggestein,35,de GER,CM,24-075,90,0,0,0,3,4,0,0,0,3,0,0,0,10,3,3,50.0
2020-2021,Bundesliga,Werder Bremen,2021-02-21,Kevin Möhwald,6,de GER,DM,27-233,56,0,0,0,1,1,0,1,0,0,0,0,0,6,1,1,50.0
2020-2021,Bundesliga,Werder Bremen,2021-02-21,Niclas Füllkrug,11,de GER,DM,28-012,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
2020-2021,Bundesliga,Werder Bremen,2021-02-21,Felix Agu,17,de GER,WB,21-147,90,0,0,0,0,4,1,1,3,2,0,0,0,5,4,3,57.1
2020-2021,Bundesliga,Werder Bremen,2021-02-21,Theodor Gebre Selassie,23,cz CZE,WB,34-059,90,0,0,0,1,1,1,1,1,1,0,0,0,3,1,1,50.0
2020-2021,Bundesliga,Werder Bremen,2021-02-21,Marco Friedl,32,at AUT,CB,22-342,90,1,0,0,2,2,0,0,2,2,0,0,0,10,3,2,60.0
2020-2021,Bundesliga,Werder Bremen,2021-02-21,Ömer Toprak,21,tr TUR,CB,31-215,90,1,0,0,1,1,2,0,6,0,0,0,0,11,4,0,100.0
2020-2021,Bundesliga,Werder Bremen,2021-02-21,Miloš Veljković,13,rs SRB,CB,25-148,45,0,0,0,1,0,0,0,2,0,0,0,0,3,0,3,0.0
2020-2021,Bundesliga,Werder Bremen,2021-02-21,Romano Schmid,20,at AUT,CB,21-025,45,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,
2020-2021,Bundesliga,Werder Bremen,2021-02-21,Jiří Pavlenka,1,cz CZE,GK,28-313,90,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
2020-2021,Bundesliga,Werder Bremen,2021-02-26,Milot Rashica,7,xk KVX,"FW,LW",24-243,85,0,0,0,1,1,1,2,0,1,0,0,0,6,0,4,0.0
2020-2021,Bundesliga,Werder Bremen,2021-02-26,Jean-Manuel Mbom,34,de GER,LW,21-002,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
2020-2021,Bundesliga,Werder Bremen,2021-02-26,Romano Schmid,20,at AUT,LW,21-030,78,1,0,0,1,2,0,0,3,1,0,0,0,13,0,2,0.0
2020-2021,Bundesliga,Werder Bremen,2021-02-26,Leonardo Bittencourt,10,de GER,RW,27-069,12,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
2020-2021,Bundesliga,Werder Bremen,2021-02-26,Josh Sargent,19,us USA,RW,21-006,78,0,0,0,0,1,1,0,2,0,0,0,0,10,4,4,50.0
2020-2021,Bundesliga,Werder Bremen,2021-02-26,Niclas Füllkrug,11,de GER,FW,28-017,12,0,0,0,2,1,0,0,0,1,0,0,0,2,4,1,80.0
2020-2021,Bundesliga,Werder Bremen,2021-02-26,Kevin Möhwald,6,de GER,CM,27-238,89,1,0,0,1,2,0,0,1,1,0,0,0,8,0,0,
2020-2021,Bundesliga,Werder Bremen,2021-02-26,Christian Groß,36,de GER,CM,32-018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Werder Bremen,2021-02-26,Maximilian Eggestein,35,de GER,CM,24-080,90,0,0,0,0,3,0,0,2,0,0,0,0,13,1,2,33.3
2020-2021,Bundesliga,Werder Bremen,2021-02-26,Felix Agu,17,de GER,WB,21-152,90,0,0,0,0,3,0,0,3,2,0,0,0,10,1,0,100.0
2020-2021,Bundesliga,Werder Bremen,2021-02-26,Theodor Gebre Selassie,23,cz CZE,WB,34-064,90,1,0,0,1,1,0,0,1,1,0,0,0,7,2,2,50.0
2020-2021,Bundesliga,Werder Bremen,2021-02-26,Marco Friedl,32,at AUT,CB,22-347,90,1,0,0,1,0,0,0,3,2,0,0,0,5,0,0,
2020-2021,Bundesliga,Werder Bremen,2021-02-26,Ömer Toprak,21,tr TUR,CB,31-220,90,0,0,0,0,1,0,0,2,0,0,0,0,8,1,1,50.0
2020-2021,Bundesliga,Werder Bremen,2021-02-26,Miloš Veljković,13,rs SRB,CB,25-153,90,0,0,0,1,0,0,0,7,1,0,0,0,4,5,3,62.5
2020-2021,Bundesliga,Werder Bremen,2021-02-26,Jiří Pavlenka,1,cz CZE,GK,28-318,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
2020-2021,Bundesliga,Eint Frankfurt,2021-02-26,André Silva,33,pt POR,FW,25-112,90,0,0,0,1,1,1,1,0,0,0,0,0,2,2,1,66.7
2020-2021,Bundesliga,Eint Frankfurt,2021-02-26,Amin Younes,32,de GER,AM,27-204,90,1,0,0,1,0,1,5,2,2,0,0,0,8,1,1,50.0
2020-2021,Bundesliga,Eint Frankfurt,2021-02-26,Daichi Kamada,15,jp JPN,AM,24-205,64,0,0,0,0,2,0,1,1,0,0,0,0,7,1,2,33.3
2020-2021,Bundesliga,Eint Frankfurt,2021-02-26,Luka Jović,9,rs SRB,AM,23-065,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0
2020-2021,Bundesliga,Eint Frankfurt,2021-02-26,Djibril Sow,8,ch SUI,CM,24-020,90,0,0,0,2,2,0,0,3,0,0,0,0,13,2,0,100.0
2020-2021,Bundesliga,Eint Frankfurt,2021-02-26,Sebastian Rode,17,de GER,CM,30-138,64,1,0,0,4,0,0,2,4,0,0,0,0,5,0,1,0.0
2020-2021,Bundesliga,Eint Frankfurt,2021-02-26,Ajdin Hrustic,7,au AUS,CM,24-236,26,0,0,0,2,0,0,2,2,1,0,0,0,4,0,1,0.0
2020-2021,Bundesliga,Eint Frankfurt,2021-02-26,Filip Kostić,10,rs SRB,WB,28-117,90,0,0,0,0,0,0,15,2,1,0,0,0,15,2,1,66.7
2020-2021,Bundesliga,Eint Frankfurt,2021-02-26,Erik Durm,25,de GER,WB,28-290,64,0,0,0,2,0,0,1,3,1,0,0,0,5,1,0,100.0
2020-2021,Bundesliga,Eint Frankfurt,2021-02-26,Aymen Barkok,27,ma MAR,WB,22-281,26,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0.0
2020-2021,Bundesliga,Eint Frankfurt,2021-02-26,Martin Hinteregger,13,at AUT,CB,28-172,90,0,0,0,1,2,0,1,3,2,0,0,0,13,5,4,55.6
2020-2021,Bundesliga,Eint Frankfurt,2021-02-26,Makoto Hasebe,20,jp JPN,CB,37-039,90,0,0,0,0,2,0,0,3,0,0,0,0,16,3,2,60.0
2020-2021,Bundesliga,Eint Frankfurt,2021-02-26,Tuta,35,br BRA,CB,21-237,90,1,0,0,2,0,0,0,3,0,0,0,0,11,2,2,50.0
2020-2021,Bundesliga,Eint Frankfurt,2021-02-26,Kevin Trapp,1,de GER,GK,30-233,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
2020-2021,Bundesliga,Bayern Munich,2021-02-27,Robert Lewandowski,9,pl POL,FW,32-190,90,0,0,0,0,0,1,1,0,0,0,0,0,2,3,0,100.0
2020-2021,Bundesliga,Bayern Munich,2021-02-27,Eric Maxim Choupo-Moting,13,cm CMR,LW,31-341,63,0,0,0,1,2,0,1,0,1,0,0,0,5,1,1,50.0
2020-2021,Bundesliga,Bayern Munich,2021-02-27,Serge Gnabry,7,de GER,LW,25-228,27,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Bayern Munich,2021-02-27,Leroy Sané,10,de GER,RW,25-047,86,1,0,0,1,0,0,3,1,1,0,0,0,2,0,0,
2020-2021,Bundesliga,Bayern Munich,2021-02-27,Tiago Dantas,28,pt POR,AM,20-065,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-2021,Bundesliga,Bayern Munich,2021-02-27,Jamal Musiala,42,de GER,AM,18-001,63,0,0,0,0,3,0,0,4,2,0,0,0,4,1,3,25.0
2020-2021,Bundesliga,Bayern Munich,2021-02-27,Thomas Müller,25,de GER,"AM,RW",31-167,27,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,100.0
2020-2021,Bundesliga,Bayern Munich,2021-02-27,Leon Goretzka,18,de GER,CM,26-021,90,0,0,0,3,3,0,0,6,1,0,0,0,8,0,0,
2020-2021,Bundesliga,Bayern Munich,2021-02-27,Joshua Kimmich,6,de GER,CM,26-019,86,0,0,0,0,1,0,0,3,1,0,0,0,9,0,0,
2020-2021,Bundesliga,Bayern Munich,2021-02-27,Javi Martínez,8,es ESP,CM,32-178,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
2020-2021,Bundesliga,Bayern Munich,2021-02-27,Alphonso Davies,19,ca CAN,LB,20-117,71,0,0,0,1,1,0,2,1,2,0,0,0,12,0,0,
2020-2021,Bundesliga,Bayern Munich,2021-02-27,Lucas Hernández,21,fr FRA,LB,25-013,19,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,
2020-2021,Bundesliga,Bayern Munich,2021-02-27,David Alaba,27,at AUT,CB,28-248,90,1,0,0,1,0,0,0,1,1,0,0,0,12,0,1,0.0
2020-2021,Bundesliga,Bayern Munich,2021-02-27,Jérôme Boateng,17,de GER,CB,32-177,90,0,0,0,0,0,0,0,2,1,0,0,0,10,5,0,100.0
2020-2021,Bundesliga,Bayern Munich,2021-02-27,Niklas Süle,4,de GER,RB,25-177,90,0,0,0,1,0,0,2,0,0,0,0,0,14,2,0,100.0
2020-2021,Bundesliga,Bayern Munich,2021-02-27,Manuel Neuer,1,de GER,GK,34-337,90,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,
2020-2021,Bundesliga,Köln,2021-02-27,Emmanuel Dennis,43,ng NGA,FW,23-104,45,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0.0
2020-2021,Bundesliga,Köln,2021-02-27,Jan Thielmann,29,de GER,FW,18-277,45,0,0,0,0,0,0,2,1,1,0,0,0,1,0,2,0.0
2020-2021,Bundesliga,Köln,2021-02-27,Ondrej Duda,18,sk SVK,FW,26-084,70,0,0,0,1,1,0,1,1,1,0,0,0,5,1,2,33.3
2020-2021,Bundesliga,Köln,2021-02-27,Max Meyer,13,de GER,FW,25-162,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
