Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att_Passes,Cmp%,Prog_Passes,Carries,Prog_2_Carries,Succ,Att_2_Dribbles,Match Report
2020-2021,2020-09-12,Sat,Premier League,Matchweek 1,Home,L 0–2,West Ham,Newcastle Utd,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2020-2021,2020-09-15,Tue,EFL Cup,Second round,Home,W 3–0,West Ham,Charlton Ath,Y*,CB,90,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,,,,,,,Match Report
2020-2021,2020-09-19,Sat,Premier League,Matchweek 2,Away,L 1–2,West Ham,Arsenal,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2020-2021,2020-09-22,Tue,EFL Cup,Third round,Home,W 5–1,West Ham,Hull City,Y*,CB,90,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report
2020-2021,2020-09-27,Sun,Premier League,Matchweek 3,Home,W 4–0,West Ham,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,37,13,5,0,2,0.0,0.0,0.0,0,0,22,29,75.9,1,21,0,0,0,Match Report
2020-2021,2020-09-30,Wed,EFL Cup,Fourth round,Away,L 1–4,West Ham,Everton,Y,CB,90,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,,,,,,,Match Report
2020-2021,2020-10-04,Sun,Premier League,Matchweek 4,Away,W 3–0,West Ham,Leicester City,Y,CB,90,0,0,0,0,2,0,0,0,42,11,1,1,2,0.2,0.2,0.0,0,0,19,27,70.4,1,18,1,0,0,Match Report
2020-2021,2020-10-08,Thu,WCQ,WCQ — CONMEBOL (M),Home,D 2–2,py Paraguay,pe Peru,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2020-2021,2020-10-13,Tue,WCQ,WCQ — CONMEBOL (M),Away,W 1–0,py Paraguay,ve Venezuela,N,,4,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2020-2021,2020-10-18,Sun,Premier League,Matchweek 5,Away,D 3–3,West Ham,Tottenham,Y,CB,90,1,0,0,0,1,1,0,0,52,4,0,0,2,0.1,0.1,0.0,0,0,35,42,83.3,2,25,0,0,0,Match Report
2020-2021,2020-10-24,Sat,Premier League,Matchweek 6,Home,D 1–1,West Ham,Manchester City,Y,CB,90,0,0,0,0,0,0,1,0,38,10,1,1,3,0.0,0.0,0.0,0,0,14,23,60.9,1,16,0,0,0,Match Report
2020-2021,2020-10-31,Sat,Premier League,Matchweek 7,Away,L 1–2,West Ham,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,33,15,2,2,2,0.0,0.0,0.0,0,0,14,20,70.0,0,14,1,1,1,Match Report
2020-2021,2020-11-07,Sat,Premier League,Matchweek 8,Home,W 1–0,West Ham,Fulham,Y,CB,90,0,0,0,0,1,0,0,0,89,7,1,0,1,0.1,0.1,0.0,0,0,67,76,88.2,6,60,3,0,0,Match Report
2020-2021,2020-11-12,Thu,WCQ,WCQ — CONMEBOL (M),Away,D 1–1,py Paraguay,ar Argentina,Y,CB,90,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,,,,,,,Match Report
2020-2021,2020-11-17,Tue,WCQ,WCQ — CONMEBOL (M),Home,D 2–2,py Paraguay,bo Bolivia,Y,CB,90,0,0,0,0,2,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2020-2021,2020-11-22,Sun,Premier League,Matchweek 9,Away,W 1–0,West Ham,Sheffield Utd,Y,CB,90,0,0,0,0,0,0,0,0,45,3,1,1,1,0.0,0.0,0.0,0,0,28,37,75.7,2,29,2,0,0,Match Report
2020-2021,2020-11-30,Mon,Premier League,Matchweek 10,Home,W 2–1,West Ham,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,35,10,1,0,1,0.0,0.0,0.0,0,0,15,26,57.7,0,16,1,0,0,Match Report
2020-2021,2020-12-05,Sat,Premier League,Matchweek 11,Home,L 1–3,West Ham,Manchester Utd,Y,CB,90,0,0,0,0,1,0,0,0,48,23,4,3,6,0.1,0.1,0.0,2,0,27,39,69.2,3,27,2,0,1,Match Report
2020-2021,2020-12-11,Fri,Premier League,Matchweek 12,Away,W 2–1,West Ham,Leeds United,Y,CB,90,0,0,0,0,2,1,0,0,33,5,1,2,1,0.1,0.1,0.0,0,0,12,22,54.5,2,12,0,0,0,Match Report
2020-2021,2020-12-21,Mon,Premier League,Matchweek 14,Away,L 0–3,West Ham,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,54,7,2,1,0,0.0,0.0,0.0,0,0,37,43,86.0,4,30,2,0,0,Match Report
2020-2021,2020-12-27,Sun,Premier League,Matchweek 15,Home,D 2–2,West Ham,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,46,10,3,1,2,0.0,0.0,0.0,0,0,29,36,80.6,5,19,0,0,0,Match Report
2020-2021,2021-01-01,Fri,Premier League,Matchweek 17,Away,W 1–0,West Ham,Everton,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2020-2021,2021-01-19,Tue,Premier League,Matchweek 18,Home,W 2–1,West Ham,West Brom,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2020-2021,2021-01-23,Sat,FA Cup,Fourth round,Home,W 4–0,West Ham,Doncaster,Y,CB,90,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report
2020-2021,2021-01-26,Tue,Premier League,Matchweek 20,Away,W 3–2,West Ham,Crystal Palace,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2020-2021,2021-01-31,Sun,Premier League,Matchweek 21,Home,L 1–3,West Ham,Liverpool,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2020-2021,2021-02-03,Wed,Premier League,Matchweek 22,Away,W 3–1,West Ham,Aston Villa,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2020-2021,2021-02-06,Sat,Premier League,Matchweek 23,Away,D 0–0,West Ham,Fulham,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2020-2021,2021-02-09,Tue,FA Cup,Fifth round,Away,L 0–1,West Ham,Manchester Utd,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
