Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att_Passes,Cmp%,Prog_Passes,Carries,Prog_2_Carries,Succ,Att_2_Dribbles,Match Report
2019-2020,2019-08-17,Sat,Premier League,Matchweek 2,Away,L 1–2,Burnley,Arsenal,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2019-2020,2019-08-25,Sun,Premier League,Matchweek 3,Away,D 1–1,Burnley,Wolves,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2019-2020,2019-08-28,Wed,EFL Cup,Second round,Home,L 1–3,Burnley,Sunderland,Y,LB,90,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,,,,,,,Match Report
2019-2020,2019-08-31,Sat,Premier League,Matchweek 4,Home,L 0–3,Burnley,Liverpool,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2019-2020,2019-09-21,Sat,Premier League,Matchweek 6,Home,W 2–0,Burnley,Norwich City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2019-2020,2019-10-05,Sat,Premier League,Matchweek 8,Home,W 1–0,Burnley,Everton,N,LB,36,0,0,0,0,0,0,0,0,24,4,2,2,1,0.0,0.0,0.0,1,0,13,14,92.9,1,10,2,1,3,Match Report
2019-2020,2019-10-19,Sat,Premier League,Matchweek 9,Away,L 1–2,Burnley,Leicester City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2019-2020,2019-10-26,Sat,Premier League,Matchweek 10,Home,L 2–4,Burnley,Chelsea,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2019-2020,2019-11-02,Sat,Premier League,Matchweek 11,Away,L 0–3,Burnley,Sheffield Utd,N,LB,45,0,0,0,0,0,0,0,0,32,7,2,0,1,0.0,0.0,0.1,1,0,20,26,76.9,1,22,4,1,2,Match Report
2019-2020,2019-11-09,Sat,Premier League,Matchweek 12,Home,W 3–0,Burnley,West Ham,Y,LB,90,0,0,0,0,0,0,0,0,52,10,0,1,2,0.0,0.0,0.0,2,0,33,40,82.5,1,21,2,1,2,Match Report
2019-2020,2019-11-23,Sat,Premier League,Matchweek 13,Away,W 3–0,Burnley,Watford,Y,LB,90,0,0,0,0,0,0,0,0,56,8,3,0,3,0.0,0.0,0.0,0,0,26,42,61.9,4,30,4,3,3,Match Report
2019-2020,2019-11-30,Sat,Premier League,Matchweek 14,Home,L 0–2,Burnley,Crystal Palace,Y,LB,35,0,0,0,0,0,0,0,0,25,10,1,1,3,0.0,0.0,0.0,0,0,15,20,75.0,1,8,0,0,0,Match Report
2019-2020,2019-12-21,Sat,Premier League,Matchweek 18,Away,W 1–0,Burnley,Bournemouth,Y,LB,90,0,0,0,0,0,0,0,0,53,11,2,1,3,0.0,0.0,0.0,0,0,23,36,63.9,4,18,1,0,1,Match Report
2019-2020,2019-12-26,Thu,Premier League,Matchweek 19,Away,L 0–1,Burnley,Everton,Y,LB,90,0,0,0,0,0,0,0,0,50,13,3,1,6,0.0,0.0,0.0,1,0,17,28,60.7,2,19,2,0,1,Match Report
2019-2020,2019-12-28,Sat,Premier League,Matchweek 20,Home,L 0–2,Burnley,Manchester Utd,Y,LB,90,0,0,0,0,0,0,1,0,61,16,0,0,3,0.0,0.0,0.0,0,0,31,49,63.3,3,34,4,2,3,Match Report
2019-2020,2020-01-01,Wed,Premier League,Matchweek 21,Home,L 1–2,Burnley,Aston Villa,Y,LB,90,0,0,0,0,1,0,0,0,90,4,2,0,2,0.0,0.0,0.3,5,0,64,80,80.0,5,51,13,1,3,Match Report
2019-2020,2020-01-04,Sat,FA Cup,Third round,Home,W 4–2,Burnley,P'borough Utd,N,,46,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2019-2020,2020-01-11,Sat,Premier League,Matchweek 22,Away,L 0–3,Burnley,Chelsea,Y,LB,90,0,0,0,0,0,0,0,0,38,9,1,0,3,0.0,0.0,0.0,0,0,21,28,75.0,1,22,1,0,0,Match Report
2019-2020,2020-01-19,Sun,Premier League,Matchweek 23,Home,W 2–1,Burnley,Leicester City,Y,LB,90,0,0,0,0,0,0,0,0,81,19,2,0,6,0.0,0.0,0.2,2,0,45,62,72.6,2,45,4,4,5,Match Report
2019-2020,2020-01-22,Wed,Premier League,Matchweek 24,Away,W 2–0,Burnley,Manchester Utd,Y,LB,90,0,0,0,0,0,0,1,0,59,14,4,0,2,0.0,0.0,0.0,0,0,26,51,51.0,4,31,2,0,0,Match Report
2019-2020,2020-01-25,Sat,FA Cup,Fourth round,Home,L 1–2,Burnley,Norwich City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2019-2020,2020-02-02,Sun,Premier League,Matchweek 25,Home,D 0–0,Burnley,Arsenal,Y,LB,90,0,0,0,0,0,0,0,0,64,11,3,0,1,0.0,0.0,0.0,3,0,41,52,78.8,4,26,3,1,2,Match Report
2019-2020,2020-02-15,Sat,Premier League,Matchweek 26,Away,W 2–1,Burnley,Southampton,Y,LB,90,0,0,0,0,0,0,0,0,77,7,2,0,0,0.0,0.0,0.0,0,0,40,66,60.6,3,26,3,1,2,Match Report
2019-2020,2020-02-22,Sat,Premier League,Matchweek 27,Home,W 3–0,Burnley,Bournemouth,Y,LB,90,0,0,0,0,0,0,0,0,62,4,1,0,2,0.0,0.0,0.3,1,0,27,53,50.9,4,34,3,1,2,Match Report
2019-2020,2020-02-29,Sat,Premier League,Matchweek 28,Away,D 0–0,Burnley,Newcastle Utd,Y,LB,90,0,0,0,0,0,0,0,0,57,16,3,0,3,0.0,0.0,0.0,1,0,31,46,67.4,4,23,3,0,0,Match Report
2019-2020,2020-03-07,Sat,Premier League,Matchweek 29,Home,D 1–1,Burnley,Tottenham,Y,LB,90,0,0,0,0,0,0,1,0,73,9,2,0,1,0.0,0.0,0.0,0,0,43,57,75.4,4,30,6,0,3,Match Report
2019-2020,2020-06-22,Mon,Premier League,Matchweek 30,Away,L 0–5,Burnley,Manchester City,Y,LB,90,0,0,0,0,0,0,0,0,47,4,3,2,1,0.0,0.0,0.0,0,0,32,38,84.2,2,25,3,1,2,Match Report
2019-2020,2020-06-25,Thu,Premier League,Matchweek 31,Home,W 1–0,Burnley,Watford,Y,LB,90,0,0,0,0,0,0,0,0,60,11,2,3,1,0.0,0.0,0.0,0,0,33,47,70.2,2,18,1,0,0,Match Report
2019-2020,2020-06-29,Mon,Premier League,Matchweek 32,Away,W 1–0,Burnley,Crystal Palace,Y,"LB,WB",90,0,0,0,0,0,0,0,0,68,9,3,0,4,0.0,0.0,0.0,0,0,41,55,74.5,1,33,3,1,2,Match Report
2019-2020,2020-07-05,Sun,Premier League,Matchweek 33,Home,D 1–1,Burnley,Sheffield Utd,Y,LB,90,0,0,0,0,0,0,0,0,72,6,0,0,5,0.0,0.0,0.0,0,0,39,55,70.9,4,38,5,1,2,Match Report
2019-2020,2020-07-08,Wed,Premier League,Matchweek 34,Away,W 1–0,Burnley,West Ham,Y,LB,90,0,1,0,0,0,0,0,0,69,11,1,1,4,0.0,0.0,0.2,4,1,45,55,81.8,3,30,4,0,1,Match Report
2019-2020,2020-07-11,Sat,Premier League,Matchweek 35,Away,D 1–1,Burnley,Liverpool,Y,LB,90,0,0,0,0,0,0,0,0,31,6,0,1,2,0.0,0.0,0.0,0,0,9,19,47.4,1,10,0,0,0,Match Report
2019-2020,2020-07-15,Wed,Premier League,Matchweek 36,Home,D 1–1,Burnley,Wolves,Y,LB,29,0,0,0,0,0,0,0,0,20,5,1,0,1,0.0,0.0,0.0,0,0,11,16,68.8,1,9,3,0,0,Match Report
