Team_Home,Team_Away,USxg_Home,USxg_Away,Date,USProb_Home,USProb_Away,Season,League
Udinese,Torino,0.265642,0.671125,2018-09-16,0.1298,0.4073,2018-2019,SerieA
Nantes,Reims,0.822305,0.426507,2018-09-16,0.4317,0.1711,2018-2019,Ligue1
Genoa,Bologna,0.488376,0.667504,2018-09-16,0.2284,0.3509,2018-2019,SerieA
Werder Bremen,Nürnberg,0.700449,0.514375,2018-09-16,0.3524,0.2383,2018-2019,Bundesliga
Espanyol,Levante,1.61848,0.690773,2018-09-16,0.6356,0.1329,2018-2019,LaLiga
Everton,West Ham,1.26774,1.52437,2018-09-16,0.2789,0.4364,2018-2019,EPL
Bordeaux,Nîmes,0.987408,1.4185,2018-09-16,0.2279,0.4882,2018-2019,Ligue1
Empoli,Lazio,1.4909,2.74301,2018-09-16,0.133,0.6753,2018-2019,SerieA
Freiburg,Stuttgart,1.20784,1.19724,2018-09-16,0.3106,0.344,2018-2019,Bundesliga
Valladolid,Alavés,1.10397,0.848478,2018-09-16,0.3993,0.2703,2018-2019,LaLiga
Cagliari,Milan,0.433382,2.48751,2018-09-16,0.0266,0.8707,2018-2019,SerieA
Sevilla,Getafe,1.08255,2.12717,2018-09-16,0.1432,0.6526,2018-2019,LaLiga
Marseille,Guingamp,2.10486,0.14654,2018-09-16,0.8986,0.0101,2018-2019,Ligue1
SPAL,Atalanta,1.79209,0.789043,2018-09-17,0.6684,0.1118,2018-2019,SerieA
Southampton,Brighton,2.19521,1.97094,2018-09-17,0.4184,0.2887,2018-2019,EPL
Girona,Celta Vigo,1.72168,0.901248,2018-09-17,0.6202,0.1436,2018-2019,LaLiga
Sampdoria,Fiorentina,0.456027,1.70735,2018-09-19,0.0802,0.7141,2018-2019,SerieA
Sassuolo,Empoli,2.09666,1.03797,2018-09-21,0.6634,0.1328,2018-2019,SerieA
Stuttgart,Düsseldorf,1.39372,1.23964,2018-09-21,0.404,0.308,2018-2019,Bundesliga
Monaco,Nîmes,1.71296,0.776658,2018-09-21,0.6268,0.1266,2018-2019,Ligue1
Huesca,Real Sociedad,0.565773,0.200875,2018-09-21,0.3805,0.1077,2018-2019,LaLiga
Rayo Vallecano,Alavés,1.08157,1.24884,2018-09-22,0.2932,0.3798,2018-2019,LaLiga
Fulham,Watford,1.77245,1.76133,2018-09-22,0.3766,0.3662,2018-2019,EPL
Parma,Cagliari,2.04058,0.719329,2018-09-22,0.718,0.1022,2018-2019,SerieA
Wolfsburg,Freiburg,0.826665,2.26733,2018-09-22,0.0747,0.7677,2018-2019,Bundesliga
Augsburg,Werder Bremen,2.11259,1.39048,2018-09-22,0.5452,0.2207,2018-2019,Bundesliga
Hertha BSC,M'Gladbach,3.9572,2.64706,2018-09-22,0.664,0.1698,2018-2019,Bundesliga
Hoffenheim,Dortmund,1.92814,1.4456,2018-09-22,0.4918,0.2477,2018-2019,Bundesliga
Nürnberg,Hannover 96,1.64985,0.557368,2018-09-22,0.7056,0.0797,2018-2019,Bundesliga
Liverpool,Southampton,1.77893,0.310467,2018-09-22,0.8579,0.0196,2018-2019,EPL
Burnley,Bournemouth,2.29417,0.976413,2018-09-22,0.737,0.0881,2018-2019,EPL
Cardiff City,Manchester City,0.0980726,3.08415,2018-09-22,0.0029,0.9619,2018-2019,EPL
Leicester City,Huddersfield,1.80404,0.688176,2018-09-22,0.676,0.1076,2018-2019,EPL
Crystal Palace,Newcastle Utd,0.930793,0.229309,2018-09-22,0.5398,0.0862,2018-2019,EPL
Manchester Utd,Wolves,0.62283,1.1185,2018-09-22,0.1789,0.5089,2018-2019,EPL
Eibar,Leganés,1.78459,0.781041,2018-09-22,0.6418,0.1195,2018-2019,LaLiga
Celta Vigo,Valladolid,2.13067,2.16098,2018-09-22,0.3706,0.3861,2018-2019,LaLiga
Lille,Nantes,0.703161,1.2322,2018-09-22,0.1825,0.5175,2018-2019,Ligue1
Fiorentina,SPAL,1.71696,0.722731,2018-09-22,0.6331,0.1177,2018-2019,SerieA
Schalke 04,Bayern Munich,0.358342,2.58882,2018-09-22,0.018,0.9173,2018-2019,Bundesliga
Brighton,Tottenham,0.817174,2.11655,2018-09-22,0.0836,0.7282,2018-2019,EPL
Getafe,Atlético Madrid,0.580433,1.4765,2018-09-22,0.1072,0.6502,2018-2019,LaLiga
Strasbourg,Amiens,1.07472,0.672883,2018-09-22,0.4605,0.1885,2018-2019,Ligue1
Saint-Étienne,Caen,3.12231,0.307587,2018-09-22,0.9717,0.003,2018-2019,Ligue1
Reims,Dijon,1.06301,0.154099,2018-09-22,0.6449,0.0445,2018-2019,Ligue1
Montpellier,Nice,1.67209,0.311974,2018-09-22,0.7927,0.0405,2018-2019,Ligue1
Angers,Toulouse,0.613569,0.419431,2018-09-22,0.3486,0.207,2018-2019,Ligue1
Sampdoria,Inter,0.399584,0.802538,2018-09-22,0.1688,0.428,2018-2019,SerieA
Real Madrid,Espanyol,1.08701,0.424687,2018-09-22,0.5338,0.1393,2018-2019,LaLiga
Levante,Sevilla,2.24847,3.40128,2018-09-23,0.1703,0.6494,2018-2019,LaLiga
Torino,Napoli,1.08641,2.35831,2018-09-23,0.0892,0.7202,2018-2019,SerieA
West Ham,Chelsea,1.0177,1.88344,2018-09-23,0.161,0.5893,2018-2019,EPL
Bologna,Roma,0.885381,3.20497,2018-09-23,0.0297,0.8862,2018-2019,SerieA
Chievo,Udinese,1.57505,1.11577,2018-09-23,0.4884,0.2486,2018-2019,SerieA
Lazio,Genoa,2.81099,0.670444,2018-09-23,0.8694,0.0329,2018-2019,SerieA
Rennes,Paris S-G,1.29214,1.57303,2018-09-23,0.269,0.4407,2018-2019,Ligue1
Leverkusen,Mainz 05,1.29357,0.76291,2018-09-23,0.5024,0.2,2018-2019,Bundesliga
Villarreal,Valencia,0.480494,0.376192,2018-09-23,0.2903,0.2119,2018-2019,LaLiga
Arsenal,Everton,0.930544,1.06523,2018-09-23,0.287,0.3848,2018-2019,EPL
Guingamp,Bordeaux,2.05919,0.812676,2018-09-23,0.7165,0.0916,2018-2019,Ligue1
Eint Frankfurt,RB Leipzig,1.80358,1.8818,2018-09-23,0.3331,0.3738,2018-2019,Bundesliga
Milan,Atalanta,2.35124,2.08573,2018-09-23,0.4404,0.3194,2018-2019,SerieA
Betis,Athletic Club,1.55308,0.947496,2018-09-23,0.5188,0.178,2018-2019,LaLiga
Frosinone,Juventus,0.0629851,2.91794,2018-09-23,0.0013,0.9658,2018-2019,SerieA
Barcelona,Girona,1.67678,1.54969,2018-09-23,0.3891,0.3419,2018-2019,LaLiga
Lyon,Marseille,2.17661,0.799911,2018-09-23,0.7379,0.0818,2018-2019,Ligue1
Werder Bremen,Hertha BSC,2.51866,0.94148,2018-09-25,0.8025,0.0553,2018-2019,Bundesliga
Nantes,Nice,0.867099,1.50808,2018-09-25,0.1899,0.5365,2018-2019,Ligue1
Monaco,Angers,0.64811,0.353164,2018-09-25,0.3986,0.1585,2018-2019,Ligue1
Espanyol,Eibar,0.897083,0.200168,2018-09-25,0.5797,0.0677,2018-2019,LaLiga
Freiburg,Schalke 04,1.38048,0.928266,2018-09-25,0.4886,0.2307,2018-2019,Bundesliga
Hannover 96,Hoffenheim,2.06878,1.98958,2018-09-25,0.3972,0.345,2018-2019,Bundesliga
Bayern Munich,Augsburg,1.43314,1.32512,2018-09-25,0.3481,0.3005,2018-2019,Bundesliga
Inter,Fiorentina,1.85911,1.78872,2018-09-25,0.3781,0.3411,2018-2019,SerieA
Real Sociedad,Rayo Vallecano,1.23911,1.77977,2018-09-25,0.2163,0.5248,2018-2019,LaLiga
Toulouse,Saint-Étienne,1.09674,2.23179,2018-09-25,0.1218,0.681,2018-2019,Ligue1
Atlético Madrid,Huesca,1.1563,0.500396,2018-09-25,0.5461,0.1417,2018-2019,LaLiga
Düsseldorf,Leverkusen,1.75244,1.48071,2018-09-26,0.41,0.261,2018-2019,Bundesliga
Udinese,Lazio,0.842878,1.50332,2018-09-26,0.1712,0.558,2018-2019,SerieA
Nîmes,Guingamp,0.922377,0.355414,2018-09-26,0.582,0.0912,2018-2019,Ligue1
Marseille,Strasbourg,1.27899,0.81086,2018-09-26,0.473,0.177,2018-2019,Ligue1
Dijon,Lyon,1.93189,2.46562,2018-09-26,0.2738,0.5119,2018-2019,Ligue1
Amiens,Rennes,0.730869,1.83024,2018-09-26,0.1154,0.6719,2018-2019,Ligue1
Caen,Montpellier,0.8109,2.0286,2018-09-26,0.0681,0.731,2018-2019,Ligue1
Bordeaux,Lille,0.891123,2.01084,2018-09-26,0.0878,0.6869,2018-2019,Ligue1
Leganés,Barcelona,1.17874,0.40097,2018-09-26,0.6009,0.106,2018-2019,LaLiga
Athletic Club,Villarreal,0.754289,2.45205,2018-09-26,0.0572,0.8132,2018-2019,LaLiga
M'Gladbach,Eint Frankfurt,1.5541,1.11709,2018-09-26,0.4673,0.2629,2018-2019,Bundesliga
RB Leipzig,Stuttgart,3.13273,0.640951,2018-09-26,0.9181,0.0165,2018-2019,Bundesliga
Dortmund,Nürnberg,2.18746,0.154216,2018-09-26,0.8883,0.014,2018-2019,Bundesliga
Mainz 05,Wolfsburg,0.362483,1.19657,2018-09-26,0.092,0.622,2018-2019,Bundesliga
Juventus,Bologna,0.851257,0.325971,2018-09-26,0.4804,0.1361,2018-2019,SerieA
Cagliari,Sampdoria,0.952392,2.25181,2018-09-26,0.0921,0.7276,2018-2019,SerieA
Roma,Frosinone,2.53238,0.48896,2018-09-26,0.899,0.018,2018-2019,SerieA
Napoli,Parma,2.8594,0.0851875,2018-09-26,0.9632,0.0023,2018-2019,SerieA
Atalanta,Torino,0.672669,0.22405,2018-09-26,0.4225,0.1077,2018-2019,SerieA
Genoa,Chievo,1.61873,1.60245,2018-09-26,0.3799,0.3533,2018-2019,SerieA
Paris S-G,Reims,3.65268,0.326745,2018-09-26,0.9812,0.002,2018-2019,Ligue1
Sevilla,Real Madrid,2.29262,1.55351,2018-09-26,0.5625,0.2226,2018-2019,LaLiga
Valencia,Celta Vigo,1.03637,0.404953,2018-09-26,0.5251,0.1336,2018-2019,LaLiga
SPAL,Sassuolo,1.02425,2.08628,2018-09-27,0.0928,0.6909,2018-2019,SerieA
Alavés,Getafe,1.65223,1.20669,2018-09-27,0.4926,0.2376,2018-2019,LaLiga
Valladolid,Levante,1.25362,1.09992,2018-09-27,0.3728,0.2981,2018-2019,LaLiga
Empoli,Milan,1.1773,1.52902,2018-09-27,0.2745,0.4235,2018-2019,SerieA
Girona,Betis,0.830935,1.56038,2018-09-27,0.1612,0.5736,2018-2019,LaLiga
Hertha BSC,Bayern Munich,1.48921,2.40599,2018-09-28,0.1648,0.6048,2018-2019,Bundesliga
Saint-Étienne,Monaco,2.03551,1.85855,2018-09-28,0.4137,0.337,2018-2019,Ligue1
Rayo Vallecano,Espanyol,1.22522,1.7919,2018-09-28,0.1947,0.526,2018-2019,LaLiga
Real Sociedad,Valencia,1.12097,0.924746,2018-09-29,0.3852,0.2287,2018-2019,LaLiga
West Ham,Manchester Utd,1.3029,0.865739,2018-09-29,0.4851,0.1993,2018-2019,EPL
Roma,Lazio,2.45713,0.885573,2018-09-29,0.7581,0.0852,2018-2019,SerieA
Nürnberg,Düsseldorf,2.42225,1.17182,2018-09-29,0.7149,0.1002,2018-2019,Bundesliga
Wolfsburg,M'Gladbach,0.802752,0.849348,2018-09-29,0.3015,0.343,2018-2019,Bundesliga
Hoffenheim,RB Leipzig,1.77221,1.47287,2018-09-29,0.4443,0.2896,2018-2019,Bundesliga
Schalke 04,Mainz 05,1.59406,0.642848,2018-09-29,0.6439,0.118,2018-2019,Bundesliga
Stuttgart,Werder Bremen,2.43649,0.656694,2018-09-29,0.8143,0.0555,2018-2019,Bundesliga
Arsenal,Watford,1.57061,2.62141,2018-09-29,0.1664,0.6346,2018-2019,EPL
Everton,Fulham,2.31538,0.536317,2018-09-29,0.8411,0.0332,2018-2019,EPL
Manchester City,Brighton,2.90697,0.23023,2018-09-29,0.9482,0.0065,2018-2019,EPL
Newcastle Utd,Leicester City,0.397301,1.34341,2018-09-29,0.0701,0.6867,2018-2019,EPL
Wolves,Southampton,1.42507,0.679627,2018-09-29,0.5683,0.1589,2018-2019,EPL
Huddersfield,Tottenham,0.339245,2.33733,2018-09-29,0.0173,0.8965,2018-2019,EPL
Barcelona,Athletic Club,3.06389,0.889081,2018-09-29,0.8687,0.0351,2018-2019,LaLiga
Nice,Paris S-G,0.34909,3.19562,2018-09-29,0.0102,0.9398,2018-2019,Ligue1
Juventus,Napoli,3.04531,1.42452,2018-09-29,0.7681,0.0823,2018-2019,SerieA
Leverkusen,Dortmund,1.34044,2.98145,2018-09-29,0.0818,0.775,2018-2019,Bundesliga
Eibar,Sevilla,0.563865,1.98532,2018-09-29,0.0548,0.7897,2018-2019,LaLiga
Chelsea,Liverpool,1.77638,1.74071,2018-09-29,0.3755,0.3703,2018-2019,EPL
Caen,Amiens,1.44696,0.247116,2018-09-29,0.7807,0.0321,2018-2019,Ligue1
Lyon,Nantes,2.16048,1.00631,2018-09-29,0.6788,0.1244,2018-2019,Ligue1
Strasbourg,Dijon,0.748818,1.0504,2018-09-29,0.2485,0.4208,2018-2019,Ligue1
Angers,Guingamp,0.366935,1.49767,2018-09-29,0.0657,0.7208,2018-2019,Ligue1
Reims,Bordeaux,0.63867,0.205687,2018-09-29,0.4169,0.1,2018-2019,Ligue1
Inter,Cagliari,1.05314,0.144417,2018-09-29,0.639,0.0411,2018-2019,SerieA
Real Madrid,Atlético Madrid,1.13552,0.661567,2018-09-29,0.4877,0.1944,2018-2019,LaLiga
Huesca,Girona,1.6139,1.80702,2018-09-30,0.2987,0.4145,2018-2019,LaLiga
Bologna,Udinese,1.36167,0.997014,2018-09-30,0.4518,0.2533,2018-2019,SerieA
Frosinone,Genoa,1.28871,1.08662,2018-09-30,0.4026,0.262,2018-2019,SerieA
Rennes,Toulouse,2.45218,0.278664,2018-09-30,0.9152,0.0122,2018-2019,Ligue1
Fiorentina,Atalanta,1.0206,0.681489,2018-09-30,0.4689,0.1938,2018-2019,SerieA
Chievo,Torino,0.315367,1.48485,2018-09-30,0.0606,0.7068,2018-2019,SerieA
Eint Frankfurt,Hannover 96,2.76495,0.613099,2018-09-30,0.9022,0.0138,2018-2019,Bundesliga
Villarreal,Valladolid,2.90806,0.848198,2018-09-30,0.8519,0.0402,2018-2019,LaLiga
Cardiff City,Burnley,1.56707,0.111527,2018-09-30,0.8015,0.0185,2018-2019,EPL
Montpellier,Nîmes,2.65101,0.941051,2018-09-30,0.7949,0.0639,2018-2019,Ligue1
Augsburg,Freiburg,4.37565,1.61825,2018-09-30,0.9128,0.0264,2018-2019,Bundesliga
Parma,Empoli,0.645086,1.44541,2018-09-30,0.1515,0.5745,2018-2019,SerieA
Levante,Alavés,1.37126,0.703753,2018-09-30,0.5644,0.1661,2018-2019,LaLiga
Sassuolo,Milan,0.704744,1.30599,2018-09-30,0.1738,0.5317,2018-2019,SerieA
Betis,Leganés,2.09064,0.410456,2018-09-30,0.8285,0.0401,2018-2019,LaLiga
Lille,Marseille,2.94559,0.424331,2018-09-30,0.9534,0.0083,2018-2019,Ligue1
Sampdoria,SPAL,1.66754,1.16928,2018-10-01,0.4749,0.2261,2018-2019,SerieA
Bournemouth,Crystal Palace,1.97143,0.385841,2018-10-01,0.8371,0.0363,2018-2019,EPL
Celta Vigo,Getafe,0.481181,1.02662,2018-10-01,0.1462,0.5162,2018-2019,LaLiga
Torino,Frosinone,1.91949,1.94032,2018-10-05,0.3479,0.3606,2018-2019,SerieA
Werder Bremen,Wolfsburg,1.10209,0.351604,2018-10-05,0.5709,0.1066,2018-2019,Bundesliga
Toulouse,Nice,1.19251,0.732437,2018-10-05,0.4854,0.2065,2018-2019,Ligue1
Athletic Club,Real Sociedad,1.18842,2.11494,2018-10-05,0.122,0.6498,2018-2019,LaLiga
Brighton,West Ham,1.02566,1.43652,2018-10-05,0.245,0.4615,2018-2019,EPL
Girona,Eibar,1.31255,2.11152,2018-10-06,0.1704,0.5847,2018-2019,LaLiga
Cagliari,Bologna,1.90878,0.381595,2018-10-06,0.8192,0.0395,2018-2019,SerieA
Düsseldorf,Schalke 04,0.557607,1.75802,2018-10-06,0.0715,0.7307,2018-2019,Bundesliga
Hannover 96,Stuttgart,2.0396,0.69495,2018-10-06,0.7262,0.0891,2018-2019,Bundesliga
Mainz 05,Hertha BSC,1.56562,1.00145,2018-10-06,0.4954,0.2261,2018-2019,Bundesliga
Dortmund,Augsburg,2.09977,3.18937,2018-10-06,0.1908,0.6262,2018-2019,Bundesliga
Leicester City,Everton,1.10472,1.14952,2018-10-06,0.3366,0.3529,2018-2019,EPL
Watford,Bournemouth,1.06613,3.28471,2018-10-06,0.0276,0.8986,2018-2019,EPL
Tottenham,Cardiff City,2.6517,1.13843,2018-10-06,0.7439,0.0881,2018-2019,EPL
Crystal Palace,Wolves,1.03714,0.755654,2018-10-06,0.4233,0.219,2018-2019,EPL
Burnley,Huddersfield,0.353128,1.02549,2018-10-06,0.1117,0.5465,2018-2019,EPL
Getafe,Levante,1.04946,0.902661,2018-10-06,0.385,0.2959,2018-2019,LaLiga
Lille,Saint-Étienne,0.792513,1.33367,2018-10-06,0.1513,0.5283,2018-2019,Ligue1
Udinese,Juventus,0.742797,2.8144,2018-10-06,0.0304,0.8705,2018-2019,SerieA
Alavés,Real Madrid,1.16947,0.872949,2018-10-06,0.4427,0.2351,2018-2019,LaLiga
Bayern Munich,M'Gladbach,0.595523,0.559058,2018-10-06,0.2917,0.2779,2018-2019,Bundesliga
Manchester Utd,Newcastle Utd,2.40631,1.55962,2018-10-06,0.5878,0.2068,2018-2019,EPL
Guingamp,Montpellier,0.757802,1.08337,2018-10-06,0.2246,0.4205,2018-2019,Ligue1
Angers,Strasbourg,2.15923,1.30474,2018-10-06,0.586,0.1817,2018-2019,Ligue1
Amiens,Dijon,0.301024,0.371877,2018-10-06,0.1922,0.2392,2018-2019,Ligue1
Nîmes,Reims,0.760306,1.4833,2018-10-06,0.1536,0.5873,2018-2019,Ligue1
Empoli,Roma,1.99899,0.863839,2018-10-06,0.6786,0.1025,2018-2019,SerieA
Leganés,Rayo Vallecano,1.18789,0.408158,2018-10-06,0.583,0.1125,2018-2019,LaLiga
Valladolid,Huesca,0.927264,0.800191,2018-10-07,0.362,0.277,2018-2019,LaLiga
Genoa,Parma,1.53225,1.16016,2018-10-07,0.446,0.278,2018-2019,SerieA
Fulham,Arsenal,1.31588,1.13706,2018-10-07,0.4029,0.3096,2018-2019,EPL
Freiburg,Leverkusen,0.501569,0.551906,2018-10-07,0.2694,0.2882,2018-2019,Bundesliga
Lazio,Fiorentina,1.38608,1.00701,2018-10-07,0.4822,0.2263,2018-2019,SerieA
Atalanta,Sampdoria,2.18092,0.438067,2018-10-07,0.8353,0.0382,2018-2019,SerieA
Milan,Chievo,2.55099,0.412204,2018-10-07,0.8814,0.0268,2018-2019,SerieA
Bordeaux,Nantes,1.75432,0.701317,2018-10-07,0.6657,0.0922,2018-2019,Ligue1
Southampton,Chelsea,1.487,3.54699,2018-10-07,0.0646,0.822,2018-2019,EPL
Hoffenheim,Eint Frankfurt,2.24067,1.02517,2018-10-07,0.699,0.0988,2018-2019,Bundesliga
Atlético Madrid,Betis,0.573515,0.281257,2018-10-07,0.3603,0.1421,2018-2019,LaLiga
Monaco,Rennes,0.390296,1.01659,2018-10-07,0.1203,0.5553,2018-2019,Ligue1
Marseille,Caen,1.4975,0.536643,2018-10-07,0.6533,0.1021,2018-2019,Ligue1
Liverpool,Manchester City,0.433994,1.07481,2018-10-07,0.1026,0.5917,2018-2019,EPL
RB Leipzig,Nürnberg,3.17935,0.394254,2018-10-07,0.9563,0.0045,2018-2019,Bundesliga
Napoli,Sassuolo,1.76818,0.926808,2018-10-07,0.5853,0.1721,2018-2019,SerieA
Espanyol,Villarreal,2.74615,1.59419,2018-10-07,0.6362,0.1597,2018-2019,LaLiga
Sevilla,Celta Vigo,2.237,0.895831,2018-10-07,0.7308,0.0905,2018-2019,LaLiga
SPAL,Inter,3.07945,1.34105,2018-10-07,0.7992,0.0734,2018-2019,SerieA
Valencia,Barcelona,1.53635,0.373489,2018-10-07,0.7736,0.0474,2018-2019,LaLiga
Paris S-G,Lyon,4.4359,1.63396,2018-10-07,0.9025,0.0299,2018-2019,Ligue1
Eint Frankfurt,Düsseldorf,3.51257,0.666096,2018-10-19,0.9294,0.017,2018-2019,Bundesliga
Lyon,Nîmes,1.71752,1.39758,2018-10-19,0.4691,0.2927,2018-2019,Ligue1
Celta Vigo,Alavés,0.733589,0.988217,2018-10-19,0.2308,0.4314,2018-2019,LaLiga
Real Madrid,Levante,3.02601,1.83965,2018-10-20,0.649,0.1575,2018-2019,LaLiga
Chelsea,Manchester Utd,2.21163,1.11454,2018-10-20,0.668,0.1147,2018-2019,EPL
Roma,SPAL,1.6265,1.89155,2018-10-20,0.2938,0.4393,2018-2019,SerieA
Leverkusen,Hannover 96,2.38988,1.0744,2018-10-20,0.7144,0.0975,2018-2019,Bundesliga
Augsburg,RB Leipzig,0.267706,1.098,2018-10-20,0.0793,0.6133,2018-2019,Bundesliga
Wolfsburg,Bayern Munich,0.815476,2.75811,2018-10-20,0.0334,0.855,2018-2019,Bundesliga
Nürnberg,Hoffenheim,1.11043,2.46148,2018-10-20,0.0882,0.7189,2018-2019,Bundesliga
Stuttgart,Dortmund,1.03693,0.952768,2018-10-20,0.3651,0.3018,2018-2019,Bundesliga
Manchester City,Burnley,4.48577,0.370236,2018-10-20,0.9845,0.0026,2018-2019,EPL
West Ham,Tottenham,0.544268,1.11777,2018-10-20,0.165,0.5202,2018-2019,EPL
Wolves,Watford,0.47391,1.0684,2018-10-20,0.1458,0.5304,2018-2019,EPL
Newcastle Utd,Brighton,1.71169,0.675798,2018-10-20,0.6389,0.1274,2018-2019,EPL
Cardiff City,Fulham,1.7562,0.947712,2018-10-20,0.5644,0.1823,2018-2019,EPL
Bournemouth,Southampton,0.840403,0.589633,2018-10-20,0.4011,0.2142,2018-2019,EPL
Valencia,Leganés,1.18124,0.973224,2018-10-20,0.376,0.2812,2018-2019,LaLiga
Paris S-G,Amiens,2.50391,0.573532,2018-10-20,0.8563,0.0362,2018-2019,Ligue1
Juventus,Genoa,1.84684,0.853192,2018-10-20,0.6393,0.1218,2018-2019,SerieA
Schalke 04,Werder Bremen,0.966026,0.399747,2018-10-20,0.5139,0.1357,2018-2019,Bundesliga
Villarreal,Atlético Madrid,1.86233,1.62367,2018-10-20,0.4212,0.3234,2018-2019,LaLiga
Huddersfield,Liverpool,0.638341,0.663819,2018-10-20,0.286,0.313,2018-2019,EPL
Dijon,Lille,1.51825,1.94079,2018-10-20,0.2421,0.4787,2018-2019,Ligue1
Nantes,Toulouse,2.70942,0.540454,2018-10-20,0.8985,0.0196,2018-2019,Ligue1
Strasbourg,Monaco,0.819667,1.35931,2018-10-20,0.1742,0.5086,2018-2019,Ligue1
Reims,Angers,1.03372,1.62653,2018-10-20,0.2013,0.5261,2018-2019,Ligue1
Caen,Guingamp,0.663293,0.420901,2018-10-20,0.3837,0.1797,2018-2019,Ligue1
Udinese,Napoli,1.72187,2.00576,2018-10-20,0.2887,0.4224,2018-2019,SerieA
Barcelona,Sevilla,3.21948,1.89801,2018-10-20,0.675,0.1531,2018-2019,LaLiga
Rayo Vallecano,Getafe,0.320919,0.498066,2018-10-21,0.1687,0.3283,2018-2019,LaLiga
Frosinone,Empoli,1.04742,1.19042,2018-10-21,0.3013,0.3607,2018-2019,SerieA
Chievo,Atalanta,0.856479,2.17454,2018-10-21,0.029,0.7444,2018-2019,SerieA
Parma,Lazio,0.251094,2.86321,2018-10-21,0.0062,0.952,2018-2019,SerieA
Montpellier,Bordeaux,1.87946,0.824068,2018-10-21,0.6867,0.1028,2018-2019,Ligue1
Bologna,Torino,1.49515,0.697863,2018-10-21,0.6383,0.1025,2018-2019,SerieA
Hertha BSC,Freiburg,0.877118,0.427269,2018-10-21,0.4543,0.1679,2018-2019,Bundesliga
Eibar,Athletic Club,1.68646,0.992745,2018-10-21,0.5497,0.1674,2018-2019,LaLiga
Everton,Crystal Palace,1.92794,1.50174,2018-10-21,0.4635,0.2616,2018-2019,EPL
Saint-Étienne,Rennes,1.76728,2.01595,2018-10-21,0.2895,0.429,2018-2019,Ligue1
M'Gladbach,Mainz 05,3.00692,0.472964,2018-10-21,0.9402,0.0103,2018-2019,Bundesliga
Fiorentina,Cagliari,1.40099,0.92271,2018-10-21,0.4865,0.1979,2018-2019,SerieA
Huesca,Espanyol,0.264947,1.84992,2018-10-21,0.0237,0.8517,2018-2019,LaLiga
Inter,Milan,2.09049,0.64662,2018-10-21,0.7376,0.0835,2018-2019,SerieA
Betis,Valladolid,0.820674,0.501587,2018-10-21,0.4015,0.2074,2018-2019,LaLiga
Nice,Marseille,0.664719,0.477268,2018-10-21,0.3532,0.2223,2018-2019,Ligue1
Sampdoria,Sassuolo,1.2844,0.642053,2018-10-22,0.547,0.1637,2018-2019,SerieA
Arsenal,Leicester City,2.91637,0.932491,2018-10-22,0.8504,0.0428,2018-2019,EPL
Real Sociedad,Girona,0.57678,0.53783,2018-10-22,0.3005,0.2692,2018-2019,LaLiga
Rayo Vallecano,Athletic Club,1.35392,1.23764,2018-10-24,0.3142,0.2305,2018-2019,LaLiga
Freiburg,M'Gladbach,1.41352,1.14643,2018-10-26,0.3978,0.2416,2018-2019,Bundesliga
Nîmes,Saint-Étienne,1.32474,1.21742,2018-10-26,0.3947,0.3148,2018-2019,Ligue1
Valladolid,Espanyol,1.2412,0.508367,2018-10-26,0.563,0.1403,2018-2019,LaLiga
Girona,Rayo Vallecano,2.73207,1.74235,2018-10-27,0.6405,0.14,2018-2019,LaLiga
Atalanta,Parma,2.98455,1.37628,2018-10-27,0.7462,0.1021,2018-2019,SerieA
Hannover 96,Augsburg,0.616434,1.45577,2018-10-27,0.1179,0.6306,2018-2019,Bundesliga
Düsseldorf,Wolfsburg,0.245269,1.74956,2018-10-27,0.028,0.8219,2018-2019,Bundesliga
Mainz 05,Bayern Munich,0.592384,2.15695,2018-10-27,0.0542,0.7761,2018-2019,Bundesliga
Dortmund,Hertha BSC,3.57277,2.04279,2018-10-27,0.73,0.1083,2018-2019,Bundesliga
Southampton,Newcastle Utd,1.19216,0.297646,2018-10-27,0.6131,0.0786,2018-2019,EPL
Liverpool,Cardiff City,2.30176,0.643117,2018-10-27,0.8332,0.0269,2018-2019,EPL
Fulham,Bournemouth,0.383833,2.10555,2018-10-27,0.0288,0.8585,2018-2019,EPL
Brighton,Wolves,1.01337,1.38027,2018-10-27,0.259,0.4404,2018-2019,EPL
Watford,Huddersfield,2.29622,0.479655,2018-10-27,0.8433,0.0383,2018-2019,EPL
Athletic Club,Valencia,0.632913,0.723783,2018-10-27,0.2768,0.3385,2018-2019,LaLiga
Angers,Lyon,1.01309,1.73098,2018-10-27,0.1675,0.5606,2018-2019,Ligue1
Empoli,Juventus,0.272576,1.48572,2018-10-27,0.0386,0.7702,2018-2019,SerieA
Leicester City,West Ham,1.95344,1.56009,2018-10-27,0.4553,0.2567,2018-2019,EPL
Levante,Leganés,1.15766,1.46459,2018-10-27,0.2629,0.452,2018-2019,LaLiga
Celta Vigo,Eibar,1.28908,1.37498,2018-10-27,0.3159,0.3489,2018-2019,LaLiga
Hoffenheim,Stuttgart,2.93243,0.253449,2018-10-27,0.9651,0.0035,2018-2019,Bundesliga
Toulouse,Montpellier,1.13389,1.64491,2018-10-27,0.2389,0.4898,2018-2019,Ligue1
Amiens,Nantes,1.03691,1.6779,2018-10-27,0.1687,0.5578,2018-2019,Ligue1
Guingamp,Strasbourg,1.20639,1.33564,2018-10-27,0.2938,0.3863,2018-2019,Ligue1
