Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att_Passes,Cmp%,Prog_Passes,Carries,Prog_2_Carries,Succ,Att_2_Dribbles,Match Report
2020-2021,2020-09-13,Sun,Premier League,Matchweek 1,Away,W 3–0,Leicester City,West Brom,Y,RM,66,0,0,0,0,1,0,0,0,35,20,1,0,2,0.0,0.0,0.0,1,0,22,29,75.9,5,24,0,1,1,Match Report
2020-2021,2020-09-20,Sun,Premier League,Matchweek 2,Home,W 4–2,Leicester City,Burnley,Y,RM,61,0,0,0,0,1,0,0,0,35,23,2,2,2,0.1,0.1,0.0,3,2,17,21,81.0,1,23,4,2,4,Match Report
2020-2021,2020-09-23,Wed,EFL Cup,Third round,Home,L 0–2,Leicester City,Arsenal,N,,15,0,0,0,0,1,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report
2020-2021,2020-09-27,Sun,Premier League,Matchweek 3,Away,W 5–2,Leicester City,Manchester City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2020-2021,2020-10-04,Sun,Premier League,Matchweek 4,Home,L 0–3,Leicester City,West Ham,Y,RW,63,0,0,0,0,0,0,0,0,32,20,1,1,0,0.0,0.0,0.0,0,0,15,25,60.0,3,26,3,0,0,Match Report
2020-2021,2020-10-18,Sun,Premier League,Matchweek 5,Home,L 0–1,Leicester City,Aston Villa,Y,RM,90,0,0,0,0,3,1,1,0,42,26,5,4,2,0.1,0.1,0.1,4,0,18,24,75.0,4,30,6,2,6,Match Report
2020-2021,2020-10-22,Thu,Europa Lg,Group stage,Home,W 3–0,eng Leicester City,ua Zorya Luhansk,N,FW,20,0,0,0,0,0,0,0,0,10,6,0,0,1,0.0,0.0,0.0,0,0,4,6,66.7,0,7,0,0,1,Match Report
2020-2021,2020-10-29,Thu,Europa Lg,Group stage,Away,W 2–1,eng Leicester City,gr AEK Athens,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2020-2021,2020-11-02,Mon,Premier League,Matchweek 7,Away,W 4–1,Leicester City,Leeds United,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2020-2021,2020-11-05,Thu,Europa Lg,Group stage,Home,W 4–0,eng Leicester City,pt Braga,N,FW,19,0,1,0,0,1,0,0,0,11,4,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,1,11,3,2,3,Match Report
