Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att_Passes,Cmp%,Prog_Passes,Carries,Prog_2_Carries,Succ,Att_2_Dribbles,Match Report
2020-2021,2020-08-29,Sat,Community Shield,FA Community Shield,Neutral,L 1 (4)–1 (5),Liverpool,Arsenal,Y,CM,120,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2020-2021,2020-09-12,Sat,Premier League,Matchweek 1,Home,W 4–3,Liverpool,Leeds United,N,CM,33,0,0,0,0,0,0,0,0,18,7,1,0,0,0.0,0.0,0.0,1,1,12,14,85.7,0,8,1,0,0,Match Report
2020-2021,2020-09-20,Sun,Premier League,Matchweek 2,Away,W 2–0,Liverpool,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,91,16,5,2,3,0.0,0.0,0.0,0,0,82,85,96.5,5,62,6,0,0,Match Report
2020-2021,2020-09-24,Thu,EFL Cup,Third round,Away,W 7–2,Liverpool,Lincoln City,N,,45,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2020-2021,2020-09-28,Mon,Premier League,Matchweek 3,Home,W 3–1,Liverpool,Arsenal,Y,DM,90,0,0,0,0,0,0,0,0,82,14,5,1,1,0.0,0.0,0.0,4,0,68,70,97.1,5,47,5,0,0,Match Report
2020-2021,2020-10-01,Thu,EFL Cup,Fourth round,Home,L 0 (4)–0 (5),Liverpool,Arsenal,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2020-2021,2020-10-04,Sun,Premier League,Matchweek 4,Away,L 2–7,Liverpool,Aston Villa,Y,"DM,CB",90,0,0,0,0,0,0,0,0,83,18,2,2,4,0.0,0.0,0.1,1,0,63,72,87.5,6,42,4,0,1,Match Report
2020-2021,2020-10-09,Fri,WCQ,WCQ — CONMEBOL (M),Home,W 5–0,br Brazil,bo Bolivia,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2020-2021,2020-10-13,Tue,WCQ,WCQ — CONMEBOL (M),Away,W 4–2,br Brazil,pe Peru,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2020-2021,2020-10-17,Sat,Premier League,Matchweek 5,Away,D 2–2,Liverpool,Everton,Y,DM,89,0,0,0,0,1,0,1,0,58,20,6,0,1,0.0,0.0,0.0,0,0,40,52,76.9,4,36,3,0,1,Match Report
2020-2021,2020-10-21,Wed,Champions Lg,Group stage,Away,W 1–0,eng Liverpool,nl Ajax,Y,CB,90,0,0,0,0,1,1,0,0,70,11,6,1,5,0.1,0.1,0.0,2,0,41,48,85.4,3,36,5,0,0,Match Report
2020-2021,2020-10-24,Sat,Premier League,Matchweek 6,Home,W 2–1,Liverpool,Sheffield Utd,Y,CB,90,0,0,0,0,1,0,0,0,94,6,2,0,3,0.0,0.0,0.0,1,0,69,81,85.2,0,55,2,0,0,Match Report
2020-2021,2020-10-27,Tue,Champions Lg,Group stage,Home,W 2–0,eng Liverpool,dk Midtjylland,Y,CB,29,0,0,0,0,0,0,0,0,29,1,0,0,0,0.0,0.0,0.0,0,0,27,29,93.1,1,22,0,0,0,Match Report
2020-2021,2020-11-22,Sun,Premier League,Matchweek 9,Home,W 3–0,Liverpool,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,85,5,1,4,1,0.0,0.0,0.0,0,0,75,76,98.7,1,69,3,0,0,Match Report
2020-2021,2020-11-25,Wed,Champions Lg,Group stage,Home,L 0–2,eng Liverpool,it Atalanta,N,"DM,CB",30,0,0,0,0,0,0,0,0,40,7,3,0,0,0.0,0.0,0.0,0,0,34,38,89.5,1,31,2,0,0,Match Report
2020-2021,2020-11-28,Sat,Premier League,Matchweek 10,Away,D 1–1,Liverpool,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,64,10,2,2,0,0.0,0.0,0.2,1,0,52,58,89.7,0,42,0,0,0,Match Report
2020-2021,2020-12-01,Tue,Champions Lg,Group stage,Home,W 1–0,eng Liverpool,nl Ajax,Y,CB,90,0,0,0,0,0,0,0,0,71,9,3,3,2,0.0,0.0,0.0,2,0,51,59,86.4,1,41,1,0,0,Match Report
2020-2021,2020-12-06,Sun,Premier League,Matchweek 11,Home,W 4–0,Liverpool,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,81,4,1,1,1,0.0,0.0,0.0,0,0,73,76,96.1,2,54,1,0,0,Match Report
2020-2021,2020-12-09,Wed,Champions Lg,Group stage,Away,D 1–1,eng Liverpool,dk Midtjylland,Y,CB,45,0,0,0,0,0,0,0,0,57,4,2,1,2,0.0,0.0,0.0,0,0,44,48,91.7,0,37,2,0,0,Match Report
2020-2021,2020-12-13,Sun,Premier League,Matchweek 12,Away,D 1–1,Liverpool,Fulham,Y,CB,90,0,0,0,0,0,0,0,0,113,10,3,3,2,0.0,0.0,0.0,0,0,93,101,92.1,3,78,8,0,0,Match Report
2020-2021,2020-12-16,Wed,Premier League,Matchweek 13,Home,W 2–1,Liverpool,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,98,7,4,0,1,0.0,0.0,0.0,0,0,85,90,94.4,2,71,9,1,1,Match Report
2020-2021,2020-12-19,Sat,Premier League,Matchweek 14,Away,W 7–0,Liverpool,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,102,8,3,3,0,0.0,0.0,0.0,0,0,86,90,95.6,1,61,4,0,0,Match Report
2020-2021,2020-12-27,Sun,Premier League,Matchweek 15,Home,D 1–1,Liverpool,West Brom,Y,CB,90,0,0,0,0,1,0,0,0,98,0,0,1,2,0.0,0.0,0.0,2,1,78,87,89.7,9,63,14,1,1,Match Report
2020-2021,2020-12-30,Wed,Premier League,Matchweek 16,Away,D 0–0,Liverpool,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,1,0,99,5,1,1,1,0.0,0.0,0.0,0,0,88,92,95.7,3,68,11,0,0,Match Report
2020-2021,2021-01-04,Mon,Premier League,Matchweek 17,Away,L 0–1,Liverpool,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,100,4,1,0,1,0.0,0.0,0.0,0,0,83,91,91.2,3,63,7,0,0,Match Report
2020-2021,2021-01-08,Fri,FA Cup,Third round,Away,W 4–1,Liverpool,Aston Villa,Y,CB,90,0,0,0,0,3,2,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2020-2021,2021-01-17,Sun,Premier League,Matchweek 19,Home,D 0–0,Liverpool,Manchester Utd,Y,CB,90,0,0,0,0,0,0,1,0,89,11,2,2,3,0.0,0.0,0.0,0,0,70,76,92.1,1,62,5,1,1,Match Report
