League,Season,Round,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
Bundesliga,2017-2018,Regular Season,1,Fri,2017-08-18,20:30,Bayern Munich,2.5,2.1,Leverkusen,75000,Allianz Arena,Tobias Stieler,https://fbref.com/en/matches/b13970b2/Bayern-Munich-Bayer-Leverkusen-August-18-2017-Bundesliga,3,1
Bundesliga,2017-2018,Regular Season,1,Sat,2017-08-19,15:30,Hoffenheim,1.2,1.0,Werder Bremen,30150,Dietmar-Hopp-Stadion,Guido Winkmann,https://fbref.com/en/matches/7fa19f7c/Hoffenheim-Werder-Bremen-August-19-2017-Bundesliga,1,0
Bundesliga,2017-2018,Regular Season,1,Sat,2017-08-19,15:30,Mainz 05,0.9,0.7,Hannover 96,28279,Opel Arena,Felix Brych,https://fbref.com/en/matches/09cec3e9/Mainz-05-Hannover-96-August-19-2017-Bundesliga,0,1
Bundesliga,2017-2018,Regular Season,1,Sat,2017-08-19,15:30,Wolfsburg,0.5,1.1,Dortmund,30000,Volkswagen Arena,Robert Hartmann,https://fbref.com/en/matches/10673af1/Wolfsburg-Dortmund-August-19-2017-Bundesliga,0,3
Bundesliga,2017-2018,Regular Season,1,Sat,2017-08-19,15:30,Hamburger SV,0.7,0.6,Augsburg,49449,Volksparkstadion,Daniel Siebert,https://fbref.com/en/matches/f65cd7dc/Hamburger-SV-Augsburg-August-19-2017-Bundesliga,1,0
Bundesliga,2017-2018,Regular Season,1,Sat,2017-08-19,15:30,Hertha BSC,0.7,1.2,Stuttgart,44751,Olympiastadion Berlin,Sascha Stegemann,https://fbref.com/en/matches/0339770e/Hertha-BSC-Stuttgart-August-19-2017-Bundesliga,2,0
Bundesliga,2017-2018,Regular Season,1,Sat,2017-08-19,18:30,Schalke 04,1.6,0.9,RB Leipzig,61435,Veltins-Arena,Felix Zwayer,https://fbref.com/en/matches/c516f9b3/Schalke-04-RB-Leipzig-August-19-2017-Bundesliga,2,0
Bundesliga,2017-2018,Regular Season,1,Sun,2017-08-20,15:30,Freiburg,0.2,1.3,Eint Frankfurt,24000,Schwarzwald-Stadion,Manuel Gräfe,https://fbref.com/en/matches/a3858878/Freiburg-Eintracht-Frankfurt-August-20-2017-Bundesliga,0,0
Bundesliga,2017-2018,Regular Season,1,Sun,2017-08-20,18:00,M'Gladbach,1.5,1.0,Köln,54018,Stadion im Borussia-Park,Deniz Aytekin,https://fbref.com/en/matches/4fbf64fe/Monchengladbach-Koln-August-20-2017-Bundesliga,1,0
Bundesliga,2017-2018,Regular Season,2,Fri,2017-08-25,20:30,Köln,2.3,1.7,Hamburger SV,50000,RheinEnergieSTADION,Felix Brych,https://fbref.com/en/matches/4fc1a614/Koln-Hamburger-SV-August-25-2017-Bundesliga,1,3
