Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2015-2016,2015-08-08,Sat,Premier League,Matchweek 1,Home,L 1–3,Norwich City,Crystal Palace,Y,CM,90,0,0,0,0,4,1,0,0,3,3,0,1,3,0,0,,,Match Report
2015-2016,2015-08-15,Sat,Premier League,Matchweek 2,Away,W 3–1,Norwich City,Sunderland,N,,29,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,,,Match Report
2015-2016,2015-08-22,Sat,Premier League,Matchweek 3,Home,D 1–1,Norwich City,Stoke City,N,,14,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,,,Match Report
2015-2016,2015-08-25,Tue,League Cup,Second round,Away,W 2–1,Norwich City,Rotherham Utd,Y,,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-2016,2015-08-30,Sun,Premier League,Matchweek 4,Away,L 0–3,Norwich City,Southampton,N,,21,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,Match Report
2015-2016,2015-09-12,Sat,Championship,Matchweek 6,Away,W 2–1,Derby County,Preston,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-09-15,Tue,Championship,Matchweek 7,Away,W 1–0,Derby County,Reading,Y,CM,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-2016,2015-09-21,Mon,Championship,Matchweek 8,Home,D 0–0,Derby County,Burnley,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-09-26,Sat,Championship,Matchweek 9,Away,W 3–1,Derby County,MK Dons,Y,CM,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-10-03,Sat,Championship,Matchweek 10,Home,W 2–0,Derby County,Brentford,Y,CM,80,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-10-18,Sun,Championship,Matchweek 11,Home,W 4–2,Derby County,Wolves,Y,CM,90,1,1,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-10-21,Wed,Championship,Matchweek 12,Away,D 0–0,Derby County,Blackburn,Y,CM,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-2016,2015-10-24,Sat,Championship,Matchweek 13,Away,W 2–1,Derby County,Huddersfield,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-10-31,Sat,Championship,Matchweek 14,Home,W 3–0,Derby County,Rotherham Utd,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-11-03,Tue,Championship,Matchweek 15,Home,W 1–0,Derby County,QPR,Y,CM,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-2016,2015-11-06,Fri,Championship,Matchweek 16,Away,L 0–1,Derby County,Nott'ham Forest,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-11-21,Sat,Championship,Matchweek 17,Home,W 2–0,Derby County,Cardiff City,Y,CM,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-2016,2015-12-06,Sun,Championship,Matchweek 19,Away,D 0–0,Derby County,Sheffield Weds,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-12-12,Sat,Championship,Matchweek 20,Home,D 2–2,Derby County,Brighton,Y,CM,90,1,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-2016,2015-12-15,Tue,Championship,Matchweek 21,Home,W 4–0,Derby County,Bristol City,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-12-19,Sat,Championship,Matchweek 22,Away,W 1–0,Derby County,Ipswich Town,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-12-26,Sat,Championship,Matchweek 23,Home,W 2–0,Derby County,Fulham,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-12-29,Tue,Championship,Matchweek 24,Away,D 2–2,Derby County,Leeds United,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-01-02,Sat,Championship,Matchweek 25,Away,L 0–2,Derby County,Middlesbrough,Y,CM,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-2016,2016-01-12,Tue,Championship,Matchweek 26,Home,D 1–1,Derby County,Reading,Y,CM,65,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-01-16,Sat,Championship,Matchweek 27,Home,L 0–3,Derby County,Birmingham City,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-01-25,Mon,Championship,Matchweek 28,Away,L 1–4,Derby County,Burnley,Y,CM,69,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-2016,2016-01-29,Fri,FA Cup,Fourth round,Home,L 1–3,Derby County,Manchester Utd,Y,,75,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-02-02,Tue,Championship,Matchweek 29,Home,D 0–0,Derby County,Preston,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2016-02-06,Sat,Championship,Matchweek 30,Away,D 1–1,Derby County,Fulham,N,,17,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-02-13,Sat,Championship,Matchweek 31,Home,L 0–1,Derby County,MK Dons,Y,LM,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-2016,2016-02-20,Sat,Championship,Matchweek 32,Away,W 3–1,Derby County,Brentford,Y,FW,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-02-24,Wed,Championship,Matchweek 33,Home,W 1–0,Derby County,Blackburn,Y,FW,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-02-27,Sat,Championship,Matchweek 34,Away,L 1–2,Derby County,Wolves,Y,FW,88,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-03-08,Tue,Championship,Matchweek 36,Away,L 0–2,Derby County,QPR,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2015-2016,2016-03-12,Sat,Championship,Matchweek 37,Away,D 3–3,Derby County,Rotherham Utd,Y,FW,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-03-19,Sat,Championship,Matchweek 38,Home,W 1–0,Derby County,Nott'ham Forest,Y,FW,64,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-04-02,Sat,Championship,Matchweek 39,Away,L 1–2,Derby County,Cardiff City,Y,FW,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-04-05,Tue,Championship,Matchweek 40,Home,W 4–0,Derby County,Hull City,Y,CM,87,2,1,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2016-05-14,Sat,Championship,Semi-finals,Home,L 0–3,Derby County,Hull City,Y,CM,60,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
