Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2015-2016,2015-08-08,Sat,Premier League,Matchweek 1,Home,L 1–3,Norwich City,Crystal Palace,Y,LM,79,0,0,0,0,1,0,0,0,2,2,0,0,0,2,0,,,Match Report
2015-2016,2015-08-15,Sat,Premier League,Matchweek 2,Away,W 3–1,Norwich City,Sunderland,Y,AM,90,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,,,Match Report
2015-2016,2015-08-22,Sat,Premier League,Matchweek 3,Home,D 1–1,Norwich City,Stoke City,Y,DM,90,0,0,0,0,3,2,0,0,2,0,0,1,1,0,0,,,Match Report
2015-2016,2015-08-25,Tue,League Cup,Second round,Away,W 2–1,Norwich City,Rotherham Utd,Y,,79,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-08-30,Sun,Premier League,Matchweek 4,Away,L 0–3,Norwich City,Southampton,Y,DM,69,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,,,Match Report
2015-2016,2015-09-12,Sat,Premier League,Matchweek 5,Home,W 3–1,Norwich City,Bournemouth,N,,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Match Report
2015-2016,2015-09-20,Sun,Premier League,Matchweek 6,Away,D 1–1,Norwich City,Liverpool,Y,AM,84,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,,,Match Report
2015-2016,2015-09-23,Wed,League Cup,Third round,Home,W 3–0,Norwich City,West Brom,Y,,45,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-2016,2015-09-26,Sat,Premier League,Matchweek 7,Away,D 2–2,Norwich City,West Ham,Y,AM,68,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,,Match Report
2015-2016,2015-10-03,Sat,Premier League,Matchweek 8,Home,L 1–2,Norwich City,Leicester City,Y,DM,49,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,,,Match Report
2015-2016,2015-10-08,Thu,Euro Qualifying,Group stage,Home,D 2–2,sco Scotland,pl Poland,N,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2015-2016,2015-10-11,Sun,Euro Qualifying,Group stage,Away,W 6–0,sco Scotland,gi Gibraltar,Y,CM,90,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,Match Report
2015-2016,2015-10-18,Sun,Premier League,Matchweek 9,Away,L 2–6,Norwich City,Newcastle Utd,Y,DM,83,0,0,0,0,0,0,1,0,1,0,0,2,4,3,0,,,Match Report
