League,Season,Wk,Day,Date,Time,HomeTeam,AwayTeam,Attendance,Venue,Referee,HomeScore,AwayScore
EPL,2015-2016,15,Sat,2015-12-05,15:00,Arsenal,Sunderland,59937,Emirates Stadium,Robert Madley,3,1
EPL,2015-2016,15,Sat,2015-12-05,15:00,Swansea City,Leicester City,20836,Liberty Stadium,Michael Oliver,0,3
EPL,2015-2016,15,Sat,2015-12-05,15:00,West Brom,Tottenham,23602,The Hawthorns,Jonathan Moss,1,1
EPL,2015-2016,15,Sat,2015-12-05,17:30,Chelsea,Bournemouth,41631,Stamford Bridge,Mike Jones,0,1
EPL,2015-2016,15,Sun,2015-12-06,16:00,Newcastle Utd,Liverpool,51273,St. James' Park,Andre Marriner,2,0
EPL,2015-2016,15,Mon,2015-12-07,20:00,Everton,Crystal Palace,35736,Goodison Park,Craig Pawson,1,1
EPL,2015-2016,16,Sat,2015-12-12,12:45,Norwich City,Everton,27027,Carrow Road,Martin Atkinson,1,1
EPL,2015-2016,16,Sat,2015-12-12,15:00,Crystal Palace,Southampton,24914,Selhurst Park,Mike Dean,1,0
EPL,2015-2016,16,Sat,2015-12-12,15:00,Sunderland,Watford,43989,Stadium of Light,Graham Scott,0,1
EPL,2015-2016,16,Sat,2015-12-12,15:00,Manchester City,Swansea City,53052,Etihad Stadium,Robert Madley,2,1
EPL,2015-2016,16,Sat,2015-12-12,15:00,West Ham,Stoke City,34857,Boleyn Ground,Andre Marriner,0,0
EPL,2015-2016,16,Sat,2015-12-12,17:30,Bournemouth,Manchester Utd,11334,Vitality Stadium,Anthony Taylor,2,1
EPL,2015-2016,16,Sun,2015-12-13,13:30,Aston Villa,Arsenal,33285,Villa Park,Kevin Friend,0,2
EPL,2015-2016,16,Sun,2015-12-13,16:00,Tottenham,Newcastle Utd,35768,White Hart Lane,Roger East,1,2
EPL,2015-2016,16,Sun,2015-12-13,16:00,Liverpool,West Brom,44147,Anfield,Craig Pawson,2,2
EPL,2015-2016,16,Mon,2015-12-14,20:00,Leicester City,Chelsea,32054,King Power Stadium,Mark Clattenburg,2,1
EPL,2015-2016,17,Sat,2015-12-19,15:00,West Brom,Bournemouth,26127,The Hawthorns,Mike Dean,1,2
EPL,2015-2016,17,Sat,2015-12-19,15:00,Southampton,Tottenham,31636,St. Mary's Stadium,Kevin Friend,0,2
EPL,2015-2016,17,Sat,2015-12-19,15:00,Everton,Leicester City,39570,Goodison Park,Jonathan Moss,2,3
EPL,2015-2016,17,Sat,2015-12-19,15:00,Stoke City,Crystal Palace,27500,Bet365 Stadium,Robert Madley,1,2
EPL,2015-2016,17,Sat,2015-12-19,15:00,Chelsea,Sunderland,41562,Stamford Bridge,Roger East,3,1
EPL,2015-2016,17,Sat,2015-12-19,15:00,Manchester Utd,Norwich City,75320,Old Trafford,Michael Oliver,1,2
EPL,2015-2016,17,Sat,2015-12-19,17:30,Newcastle Utd,Aston Villa,48234,St. James' Park,Martin Atkinson,1,1
EPL,2015-2016,17,Sun,2015-12-20,13:30,Watford,Liverpool,20707,Vicarage Road Stadium,Mark Clattenburg,3,0
EPL,2015-2016,17,Sun,2015-12-20,16:00,Swansea City,West Ham,20661,Liberty Stadium,Lee Mason,0,0
EPL,2015-2016,17,Mon,2015-12-21,20:00,Arsenal,Manchester City,60053,Emirates Stadium,Andre Marriner,2,1
EPL,2015-2016,18,Sat,2015-12-26,12:45,Stoke City,Manchester Utd,27426,Bet365 Stadium,Kevin Friend,2,0
EPL,2015-2016,18,Sat,2015-12-26,15:00,Manchester City,Sunderland,54523,Etihad Stadium,Anthony Taylor,4,1
EPL,2015-2016,18,Sat,2015-12-26,15:00,Liverpool,Leicester City,44123,Anfield,Martin Atkinson,1,0
EPL,2015-2016,18,Sat,2015-12-26,15:00,Aston Villa,West Ham,38193,Villa Park,Mike Dean,1,1
EPL,2015-2016,18,Sat,2015-12-26,15:00,Swansea City,West Brom,20789,Liberty Stadium,Roger East,1,0
EPL,2015-2016,18,Sat,2015-12-26,15:00,Bournemouth,Crystal Palace,11218,Vitality Stadium,Michael Oliver,0,0
EPL,2015-2016,18,Sat,2015-12-26,15:00,Chelsea,Watford,41620,Stamford Bridge,Andre Marriner,2,2
EPL,2015-2016,18,Sat,2015-12-26,15:00,Tottenham,Norwich City,35198,White Hart Lane,Mike Jones,3,0
EPL,2015-2016,18,Sat,2015-12-26,17:30,Newcastle Utd,Everton,51682,St. James' Park,Lee Mason,0,1
EPL,2015-2016,18,Sat,2015-12-26,19:45,Southampton,Arsenal,31669,St. Mary's Stadium,Jonathan Moss,4,0
EPL,2015-2016,19,Mon,2015-12-28,15:00,Watford,Tottenham,20730,Vicarage Road Stadium,Anthony Taylor,1,2
EPL,2015-2016,19,Mon,2015-12-28,15:00,West Brom,Newcastle Utd,26313,The Hawthorns,Mike Jones,1,0
EPL,2015-2016,19,Mon,2015-12-28,15:00,Norwich City,Aston Villa,27071,Carrow Road,Graham Scott,2,0
EPL,2015-2016,19,Mon,2015-12-28,15:00,Crystal Palace,Swansea City,23714,Selhurst Park,Niel Swarbrick,0,0
EPL,2015-2016,19,Mon,2015-12-28,15:00,Everton,Stoke City,39340,Goodison Park,Mark Clattenburg,3,4
EPL,2015-2016,19,Mon,2015-12-28,17:30,West Ham,Southampton,34977,Boleyn Ground,Michael Oliver,2,1
EPL,2015-2016,19,Mon,2015-12-28,17:30,Manchester Utd,Chelsea,75275,Old Trafford,Martin Atkinson,0,0
EPL,2015-2016,19,Mon,2015-12-28,17:30,Arsenal,Bournemouth,59983,Emirates Stadium,Roger East,2,0
EPL,2015-2016,19,Tue,2015-12-29,19:45,Leicester City,Manchester City,32072,King Power Stadium,Craig Pawson,0,0
EPL,2015-2016,19,Wed,2015-12-30,19:45,Sunderland,Liverpool,45765,Stadium of Light,Kevin Friend,0,1
EPL,2015-2016,20,Sat,2016-01-02,12:45,West Ham,Liverpool,34977,Boleyn Ground,Robert Madley,2,0
EPL,2015-2016,20,Sat,2016-01-02,15:00,Sunderland,Aston Villa,41535,Stadium of Light,Craig Pawson,3,1
EPL,2015-2016,20,Sat,2016-01-02,15:00,West Brom,Stoke City,23218,The Hawthorns,Lee Mason,2,1
EPL,2015-2016,20,Sat,2016-01-02,15:00,Norwich City,Southampton,27022,Carrow Road,Mark Clattenburg,1,0
EPL,2015-2016,20,Sat,2016-01-02,15:00,Manchester Utd,Swansea City,75415,Old Trafford,Jonathan Moss,2,1
EPL,2015-2016,20,Sat,2016-01-02,15:00,Arsenal,Newcastle Utd,59257,Emirates Stadium,Anthony Taylor,1,0
EPL,2015-2016,20,Sat,2016-01-02,15:00,Leicester City,Bournemouth,32006,King Power Stadium,Andre Marriner,0,0
EPL,2015-2016,20,Sat,2016-01-02,17:30,Watford,Manchester City,20676,Vicarage Road Stadium,Martin Atkinson,1,2
EPL,2015-2016,20,Sun,2016-01-03,13:30,Crystal Palace,Chelsea,24854,Selhurst Park,Kevin Friend,0,3
EPL,2015-2016,20,Sun,2016-01-03,16:00,Everton,Tottenham,38482,Goodison Park,Michael Oliver,1,1
EPL,2015-2016,21,Tue,2016-01-12,19:45,Bournemouth,West Ham,11071,Vitality Stadium,Martin Atkinson,1,3
EPL,2015-2016,21,Tue,2016-01-12,19:45,Aston Villa,Crystal Palace,28245,Villa Park,Mark Clattenburg,1,0
EPL,2015-2016,21,Tue,2016-01-12,19:45,Newcastle Utd,Manchester Utd,49673,St. James' Park,Mike Dean,3,3
EPL,2015-2016,21,Wed,2016-01-13,19:45,Southampton,Watford,28399,St. Mary's Stadium,Craig Pawson,2,0
EPL,2015-2016,21,Wed,2016-01-13,19:45,Swansea City,Sunderland,20140,Liberty Stadium,Graham Scott,2,4
EPL,2015-2016,21,Wed,2016-01-13,19:45,Chelsea,West Brom,40945,Stamford Bridge,Anthony Taylor,2,2
EPL,2015-2016,21,Wed,2016-01-13,19:45,Manchester City,Everton,53796,Etihad Stadium,Roger East,0,0
EPL,2015-2016,21,Wed,2016-01-13,19:45,Stoke City,Norwich City,27274,Bet365 Stadium,Niel Swarbrick,3,1
EPL,2015-2016,21,Wed,2016-01-13,20:00,Liverpool,Arsenal,44109,Anfield,Mike Jones,3,3
EPL,2015-2016,21,Wed,2016-01-13,20:00,Tottenham,Leicester City,35850,White Hart Lane,Lee Mason,0,1
EPL,2015-2016,22,Sat,2016-01-16,12:45,Tottenham,Sunderland,35854,White Hart Lane,Mike Dean,4,1
EPL,2015-2016,22,Sat,2016-01-16,15:00,Bournemouth,Norwich City,11065,Vitality Stadium,Robert Madley,3,0
EPL,2015-2016,22,Sat,2016-01-16,15:00,Manchester City,Crystal Palace,53983,Etihad Stadium,Jonathan Moss,4,0
EPL,2015-2016,22,Sat,2016-01-16,15:00,Newcastle Utd,West Ham,50031,St. James' Park,Niel Swarbrick,2,1
EPL,2015-2016,22,Sat,2016-01-16,15:00,Chelsea,Everton,41633,Stamford Bridge,Mike Jones,3,3
EPL,2015-2016,22,Sat,2016-01-16,15:00,Southampton,West Brom,29622,St. Mary's Stadium,Martin Atkinson,3,0
EPL,2015-2016,22,Sat,2016-01-16,17:30,Aston Villa,Leicester City,32763,Villa Park,Roger East,1,1
EPL,2015-2016,22,Sun,2016-01-17,14:05,Liverpool,Manchester Utd,43865,Anfield,Mark Clattenburg,0,1
EPL,2015-2016,22,Sun,2016-01-17,16:15,Stoke City,Arsenal,27683,Bet365 Stadium,Craig Pawson,0,0
EPL,2015-2016,22,Mon,2016-01-18,20:00,Swansea City,Watford,20430,Liberty Stadium,Michael Oliver,1,0
EPL,2015-2016,23,Sat,2016-01-23,12:45,Norwich City,Liverpool,27108,Carrow Road,Lee Mason,4,5
EPL,2015-2016,23,Sat,2016-01-23,15:00,West Brom,Aston Villa,26165,The Hawthorns,Robert Madley,0,0
EPL,2015-2016,23,Sat,2016-01-23,15:00,Watford,Newcastle Utd,20611,Vicarage Road Stadium,Andre Marriner,2,1
EPL,2015-2016,23,Sat,2016-01-23,15:00,Sunderland,Bournemouth,41367,Stadium of Light,Roger East,1,1
EPL,2015-2016,23,Sat,2016-01-23,15:00,Manchester Utd,Southampton,75408,Old Trafford,Mike Jones,0,1
EPL,2015-2016,23,Sat,2016-01-23,15:00,Crystal Palace,Tottenham,28467,Selhurst Park,Martin Atkinson,1,3
EPL,2015-2016,23,Sat,2016-01-23,15:00,Leicester City,Stoke City,32018,King Power Stadium,Mike Dean,3,0
EPL,2015-2016,23,Sat,2016-01-23,17:30,West Ham,Manchester City,34977,Boleyn Ground,Craig Pawson,2,2
EPL,2015-2016,23,Sun,2016-01-24,13:30,Everton,Swansea City,36908,Goodison Park,Anthony Taylor,1,2
EPL,2015-2016,23,Sun,2016-01-24,16:00,Arsenal,Chelsea,60072,Emirates Stadium,Mark Clattenburg,0,1
EPL,2015-2016,24,Tue,2016-02-02,19:45,Leicester City,Liverpool,32121,King Power Stadium,Andre Marriner,2,0
EPL,2015-2016,24,Tue,2016-02-02,19:45,Sunderland,Manchester City,38852,Stadium of Light,Stuart Attwell,0,1
EPL,2015-2016,24,Tue,2016-02-02,19:45,West Ham,Aston Villa,34914,Boleyn Ground,Jonathan Moss,2,0
EPL,2015-2016,24,Tue,2016-02-02,19:45,Arsenal,Southampton,60044,Emirates Stadium,Lee Mason,0,0
EPL,2015-2016,24,Tue,2016-02-02,19:45,Norwich City,Tottenham,27067,Carrow Road,Kevin Friend,0,3
EPL,2015-2016,24,Tue,2016-02-02,20:00,Manchester Utd,Stoke City,75234,Old Trafford,Roger East,3,0
EPL,2015-2016,24,Tue,2016-02-02,20:00,West Brom,Swansea City,22062,The Hawthorns,Niel Swarbrick,1,1
EPL,2015-2016,24,Tue,2016-02-02,20:00,Crystal Palace,Bournemouth,24855,Selhurst Park,Mike Jones,1,2
EPL,2015-2016,24,Wed,2016-02-03,19:45,Everton,Newcastle Utd,36061,Goodison Park,Craig Pawson,3,0
EPL,2015-2016,24,Wed,2016-02-03,19:45,Watford,Chelsea,20910,Vicarage Road Stadium,Mike Dean,0,0
EPL,2015-2016,25,Sat,2016-02-06,12:45,Manchester City,Leicester City,54693,Etihad Stadium,Anthony Taylor,1,3
EPL,2015-2016,25,Sat,2016-02-06,15:00,Tottenham,Watford,35997,White Hart Lane,Roger East,1,0
EPL,2015-2016,25,Sat,2016-02-06,15:00,Stoke City,Everton,27733,Bet365 Stadium,Andre Marriner,0,3
EPL,2015-2016,25,Sat,2016-02-06,15:00,Newcastle Utd,West Brom,50152,St. James' Park,Lee Mason,1,0
EPL,2015-2016,25,Sat,2016-02-06,15:00,Liverpool,Sunderland,44179,Anfield,Robert Madley,2,2
EPL,2015-2016,25,Sat,2016-02-06,15:00,Swansea City,Crystal Palace,20492,Liberty Stadium,Mike Dean,1,1
EPL,2015-2016,25,Sat,2016-02-06,15:00,Aston Villa,Norwich City,32472,Villa Park,Martin Atkinson,2,0
EPL,2015-2016,25,Sat,2016-02-06,17:30,Southampton,West Ham,29161,St. Mary's Stadium,Mark Clattenburg,1,0
EPL,2015-2016,25,Sun,2016-02-07,13:30,Bournemouth,Arsenal,11357,Vitality Stadium,Kevin Friend,0,2
EPL,2015-2016,25,Sun,2016-02-07,16:00,Chelsea,Manchester Utd,41434,Stamford Bridge,Michael Oliver,1,1
EPL,2015-2016,26,Sat,2016-02-13,12:45,Sunderland,Manchester Utd,41687,Stadium of Light,Andre Marriner,2,1
EPL,2015-2016,26,Sat,2016-02-13,15:00,Crystal Palace,Watford,24564,Selhurst Park,Robert Madley,1,2
EPL,2015-2016,26,Sat,2016-02-13,15:00,Bournemouth,Stoke City,10863,Vitality Stadium,Graham Scott,1,3
EPL,2015-2016,26,Sat,2016-02-13,15:00,Swansea City,Southampton,20890,Liberty Stadium,Jonathan Moss,0,1
EPL,2015-2016,26,Sat,2016-02-13,15:00,Everton,West Brom,38103,Goodison Park,Michael Oliver,0,1
EPL,2015-2016,26,Sat,2016-02-13,15:00,Norwich City,West Ham,27101,Carrow Road,Mike Jones,2,2
EPL,2015-2016,26,Sat,2016-02-13,17:30,Chelsea,Newcastle Utd,41622,Stamford Bridge,Roger East,5,1
EPL,2015-2016,26,Sun,2016-02-14,12:00,Arsenal,Leicester City,60009,Emirates Stadium,Martin Atkinson,2,1
EPL,2015-2016,26,Sun,2016-02-14,14:05,Aston Villa,Liverpool,35798,Villa Park,Niel Swarbrick,0,6
EPL,2015-2016,26,Sun,2016-02-14,16:15,Manchester City,Tottenham,54551,Etihad Stadium,Mark Clattenburg,1,2
EPL,2015-2016,27,Sat,2016-02-27,12:45,West Ham,Sunderland,34946,Boleyn Ground,Mike Dean,1,0
EPL,2015-2016,27,Sat,2016-02-27,15:00,Stoke City,Aston Villa,27703,Bet365 Stadium,Kevin Friend,2,1
EPL,2015-2016,27,Sat,2016-02-27,15:00,Southampton,Chelsea,31688,St. Mary's Stadium,Martin Atkinson,1,2
EPL,2015-2016,27,Sat,2016-02-27,15:00,Watford,Bournemouth,20831,Vicarage Road Stadium,Anthony Taylor,0,0
EPL,2015-2016,27,Sat,2016-02-27,15:00,Leicester City,Norwich City,32114,King Power Stadium,Niel Swarbrick,1,0
EPL,2015-2016,27,Sat,2016-02-27,17:30,West Brom,Crystal Palace,24806,The Hawthorns,Jonathan Moss,3,2
EPL,2015-2016,27,Sun,2016-02-28,14:05,Tottenham,Swansea City,35922,White Hart Lane,Mike Jones,2,1
EPL,2015-2016,27,Sun,2016-02-28,14:05,Manchester Utd,Arsenal,75329,Old Trafford,Craig Pawson,3,2
EPL,2015-2016,28,Tue,2016-03-01,19:45,Sunderland,Crystal Palace,39795,Stadium of Light,Anthony Taylor,2,2
EPL,2015-2016,28,Tue,2016-03-01,19:45,Leicester City,West Brom,32018,King Power Stadium,Mark Clattenburg,2,2
EPL,2015-2016,28,Tue,2016-03-01,19:45,Bournemouth,Southampton,11033,Vitality Stadium,Mike Dean,2,0
EPL,2015-2016,28,Tue,2016-03-01,19:45,Norwich City,Chelsea,27091,Carrow Road,Lee Mason,1,2
EPL,2015-2016,28,Tue,2016-03-01,19:45,Aston Villa,Everton,29755,Villa Park,Roger East,1,3
EPL,2015-2016,28,Wed,2016-03-02,19:45,West Ham,Tottenham,34977,Boleyn Ground,Andre Marriner,1,0
EPL,2015-2016,28,Wed,2016-03-02,19:45,Stoke City,Newcastle Utd,27331,Bet365 Stadium,Niel Swarbrick,1,0
EPL,2015-2016,28,Wed,2016-03-02,19:45,Arsenal,Swansea City,59905,Emirates Stadium,Robert Madley,1,2
EPL,2015-2016,28,Wed,2016-03-02,20:00,Manchester Utd,Watford,75272,Old Trafford,Mike Jones,1,0
EPL,2015-2016,28,Wed,2016-03-02,20:00,Liverpool,Manchester City,43597,Anfield,Martin Atkinson,3,0
EPL,2015-2016,29,Sat,2016-03-05,12:45,Tottenham,Arsenal,35762,White Hart Lane,Michael Oliver,2,2
EPL,2015-2016,29,Sat,2016-03-05,15:00,Manchester City,Aston Villa,53892,Etihad Stadium,Lee Mason,4,0
EPL,2015-2016,29,Sat,2016-03-05,15:00,Southampton,Sunderland,31458,St. Mary's Stadium,Niel Swarbrick,1,1
EPL,2015-2016,29,Sat,2016-03-05,15:00,Swansea City,Norwich City,20929,Liberty Stadium,Craig Pawson,1,0
EPL,2015-2016,29,Sat,2016-03-05,15:00,Newcastle Utd,Bournemouth,52107,St. James' Park,Paul Tierney,1,3
EPL,2015-2016,29,Sat,2016-03-05,15:00,Everton,West Ham,39000,Goodison Park,Anthony Taylor,2,3
EPL,2015-2016,29,Sat,2016-03-05,15:00,Chelsea,Stoke City,41381,Stamford Bridge,Mark Clattenburg,1,1
EPL,2015-2016,29,Sat,2016-03-05,17:30,Watford,Leicester City,20884,Vicarage Road Stadium,Jonathan Moss,0,1
EPL,2015-2016,29,Sun,2016-03-06,13:30,Crystal Palace,Liverpool,24709,Selhurst Park,Andre Marriner,1,2
EPL,2015-2016,29,Sun,2016-03-06,16:00,West Brom,Manchester Utd,24878,The Hawthorns,Mike Dean,1,0
EPL,2015-2016,30,Sat,2016-03-12,12:45,Norwich City,Manchester City,26323,Carrow Road,Jonathan Moss,0,0
EPL,2015-2016,30,Sat,2016-03-12,15:00,Bournemouth,Swansea City,11179,Vitality Stadium,Roger East,3,2
EPL,2015-2016,30,Sat,2016-03-12,15:00,Stoke City,Southampton,27833,Bet365 Stadium,Lee Mason,1,2
EPL,2015-2016,30,Sun,2016-03-13,16:00,Aston Villa,Tottenham,32393,Villa Park,Anthony Taylor,0,2
EPL,2015-2016,30,Mon,2016-03-14,20:00,Leicester City,Newcastle Utd,31824,King Power Stadium,Craig Pawson,1,0
EPL,2015-2016,31,Sat,2016-03-19,12:45,Everton,Arsenal,39270,Goodison Park,Mark Clattenburg,0,2
EPL,2015-2016,31,Sat,2016-03-19,15:00,Watford,Stoke City,20759,Vicarage Road Stadium,Craig Pawson,1,2
EPL,2015-2016,31,Sat,2016-03-19,15:00,Crystal Palace,Leicester City,25041,Selhurst Park,Mike Jones,0,1
EPL,2015-2016,31,Sat,2016-03-19,15:00,Chelsea,West Ham,41623,Stamford Bridge,Robert Madley,2,2
EPL,2015-2016,31,Sat,2016-03-19,15:00,West Brom,Norwich City,25039,The Hawthorns,Anthony Taylor,0,1
EPL,2015-2016,31,Sat,2016-03-19,17:30,Swansea City,Aston Villa,20454,Liberty Stadium,Mike Dean,1,0
EPL,2015-2016,31,Sun,2016-03-20,13:30,Southampton,Liverpool,31596,St. Mary's Stadium,Roger East,3,2
EPL,2015-2016,31,Sun,2016-03-20,13:30,Newcastle Utd,Sunderland,52311,St. James' Park,Martin Atkinson,1,1
EPL,2015-2016,31,Sun,2016-03-20,16:00,Tottenham,Bournemouth,36084,White Hart Lane,Niel Swarbrick,3,0
EPL,2015-2016,31,Sun,2016-03-20,16:00,Manchester City,Manchester Utd,54557,Etihad Stadium,Michael Oliver,0,1
EPL,2015-2016,32,Sat,2016-04-02,12:45,Aston Villa,Chelsea,31120,Villa Park,Niel Swarbrick,0,4
