League,Season,Wk,Day,Date,Time,HomeTeam,AwayTeam,Attendance,Venue,Referee,HomeScore,AwayScore
EPL,2015-2016,36,Sun,2016-05-01,16:30,Southampton,Manchester City,31472,St. Mary's Stadium,Andre Marriner,4,2
EPL,2015-2016,36,Mon,2016-05-02,20:00,Chelsea,Tottenham,41545,Stamford Bridge,Mark Clattenburg,2,2
EPL,2015-2016,37,Sat,2016-05-07,12:45,Norwich City,Manchester Utd,27132,Carrow Road,Craig Pawson,0,1
EPL,2015-2016,37,Sat,2016-05-07,15:00,Sunderland,Chelsea,47050,Stadium of Light,Mike Jones,3,2
EPL,2015-2016,37,Sat,2016-05-07,15:00,Crystal Palace,Stoke City,23990,Selhurst Park,Kevin Friend,2,1
EPL,2015-2016,37,Sat,2016-05-07,15:00,West Ham,Swansea City,34907,Boleyn Ground,Michael Oliver,1,4
EPL,2015-2016,37,Sat,2016-05-07,15:00,Aston Villa,Newcastle Utd,33055,Villa Park,Robert Madley,0,0
EPL,2015-2016,37,Sat,2016-05-07,15:00,Bournemouth,West Brom,11040,Vitality Stadium,Mark Clattenburg,1,1
EPL,2015-2016,37,Sat,2016-05-07,17:30,Leicester City,Everton,32140,King Power Stadium,Andre Marriner,3,1
EPL,2015-2016,37,Sun,2016-05-08,13:30,Tottenham,Southampton,35748,White Hart Lane,Jonathan Moss,1,2
EPL,2015-2016,37,Sun,2016-05-08,16:00,Liverpool,Watford,43341,Anfield,Lee Mason,2,0
EPL,2015-2016,37,Sun,2016-05-08,16:00,Manchester City,Arsenal,54425,Etihad Stadium,Anthony Taylor,2,2
EPL,2015-2016,35,Tue,2016-05-10,20:30,West Ham,Manchester Utd,34602,Boleyn Ground,Mike Dean,3,2
EPL,2015-2016,30,Wed,2016-05-11,19:45,Sunderland,Everton,46454,Stadium of Light,Anthony Taylor,3,0
EPL,2015-2016,35,Wed,2016-05-11,19:45,Norwich City,Watford,26279,Carrow Road,Roger East,4,2
EPL,2015-2016,30,Wed,2016-05-11,20:00,Liverpool,Chelsea,43210,Anfield,Michael Oliver,1,1
EPL,2015-2016,38,Sun,2016-05-15,15:00,Everton,Norwich City,36691,Goodison Park,Lee Mason,3,0
EPL,2015-2016,38,Sun,2016-05-15,15:00,Watford,Sunderland,21012,Vicarage Road Stadium,Kevin Friend,2,2
EPL,2015-2016,38,Sun,2016-05-15,15:00,Arsenal,Aston Villa,60007,Emirates Stadium,Mark Clattenburg,4,0
EPL,2015-2016,38,Sun,2016-05-15,15:00,Stoke City,West Ham,27721,Bet365 Stadium,Mike Jones,2,1
EPL,2015-2016,38,Sun,2016-05-15,15:00,West Brom,Liverpool,26196,The Hawthorns,Robert Madley,1,1
EPL,2015-2016,38,Sun,2016-05-15,15:00,Swansea City,Manchester City,20934,Liberty Stadium,Mike Dean,1,1
EPL,2015-2016,38,Sun,2016-05-15,15:00,Southampton,Crystal Palace,31313,St. Mary's Stadium,Michael Oliver,4,1
EPL,2015-2016,38,Sun,2016-05-15,15:00,Chelsea,Leicester City,41494,Stamford Bridge,Craig Pawson,1,1
EPL,2015-2016,38,Sun,2016-05-15,15:00,Newcastle Utd,Tottenham,52183,St. James' Park,Anthony Taylor,5,1
EPL,2015-2016,38,Tue,2016-05-17,20:00,Manchester Utd,Bournemouth,74363,Old Trafford,Jonathan Moss,3,1
