League,Season,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
EPL,2018-2019,3,Sun,2018-08-26,13:30,Watford,0.9,1.1,Crystal Palace,20014,Vicarage Road Stadium,Anthony Taylor,https://fbref.com/en/matches/6ad36993/Watford-Crystal-Palace-August-26-2018-Premier-League,2,1
EPL,2018-2019,3,Sun,2018-08-26,16:00,Newcastle Utd,0.3,1.5,Chelsea,51791,St. James' Park,Paul Tierney,https://fbref.com/en/matches/e8521900/Newcastle-United-Chelsea-August-26-2018-Premier-League,1,2
EPL,2018-2019,3,Sun,2018-08-26,16:00,Fulham,1.9,1.5,Burnley,23438,Craven Cottage,David Coote,https://fbref.com/en/matches/55af3b90/Fulham-Burnley-August-26-2018-Premier-League,4,2
EPL,2018-2019,3,Mon,2018-08-27,20:00,Manchester Utd,2.1,1.1,Tottenham,74400,Old Trafford,Craig Pawson,https://fbref.com/en/matches/4bda33db/Manchester-United-Tottenham-Hotspur-August-27-2018-Premier-League,0,3
EPL,2018-2019,4,Sat,2018-09-01,12:30,Leicester City,1.0,1.2,Liverpool,32149,King Power Stadium,Paul Tierney,https://fbref.com/en/matches/265bb7a5/Leicester-City-Liverpool-September-1-2018-Premier-League,1,2
EPL,2018-2019,4,Sat,2018-09-01,15:00,Crystal Palace,1.9,2.5,Southampton,25495,Selhurst Park,Martin Atkinson,https://fbref.com/en/matches/2909fa0b/Crystal-Palace-Southampton-September-1-2018-Premier-League,0,2
EPL,2018-2019,4,Sat,2018-09-01,15:00,Chelsea,1.4,0.9,Bournemouth,40178,Stamford Bridge,Lee Mason,https://fbref.com/en/matches/95fc9c84/Chelsea-Bournemouth-September-1-2018-Premier-League,2,0
EPL,2018-2019,4,Sat,2018-09-01,15:00,Brighton,3.1,1.3,Fulham,30526,The American Express Community Stadium,Lee Probert,https://fbref.com/en/matches/51055c21/Brighton-and-Hove-Albion-Fulham-September-1-2018-Premier-League,2,2
EPL,2018-2019,4,Sat,2018-09-01,15:00,West Ham,1.2,1.6,Wolves,56947,London Stadium,Chris Kavanagh,https://fbref.com/en/matches/c600b8ae/West-Ham-United-Wolverhampton-Wanderers-September-1-2018-Premier-League,0,1
EPL,2018-2019,4,Sat,2018-09-01,15:00,Everton,0.7,0.6,Huddersfield,38767,Goodison Park,Stuart Attwell,https://fbref.com/en/matches/a3a1e07f/Everton-Huddersfield-Town-September-1-2018-Premier-League,1,1
EPL,2018-2019,4,Sat,2018-09-01,17:30,Manchester City,2.3,0.6,Newcastle Utd,53946,Etihad Stadium,Kevin Friend,https://fbref.com/en/matches/f74a4680/Manchester-City-Newcastle-United-September-1-2018-Premier-League,2,1
EPL,2018-2019,4,Sun,2018-09-02,13:30,Cardiff City,1.6,1.6,Arsenal,32316,Cardiff City Stadium,Anthony Taylor,https://fbref.com/en/matches/c1503e09/Cardiff-City-Arsenal-September-2-2018-Premier-League,2,3
EPL,2018-2019,4,Sun,2018-09-02,16:00,Watford,0.5,0.7,Tottenham,20141,Vicarage Road Stadium,Andre Marriner,https://fbref.com/en/matches/882380f8/Watford-Tottenham-Hotspur-September-2-2018-Premier-League,2,1
EPL,2018-2019,4,Sun,2018-09-02,16:00,Burnley,0.7,3.3,Manchester Utd,21525,Turf Moor,Jonathan Moss,https://fbref.com/en/matches/c2561ae7/Burnley-Manchester-United-September-2-2018-Premier-League,0,2
EPL,2018-2019,5,Sat,2018-09-15,12:30,Tottenham,1.0,2.5,Liverpool,80188,Wembley Stadium,Michael Oliver,https://fbref.com/en/matches/83ca29de/Tottenham-Hotspur-Liverpool-September-15-2018-Premier-League,1,2
EPL,2018-2019,5,Sat,2018-09-15,15:00,Manchester City,4.4,0.3,Fulham,53307,Etihad Stadium,Stuart Attwell,https://fbref.com/en/matches/2e19378a/Manchester-City-Fulham-September-15-2018-Premier-League,3,0
EPL,2018-2019,5,Sat,2018-09-15,15:00,Bournemouth,1.7,2.0,Leicester City,10543,Vitality Stadium,Craig Pawson,https://fbref.com/en/matches/ed9bdfa8/Bournemouth-Leicester-City-September-15-2018-Premier-League,4,2
EPL,2018-2019,5,Sat,2018-09-15,15:00,Newcastle Utd,0.3,0.7,Arsenal,52165,St. James' Park,Lee Probert,https://fbref.com/en/matches/b53e182d/Newcastle-United-Arsenal-September-15-2018-Premier-League,1,2
EPL,2018-2019,5,Sat,2018-09-15,15:00,Chelsea,2.3,0.8,Cardiff City,40499,Stamford Bridge,Jonathan Moss,https://fbref.com/en/matches/f82c343c/Chelsea-Cardiff-City-September-15-2018-Premier-League,4,1
EPL,2018-2019,5,Sat,2018-09-15,15:00,Huddersfield,1.0,1.1,Crystal Palace,23696,The John Smith's Stadium,Lee Mason,https://fbref.com/en/matches/74198c9b/Huddersfield-Town-Crystal-Palace-September-15-2018-Premier-League,0,1
EPL,2018-2019,5,Sat,2018-09-15,17:30,Watford,1.1,1.3,Manchester Utd,20537,Vicarage Road Stadium,Mike Dean,https://fbref.com/en/matches/b05c0b05/Watford-Manchester-United-September-15-2018-Premier-League,1,2
EPL,2018-2019,5,Sun,2018-09-16,13:30,Wolves,3.4,0.3,Burnley,30406,Molineux Stadium,Andre Marriner,https://fbref.com/en/matches/50f2128e/Wolverhampton-Wanderers-Burnley-September-16-2018-Premier-League,1,0
EPL,2018-2019,5,Sun,2018-09-16,16:00,Everton,1.4,1.3,West Ham,39161,Goodison Park,Martin Atkinson,https://fbref.com/en/matches/d7a7d583/Everton-West-Ham-United-September-16-2018-Premier-League,1,3
EPL,2018-2019,5,Mon,2018-09-17,20:00,Southampton,1.7,2.1,Brighton,28811,St. Mary's Stadium,Anthony Taylor,https://fbref.com/en/matches/7f31aba2/Southampton-Brighton-and-Hove-Albion-September-17-2018-Premier-League,2,2
EPL,2018-2019,6,Sat,2018-09-22,12:30,Fulham,1.4,1.6,Watford,23418,Craven Cottage,Martin Atkinson,https://fbref.com/en/matches/cf44aa9f/Fulham-Watford-September-22-2018-Premier-League,1,1
EPL,2018-2019,6,Sat,2018-09-22,15:00,Burnley,1.9,1.3,Bournemouth,18636,Turf Moor,Anthony Taylor,https://fbref.com/en/matches/7685b966/Burnley-Bournemouth-September-22-2018-Premier-League,4,0
EPL,2018-2019,6,Sat,2018-09-22,15:00,Cardiff City,0.1,2.5,Manchester City,32321,Cardiff City Stadium,Michael Oliver,https://fbref.com/en/matches/41dde04a/Cardiff-City-Manchester-City-September-22-2018-Premier-League,0,5
EPL,2018-2019,6,Sat,2018-09-22,15:00,Leicester City,1.4,0.6,Huddersfield,31676,King Power Stadium,David Coote,https://fbref.com/en/matches/b16f9070/Leicester-City-Huddersfield-Town-September-22-2018-Premier-League,3,1
EPL,2018-2019,6,Sat,2018-09-22,15:00,Liverpool,2.5,0.3,Southampton,50965,Anfield,Paul Tierney,https://fbref.com/en/matches/65050401/Liverpool-Southampton-September-22-2018-Premier-League,3,0
EPL,2018-2019,6,Sat,2018-09-22,15:00,Manchester Utd,0.8,0.9,Wolves,74489,Old Trafford,Kevin Friend,https://fbref.com/en/matches/939e3a15/Manchester-United-Wolverhampton-Wanderers-September-22-2018-Premier-League,1,1
EPL,2018-2019,6,Sat,2018-09-22,15:00,Crystal Palace,1.4,0.5,Newcastle Utd,25679,Selhurst Park,Andre Marriner,https://fbref.com/en/matches/0cfd5c85/Crystal-Palace-Newcastle-United-September-22-2018-Premier-League,0,0
EPL,2018-2019,6,Sat,2018-09-22,17:30,Brighton,0.8,2.0,Tottenham,30531,The American Express Community Stadium,Chris Kavanagh,https://fbref.com/en/matches/6fe3c413/Brighton-and-Hove-Albion-Tottenham-Hotspur-September-22-2018-Premier-League,1,2
EPL,2018-2019,6,Sun,2018-09-23,13:30,West Ham,0.8,1.7,Chelsea,56875,London Stadium,Mike Dean,https://fbref.com/en/matches/c09e4868/West-Ham-United-Chelsea-September-23-2018-Premier-League,0,0
EPL,2018-2019,6,Sun,2018-09-23,16:00,Arsenal,1.0,1.0,Everton,59964,Emirates Stadium,Jonathan Moss,https://fbref.com/en/matches/a1fb6176/Arsenal-Everton-September-23-2018-Premier-League,2,0
EPL,2018-2019,7,Sat,2018-09-29,12:30,West Ham,1.2,0.4,Manchester Utd,56938,London Stadium,Michael Oliver,https://fbref.com/en/matches/f6e0fe6b/West-Ham-United-Manchester-United-September-29-2018-Premier-League,3,1
EPL,2018-2019,7,Sat,2018-09-29,15:00,Huddersfield,0.4,2.0,Tottenham,23885,The John Smith's Stadium,Craig Pawson,https://fbref.com/en/matches/de08a7f1/Huddersfield-Town-Tottenham-Hotspur-September-29-2018-Premier-League,0,2
EPL,2018-2019,7,Sat,2018-09-29,15:00,Arsenal,1.2,1.7,Watford,60019,Emirates Stadium,Anthony Taylor,https://fbref.com/en/matches/d51c2069/Arsenal-Watford-September-29-2018-Premier-League,2,0
