League,Season,Round,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
Ligue1,2018-2019,Regular Season,3,Sat,2018-08-25,20:00,Toulouse,2.5,0.4,Nîmes,11746,Stadium Municipal,Franck Schneider,https://fbref.com/en/matches/bb4bdc21/Toulouse-Nimes-August-25-2018-Ligue-1,1,0
Ligue1,2018-2019,Regular Season,3,Sat,2018-08-25,20:00,Amiens,1.7,0.9,Reims,10709,Stade de la Licorne,Florent Batta,https://fbref.com/en/matches/2f531cd7/Amiens-Reims-August-25-2018-Ligue-1,4,1
Ligue1,2018-2019,Regular Season,3,Sat,2018-08-25,20:00,Nice,1.9,1.2,Dijon,17923,Stade de Nice,Willy Delajod,https://fbref.com/en/matches/8cfb6876/Nice-Dijon-August-25-2018-Ligue-1,0,4
Ligue1,2018-2019,Regular Season,3,Sun,2018-08-26,15:00,Lille,1.8,0.7,Guingamp,27230,Stade Pierre-Mauroy,Johan Hamel,https://fbref.com/en/matches/25210615/Lille-Guingamp-August-26-2018-Ligue-1,3,0
Ligue1,2018-2019,Regular Season,3,Sun,2018-08-26,17:00,Bordeaux,2.6,0.7,Monaco,21607,Stade Matmut-Atlantique,Clément Turpin,https://fbref.com/en/matches/87d5239f/Bordeaux-Monaco-August-26-2018-Ligue-1,2,1
Ligue1,2018-2019,Regular Season,3,Sun,2018-08-26,21:00,Marseille,1.4,2.4,Rennes,53471,Orange Vélodrome,Antony Gautier,https://fbref.com/en/matches/73479bf7/Marseille-Rennes-August-26-2018-Ligue-1,2,2
Ligue1,2018-2019,Regular Season,4,Fri,2018-08-31,20:45,Lyon,2.2,0.5,Nice,53438,Groupama Stadium,François Letexier,https://fbref.com/en/matches/4481d089/Lyon-Nice-August-31-2018-Ligue-1,0,1
Ligue1,2018-2019,Regular Season,4,Sat,2018-09-01,17:00,Nîmes,1.5,2.3,Paris S-G,15311,Stade des Costières,Jérôme Brisard,https://fbref.com/en/matches/8b39eed5/Nimes-Paris-Saint-Germain-September-1-2018-Ligue-1,2,4
Ligue1,2018-2019,Regular Season,4,Sat,2018-09-01,20:00,Strasbourg,1.6,1.0,Nantes,25091,Stade de la Meinau,Olivier Thual,https://fbref.com/en/matches/0a71acf5/Strasbourg-Nantes-September-1-2018-Ligue-1,2,3
Ligue1,2018-2019,Regular Season,4,Sat,2018-09-01,20:00,Dijon,1.3,1.5,Caen,13382,Stade Gaston Gérard,Nicolas Rainville,https://fbref.com/en/matches/51e156ae/Dijon-Caen-September-1-2018-Ligue-1,0,2
Ligue1,2018-2019,Regular Season,4,Sat,2018-09-01,20:00,Angers,1.1,1.5,Lille,9245,Stade Raymond Kopa,Eric Wattellier,https://fbref.com/en/matches/e65833de/Angers-Lille-September-1-2018-Ligue-1,1,0
Ligue1,2018-2019,Regular Season,4,Sat,2018-09-01,20:00,Guingamp,2.2,1.1,Toulouse,12327,Stade du Roudourou,Karim Abed,https://fbref.com/en/matches/ecaf05c7/Guingamp-Toulouse-September-1-2018-Ligue-1,1,2
Ligue1,2018-2019,Regular Season,4,Sat,2018-09-01,20:00,Reims,2.6,0.5,Montpellier,12042,Stade Auguste-Delaune II,Jeremy Stinat,https://fbref.com/en/matches/caa7751f/Reims-Montpellier-September-1-2018-Ligue-1,0,1
Ligue1,2018-2019,Regular Season,4,Sun,2018-09-02,15:00,Saint-Étienne,0.7,0.3,Amiens,30146,Stade Geoffroy-Guichard,Thomas Léonard,https://fbref.com/en/matches/c40c52f5/Saint-Etienne-Amiens-September-2-2018-Ligue-1,0,0
Ligue1,2018-2019,Regular Season,4,Sun,2018-09-02,17:00,Rennes,1.9,0.6,Bordeaux,23817,Roazhon Park,Benoît Bastien,https://fbref.com/en/matches/787edbb3/Rennes-Bordeaux-September-2-2018-Ligue-1,2,0
Ligue1,2018-2019,Regular Season,4,Sun,2018-09-02,21:00,Monaco,1.4,1.3,Marseille,14269,Stade Louis II.,Benoît Millot,https://fbref.com/en/matches/69be5afc/Monaco-Marseille-September-2-2018-Ligue-1,2,3
Ligue1,2018-2019,Regular Season,5,Fri,2018-09-14,19:00,Nice,1.1,1.1,Rennes,16887,Stade de Nice,Jérôme Miguelgorry,https://fbref.com/en/matches/96523ba7/Nice-Rennes-September-14-2018-Ligue-1,2,1
Ligue1,2018-2019,Regular Season,5,Fri,2018-09-14,20:45,Paris S-G,2.3,0.7,Saint-Étienne,46549,Parc des Princes,Franck Schneider,https://fbref.com/en/matches/b276f74c/Paris-Saint-Germain-Saint-Etienne-September-14-2018-Ligue-1,4,0
Ligue1,2018-2019,Regular Season,5,Sat,2018-09-15,17:00,Caen,1.7,1.2,Lyon,17676,Stade Michel d'Ornano,Johan Hamel,https://fbref.com/en/matches/c67de862/Caen-Lyon-September-15-2018-Ligue-1,2,2
Ligue1,2018-2019,Regular Season,5,Sat,2018-09-15,20:00,Amiens,1.5,2.8,Lille,11569,Stade de la Licorne,Nicolas Rainville,https://fbref.com/en/matches/bab5eb0b/Amiens-Lille-September-15-2018-Ligue-1,2,3
Ligue1,2018-2019,Regular Season,5,Sat,2018-09-15,20:00,Toulouse,1.1,0.6,Monaco,16689,Stadium Municipal,Ruddy Buquet,https://fbref.com/en/matches/7be9af3a/Toulouse-Monaco-September-15-2018-Ligue-1,1,1
Ligue1,2018-2019,Regular Season,5,Sat,2018-09-15,20:00,Dijon,1.5,2.0,Angers,12275,Stade Gaston Gérard,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/12f2cf99/Dijon-Angers-September-15-2018-Ligue-1,1,3
Ligue1,2018-2019,Regular Season,5,Sat,2018-09-15,20:00,Montpellier,0.4,0.5,Strasbourg,10630,Stade de la Mosson,Willy Delajod,https://fbref.com/en/matches/87337aaa/Montpellier-Strasbourg-September-15-2018-Ligue-1,1,1
Ligue1,2018-2019,Regular Season,5,Sun,2018-09-16,15:00,Nantes,0.8,0.7,Reims,18981,Stade de la Beaujoire - Louis Fonteneau,Eric Wattellier,https://fbref.com/en/matches/56efc37c/Nantes-Reims-September-16-2018-Ligue-1,0,0
Ligue1,2018-2019,Regular Season,5,Sun,2018-09-16,17:00,Bordeaux,1.3,1.6,Nîmes,15895,Stade Matmut-Atlantique,Antony Gautier,https://fbref.com/en/matches/33926578/Bordeaux-Nimes-September-16-2018-Ligue-1,3,3
Ligue1,2018-2019,Regular Season,5,Sun,2018-09-16,21:00,Marseille,2.0,0.1,Guingamp,50450,Orange Vélodrome,Amaury Delerue,https://fbref.com/en/matches/2a606fd9/Marseille-Guingamp-September-16-2018-Ligue-1,4,0
Ligue1,2018-2019,Regular Season,6,Fri,2018-09-21,20:45,Monaco,1.8,0.7,Nîmes,6837,Stade Louis II.,Amaury Delerue,https://fbref.com/en/matches/f9db9805/Monaco-Nimes-September-21-2018-Ligue-1,1,1
Ligue1,2018-2019,Regular Season,6,Sat,2018-09-22,17:00,Lille,0.6,1.5,Nantes,27353,Stade Pierre-Mauroy,Benoît Bastien,https://fbref.com/en/matches/c89956a8/Lille-Nantes-September-22-2018-Ligue-1,2,1
Ligue1,2018-2019,Regular Season,6,Sat,2018-09-22,20:00,Montpellier,1.8,0.6,Nice,11015,Stade de la Mosson,Thomas Léonard,https://fbref.com/en/matches/cee34f69/Montpellier-Nice-September-22-2018-Ligue-1,1,0
Ligue1,2018-2019,Regular Season,6,Sat,2018-09-22,20:00,Reims,1.0,0.2,Dijon,11523,Stade Auguste-Delaune II,Jérôme Brisard,https://fbref.com/en/matches/a87cd7c7/Reims-Dijon-September-22-2018-Ligue-1,0,0
Ligue1,2018-2019,Regular Season,6,Sat,2018-09-22,20:00,Saint-Étienne,3.2,0.6,Caen,23895,Stade Geoffroy-Guichard,Ruddy Buquet,https://fbref.com/en/matches/826586d6/Saint-Etienne-Caen-September-22-2018-Ligue-1,2,1
Ligue1,2018-2019,Regular Season,6,Sat,2018-09-22,20:00,Angers,0.8,0.4,Toulouse,10021,Stade Raymond Kopa,Florent Batta,https://fbref.com/en/matches/38a2d72e/Angers-Toulouse-September-22-2018-Ligue-1,0,0
Ligue1,2018-2019,Regular Season,6,Sat,2018-09-22,20:00,Strasbourg,1.3,0.7,Amiens,24683,Stade de la Meinau,Jeremy Stinat,https://fbref.com/en/matches/cdddf751/Strasbourg-Amiens-September-22-2018-Ligue-1,3,1
Ligue1,2018-2019,Regular Season,6,Sun,2018-09-23,15:00,Rennes,0.8,1.5,Paris S-G,29205,Roazhon Park,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/0a64d71f/Rennes-Paris-Saint-Germain-September-23-2018-Ligue-1,1,3
Ligue1,2018-2019,Regular Season,6,Sun,2018-09-23,17:00,Guingamp,1.8,1.1,Bordeaux,14772,Stade du Roudourou,Franck Schneider,https://fbref.com/en/matches/7f680693/Guingamp-Bordeaux-September-23-2018-Ligue-1,1,3
Ligue1,2018-2019,Regular Season,6,Sun,2018-09-23,21:00,Lyon,2.6,0.6,Marseille,57287,Groupama Stadium,Clément Turpin,https://fbref.com/en/matches/d931521a/Choc-des-Olympiques-Lyon-Marseille-September-23-2018-Ligue-1,4,2
Ligue1,2018-2019,Regular Season,7,Tue,2018-09-25,19:00,Nantes,1.2,1.1,Nice,16604,Stade de la Beaujoire - Louis Fonteneau,Mikael Lesage,https://fbref.com/en/matches/ae183f7d/Nantes-Nice-September-25-2018-Ligue-1,1,2
Ligue1,2018-2019,Regular Season,7,Tue,2018-09-25,19:00,Monaco,0.7,0.4,Angers,5502,Stade Louis II.,Willy Delajod,https://fbref.com/en/matches/5af8fe8c/Monaco-Angers-September-25-2018-Ligue-1,0,1
Ligue1,2018-2019,Regular Season,7,Tue,2018-09-25,21:00,Toulouse,1.2,1.8,Saint-Étienne,14008,Stadium Municipal,Amaury Delerue,https://fbref.com/en/matches/7403ff4e/Toulouse-Saint-Etienne-September-25-2018-Ligue-1,2,3
Ligue1,2018-2019,Regular Season,7,Wed,2018-09-26,19:00,Amiens,0.9,1.5,Rennes,10398,Stade de la Licorne,Johan Hamel,https://fbref.com/en/matches/57d1a713/Amiens-Rennes-September-26-2018-Ligue-1,2,1
Ligue1,2018-2019,Regular Season,7,Wed,2018-09-26,19:00,Bordeaux,1.1,1.6,Lille,17395,Stade Matmut-Atlantique,Karim Abed,https://fbref.com/en/matches/75cad9f8/Bordeaux-Lille-September-26-2018-Ligue-1,1,0
Ligue1,2018-2019,Regular Season,7,Wed,2018-09-26,19:00,Nîmes,1.0,0.6,Guingamp,13415,Stade des Costières,Benoît Millot,https://fbref.com/en/matches/b06ac0f6/Nimes-Guingamp-September-26-2018-Ligue-1,0,0
Ligue1,2018-2019,Regular Season,7,Wed,2018-09-26,19:00,Caen,0.8,1.7,Montpellier,14402,Stade Michel d'Ornano,Antony Gautier,https://fbref.com/en/matches/b90092b0/Caen-Montpellier-September-26-2018-Ligue-1,2,2
Ligue1,2018-2019,Regular Season,7,Wed,2018-09-26,19:00,Marseille,1.4,0.7,Strasbourg,47099,Orange Vélodrome,François Letexier,https://fbref.com/en/matches/ca310bc6/Marseille-Strasbourg-September-26-2018-Ligue-1,3,2
Ligue1,2018-2019,Regular Season,7,Wed,2018-09-26,19:00,Dijon,1.4,2.8,Lyon,14651,Stade Gaston Gérard,Jérôme Miguelgorry,https://fbref.com/en/matches/d36add50/Dijon-Lyon-September-26-2018-Ligue-1,0,3
Ligue1,2018-2019,Regular Season,7,Wed,2018-09-26,21:00,Paris S-G,3.2,0.4,Reims,47237,Parc des Princes,Olivier Thual,https://fbref.com/en/matches/9421db97/Paris-Saint-Germain-Reims-September-26-2018-Ligue-1,4,1
Ligue1,2018-2019,Regular Season,8,Fri,2018-09-28,20:45,Saint-Étienne,1.5,2.6,Monaco,26486,Stade Geoffroy-Guichard,Jérôme Brisard,https://fbref.com/en/matches/fffbcb62/Saint-Etienne-Monaco-September-28-2018-Ligue-1,2,0
Ligue1,2018-2019,Regular Season,8,Sat,2018-09-29,17:15,Nice,0.3,2.5,Paris S-G,33138,Stade de Nice,Clément Turpin,https://fbref.com/en/matches/9c38f996/Nice-Paris-Saint-Germain-September-29-2018-Ligue-1,0,3
Ligue1,2018-2019,Regular Season,8,Sat,2018-09-29,20:00,Strasbourg,1.0,1.3,Dijon,25060,Stade de la Meinau,Eric Wattellier,https://fbref.com/en/matches/e7139b66/Strasbourg-Dijon-September-29-2018-Ligue-1,3,0
Ligue1,2018-2019,Regular Season,8,Sat,2018-09-29,20:00,Caen,1.3,0.4,Amiens,15007,Stade Michel d'Ornano,Benoît Bastien,https://fbref.com/en/matches/c6e02856/Caen-Amiens-September-29-2018-Ligue-1,1,0
Ligue1,2018-2019,Regular Season,8,Sat,2018-09-29,20:00,Lyon,2.7,1.3,Nantes,50319,Groupama Stadium,Franck Schneider,https://fbref.com/en/matches/3a676c1e/Lyon-Nantes-September-29-2018-Ligue-1,1,1
