League,Season,Round,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
Ligue1,2017-2018,Regular Season,1,Fri,2017-08-04,20:45,Monaco,1.8,0.3,Toulouse,13572,Stade Louis II.,Clément Turpin,https://fbref.com/en/matches/a68e623d/Monaco-Toulouse-August-4-2017-Ligue-1,3,2
Ligue1,2017-2018,Regular Season,1,Sat,2017-08-05,17:15,Paris S-G,2.2,0.1,Amiens,46898,Parc des Princes,Mikael Lesage,https://fbref.com/en/matches/37f2c25f/Paris-Saint-Germain-Amiens-August-5-2017-Ligue-1,2,0
Ligue1,2017-2018,Regular Season,1,Sat,2017-08-05,20:00,Saint-Étienne,0.8,0.4,Nice,25879,Stade Geoffroy-Guichard,François Letexier,https://fbref.com/en/matches/68b9eea2/Saint-Etienne-Nice-August-5-2017-Ligue-1,1,0
Ligue1,2017-2018,Regular Season,1,Sat,2017-08-05,20:00,Montpellier,0.9,0.5,Caen,14725,Stade de la Mosson,Thomas Léonard,https://fbref.com/en/matches/b2829d08/Montpellier-Caen-August-5-2017-Ligue-1,1,0
Ligue1,2017-2018,Regular Season,1,Sat,2017-08-05,20:00,Metz,1.1,1.7,Guingamp,14595,Stade Saint-Symphorien,Jérôme Miguelgorry,https://fbref.com/en/matches/7d2eb66d/Metz-Guingamp-August-5-2017-Ligue-1,1,3
Ligue1,2017-2018,Regular Season,1,Sat,2017-08-05,20:00,Lyon,2.2,0.3,Strasbourg,1979,Groupama Stadium,Ruddy Buquet,https://fbref.com/en/matches/4d28b63b/Lyon-Strasbourg-August-5-2017-Ligue-1,4,0
Ligue1,2017-2018,Regular Season,1,Sat,2017-08-05,20:00,Troyes,1.5,2.3,Rennes,9968,Stade de l'Aube,Karim Abed,https://fbref.com/en/matches/bf730e30/Troyes-Rennes-August-5-2017-Ligue-1,1,1
Ligue1,2017-2018,Regular Season,1,Sun,2017-08-06,15:00,Lille,1.9,1.2,Nantes,30683,Stade Pierre-Mauroy,Benoît Millot,https://fbref.com/en/matches/a5686dbd/Lille-Nantes-August-6-2017-Ligue-1,3,0
Ligue1,2017-2018,Regular Season,1,Sun,2017-08-06,17:00,Angers,1.1,1.6,Bordeaux,11767,Stade Raymond Kopa,Sébastien Desiage,https://fbref.com/en/matches/f85b1b75/Angers-Bordeaux-August-6-2017-Ligue-1,2,2
Ligue1,2017-2018,Regular Season,1,Sun,2017-08-06,21:00,Marseille,3.1,0.7,Dijon,50904,Orange Vélodrome,Benoît Bastien,https://fbref.com/en/matches/ab13ffd4/Marseille-Dijon-August-6-2017-Ligue-1,3,0
Ligue1,2017-2018,Regular Season,2,Fri,2017-08-11,19:00,Nice,2.3,0.9,Troyes,24260,Stade de Nice,Olivier Thual,https://fbref.com/en/matches/7faa9279/Nice-Troyes-August-11-2017-Ligue-1,1,2
Ligue1,2017-2018,Regular Season,2,Fri,2017-08-11,20:45,Rennes,1.1,1.8,Lyon,24944,Roazhon Park,Nicolas Rainville,https://fbref.com/en/matches/52194605/Rennes-Lyon-August-11-2017-Ligue-1,1,2
