Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2014-2015,2014-08-16,Sat,Premier League,Matchweek 1,Away,D 2–2,Sunderland,West Brom,Y,,90,0,0,0,0,1,0,1,0,2,0,0,1,3,1,0,,,Match Report
2014-2015,2014-08-24,Sun,Premier League,Matchweek 2,Home,D 1–1,Sunderland,Manchester Utd,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2014-09-13,Sat,Ligue 1,Matchweek 5,Home,W 2–0,Reims,Toulouse,Y,,66,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2014-09-20,Sat,Ligue 1,Matchweek 6,Away,W 1–0,Reims,Lorient,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2014-09-23,Tue,Ligue 1,Matchweek 7,Home,L 0–5,Reims,Marseille,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2014-09-27,Sat,Ligue 1,Matchweek 8,Away,L 0–3,Reims,Metz,Y,,53,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2014-10-25,Sat,Ligue 1,Matchweek 11,Home,W 1–0,Reims,Montpellier,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2014-10-31,Fri,Ligue 1,Matchweek 12,Away,D 1–1,Reims,Monaco,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2014-11-09,Sun,Ligue 1,Matchweek 13,Home,W 2–0,Reims,Lille,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2014-11-22,Sat,Ligue 1,Matchweek 14,Away,D 0–0,Reims,Nice,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2014-11-29,Sat,Ligue 1,Matchweek 15,Home,W 2–1,Reims,Bastia,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2014-12-04,Thu,Ligue 1,Matchweek 16,Away,L 1–2,Reims,Lyon,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2014-12-07,Sun,Ligue 1,Matchweek 17,Home,L 2–3,Reims,Guingamp,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2014-12-20,Sat,Ligue 1,Matchweek 19,Away,W 3–1,Reims,Rennes,Y,,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2014-2015,2015-01-10,Sat,Ligue 1,Matchweek 20,Home,L 1–2,Reims,Saint-Étienne,Y,,88,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2014-2015,2015-01-17,Sat,Ligue 1,Matchweek 21,Away,L 1–4,Reims,Caen,Y,,77,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2015-02-07,Sat,Ligue 1,Matchweek 24,Home,L 1–3,Reims,Lorient,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2015-02-22,Sun,Ligue 1,Matchweek 26,Home,D 0–0,Reims,Metz,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2015-03-22,Sun,Ligue 1,Matchweek 30,Home,L 1–3,Reims,Monaco,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2015-04-18,Sat,Ligue 1,Matchweek 33,Away,W 2–1,Reims,Bastia,Y,,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2014-2015,2015-04-26,Sun,Ligue 1,Matchweek 34,Home,L 2–4,Reims,Lyon,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2015-05-02,Sat,Ligue 1,Matchweek 35,Away,L 0–2,Reims,Guingamp,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
