Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2014-2015,2014-07-18,Fri,Superettan,Matchweek 16,Home,W 3–1,Östersund,Sundsvall,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2014-07-26,Sat,Superettan,Matchweek 17,Home,D 1–1,Östersund,Ljungskile,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2014-08-02,Sat,Superettan,Matchweek 18,Away,W 2–1,Östersund,Värnamo,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2014-08-09,Sat,Superettan,Matchweek 19,Home,W 2–1,Östersund,Syrianska,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2014-08-16,Sat,Superettan,Matchweek 20,Away,W 4–1,Östersund,Husqvarna,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2014-08-26,Tue,Superettan,Matchweek 21,Home,D 1–1,Östersund,Sirius,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2014-10-28,Tue,League Cup,Fourth round,Away,L 1–2,Swansea City,Liverpool,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2014-11-09,Sun,Premier League,Matchweek 11,Home,W 2–1,Swansea City,Arsenal,N,,24,0,0,0,0,0,0,1,0,2,2,0,0,1,0,0,,,Match Report
2014-2015,2014-11-22,Sat,Premier League,Matchweek 12,Away,L 1–2,Swansea City,Manchester City,N,,13,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,,,Match Report
2014-2015,2014-11-29,Sat,Premier League,Matchweek 13,Home,D 1–1,Swansea City,Crystal Palace,N,,26,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,,,Match Report
2014-2015,2014-12-02,Tue,Premier League,Matchweek 14,Home,W 2–0,Swansea City,QPR,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2014-12-20,Sat,Premier League,Matchweek 17,Away,W 1–0,Swansea City,Hull City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2015-01-01,Thu,Premier League,Matchweek 20,Away,D 1–1,Swansea City,QPR,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2015-01-03,Sat,FA Cup,Third round,Away,W 6–2,Swansea City,Tranmere Rovers,Y,,90,1,1,0,0,,,1,0,,,,,,,0,,,Match Report
2014-2015,2015-01-10,Sat,Premier League,Matchweek 21,Home,D 1–1,Swansea City,West Ham,N,,29,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,,,Match Report
2014-2015,2015-01-17,Sat,Premier League,Matchweek 22,Home,L 0–5,Swansea City,Chelsea,N,,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,Match Report
2014-2015,2015-01-24,Sat,FA Cup,Fourth round,Away,L 1–3,Swansea City,Blackburn,Y,,61,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2015-02-01,Sun,Premier League,Matchweek 23,Away,W 1–0,Swansea City,Southampton,N,,74,0,1,0,0,0,0,0,0,2,3,1,1,1,2,0,,,Match Report
2014-2015,2015-02-07,Sat,Premier League,Matchweek 24,Home,D 1–1,Swansea City,Sunderland,Y,,45,0,0,0,0,0,0,0,0,2,1,0,2,0,1,0,,,Match Report
2014-2015,2015-03-18,Wed,Championship,Matchweek 38,Home,W 2–0,Nott'ham Forest,Rotherham Utd,N,,11,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2015-03-21,Sat,Championship,Matchweek 39,Away,L 1–3,Nott'ham Forest,Norwich City,Y,,53,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2015-04-15,Wed,Championship,Matchweek 43,Home,L 1–3,Nott'ham Forest,Watford,N,,,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2015-04-18,Sat,Championship,Matchweek 44,Away,D 3–3,Nott'ham Forest,Blackburn,Y,,78,0,1,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2015-05-02,Sat,Premier League,Matchweek 35,Home,W 2–0,Swansea City,Stoke City,N,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,Match Report
2014-2015,2015-05-11,Mon,Premier League,Matchweek 36,Away,W 1–0,Swansea City,Arsenal,N,,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,Match Report
2014-2015,2015-05-17,Sun,Premier League,Matchweek 37,Home,L 2–4,Swansea City,Manchester City,N,,18,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,,,Match Report
2014-2015,2015-05-24,Sun,Premier League,Matchweek 38,Away,L 0–1,Swansea City,Crystal Palace,N,,27,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,,,Match Report
2014-2015,2015-06-09,Tue,Friendlies (M),Friendlies (M),Away,D 1–1,gm Gambia,ug Uganda,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2015-06-13,Sat,Africa Cup of Nations qualification,Group stage,Away,D 0–0,gm Gambia,za South Africa,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
