League,Season,Date,Team_Home,FBREFPossession_Home,FBREFSave%_Home,Goals_Home,FBREFAst_Home,FBREFPK_Home,FBREFPKatt_Home,FBREFSh_Home,FBREFSoT_Home,FBREFCrdY_Home,FBREFCrdR_Home,FBREFxg_Home,FBREFxa_Home,FBREFSCA_Home,FBREFGCA_Home,Team_Away,FBREFPossession_Away,FBREFSave%_Away,Goals_Away,FBREFAst_Away,FBREFPK_Away,FBREFPKatt_Away,FBREFSh_Away,FBREFSoT_Away,FBREFCrdY_Away,FBREFCrdR_Away,FBREFxg_away,FBREFxa_Away,FBREFSCA_Away,FBREFGCA_Away,FBREFORating_Home,FBREFDRating_Home,FBREFORating_Away,FBREFDRating_Away
Bundesliga,2017-2018,2017-09-23,Mainz 05,44,100.0,1,0,1,1,8,2,3,0,1.1,0.2,14.0,2.0,Hertha BSC,56,100.0,0,0,0,0,5,1,3,1,0.6,0.6,9.0,0.0,1.1700709,0.6941562,0.91826653,0.6502212
Bundesliga,2017-2018,2017-09-23,RB Leipzig,64,66.7,2,0,0,0,21,5,1,0,2.1,1.3,34.0,3.0,Eint Frankfurt,36,60.0,1,1,0,0,10,3,2,0,1.2,1.1,16.0,2.0,0.7699936,0.67245907,0.77366334,0.8507914
Bundesliga,2017-2018,2017-09-23,Werder Bremen,53,100.0,0,0,0,0,17,6,2,0,1.8,1.7,26.0,0.0,Freiburg,47,100.0,0,0,0,0,13,5,1,0,1.3,0.7,20.0,0.0,0.8705887,0.69266945,1.5418847,0.6372597
Bundesliga,2017-2018,2017-09-23,Stuttgart,63,100.0,0,0,0,0,15,3,1,0,0.7,0.6,22.0,0.0,Augsburg,37,100.0,0,0,0,0,10,3,2,0,0.8,0.5,16.0,0.0,0.97312677,0.7411307,1.487375,0.90511936
Bundesliga,2017-2018,2017-09-23,Dortmund,79,80.0,6,4,0,0,18,9,0,0,2.6,2.1,26.0,9.0,M'Gladbach,21,33.3,1,0,0,0,8,5,1,0,1.3,0.8,13.0,0.0,1.0920446,1.2795393,0.79343307,1.0258019
Bundesliga,2017-2018,2017-09-24,Hannover 96,65,100.0,0,0,0,0,14,1,4,0,1.3,1.1,24.0,0.0,Köln,35,100.0,0,0,0,0,6,1,2,0,1.2,0.8,5.0,0.0,1.243316,0.96891594,1.3041999,0.8418271
Bundesliga,2017-2018,2017-09-24,Leverkusen,53,100.0,3,3,0,0,17,6,2,0,2.4,2.2,27.0,6.0,Hamburger SV,47,50.0,0,0,0,0,11,1,2,0,0.5,0.5,18.0,0.0,1.0977968,0.7717348,1.1060686,0.710593
Bundesliga,2017-2018,2017-09-29,Schalke 04,42,83.3,1,0,0,0,14,4,2,0,1.2,1.1,22.0,2.0,Leverkusen,58,75.0,1,1,0,0,10,6,3,0,1.1,0.5,19.0,2.0,0.6322676,0.89963603,1.0498332,0.6067851
Bundesliga,2017-2018,2017-09-30,M'Gladbach,55,50.0,2,1,1,1,23,6,1,0,2.2,1.3,35.0,4.0,Hannover 96,45,83.3,1,1,0,0,16,2,1,0,1.4,1.1,21.0,2.0,0.8945088,1.0334647,0.8226244,0.699436
Bundesliga,2017-2018,2017-09-30,Wolfsburg,52,66.7,1,1,0,0,6,2,3,1,0.9,0.7,9.0,1.0,Mainz 05,48,50.0,1,1,0,0,10,3,4,0,0.9,0.8,18.0,2.0,1.1077564,0.5854717,0.9226761,0.7172903
