Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att_Passes,Cmp%,Prog_Passes,Carries,Prog_2_Carries,Succ,Att_2_Dribbles,Match Report
2019-2020,2019-08-04,Sun,Community Shield,FA Community Shield,Neutral,W 1 (5)–1 (4),Manchester City,Liverpool,Y,CM,120,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report
2019-2020,2019-08-10,Sat,Premier League,Matchweek 1,Away,W 5–0,Manchester City,West Ham,Y,DM,90,0,0,0,0,0,0,0,0,80,28,3,0,0,0.0,0.0,0.0,0,0,65,72,90.3,5,50,4,2,2,Match Report
2019-2020,2019-08-17,Sat,Premier League,Matchweek 2,Home,D 2–2,Manchester City,Tottenham,Y,DM,77,0,0,0,0,1,1,0,0,71,15,4,2,2,0.0,0.0,0.2,3,0,56,59,94.9,7,36,2,0,0,Match Report
2019-2020,2019-08-25,Sun,Premier League,Matchweek 3,Away,W 3–1,Manchester City,Bournemouth,N,DM,33,0,0,0,0,1,0,0,0,43,8,2,0,0,0.1,0.1,0.0,0,0,35,37,94.6,0,29,3,0,0,Match Report
2019-2020,2019-08-31,Sat,Premier League,Matchweek 4,Home,W 4–0,Manchester City,Brighton,Y,DM,90,0,0,0,0,0,0,0,0,77,21,5,0,2,0.0,0.0,0.0,0,0,64,67,95.5,5,59,2,0,1,Match Report
2019-2020,2019-09-05,Thu,Euro Qualifying,Group stage,Away,W 2–1,es Spain,ro Romania,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2019-2020,2019-09-08,Sun,Euro Qualifying,Group stage,Home,W 4–0,es Spain,fo Faroe Islands,Y,CM,90,0,0,0,0,3,2,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2019-2020,2019-09-14,Sat,Premier League,Matchweek 5,Away,L 2–3,Manchester City,Norwich City,Y,DM,90,1,0,0,0,2,2,0,0,83,18,4,1,1,0.1,0.1,0.2,3,0,66,73,90.4,8,68,9,5,5,Match Report
2019-2020,2019-09-18,Wed,Champions Lg,Group stage,Away,W 3–0,eng Manchester City,ua Shakhtar,Y,CM,82,0,0,0,0,1,0,1,0,90,40,4,0,1,0.2,0.2,0.0,1,1,79,80,98.8,7,70,7,3,3,Match Report
2019-2020,2019-09-21,Sat,Premier League,Matchweek 6,Home,W 8–0,Manchester City,Watford,Y,DM,90,0,0,0,0,2,1,0,0,104,16,2,0,1,0.0,0.0,0.0,2,0,88,97,90.7,7,79,9,0,0,Match Report
2019-2020,2019-09-24,Tue,EFL Cup,Third round,Away,W 3–0,Manchester City,Preston,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2019-2020,2019-09-28,Sat,Premier League,Matchweek 7,Away,W 3–1,Manchester City,Everton,Y,DM,90,0,0,0,0,0,0,1,0,68,14,4,2,1,0.0,0.0,0.1,2,0,54,56,96.4,4,42,2,2,2,Match Report
2019-2020,2019-10-01,Tue,Champions Lg,Group stage,Home,W 2–0,eng Manchester City,hr Dinamo Zagreb,Y,DM,90,0,0,0,0,2,0,0,0,140,14,2,2,1,0.1,0.1,0.0,1,0,119,129,92.2,9,108,17,3,3,Match Report
2019-2020,2019-10-06,Sun,Premier League,Matchweek 8,Home,L 0–2,Manchester City,Wolves,Y,CM,90,0,0,0,0,0,0,1,0,99,11,1,1,2,0.0,0.0,0.1,4,0,81,90,90.0,5,74,11,2,2,Match Report
2019-2020,2019-10-12,Sat,Euro Qualifying,Group stage,Away,D 1–1,es Spain,no Norway,N,,13,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2019-2020,2019-10-15,Tue,Euro Qualifying,Group stage,Away,D 1–1,es Spain,se Sweden,Y,DM,90,0,0,0,0,2,2,1,0,,,,1,,,,,,,,,,,,,,,Match Report
2019-2020,2019-10-19,Sat,Premier League,Matchweek 9,Away,W 2–0,Manchester City,Crystal Palace,Y,"CB,CM",90,0,0,0,0,0,0,0,0,116,5,2,2,2,0.0,0.0,0.0,1,0,98,104,94.2,3,83,20,0,1,Match Report
2019-2020,2019-10-22,Tue,Champions Lg,Group stage,Home,W 5–1,eng Manchester City,it Atalanta,Y,CB,40,0,0,0,0,0,0,0,0,43,8,4,0,0,0.0,0.0,0.0,0,0,33,38,86.8,2,30,2,0,0,Match Report
2019-2020,2019-11-10,Sun,Premier League,Matchweek 12,Away,L 1–3,Manchester City,Liverpool,Y,DM,90,0,0,0,0,0,0,1,0,71,24,5,0,1,0.0,0.0,0.0,3,0,57,65,87.7,3,55,5,0,0,Match Report
2019-2020,2019-11-15,Fri,Euro Qualifying,Group stage,Home,W 7–0,es Spain,mt Malta,Y,CM,90,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2019-2020,2019-11-18,Mon,Euro Qualifying,Group stage,Home,W 5–0,es Spain,ro Romania,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2019-2020,2019-11-23,Sat,Premier League,Matchweek 13,Home,W 2–1,Manchester City,Chelsea,Y,DM,51,0,1,0,0,0,0,0,0,48,19,3,0,1,0.0,0.0,0.0,1,1,41,42,97.6,4,37,7,0,0,Match Report
2019-2020,2019-11-26,Tue,Champions Lg,Group stage,Home,D 1–1,eng Manchester City,ua Shakhtar,Y,DM,75,0,0,0,0,2,2,0,0,113,29,6,0,1,0.1,0.1,0.0,4,0,94,101,93.1,20,98,27,4,4,Match Report
2019-2020,2019-11-30,Sat,Premier League,Matchweek 14,Away,D 2–2,Manchester City,Newcastle Utd,N,DM,7,0,0,0,0,0,0,0,0,17,3,0,0,0,0.0,0.0,0.0,0,0,13,16,81.3,3,12,1,0,0,Match Report
2019-2020,2019-12-03,Tue,Premier League,Matchweek 15,Away,W 4–1,Manchester City,Burnley,Y,DM,90,1,0,0,0,1,1,0,0,117,13,6,0,2,0.1,0.1,0.0,2,0,98,108,90.7,8,88,7,2,2,Match Report
2019-2020,2019-12-07,Sat,Premier League,Matchweek 16,Home,L 1–2,Manchester City,Manchester Utd,Y,DM,85,0,0,0,0,1,1,0,0,80,22,1,3,0,0.1,0.1,0.1,6,0,64,71,90.1,4,70,12,5,5,Match Report
2019-2020,2019-12-11,Wed,Champions Lg,Group stage,Away,W 4–1,eng Manchester City,hr Dinamo Zagreb,Y,DM,72,0,0,0,0,0,0,0,0,94,16,2,2,0,0.0,0.0,0.0,2,1,85,90,94.4,11,84,10,1,1,Match Report
2019-2020,2019-12-15,Sun,Premier League,Matchweek 17,Away,W 3–0,Manchester City,Arsenal,Y,DM,90,0,0,0,0,0,0,1,0,91,24,3,1,1,0.0,0.0,0.0,1,0,76,82,92.7,3,62,4,0,1,Match Report
2019-2020,2019-12-18,Wed,EFL Cup,Quarter-finals,Away,W 3–1,Manchester City,Oxford United,Y,CM,58,0,0,0,0,1,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report
2019-2020,2019-12-21,Sat,Premier League,Matchweek 18,Home,W 3–1,Manchester City,Leicester City,N,DM,12,0,0,0,0,0,0,0,0,30,3,0,0,0,0.0,0.0,0.0,1,0,29,30,96.7,0,29,2,0,0,Match Report
2019-2020,2019-12-27,Fri,Premier League,Matchweek 19,Away,L 2–3,Manchester City,Wolves,Y,"CM,DM",90,0,0,0,0,0,0,0,0,67,32,2,0,0,0.0,0.0,0.0,3,1,55,60,91.7,1,37,1,0,0,Match Report
2019-2020,2019-12-29,Sun,Premier League,Matchweek 20,Home,W 2–0,Manchester City,Sheffield Utd,Y,"DM,CB",90,0,0,0,0,1,0,0,0,129,10,1,1,1,0.0,0.0,0.1,3,0,113,119,95.0,2,96,10,1,1,Match Report
