Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att_Passes,Cmp%,Prog_Passes,Carries,Prog_2_Carries,Succ,Att_2_Dribbles,Match Report
2019-2020,2019-08-10,Sat,Premier League,Matchweek 1,Home,L 0–5,West Ham,Manchester City,Y,FW,90,0,0,0,0,1,1,0,0,44,39,3,1,3,0.1,0.1,0.0,0,0,32,34,94.1,0,32,1,2,2,Match Report
2019-2020,2019-08-24,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Watford,Y,FW,90,2,0,0,0,3,3,0,0,37,20,1,1,0,1.6,1.6,0.0,1,1,21,28,75.0,1,23,2,0,0,Match Report
2019-2020,2019-08-27,Tue,EFL Cup,Second round,Away,W 2–0,West Ham,Newport County,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2019-2020,2019-08-31,Sat,Premier League,Matchweek 4,Home,W 2–0,West Ham,Norwich City,Y,FW,90,1,0,0,0,4,2,0,0,49,25,2,0,2,0.8,0.8,0.0,1,0,25,36,69.4,1,34,2,3,4,Match Report
2019-2020,2019-09-16,Mon,Premier League,Matchweek 5,Away,D 0–0,West Ham,Aston Villa,Y,FW,90,0,0,0,0,2,0,0,0,51,24,1,0,4,0.1,0.1,0.2,4,0,29,37,78.4,5,28,7,0,0,Match Report
2019-2020,2019-09-22,Sun,Premier League,Matchweek 6,Home,W 2–0,West Ham,Manchester Utd,Y,FW,90,0,0,0,0,1,0,0,0,41,19,2,0,1,0.0,0.0,0.0,2,0,23,30,76.7,2,23,2,0,0,Match Report
2019-2020,2019-09-25,Wed,EFL Cup,Third round,Away,L 0–4,West Ham,Oxford United,N,,34,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2019-2020,2019-09-28,Sat,Premier League,Matchweek 7,Away,D 2–2,West Ham,Bournemouth,Y,FW,90,0,1,0,0,2,1,0,0,49,9,0,0,1,0.3,0.3,0.5,8,1,31,42,73.8,6,28,4,1,1,Match Report
2019-2020,2019-10-05,Sat,Premier League,Matchweek 8,Home,L 1–2,West Ham,Crystal Palace,Y,FW,90,1,0,0,0,3,2,1,0,32,21,1,0,1,0.7,0.7,0.0,0,0,14,21,66.7,1,11,0,0,0,Match Report
2019-2020,2019-10-19,Sat,Premier League,Matchweek 9,Away,L 0–2,West Ham,Everton,Y,FW,90,0,0,0,0,3,1,0,0,44,17,0,0,0,0.1,0.1,0.0,1,0,20,27,74.1,1,29,1,0,0,Match Report
2019-2020,2019-10-26,Sat,Premier League,Matchweek 10,Home,D 1–1,West Ham,Sheffield Utd,Y,FW,90,0,0,0,0,0,0,0,0,25,8,0,0,1,0.0,0.0,0.1,3,0,13,20,65.0,1,18,2,0,1,Match Report
2019-2020,2019-11-02,Sat,Premier League,Matchweek 11,Home,L 2–3,West Ham,Newcastle Utd,Y,FW,90,0,0,0,0,4,2,0,0,45,13,1,0,0,0.4,0.4,0.0,2,1,28,32,87.5,0,21,1,0,0,Match Report
