Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att_Passes,Cmp%,Prog_Passes,Carries,Prog_2_Carries,Succ,Att_2_Dribbles,Match Report
2018-2019,2018-08-11,Sat,Premier League,Matchweek 1,Home,L 1–2,Newcastle Utd,Tottenham,Y,CM,90,0,0,0,0,1,0,1,0,43,22,3,0,2,0.0,0.0,0.0,0,0,23,32,71.9,2,25,4,1,2,Match Report
2018-2019,2018-08-18,Sat,Premier League,Matchweek 2,Away,D 0–0,Newcastle Utd,Cardiff City,Y,"DM,CM",90,0,0,0,0,1,1,0,0,49,19,3,0,3,0.0,0.0,0.0,2,0,22,36,61.1,0,24,0,1,2,Match Report
2018-2019,2018-08-26,Sun,Premier League,Matchweek 3,Home,L 1–2,Newcastle Utd,Chelsea,Y,CM,90,0,0,0,0,1,0,0,0,24,59,2,0,3,0.0,0.0,0.0,0,0,8,14,57.1,1,15,1,1,1,Match Report
2018-2019,2018-08-29,Wed,EFL Cup,Second round,Away,L 1–3,Newcastle Utd,Nott'ham Forest,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-09-01,Sat,Premier League,Matchweek 4,Away,L 1–2,Newcastle Utd,Manchester City,Y,CM,90,0,0,0,0,0,0,0,0,36,32,4,1,3,0.0,0.0,0.0,0,0,18,24,75.0,0,18,2,1,1,Match Report
2018-2019,2018-09-15,Sat,Premier League,Matchweek 5,Home,L 1–2,Newcastle Utd,Arsenal,Y,CM,90,0,0,0,0,0,0,0,0,38,31,2,2,2,0.0,0.0,0.0,0,0,20,27,74.1,0,22,3,0,0,Match Report
2018-2019,2018-09-22,Sat,Premier League,Matchweek 6,Away,D 0–0,Newcastle Utd,Crystal Palace,Y,CM,90,0,0,0,0,0,0,0,0,35,45,7,0,3,0.0,0.0,0.0,0,0,15,19,78.9,1,18,0,1,2,Match Report
2018-2019,2018-09-29,Sat,Premier League,Matchweek 7,Home,L 0–2,Newcastle Utd,Leicester City,Y,CM,90,0,0,0,0,1,0,0,0,49,30,5,1,2,0.1,0.1,0.0,0,0,23,33,69.7,4,29,1,1,2,Match Report
2018-2019,2018-10-06,Sat,Premier League,Matchweek 8,Away,L 2–3,Newcastle Utd,Manchester Utd,Y,CM,90,0,0,0,0,3,1,1,0,25,21,1,2,4,0.2,0.2,0.0,0,0,7,12,58.3,2,11,2,0,1,Match Report
2018-2019,2018-10-20,Sat,Premier League,Matchweek 9,Home,L 0–1,Newcastle Utd,Brighton,Y,CM,90,0,0,0,0,2,0,0,0,66,11,2,1,4,0.0,0.0,0.0,4,0,40,49,81.6,5,41,5,2,3,Match Report
