Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att_Passes,Cmp%,Prog_Passes,Carries,Prog_2_Carries,Succ,Att_2_Dribbles,Match Report
2018-2019,2018-09-22,Sat,Premier League,Matchweek 6,Away,L 0–4,Bournemouth,Burnley,N,FW,23,0,0,0,0,1,1,0,0,25,5,0,0,1,0.1,0.1,0.1,3,0,11,21,52.4,1,18,3,1,2,Match Report
2018-2019,2018-09-25,Tue,EFL Cup,Third round,Home,W 3–2,Bournemouth,Blackburn,Y,RM,68,1,0,0,0,4,3,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2018-2019,2018-10-01,Mon,Premier League,Matchweek 7,Home,W 2–1,Bournemouth,Crystal Palace,N,FW,7,1,0,1,1,0,0,0,0,2,1,0,0,0,0.8,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Match Report
2018-2019,2018-10-06,Sat,Premier League,Matchweek 8,Away,W 4–0,Bournemouth,Watford,N,LW,25,0,0,0,0,1,0,0,0,13,3,0,0,0,0.0,0.0,0.0,0,0,9,9,100.0,3,12,0,0,1,Match Report
2018-2019,2018-10-20,Sat,Premier League,Matchweek 9,Home,D 0–0,Bournemouth,Southampton,N,"LM,RM",32,0,0,0,0,0,0,0,0,17,4,1,0,0,0.0,0.0,0.1,2,0,6,13,46.2,1,11,3,2,3,Match Report
2018-2019,2018-10-27,Sat,Premier League,Matchweek 10,Away,W 3–0,Bournemouth,Fulham,N,"RW,LW",5,0,0,0,0,0,0,0,0,6,1,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,2,6,0,0,1,Match Report
2018-2019,2018-10-30,Tue,EFL Cup,Fourth round,Home,W 2–1,Bournemouth,Norwich City,Y,FW,90,1,0,0,0,3,1,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2018-2019,2018-11-03,Sat,Premier League,Matchweek 11,Home,L 1–2,Bournemouth,Manchester Utd,Y,RW,89,0,1,0,0,4,1,1,0,52,10,0,0,0,0.5,0.5,0.6,4,1,32,45,71.1,7,36,2,0,0,Match Report
2018-2019,2018-11-25,Sun,Premier League,Matchweek 13,Home,L 1–2,Bournemouth,Arsenal,N,"RW,LW",18,0,0,0,0,3,1,0,0,17,2,2,0,0,0.4,0.4,0.0,1,0,8,12,66.7,1,14,2,1,1,Match Report
2018-2019,2018-12-01,Sat,Premier League,Matchweek 14,Away,L 1–3,Bournemouth,Manchester City,N,LW,6,0,0,0,0,0,0,0,0,6,1,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,6,0,1,2,Match Report
2018-2019,2018-12-04,Tue,Premier League,Matchweek 15,Home,W 2–1,Bournemouth,Huddersfield,N,RW,29,0,0,0,0,0,0,0,0,21,9,1,1,0,0.0,0.0,0.0,0,0,11,14,78.6,1,15,1,1,2,Match Report
2018-2019,2018-12-08,Sat,Premier League,Matchweek 16,Home,L 0–4,Bournemouth,Liverpool,Y,"LM,FW,RM",82,0,0,0,0,2,1,0,0,37,19,0,0,1,0.1,0.1,0.1,2,0,22,31,71.0,4,30,4,0,1,Match Report
2018-2019,2018-12-15,Sat,Premier League,Matchweek 17,Away,L 0–2,Bournemouth,Wolves,Y,AM,79,0,0,0,0,2,0,0,0,46,13,0,0,0,0.2,0.2,0.0,0,0,29,36,80.6,5,40,4,1,2,Match Report
2018-2019,2018-12-19,Wed,EFL Cup,Quarter-finals,Away,L 0–1,Bournemouth,Chelsea,Y,CM,62,0,0,0,0,0,0,1,0,,,,1,,,,,,,,,,,,,,,Match Report
2018-2019,2018-12-22,Sat,Premier League,Matchweek 18,Home,W 2–0,Bournemouth,Brighton,Y,LW,64,0,0,0,0,4,0,0,0,47,15,1,0,0,0.2,0.2,0.0,4,0,24,35,68.6,1,32,3,1,1,Match Report
2018-2019,2018-12-26,Wed,Premier League,Matchweek 19,Away,L 0–5,Bournemouth,Tottenham,Y,FW,90,0,0,0,0,6,2,0,0,55,21,2,0,2,0.6,0.6,0.0,1,0,33,43,76.7,4,36,6,0,1,Match Report
2018-2019,2018-12-30,Sun,Premier League,Matchweek 20,Away,L 1–4,Bournemouth,Manchester Utd,Y,"AM,CM,RW",90,0,0,0,0,2,0,0,0,51,22,1,0,0,0.1,0.1,0.0,1,0,35,41,85.4,4,32,5,0,1,Match Report
2018-2019,2019-01-02,Wed,Premier League,Matchweek 21,Home,D 3–3,Bournemouth,Watford,Y,RB,90,0,1,0,0,1,0,0,0,81,9,0,2,3,0.0,0.0,0.4,7,1,57,73,78.1,7,55,12,1,1,Match Report
2018-2019,2019-01-05,Sat,FA Cup,Third round,Home,L 1–3,Bournemouth,Brighton,N,,21,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2018-2019,2019-01-13,Sun,Premier League,Matchweek 22,Away,L 0–2,Bournemouth,Everton,Y,RM,67,0,0,0,0,1,1,0,0,33,15,2,0,2,0.1,0.1,0.2,1,0,17,25,68.0,2,24,3,3,3,Match Report
2018-2019,2019-01-19,Sat,Premier League,Matchweek 23,Home,W 2–0,Bournemouth,West Ham,N,"RM,FW",18,0,0,0,0,0,0,0,0,9,9,0,0,0,0.0,0.0,0.0,1,1,7,9,77.8,3,7,4,0,0,Match Report
2018-2019,2019-01-30,Wed,Premier League,Matchweek 24,Home,W 4–0,Bournemouth,Chelsea,Y,RM,89,0,1,0,0,2,1,0,0,47,34,1,1,1,0.3,0.3,0.5,3,1,29,34,85.3,1,39,0,1,1,Match Report
2018-2019,2019-02-02,Sat,Premier League,Matchweek 25,Away,L 0–2,Bournemouth,Cardiff City,Y,RW,61,0,0,0,0,1,0,0,0,53,8,0,0,0,0.0,0.0,0.0,1,0,39,46,84.8,2,52,7,2,2,Match Report
2018-2019,2019-03-30,Sat,Premier League,Matchweek 32,Away,L 0–2,Bournemouth,Leicester City,N,CM,17,0,0,0,0,0,0,0,0,11,4,0,0,2,0.0,0.0,0.0,0,0,5,7,71.4,0,7,0,0,0,Match Report
2018-2019,2019-04-06,Sat,Premier League,Matchweek 33,Home,L 1–3,Bournemouth,Burnley,N,DM,20,0,0,0,0,1,0,0,0,18,4,0,0,0,0.1,0.1,0.0,0,0,11,16,68.8,3,13,1,0,0,Match Report
2018-2019,2019-04-13,Sat,Premier League,Matchweek 34,Away,W 5–0,Bournemouth,Brighton,N,FW,8,1,0,0,0,1,1,0,0,9,5,0,0,1,0.4,0.4,0.0,0,0,5,6,83.3,2,8,2,0,1,Match Report
2018-2019,2019-04-20,Sat,Premier League,Matchweek 35,Home,L 0–1,Bournemouth,Fulham,Y,RB,22,0,0,0,0,1,0,0,0,14,2,0,0,0,0.0,0.0,0.0,1,0,12,12,100.0,0,10,2,2,2,Match Report
