Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att_Passes,Cmp%,Prog_Passes,Carries,Prog_2_Carries,Succ,Att_2_Dribbles,Match Report
2018-2019,2018-08-12,Sun,Premier League,Matchweek 1,Away,L 0–4,West Ham,Liverpool,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-08-18,Sat,Premier League,Matchweek 2,Home,L 1–2,West Ham,Bournemouth,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-08-25,Sat,Premier League,Matchweek 3,Away,L 1–3,West Ham,Arsenal,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-08-28,Tue,EFL Cup,Second round,Away,W 3–1,West Ham,AFC Wimbledon,Y,DM,45,0,0,0,0,1,1,1,0,,,,0,,,,,,,,,,,,,,,Match Report
2018-2019,2018-09-01,Sat,Premier League,Matchweek 4,Home,L 0–1,West Ham,Wolves,N,CM,27,0,0,0,0,2,0,0,0,25,10,2,1,0,0.0,0.0,0.0,1,0,17,18,94.4,3,17,1,0,0,Match Report
2018-2019,2018-09-16,Sun,Premier League,Matchweek 5,Away,W 3–1,West Ham,Everton,Y,CM,90,0,1,0,0,1,0,0,0,43,23,1,1,0,0.2,0.2,0.3,2,2,29,35,82.9,4,38,3,2,3,Match Report
2018-2019,2018-09-23,Sun,Premier League,Matchweek 6,Home,D 0–0,West Ham,Chelsea,Y,CM,90,0,0,0,0,0,0,0,0,38,39,4,2,4,0.0,0.0,0.0,1,0,16,25,64.0,3,23,1,0,0,Match Report
2018-2019,2018-09-26,Wed,EFL Cup,Third round,Home,W 8–0,West Ham,Macclesfield,Y,CM,45,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2018-2019,2018-09-29,Sat,Premier League,Matchweek 7,Home,W 3–1,West Ham,Manchester Utd,Y,CM,90,0,0,0,0,1,0,0,0,27,27,0,0,0,0.0,0.0,0.0,0,0,24,26,92.3,4,24,1,0,0,Match Report
2018-2019,2018-10-05,Fri,Premier League,Matchweek 8,Away,L 0–1,West Ham,Brighton,Y,AM,59,0,0,0,0,2,0,0,0,34,7,3,1,0,0.1,0.1,0.0,1,0,23,26,88.5,3,22,3,2,2,Match Report
2018-2019,2018-10-31,Wed,EFL Cup,Fourth round,Home,L 1–3,West Ham,Tottenham,Y,CM,57,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2018-2019,2018-11-03,Sat,Premier League,Matchweek 11,Home,W 4–2,West Ham,Burnley,Y,CM,60,0,0,0,0,4,1,0,0,31,8,0,0,0,0.1,0.1,0.0,1,0,20,26,76.9,6,22,7,0,0,Match Report
2018-2019,2018-11-10,Sat,Premier League,Matchweek 12,Away,D 1–1,West Ham,Huddersfield,Y,CM,63,0,0,0,0,1,0,0,0,40,6,2,0,0,0.0,0.0,0.0,0,0,27,34,79.4,4,33,0,0,0,Match Report
2018-2019,2018-11-17,Sat,Africa Cup of Nations qualification,Group stage,Home,L 0–1,gq Equatorial Guinea,sn Senegal,Y,AM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-11-24,Sat,Premier League,Matchweek 13,Home,L 0–4,West Ham,Manchester City,Y,DM,90,0,0,0,0,1,0,0,0,52,22,3,0,2,0.1,0.1,0.0,1,0,35,46,76.1,6,37,2,0,0,Match Report
2018-2019,2018-12-01,Sat,Premier League,Matchweek 14,Away,W 3–0,West Ham,Newcastle Utd,N,"CM,FW",20,0,0,0,0,0,0,0,0,11,5,0,0,0,0.0,0.0,0.0,0,0,5,10,50.0,1,3,0,0,0,Match Report
2018-2019,2018-12-04,Tue,Premier League,Matchweek 15,Home,W 3–1,West Ham,Cardiff City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
