Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att_Passes,Cmp%,Prog_Passes,Carries,Prog_2_Carries,Succ,Att_2_Dribbles,Match Report
2018-2019,2018-08-04,Sat,League One,Matchweek 1,Away,L 1–2,Charlton Ath,Sunderland,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-08-11,Sat,League One,Matchweek 2,Home,W 2–1,Charlton Ath,Shrewsbury,Y,FW,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-08-18,Sat,League One,Matchweek 3,Away,D 1–1,Charlton Ath,Acc'ton Stanley,Y,FW,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-08-21,Tue,League One,Matchweek 4,Home,L 0–1,Charlton Ath,P'borough Utd,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-08-25,Sat,League One,Matchweek 5,Home,D 0–0,Charlton Ath,Fleetwood Town,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-09-01,Sat,League One,Matchweek 6,Away,W 2–1,Charlton Ath,Southend United,Y,CM,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-09-08,Sat,League One,Matchweek 7,Home,W 3–2,Charlton Ath,Wycombe,Y,AM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-09-15,Sat,League One,Matchweek 8,Away,W 2–0,Charlton Ath,Bradford City,Y,FW,89,1,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-09-22,Sat,League One,Matchweek 9,Home,W 2–1,Charlton Ath,Plymouth Argyle,Y,AM,90,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-09-29,Sat,League One,Matchweek 10,Away,D 2–2,Charlton Ath,Luton Town,N,,15,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-10-02,Tue,League One,Matchweek 11,Away,L 3–5,Charlton Ath,Scunthorpe Utd,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-10-06,Sat,League One,Matchweek 12,Home,L 1–2,Charlton Ath,Coventry City,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-10-20,Sat,League One,Matchweek 14,Home,W 2–0,Charlton Ath,Barnsley,Y,FW,90,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-10-23,Tue,League One,Matchweek 15,Home,D 1–1,Charlton Ath,Oxford United,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-10-27,Sat,League One,Matchweek 16,Away,L 0–1,Charlton Ath,Rochdale,Y,FW,75,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-11-03,Sat,League One,Matchweek 17,Home,W 2–0,Charlton Ath,Doncaster,Y,FW,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-11-06,Tue,League One,Matchweek 13,Away,W 2–0,Charlton Ath,Walsall,N,,57,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-11-11,Sun,FA Cup,First round,Away,D 1–1,Charlton Ath,Mansfield Town,Y,FW,90,0,0,0,0,2,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2018-2019,2018-11-20,Tue,FA Cup,First round,Home,W 5–0,Charlton Ath,Mansfield Town,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-11-24,Sat,League One,Matchweek 19,Home,W 3–1,Charlton Ath,Bristol Rovers,Y,FW,90,1,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-11-27,Tue,League One,Matchweek 20,Away,W 2–1,Charlton Ath,Burton Albion,Y,FW,90,1,0,1,1,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-12-08,Sat,League One,Matchweek 21,Away,L 1–2,Charlton Ath,Blackpool,Y,FW,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-12-11,Tue,League One,Matchweek 18,Away,W 2–1,Charlton Ath,Portsmouth,Y,FW,34,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-12-26,Wed,League One,Matchweek 24,Away,L 1–2,Charlton Ath,Coventry City,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-12-29,Sat,League One,Matchweek 25,Away,L 1–2,Charlton Ath,Barnsley,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2019-01-01,Tue,League One,Matchweek 26,Home,W 2–1,Charlton Ath,Walsall,Y,FW,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2019-01-05,Sat,League One,Matchweek 27,Home,D 1–1,Charlton Ath,Sunderland,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2019-01-12,Sat,League One,Matchweek 28,Away,W 3–0,Charlton Ath,Shrewsbury,Y,FW,90,1,0,1,1,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2019-01-19,Sat,League One,Matchweek 29,Home,W 1–0,Charlton Ath,Acc'ton Stanley,Y,FW,90,1,0,1,1,,,1,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2019-01-26,Sat,League One,Matchweek 30,Away,D 0–0,Charlton Ath,P'borough Utd,Y,FW,90,0,0,0,1,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2019-02-02,Sat,Premier League,Matchweek 25,Away,L 0–5,Huddersfield,Chelsea,N,CM,24,0,0,0,0,0,0,0,0,5,7,0,1,0,0.0,0.0,0.0,0,0,2,3,66.7,0,4,1,0,0,Match Report
2018-2019,2019-02-09,Sat,Premier League,Matchweek 26,Home,L 1–2,Huddersfield,Arsenal,N,LW,8,0,0,0,0,1,0,0,0,5,3,0,0,0,0.3,0.3,0.0,1,0,4,4,100.0,0,5,1,0,0,Match Report
2018-2019,2019-02-23,Sat,Premier League,Matchweek 27,Away,L 0–2,Huddersfield,Newcastle Utd,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2019-02-26,Tue,Premier League,Matchweek 28,Home,W 1–0,Huddersfield,Wolves,Y,FW,90,0,0,0,0,3,1,0,0,41,15,0,0,0,0.3,0.3,0.1,4,1,22,31,71.0,3,35,2,2,3,Match Report
2018-2019,2019-03-02,Sat,Premier League,Matchweek 29,Away,L 0–1,Huddersfield,Brighton,Y,FW,90,0,0,0,0,1,0,0,0,33,15,1,0,0,0.1,0.1,0.0,0,0,13,20,65.0,1,24,4,0,0,Match Report
2018-2019,2019-03-09,Sat,Premier League,Matchweek 30,Home,L 0–2,Huddersfield,Bournemouth,N,FW,30,0,0,0,0,0,0,0,0,9,5,0,0,0,0.0,0.0,0.0,1,0,3,5,60.0,1,8,1,0,0,Match Report
2018-2019,2019-03-16,Sat,Premier League,Matchweek 31,Away,L 3–4,Huddersfield,West Ham,Y,FW,69,2,0,0,0,2,2,0,0,24,32,0,1,0,0.3,0.3,0.0,2,0,12,19,63.2,0,14,3,0,0,Match Report
2018-2019,2019-03-30,Sat,Premier League,Matchweek 32,Away,L 0–2,Huddersfield,Crystal Palace,Y,FW,90,0,0,0,0,4,1,0,0,36,16,0,0,1,0.2,0.2,0.0,5,0,15,23,65.2,1,24,4,3,3,Match Report
2018-2019,2019-04-06,Sat,Premier League,Matchweek 33,Home,L 1–4,Huddersfield,Leicester City,Y,FW,90,0,0,0,0,1,1,0,0,32,17,1,0,1,0.4,0.4,0.1,2,1,13,17,76.5,0,22,2,2,3,Match Report
2018-2019,2019-04-13,Sat,Premier League,Matchweek 34,Away,L 0–4,Huddersfield,Tottenham,Y,"FW,LW",90,0,0,0,0,2,0,0,0,37,10,0,1,2,0.2,0.2,0.0,1,0,17,19,89.5,1,29,4,4,8,Match Report
2018-2019,2019-04-20,Sat,Premier League,Matchweek 35,Home,L 1–2,Huddersfield,Watford,N,FW,26,1,0,0,0,1,1,0,0,6,2,0,0,1,0.2,0.2,0.0,0,0,1,4,25.0,0,3,0,0,0,Match Report
2018-2019,2019-04-26,Fri,Premier League,Matchweek 36,Away,L 0–5,Huddersfield,Liverpool,Y,"LM,FW",90,0,0,0,0,1,0,0,0,44,15,0,0,1,0.0,0.0,0.1,3,0,19,30,63.3,2,33,3,2,4,Match Report
2018-2019,2019-05-05,Sun,Premier League,Matchweek 37,Home,D 1–1,Huddersfield,Manchester Utd,Y,FW,90,0,0,0,0,3,2,0,0,33,10,0,0,1,0.6,0.6,0.0,1,0,16,21,76.2,2,21,3,0,3,Match Report
2018-2019,2019-05-12,Sun,Premier League,Matchweek 38,Away,D 1–1,Huddersfield,Southampton,Y,FW,90,0,0,0,0,2,2,0,0,24,13,0,0,2,0.0,0.0,0.0,0,0,10,17,58.8,0,14,4,0,0,Match Report
