League,Season,Wk,Day,Date,Time,HomeTeam,xG_Home,xG_Away,AwayTeam,Attendance,Venue,Referee,Match Report,HomeScore,AwayScore
SerieA,2020-2021,5,Sun,2020-10-25,18:00,Fiorentina,1.2,1.8,Udinese,1000,Stadio Artemio Franchi,Francesco Fourneau,https://fbref.com/en/matches/64b18020/Fiorentina-Udinese-October-25-2020-Serie-A,3,2
SerieA,2020-2021,5,Sun,2020-10-25,20:45,Juventus,1.8,0.7,Hellas Verona,1000,Allianz Stadium,Fabrizio Pasqua,https://fbref.com/en/matches/55ef3ddd/Juventus-Hellas-Verona-October-25-2020-Serie-A,1,1
SerieA,2020-2021,5,Mon,2020-10-26,20:45,Milan,2.6,2.3,Roma,,Stadio Giuseppe Meazza,Piero Giacomelli,https://fbref.com/en/matches/ccde29ed/Milan-Roma-October-26-2020-Serie-A,3,3
SerieA,2020-2021,6,Sat,2020-10-31,15:00,Crotone,0.4,2.6,Atalanta,,Stadio Ezio Scida,Federico Dionisi,https://fbref.com/en/matches/6093ca64/Crotone-Atalanta-October-31-2020-Serie-A,1,2
SerieA,2020-2021,6,Sat,2020-10-31,18:00,Inter,2.5,0.7,Parma,,Stadio Giuseppe Meazza,Marco Piccinini,https://fbref.com/en/matches/6e9788e7/Internazionale-Parma-October-31-2020-Serie-A,2,2
SerieA,2020-2021,6,Sat,2020-10-31,20:45,Bologna,1.4,0.6,Cagliari,,Stadio Renato Dall'Ara,Michael Fabbri,https://fbref.com/en/matches/e2a5c42a/Bologna-Cagliari-October-31-2020-Serie-A,3,2
SerieA,2020-2021,6,Sun,2020-11-01,12:30,Udinese,1.1,1.1,Milan,,Dacia Arena,Marco Di Bello,https://fbref.com/en/matches/e6ef7801/Udinese-Milan-November-1-2020-Serie-A,1,2
SerieA,2020-2021,6,Sun,2020-11-01,15:00,Torino,2.8,1.4,Lazio,,Stadio Olimpico di Torino,Daniele Chiffi,https://fbref.com/en/matches/59f00a82/Torino-Lazio-November-1-2020-Serie-A,3,4
SerieA,2020-2021,6,Sun,2020-11-01,15:00,Spezia,0.7,3.4,Juventus,,Stadio Dino Manuzzi,Rosario Abisso,https://fbref.com/en/matches/8314abe6/Spezia-Juventus-November-1-2020-Serie-A,1,4
SerieA,2020-2021,6,Sun,2020-11-01,18:00,Roma,3.0,0.4,Fiorentina,,Stadio Olimpico,Daniele Orsato,https://fbref.com/en/matches/be251e3d/Roma-Fiorentina-November-1-2020-Serie-A,2,0
SerieA,2020-2021,6,Sun,2020-11-01,18:00,Napoli,2.3,1.4,Sassuolo,,Stadio San Paolo,Maurizio Mariani,https://fbref.com/en/matches/57755213/Napoli-Sassuolo-November-1-2020-Serie-A,0,2
SerieA,2020-2021,6,Sun,2020-11-01,20:45,Sampdoria,0.7,0.6,Genoa,,Stadio Comunale Luigi Ferraris,Federico La Penna,https://fbref.com/en/matches/3efc9351/Sampdoria-Genoa-November-1-2020-Serie-A,1,1
SerieA,2020-2021,6,Mon,2020-11-02,20:45,Hellas Verona,1.7,1.6,Benevento,,Stadio Marc'Antonio Bentegodi,Juan Sacchi,https://fbref.com/en/matches/0889467c/Hellas-Verona-Benevento-November-2-2020-Serie-A,3,1
SerieA,2020-2021,3,Wed,2020-11-04,17:00,Genoa,1.1,0.6,Torino,,Stadio Comunale Luigi Ferraris,Paolo Valeri,https://fbref.com/en/matches/8f049744/Genoa-Torino-November-4-2020-Serie-A,1,2
