Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2016-2017,2016-08-20,Sat,Serie A,Matchweek 1,Away,L 1–2,Fiorentina,Juventus,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-09-15,Thu,Europa Lg,Group stage,Away,D 0–0,it Fiorentina,gr PAOK,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-09-18,Sun,Serie A,Matchweek 4,Home,W 1–0,Fiorentina,Roma,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-09-21,Wed,Serie A,Matchweek 5,Away,D 2–2,Fiorentina,Udinese,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-09-25,Sun,Serie A,Matchweek 6,Home,D 0–0,Fiorentina,Milan,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-09-29,Thu,Europa Lg,Group stage,Home,W 5–1,it Fiorentina,az Qarabağ FK,N,,29,2,0,0,0,4,2,1,0,0,1,0,4,1,0,0,0,0,Match Report
2016-2017,2016-10-02,Sun,Serie A,Matchweek 7,Away,L 1–2,Fiorentina,Torino,N,,45,0,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,0,Match Report
2016-2017,2016-10-16,Sun,Serie A,Matchweek 8,Home,D 0–0,Fiorentina,Atalanta,N,,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Match Report
2016-2017,2016-10-20,Thu,Europa Lg,Group stage,Away,W 3–1,it Fiorentina,cz Slovan Liberec,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-10-23,Sun,Serie A,Matchweek 9,Away,W 5–3,Fiorentina,Cagliari,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-10-26,Wed,Serie A,Matchweek 10,Home,D 1–1,Fiorentina,Crotone,N,,4,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Match Report
2016-2017,2016-10-29,Sat,Serie A,Matchweek 11,Away,W 1–0,Fiorentina,Bologna,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-11-03,Thu,Europa Lg,Group stage,Home,W 3–0,it Fiorentina,cz Slovan Liberec,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-11-06,Sun,Serie A,Matchweek 12,Home,D 1–1,Fiorentina,Sampdoria,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-11-20,Sun,Serie A,Matchweek 13,Away,W 4–0,Fiorentina,Empoli,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-11-24,Thu,Europa Lg,Group stage,Home,L 2–3,it Fiorentina,gr PAOK,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-11-28,Mon,Serie A,Matchweek 14,Away,L 2–4,Fiorentina,Inter,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-12-04,Sun,Serie A,Matchweek 15,Home,W 2–1,Fiorentina,Palermo,N,,12,0,1,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,Match Report
2016-2017,2016-12-08,Thu,Europa Lg,Group stage,Away,W 2–1,it Fiorentina,az Qarabağ FK,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-12-12,Mon,Serie A,Matchweek 16,Home,W 2–1,Fiorentina,Sassuolo,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-12-15,Thu,Serie A,Matchweek 3,Away,L 0–1,Fiorentina,Genoa,Y,FW,90,0,0,0,0,4,0,0,0,4,1,0,2,2,1,0,0,0,Match Report
2016-2017,2016-12-18,Sun,Serie A,Matchweek 17,Away,L 1–3,Fiorentina,Lazio,N,,31,1,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,Match Report
2016-2017,2016-12-22,Thu,Serie A,Matchweek 18,Home,D 3–3,Fiorentina,Napoli,N,,17,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Match Report
2016-2017,2017-01-11,Wed,Coppa Italia,Round of 16,Home,W 1–0,Fiorentina,Chievo,Y,,70,0,0,0,0,,,0,1,,,,,,,0,,,Match Report
2016-2017,2017-01-15,Sun,Serie A,Matchweek 20,Home,W 2–1,Fiorentina,Juventus,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-02-04,Sat,Premier League,Matchweek 24,Home,W 2–1,Watford,Burnley,Y,FW,86,0,0,0,0,4,1,0,0,0,2,0,3,1,0,0,0,0,Match Report
2016-2017,2017-02-11,Sat,Premier League,Matchweek 25,Away,L 0–2,Watford,Manchester Utd,Y,AM,73,0,0,0,0,3,2,0,0,1,2,0,2,0,0,0,0,0,Match Report
2016-2017,2017-02-25,Sat,Premier League,Matchweek 26,Home,D 1–1,Watford,West Ham,Y,FW,44,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,Match Report
