Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2016-2017,2016-08-13,Sat,Premier League,Matchweek 1,Away,L 1–2,Sunderland,Manchester City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-08-21,Sun,Premier League,Matchweek 2,Home,L 1–2,Sunderland,Middlesbrough,N,,45,0,0,0,0,3,0,0,0,1,2,0,0,1,1,0,0,0,Match Report
2016-2017,2016-08-27,Sat,Premier League,Matchweek 3,Away,D 1–1,Sunderland,Southampton,N,,24,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,Match Report
2016-2017,2016-09-11,Sun,Süper Lig,Matchweek 3,Home,L 0–1,Fenerbahçe,Bursaspor,Y,FW,74,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,Match Report
2016-2017,2016-09-19,Mon,Süper Lig,Matchweek 4,Away,W 5–1,Fenerbahçe,Kasımpaşa,Y,FW,71,0,2,0,0,0,0,1,0,2,3,0,7,1,1,0,0,0,Match Report
2016-2017,2016-09-25,Sun,Süper Lig,Matchweek 5,Home,W 2–1,Fenerbahçe,Gaziantepspor,Y,RW,89,0,1,0,0,3,2,0,0,1,4,0,6,1,0,0,0,0,Match Report
2016-2017,2016-09-29,Thu,Europa Lg,Group stage,Home,W 1–0,tr Fenerbahçe,nl Feyenoord,Y,FW,86,0,0,0,0,2,1,0,0,2,6,1,8,2,3,0,0,0,Match Report
2016-2017,2016-10-24,Mon,Süper Lig,Matchweek 8,Away,W 1–0,Fenerbahçe,Konyaspor,Y,AM,63,0,0,0,0,0,0,0,0,1,5,0,3,1,0,0,1,0,Match Report
2016-2017,2016-10-30,Sun,Süper Lig,Matchweek 9,Home,W 5–0,Fenerbahçe,Karabükspor,Y,AM,90,1,0,0,0,1,1,0,0,5,3,0,7,1,4,0,0,0,Match Report
2016-2017,2016-11-03,Thu,Europa Lg,Group stage,Home,W 2–1,tr Fenerbahçe,eng Manchester Utd,Y,FW,90,1,0,0,0,3,1,0,0,2,1,0,3,2,3,0,0,0,Match Report
2016-2017,2016-11-06,Sun,Süper Lig,Matchweek 10,Away,W 3–1,Fenerbahçe,Akhisarspor,Y,AM,79,0,0,0,0,1,0,1,0,3,0,0,6,2,0,0,0,0,Match Report
2016-2017,2016-11-09,Wed,Friendlies (M),Friendlies (M),Home,D 1–1,nl Netherlands,be Belgium,Y,FW,66,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2016-2017,2016-12-03,Sat,Süper Lig,Matchweek 13,Home,D 0–0,Fenerbahçe,Beşiktaş,N,,14,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,Match Report
2016-2017,2016-12-08,Thu,Europa Lg,Group stage,Away,W 1–0,tr Fenerbahçe,nl Feyenoord,Y,FW,70,0,0,0,0,0,0,0,0,1,3,1,6,0,0,0,0,0,Match Report
2016-2017,2016-12-12,Mon,Süper Lig,Matchweek 14,Away,L 0–1,Fenerbahçe,Antalyaspor,Y,AM,76,0,0,0,0,3,2,0,0,4,4,1,7,3,1,0,0,0,Match Report
2016-2017,2016-12-19,Mon,Süper Lig,Matchweek 15,Home,W 3–0,Fenerbahçe,Gençlerbirliği,Y,AM,90,0,2,0,0,1,1,0,0,3,2,2,11,3,0,0,0,0,Match Report
2016-2017,2016-12-26,Mon,Süper Lig,Matchweek 16,Away,W 3–0,Fenerbahçe,Trabzonspor,Y,AM,85,1,1,0,0,2,2,0,0,3,2,0,8,0,0,0,0,0,Match Report
2016-2017,2017-01-15,Sun,Süper Lig,Matchweek 17,Home,D 2–2,Fenerbahçe,Adanaspor,Y,AM,90,0,0,0,0,1,1,0,0,2,3,0,21,3,1,0,0,0,Match Report
2016-2017,2017-01-22,Sun,Süper Lig,Matchweek 18,Home,W 1–0,Fenerbahçe,Başakşehir,Y,AM,90,0,0,0,0,1,0,1,0,3,2,1,7,0,1,0,0,0,Match Report
2016-2017,2017-01-29,Sun,Süper Lig,Matchweek 19,Away,L 1–4,Fenerbahçe,Kayserispor,Y,AM,90,0,0,0,0,1,0,0,0,4,4,0,13,1,1,0,0,0,Match Report
2016-2017,2017-02-11,Sat,Süper Lig,Matchweek 20,Away,D 1–1,Fenerbahçe,Bursaspor,Y,AM,90,0,0,0,0,2,1,1,0,1,1,0,14,0,0,0,0,0,Match Report
2016-2017,2017-02-16,Thu,Europa Lg,Round of 32,Away,L 0–1,tr Fenerbahçe,ru Krasnodar,Y,FW,90,0,0,0,0,0,0,0,0,7,4,0,12,2,1,0,0,0,Match Report
2016-2017,2017-02-22,Wed,Europa Lg,Round of 32,Home,D 1–1,tr Fenerbahçe,ru Krasnodar,Y,FW,90,0,1,0,0,3,0,1,0,3,0,0,10,2,0,0,0,0,Match Report
2016-2017,2017-02-26,Sun,Süper Lig,Matchweek 22,Away,D 1–1,Fenerbahçe,Gaziantepspor,Y,AM,90,1,0,0,0,2,2,0,0,6,5,0,14,1,0,0,0,0,Match Report
2016-2017,2017-03-05,Sun,Süper Lig,Matchweek 23,Home,W 1–0,Fenerbahçe,Osmanlıspor,Y,AM,90,0,1,0,0,3,1,1,0,3,4,0,13,2,0,0,0,0,Match Report
2016-2017,2017-03-10,Fri,Süper Lig,Matchweek 24,Away,W 3–2,Fenerbahçe,Alanyaspor,Y,AM,90,0,1,0,0,0,0,0,0,4,4,0,9,3,2,0,0,0,Match Report
2016-2017,2017-03-25,Sat,WCQ — UEFA (M),First round,Away,L 0–2,nl Netherlands,bg Bulgaria,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-03-28,Tue,Friendlies (M),Friendlies (M),Home,L 1–2,nl Netherlands,it Italy,Y,FW,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2016-2017,2017-04-01,Sat,Süper Lig,Matchweek 26,Away,W 1–0,Fenerbahçe,Karabükspor,Y,FW,90,0,0,0,0,1,1,0,0,2,2,0,10,1,0,0,0,0,Match Report
2016-2017,2017-04-09,Sun,Süper Lig,Matchweek 27,Home,W 3–1,Fenerbahçe,Akhisarspor,Y,AM,90,1,0,0,0,1,1,1,0,4,3,1,12,0,1,0,0,0,Match Report
