0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
493,Ben White,eng ENG,"DF,MF",Brighton,23-198,1997,31,31,"2,741",30.5,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,1.2,0.02,0.02,0.04,0.02,0.04,Matches
494,Georginio Wijnaldum,nl NED,MF,Liverpool,30-164,1990,32,29,"2,518",28.0,2,0,2,0,0,1,0,0.07,0.00,0.07,0.07,0.07,2.9,2.9,1.4,4.4,0.11,0.05,0.16,0.11,0.16,Matches
495,Brandon Williams,eng ENG,DF,Manchester Utd,20-233,2000,2,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
496,Neco Williams,wal WAL,DF,Liverpool,20-011,2001,5,3,248,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.03,0.10,0.13,0.03,0.13,Matches
497,Rhys Williams,eng ENG,DF,Liverpool,20-080,2001,4,2,218,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.02,0.08,0.09,0.02,0.09,Matches
498,Willian,br BRA,"FW,MF",Arsenal,32-258,1988,23,14,"1,226",13.6,0,5,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,2.0,2.0,2.0,4.0,0.14,0.15,0.29,0.14,0.29,Matches
499,Joe Willock,eng ENG,MF,Newcastle Utd,21-247,1999,9,7,611,6.8,3,0,3,0,0,0,0,0.44,0.00,0.44,0.44,0.44,1.5,1.5,0.7,2.2,0.22,0.10,0.33,0.22,0.33,Matches
500,Joe Willock,eng ENG,MF,Arsenal,21-247,1999,7,2,238,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.5,0.17,0.02,0.18,0.17,0.18,Matches
501,Callum Wilson,eng ENG,FW,Newcastle Utd,29-056,1992,23,21,"1,873",20.8,10,5,6,4,4,2,0,0.48,0.24,0.72,0.29,0.53,9.6,6.6,1.6,8.2,0.46,0.08,0.54,0.31,0.39,Matches
502,Harry Winks,eng ENG,MF,Tottenham,25-081,1996,11,7,655,7.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.04,0.04,0.00,0.04,Matches
503,Chris Wood,nz NZL,FW,Burnley,29-138,1991,27,26,"2,237",24.9,7,2,6,1,1,0,0,0.28,0.08,0.36,0.24,0.32,9.7,9.0,1.8,10.8,0.39,0.07,0.46,0.36,0.43,Matches
504,Granit Xhaka,ch SUI,"MF,DF",Arsenal,28-209,1992,28,27,"2,329",25.9,1,2,1,0,0,6,1,0.04,0.08,0.12,0.04,0.12,0.7,0.7,1.3,2.0,0.03,0.05,0.08,0.03,0.08,Matches
505,Andriy Yarmolenko,ua UKR,"FW,MF",West Ham,31-183,1989,14,1,357,4.0,0,1,0,0,0,3,0,0.00,0.25,0.25,0.00,0.25,0.4,0.4,1.0,1.4,0.11,0.24,0.35,0.11,0.35,Matches
506,DeAndre Yedlin,us USA,DF,Newcastle Utd,27-289,1993,6,5,436,4.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches
507,Okay Yokuşlu,tr TUR,MF,West Brom,27-046,1994,10,9,799,8.9,0,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.7,0.7,0.6,1.3,0.07,0.07,0.14,0.07,0.14,Matches
508,Wilfried Zaha,ci CIV,FW,Crystal Palace,28-165,1992,23,22,"1,982",22.0,9,2,7,2,2,4,0,0.41,0.09,0.50,0.32,0.41,6.2,4.7,2.4,7.1,0.28,0.11,0.39,0.21,0.32,Matches
509,Andre-Frank Zambo Anguissa,cm CMR,MF,Fulham,25-159,1995,31,24,"2,210",24.6,0,3,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,1.5,1.5,2.0,3.5,0.06,0.08,0.14,0.06,0.14,Matches
510,Andi Zeqiri,ch SUI,"DF,FW",Brighton,21-306,1999,6,0,124,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.25,0.00,0.25,0.25,0.25,Matches
511,Oleksandr Zinchenko,ua UKR,DF,Manchester City,24-130,1996,16,13,"1,263",14.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.3,1.9,0.05,0.09,0.14,0.05,0.14,Matches
512,Hakim Ziyech,ma MAR,"FW,MF",Chelsea,28-036,1993,18,13,971,10.8,1,3,1,0,0,3,0,0.09,0.28,0.37,0.09,0.37,1.3,1.3,3.2,4.5,0.12,0.30,0.42,0.12,0.42,Matches
513,Kurt Zouma,fr FRA,DF,Chelsea,26-179,1994,20,20,"1,800",20.0,5,0,5,0,0,2,0,0.25,0.00,0.25,0.25,0.25,1.7,1.7,0.0,1.8,0.09,0.00,0.09,0.09,0.09,Matches
514,Martin Ødegaard,no NOR,MF,Arsenal,22-128,1998,10,6,581,6.5,1,0,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,0.8,0.8,0.8,1.6,0.13,0.13,0.25,0.13,0.25,Matches
