0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
64,Jayden Bogle,eng ENG,DF,Sheffield Utd,20-271,2000,13,9,886,9.8,2,0,2,0,0,2,0,0.20,0.00,0.20,0.20,0.20,1.5,1.5,0.2,1.6,0.15,0.02,0.17,0.15,0.17,Matches
65,Willy Boly,ci CIV,DF,Wolves,30-080,1991,18,18,"1,620",18.0,1,1,1,0,0,1,0,0.06,0.06,0.11,0.06,0.11,1.1,1.1,0.4,1.5,0.06,0.02,0.08,0.06,0.08,Matches
66,Jarrod Bowen,eng ENG,"FW,MF",West Ham,24-125,1996,32,27,"2,246",25.0,8,5,8,0,0,0,0,0.32,0.20,0.52,0.32,0.52,5.5,5.5,3.4,8.8,0.22,0.13,0.35,0.22,0.35,Matches
67,Robbie Brady,ie IRL,MF,Burnley,29-100,1992,19,12,"1,052",11.7,1,1,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,0.8,0.8,0.9,1.7,0.07,0.08,0.15,0.07,0.15,Matches
68,Rhian Brewster,eng ENG,FW,Sheffield Utd,21-023,2000,23,10,983,10.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,1.6,3.0,0.13,0.15,0.28,0.13,0.28,Matches
69,Nathan Broadhead,wal WAL,MF,Everton,23-019,1998,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
70,Josh Brownhill,eng ENG,MF,Burnley,25-126,1995,27,26,"2,318",25.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.8,2.2,0.05,0.03,0.08,0.05,0.08,Matches
71,Joe Bryan,eng ENG,"DF,FW",Fulham,27-219,1993,13,5,475,5.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.03,0.03,0.06,0.03,0.06,Matches
72,Kean Bryan,eng ENG,DF,Sheffield Utd,24-174,1996,11,10,835,9.3,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.4,0.4,0.4,0.8,0.04,0.04,0.08,0.04,0.08,Matches
73,Oliver Burke,sco SCO,FW,Sheffield Utd,24-017,1997,22,13,"1,134",12.6,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,2.3,2.3,1.7,4.1,0.19,0.14,0.32,0.19,0.32,Matches
74,Dan Burn,eng ENG,DF,Brighton,28-350,1992,22,18,"1,611",17.9,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.8,1.7,0.05,0.04,0.10,0.05,0.10,Matches
75,David Button,eng ENG,GK,West Brom,32-056,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
76,Oskar Buur,dk DEN,DF,Wolves,23-024,1998,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
77,Willy Caballero,ar ARG,GK,Chelsea,39-208,1981,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
78,Gary Cahill,eng ENG,DF,Crystal Palace,35-126,1985,16,16,"1,440",16.0,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.3,0.3,0.4,0.6,0.02,0.02,0.04,0.02,0.04,Matches
79,Tom Cairney,sco SCO,MF,Fulham,30-094,1991,10,9,759,8.4,1,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,2.1,0.08,0.17,0.25,0.08,0.25,Matches
80,Dominic Calvert-Lewin,eng ENG,FW,Everton,24-039,1997,27,26,"2,331",25.9,14,0,14,0,0,3,0,0.54,0.00,0.54,0.54,0.54,13.0,13.0,1.2,14.1,0.52,0.05,0.57,0.52,0.57,Matches
81,João Cancelo,pt POR,DF,Manchester City,26-332,1994,24,23,"2,037",22.6,1,3,1,0,0,4,0,0.04,0.13,0.18,0.04,0.18,1.7,1.7,4.6,6.3,0.08,0.20,0.28,0.08,0.28,Matches
82,Ian Carlo Poveda,eng ENG,"MF,DF",Leeds United,21-074,2000,11,0,277,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.8,1.1,0.12,0.25,0.37,0.12,0.37,Matches
83,Andy Carroll,eng ENG,FW,Newcastle Utd,32-108,1989,17,4,386,4.3,1,0,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,1.2,1.2,0.1,1.2,0.27,0.02,0.29,0.27,0.29,Matches
84,Matty Cash,eng ENG,DF,Aston Villa,23-260,1997,25,25,"2,148",23.9,0,2,0,0,0,8,1,0.00,0.08,0.08,0.00,0.08,0.3,0.3,1.9,2.2,0.01,0.08,0.09,0.01,0.09,Matches
85,Kiko Casilla,es ESP,GK,Leeds United,34-204,1986,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
86,Timothy Castagne,be BEL,DF,Leicester City,25-140,1995,21,21,"1,805",20.1,1,3,1,0,0,1,0,0.05,0.15,0.20,0.05,0.20,0.9,0.9,2.0,2.9,0.04,0.10,0.14,0.04,0.14,Matches
87,Jonny Castro,es ESP,DF,Wolves,27-052,1994,7,7,495,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.03,0.04,0.01,0.04,Matches
88,Ivan Cavaleiro,pt POR,"FW,MF",Fulham,27-188,1993,31,22,"2,035",22.6,3,0,2,1,2,2,0,0.13,0.00,0.13,0.09,0.09,4.9,4.2,2.6,6.7,0.22,0.11,0.33,0.18,0.30,Matches
89,Edinson Cavani,uy URU,FW,Manchester Utd,34-069,1987,21,11,"1,143",12.7,8,2,8,0,0,3,0,0.63,0.16,0.79,0.63,0.79,6.6,6.6,1.8,8.4,0.52,0.14,0.66,0.52,0.66,Matches
90,Dani Ceballos,es ESP,MF,Arsenal,24-260,1996,23,15,"1,450",16.1,0,3,0,0,0,3,0,0.00,0.19,0.19,0.00,0.19,0.3,0.3,2.8,3.1,0.02,0.18,0.21,0.02,0.21,Matches
91,Calum Chambers,eng ENG,DF,Arsenal,26-094,1995,5,5,442,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.07,0.13,0.20,0.07,0.20,Matches
92,Ben Chilwell,eng ENG,DF,Chelsea,24-124,1996,22,22,"1,846",20.5,2,4,2,0,0,3,0,0.10,0.20,0.29,0.10,0.29,1.7,1.7,1.5,3.3,0.09,0.08,0.16,0.09,0.16,Matches
93,Hamza Choudhury,eng ENG,MF,Leicester City,23-205,1997,9,4,305,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.11,0.00,0.11,0.11,0.11,Matches
94,Andreas Christensen,dk DEN,DF,Chelsea,25-014,1996,14,12,"1,147",12.7,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.03,0.03,0.01,0.03,Matches
95,Ciaran Clark,ie IRL,DF,Newcastle Utd,31-210,1989,20,19,"1,745",19.4,1,0,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,0.3,0.3,0.1,0.4,0.02,0.00,0.02,0.02,0.02,Matches
96,Nathaniel Clyne,eng ENG,DF,Crystal Palace,30-019,1991,13,13,"1,145",12.7,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matches
97,Conor Coady,eng ENG,DF,Wolves,28-058,1993,31,31,"2,763",30.7,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,1.3,1.3,0.1,1.4,0.04,0.00,0.04,0.04,0.04,Matches
98,Séamus Coleman,ie IRL,DF,Everton,32-195,1988,20,13,"1,188",13.2,0,3,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,0.6,0.6,1.5,2.0,0.05,0.12,0.17,0.05,0.17,Matches
99,Aaron Connolly,ie IRL,FW,Brighton,21-086,2000,15,9,722,8.0,2,1,2,0,0,0,0,0.25,0.12,0.37,0.25,0.37,3.3,3.3,0.2,3.5,0.41,0.02,0.43,0.41,0.43,Matches
100,Liam Cooper,sco SCO,DF,Leeds United,29-237,1991,23,23,"2,005",22.3,1,0,1,0,0,3,1,0.04,0.00,0.04,0.04,0.04,1.3,1.3,0.0,1.3,0.06,0.00,0.06,0.06,0.06,Matches
101,Jack Cork,eng ENG,MF,Burnley,31-303,1989,10,9,825,9.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.03,0.02,0.05,0.03,0.05,Matches
102,Hélder Costa,pt POR,"MF,FW",Leeds United,27-102,1994,21,12,"1,085",12.1,3,3,3,0,0,0,0,0.25,0.25,0.50,0.25,0.50,2.0,2.0,0.9,2.9,0.16,0.08,0.24,0.16,0.24,Matches
103,Vladimír Coufal,cz CZE,DF,West Ham,28-245,1992,28,28,"2,514",27.9,0,5,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,1.0,1.0,3.9,5.0,0.04,0.14,0.18,0.04,0.18,Matches
104,Aaron Cresswell,eng ENG,DF,West Ham,31-130,1989,31,31,"2,752",30.6,0,7,0,0,0,3,0,0.00,0.23,0.23,0.00,0.23,0.8,0.8,4.4,5.2,0.03,0.14,0.17,0.03,0.17,Matches
105,Patrick Cutrone,it ITA,"FW,MF",Wolves,23-111,1998,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.61,0.00,0.61,0.61,0.61,Matches
106,Stuart Dallas,nir NIR,"DF,MF",Leeds United,30-005,1991,32,32,"2,869",31.9,7,2,7,0,0,6,0,0.22,0.06,0.28,0.22,0.28,3.5,3.5,1.6,5.1,0.11,0.05,0.16,0.11,0.16,Matches
107,Scott Dann,eng ENG,DF,Crystal Palace,34-069,1987,12,12,"1,080",12.0,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.3,0.3,0.0,0.4,0.03,0.00,0.03,0.03,0.03,Matches
108,Karl Darlow,eng ENG,GK,Newcastle Utd,30-198,1990,25,25,"2,250",25.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
109,Ben Davies,wal WAL,DF,Tottenham,28-000,1993,20,14,"1,346",15.0,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.6,0.9,0.01,0.04,0.06,0.01,0.06,Matches
110,Tom Davies,eng ENG,MF,Everton,22-298,1998,22,15,"1,234",13.7,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,1.0,1.1,0.01,0.07,0.08,0.01,0.08,Matches
111,Keinan Davis,eng ENG,"FW,MF",Aston Villa,23-070,1998,10,0,157,1.7,0,1,0,0,0,0,0,0.00,0.57,0.57,0.00,0.57,0.5,0.5,0.3,0.8,0.29,0.20,0.48,0.29,0.48,Matches
112,Leif Davis,eng ENG,DF,Leeds United,21-102,2000,2,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
113,Craig Dawson,eng ENG,DF,West Ham,30-353,1990,17,17,"1,475",16.4,3,0,3,0,0,3,1,0.18,0.00,0.18,0.18,0.18,1.5,1.5,0.0,1.5,0.09,0.00,0.09,0.09,0.09,Matches
114,Kevin De Bruyne,be BEL,MF,Manchester City,29-300,1991,24,22,"1,907",21.2,5,11,3,2,3,1,0,0.24,0.52,0.76,0.14,0.66,9.6,7.3,9.1,16.5,0.45,0.43,0.88,0.35,0.78,Matches
115,Liam Delap,eng ENG,FW,Manchester City,18-075,2003,1,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches
116,Fabian Delph,eng ENG,"MF,DF",Everton,31-154,1989,6,2,239,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
117,Leander Dendoncker,be BEL,"MF,DF",Wolves,26-009,1995,27,24,"2,149",23.9,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,3.3,3.3,0.7,4.0,0.14,0.03,0.17,0.14,0.17,Matches
118,Mbaye Diagne,sn SEN,FW,West Brom,29-178,1991,12,11,952,10.6,2,2,2,0,0,2,0,0.19,0.19,0.38,0.19,0.38,4.1,4.1,1.6,5.7,0.39,0.15,0.54,0.39,0.54,Matches
119,Ibrahima Diallo,fr FRA,MF,Southampton,22-047,1999,17,9,864,9.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.03,0.02,0.06,0.03,0.06,Matches
120,Grady Diangana,eng ENG,"MF,FW",West Brom,23-005,1998,16,14,"1,088",12.1,1,0,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,1.0,1.0,0.1,1.1,0.08,0.01,0.09,0.08,0.09,Matches
121,Raphael Dias Belloli,br BRA,MF,Leeds United,24-131,1996,26,23,"2,067",23.0,6,6,6,0,0,3,0,0.26,0.26,0.52,0.26,0.52,5.3,5.3,7.1,12.3,0.23,0.31,0.54,0.23,0.54,Matches
122,Rúben Dias,pt POR,DF,Manchester City,23-345,1997,29,29,"2,573",28.6,1,0,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,2.2,2.2,0.1,2.3,0.08,0.00,0.08,0.08,0.08,Matches
123,Eric Dier,eng ENG,DF,Tottenham,27-099,1994,24,24,"2,160",24.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.03,0.00,0.03,0.03,0.03,Matches
124,Lucas Digne,fr FRA,"DF,MF",Everton,27-278,1993,24,24,"2,141",23.8,0,6,0,0,0,2,1,0.00,0.25,0.25,0.00,0.25,0.5,0.5,4.3,4.8,0.02,0.19,0.21,0.02,0.21,Matches
125,Virgil van Dijk,nl NED,DF,Liverpool,29-290,1991,5,5,370,4.1,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,0.3,0.3,0.0,0.3,0.08,0.00,0.08,0.08,0.08,Matches
126,Issa Diop,fr FRA,DF,West Ham,24-105,1997,13,12,"1,108",12.3,2,0,2,0,0,3,0,0.16,0.00,0.16,0.16,0.16,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03,Matches
127,Moussa Djenepo,ml MLI,MF,Southampton,22-313,1998,25,14,"1,138",12.6,1,0,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,0.9,0.9,0.5,1.4,0.07,0.04,0.11,0.07,0.11,Matches
128,Matt Doherty,ie IRL,DF,Tottenham,29-098,1992,15,12,"1,142",12.7,0,2,0,0,0,4,1,0.00,0.16,0.16,0.00,0.16,0.3,0.3,0.7,1.0,0.03,0.05,0.08,0.03,0.08,Matches
129,Gabriel Dos Santos,br BRA,DF,Arsenal,23-126,1997,18,17,"1,546",17.2,2,0,2,0,0,4,1,0.12,0.00,0.12,0.12,0.12,0.8,0.8,0.0,0.9,0.05,0.00,0.05,0.05,0.05,Matches
130,Abdoulaye Doucouré,fr FRA,MF,Everton,28-113,1993,25,25,"2,131",23.7,2,3,2,0,0,6,0,0.08,0.13,0.21,0.08,0.21,2.0,2.0,2.2,4.2,0.08,0.09,0.18,0.08,0.18,Matches
131,Martin Dúbravka,sk SVK,GK,Newcastle Utd,32-099,1989,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
132,Paul Dummett,wal WAL,DF,Newcastle Utd,29-210,1991,9,8,715,7.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.05,0.05,0.00,0.05,Matches
133,Lewis Dunk,eng ENG,DF,Brighton,29-154,1991,29,29,"2,609",29.0,4,0,4,0,0,5,1,0.14,0.00,0.14,0.14,0.14,2.4,2.4,0.6,3.0,0.08,0.02,0.10,0.08,0.10,Matches
134,Jimmy Dunne,ie IRL,DF,Burnley,23-187,1997,2,2,180,2.0,1,0,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,0.3,0.3,0.1,0.4,0.13,0.05,0.19,0.13,0.19,Matches
135,Ederson,br BRA,GK,Manchester City,27-250,1993,32,32,"2,880",32.0,0,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,Matches
136,Kyle Edwards,eng ENG,"MF,FW",West Brom,23-066,1998,5,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.11,0.00,0.11,0.11,0.11,Matches
137,John Egan,ie IRL,DF,Sheffield Utd,28-186,1992,25,24,"2,089",23.2,0,1,0,0,0,6,1,0.00,0.04,0.04,0.00,0.04,0.5,0.5,0.2,0.7,0.02,0.01,0.03,0.02,0.03,Matches
138,Ahmed Elmohamady,eg EGY,DF,Aston Villa,33-227,1987,11,6,613,6.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.04,0.08,0.12,0.04,0.12,Matches
139,Mohamed Elneny,eg EGY,MF,Arsenal,28-287,1992,19,13,"1,184",13.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.5,0.03,0.01,0.04,0.03,0.04,Matches
140,Jonny Evans,nir NIR,DF,Leicester City,33-111,1988,26,26,"2,293",25.5,1,1,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,1.5,1.5,0.1,1.7,0.06,0.01,0.07,0.06,0.07,Matches
141,Eberechi Eze,eng ENG,MF,Crystal Palace,22-299,1998,29,24,"2,109",23.4,3,3,3,0,0,3,0,0.13,0.13,0.26,0.13,0.26,1.6,1.6,1.7,3.3,0.07,0.07,0.14,0.07,0.14,Matches
142,Łukasz Fabiański,pl POL,GK,West Ham,36-006,1985,30,30,"2,700",30.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
143,Fabinho,br BRA,"DF,MF",Liverpool,27-183,1993,24,22,"2,027",22.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.01,0.02,0.03,0.01,0.03,Matches
144,Bruno Fernandes,pt POR,MF,Manchester Utd,26-228,1994,32,31,"2,731",30.3,16,11,8,8,9,5,0,0.53,0.36,0.89,0.26,0.63,13.4,6.5,10.2,16.8,0.44,0.34,0.78,0.22,0.55,Matches
145,Federico Fernández,ar ARG,DF,Newcastle Utd,32-062,1989,18,18,"1,561",17.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.02,0.02,0.01,0.02,Matches
146,Fernandinho,br BRA,MF,Manchester City,35-355,1985,18,10,997,11.1,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.6,1.3,0.07,0.06,0.12,0.07,0.12,Matches
147,Sam Field,eng ENG,MF,West Brom,22-351,1998,3,0,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
148,Roberto Firmino,br BRA,FW,Liverpool,29-204,1991,30,28,"2,387",26.5,6,5,6,0,0,2,0,0.23,0.19,0.41,0.23,0.41,11.1,11.1,4.5,15.5,0.42,0.17,0.59,0.42,0.59,Matches
149,John Fleck,sco SCO,MF,Sheffield Utd,29-243,1991,25,23,"2,035",22.6,0,2,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.8,0.8,2.2,2.9,0.03,0.10,0.13,0.03,0.13,Matches
150,Phil Foden,eng ENG,"FW,MF",Manchester City,20-331,2000,25,15,"1,450",16.1,7,5,7,0,0,0,0,0.43,0.31,0.74,0.43,0.74,4.6,4.6,4.0,8.7,0.29,0.25,0.54,0.29,0.54,Matches
151,Wesley Fofana,fr FRA,DF,Leicester City,20-128,2000,22,21,"1,837",20.4,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.3,1.1,0.04,0.01,0.06,0.04,0.06,Matches
152,Pablo Fornals,es ESP,"FW,MF",West Ham,25-061,1996,27,25,"2,056",22.8,3,3,3,0,0,3,0,0.13,0.13,0.26,0.13,0.26,4.2,4.2,2.0,6.2,0.18,0.09,0.27,0.18,0.27,Matches
153,Fraser Forster,eng ENG,GK,Southampton,33-038,1988,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
154,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,23-112,1998,1,1,80,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.03,0.31,0.34,0.03,0.34,Matches
155,Ryan Fraser,sco SCO,"FW,MF",Newcastle Utd,27-059,1994,18,9,928,10.3,0,2,0,0,0,2,1,0.00,0.19,0.19,0.00,0.19,0.9,0.9,2.1,3.0,0.09,0.20,0.29,0.09,0.29,Matches
156,Fred,br BRA,MF,Manchester Utd,28-050,1993,26,23,"2,060",22.9,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,1.9,1.9,2.4,4.3,0.08,0.10,0.19,0.08,0.19,Matches
157,Ryan Fredericks,eng ENG,"DF,FW",West Ham,28-196,1992,12,5,455,5.1,1,1,1,0,0,2,0,0.20,0.20,0.40,0.20,0.40,0.2,0.2,1.2,1.4,0.04,0.24,0.28,0.04,0.28,Matches
158,Christian Fuchs,at AUT,DF,Leicester City,35-017,1986,9,8,702,7.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
159,Darnell Furlong,eng ENG,DF,West Brom,25-175,1995,29,26,"2,392",26.6,1,3,1,0,0,4,0,0.04,0.11,0.15,0.04,0.15,1.3,1.3,1.9,3.3,0.05,0.07,0.12,0.05,0.12,Matches
160,Conor Gallagher,eng ENG,MF,West Brom,21-077,2000,24,22,"1,991",22.1,2,2,2,0,0,8,0,0.09,0.09,0.18,0.09,0.18,1.3,1.3,0.9,2.2,0.06,0.04,0.10,0.06,0.10,Matches
161,Eric García,es ESP,DF,Manchester City,20-105,2001,4,2,217,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.04,0.00,0.04,Matches
162,Dwight Gayle,eng ENG,"FW,MF",Newcastle Utd,30-189,1990,13,4,427,4.7,1,0,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,1.9,1.9,0.2,2.1,0.40,0.04,0.44,0.40,0.44,Matches
163,Jean-Philippe Gbamin,ci CIV,MF,Everton,25-211,1995,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
164,David de Gea,es ESP,GK,Manchester Utd,30-168,1990,24,24,"2,115",23.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
165,Anwar El Ghazi,nl NED,FW,Aston Villa,25-356,1995,21,10,"1,013",11.3,6,0,4,2,2,1,0,0.53,0.00,0.53,0.36,0.36,4.9,3.4,1.7,5.1,0.44,0.15,0.59,0.30,0.45,Matches
166,Kieran Gibbs,eng ENG,DF,West Brom,31-210,1989,10,9,809,9.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.01,0.03,0.04,0.01,0.04,Matches
167,Morgan Gibbs-White,eng ENG,"FW,MF",Wolves,21-087,2000,5,1,121,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.10,0.10,0.00,0.10,Matches
168,Billy Gilmour,sco SCO,MF,Chelsea,19-317,2001,2,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
169,Olivier Giroud,fr FRA,FW,Chelsea,34-206,1986,15,8,721,8.0,4,0,4,0,0,1,0,0.50,0.00,0.50,0.50,0.50,4.2,4.2,0.7,5.0,0.53,0.09,0.62,0.53,0.62,Matches
170,Ben Godfrey,eng ENG,DF,Everton,23-099,1998,25,23,"2,145",23.8,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,0.7,0.7,0.0,0.7,0.03,0.00,0.03,0.03,0.03,Matches
171,André Gomes,pt POR,MF,Everton,27-268,1993,24,16,"1,459",16.2,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.3,0.3,0.9,1.1,0.02,0.06,0.07,0.02,0.07,Matches
172,Joe Gomez,eng ENG,DF,Liverpool,23-336,1997,7,6,590,6.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
173,Anthony Gordon,eng ENG,"FW,MF",Everton,20-059,2001,3,1,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
174,Karlan Grant,eng ENG,"FW,MF",West Brom,23-218,1997,18,14,"1,104",12.3,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,2.1,2.1,0.0,2.1,0.17,0.00,0.17,0.17,0.17,Matches
175,Demarai Gray,eng ENG,FW,Leicester City,24-300,1996,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.43,0.00,0.43,0.43,0.43,Matches
176,Jack Grealish,eng ENG,"FW,MF",Aston Villa,25-226,1995,22,22,"1,977",22.0,6,10,6,0,0,6,0,0.27,0.46,0.73,0.27,0.73,4.2,4.2,8.1,12.2,0.19,0.37,0.56,0.19,0.56,Matches
177,Mason Greenwood,eng ENG,FW,Manchester Utd,19-205,2001,26,17,"1,493",16.6,5,2,5,0,0,2,0,0.30,0.12,0.42,0.30,0.42,5.6,5.6,1.8,7.4,0.34,0.11,0.44,0.34,0.44,Matches
178,Pascal Groß,de GER,"MF,DF",Brighton,29-313,1991,28,21,"1,968",21.9,2,6,0,2,3,2,0,0.09,0.27,0.37,0.00,0.27,4.5,2.2,4.9,7.1,0.20,0.23,0.43,0.10,0.33,Matches
179,Kamil Grosicki,pl POL,"FW,MF",West Brom,32-320,1988,3,2,148,1.6,0,1,0,0,0,0,0,0.00,0.61,0.61,0.00,0.61,0.1,0.1,0.1,0.2,0.06,0.07,0.13,0.06,0.13,Matches
