League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,Matches
EPL,2020-2021,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,30-238,1990,https://fbref.com/en/players/5f09991f/matchlogs/2020-2021/summary/Patrick-van-Aanholt-Match-Logs
EPL,2020-2021,2,Tammy Abraham,eng ENG,FW,Chelsea,23-204,1997,https://fbref.com/en/players/f586779e/matchlogs/2020-2021/summary/Tammy-Abraham-Match-Logs
EPL,2020-2021,3,Che Adams,sco SCO,FW,Southampton,24-285,1996,https://fbref.com/en/players/f2bf1b0f/matchlogs/2020-2021/summary/Che-Adams-Match-Logs
EPL,2020-2021,4,Tosin Adarabioyo,eng ENG,DF,Fulham,23-212,1997,https://fbref.com/en/players/c81d773d/matchlogs/2020-2021/summary/Tosin-Adarabioyo-Match-Logs
EPL,2020-2021,5,Adrián,es ESP,GK,Liverpool,34-111,1987,https://fbref.com/en/players/f76e6b4e/matchlogs/2020-2021/summary/Adrian-Match-Logs
EPL,2020-2021,6,Sergio Agüero,ar ARG,FW,Manchester City,32-326,1988,https://fbref.com/en/players/4d034881/matchlogs/2020-2021/summary/Sergio-Aguero-Match-Logs
EPL,2020-2021,7,Ola Aina,ng NGA,DF,Fulham,24-198,1996,https://fbref.com/en/players/246d153b/matchlogs/2020-2021/summary/Ola-Aina-Match-Logs
EPL,2020-2021,8,Rayan Aït Nouri,fr FRA,DF,Wolves,19-322,2001,https://fbref.com/en/players/9b398aea/matchlogs/2020-2021/summary/Rayan-Ait-Nouri-Match-Logs
EPL,2020-2021,9,Semi Ajayi,ng NGA,DF,West Brom,27-166,1993,https://fbref.com/en/players/d6192210/matchlogs/2020-2021/summary/Semi-Ajayi-Match-Logs
EPL,2020-2021,10,Nathan Aké,nl NED,DF,Manchester City,26-065,1995,https://fbref.com/en/players/eaeca114/matchlogs/2020-2021/summary/Nathan-Ake-Match-Logs
EPL,2020-2021,11,Marc Albrighton,eng ENG,"FW,DF",Leicester City,31-157,1989,https://fbref.com/en/players/b827d5b3/matchlogs/2020-2021/summary/Marc-Albrighton-Match-Logs
EPL,2020-2021,12,Thiago Alcántara,es ESP,MF,Liverpool,30-013,1991,https://fbref.com/en/players/77e84962/matchlogs/2020-2021/summary/Thiago-Alcantara-Match-Logs
EPL,2020-2021,13,Toby Alderweireld,be BEL,DF,Tottenham,32-053,1989,https://fbref.com/en/players/f7d50789/matchlogs/2020-2021/summary/Toby-Alderweireld-Match-Logs
EPL,2020-2021,14,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,26-065,1995,https://fbref.com/en/players/8fa8f8d2/matchlogs/2020-2021/summary/Runar-Alex-Runarsson-Match-Logs
EPL,2020-2021,15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-199,1998,https://fbref.com/en/players/cd1acf9d/matchlogs/2020-2021/summary/Trent-Alexander-Arnold-Match-Logs
EPL,2020-2021,16,Ezgjan Alioski,mk MKD,DF,Leeds United,29-071,1992,https://fbref.com/en/players/1a7fcf39/matchlogs/2020-2021/summary/Ezgjan-Alioski-Match-Logs
EPL,2020-2021,17,Alisson,br BRA,GK,Liverpool,28-204,1992,https://fbref.com/en/players/7a2e46a8/matchlogs/2020-2021/summary/Alisson-Match-Logs
EPL,2020-2021,18,Allan,br BRA,MF,Everton,30-106,1991,https://fbref.com/en/players/cc700722/matchlogs/2020-2021/summary/Allan-Match-Logs
EPL,2020-2021,19,Dele Alli,eng ENG,MF,Tottenham,25-013,1996,https://fbref.com/en/players/cea4ee8f/matchlogs/2020-2021/summary/Dele-Alli-Match-Logs
EPL,2020-2021,20,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,27-073,1994,https://fbref.com/en/players/862a1c15/matchlogs/2020-2021/summary/Miguel-Almiron-Match-Logs
EPL,2020-2021,21,Marcos Alonso,es ESP,DF,Chelsea,30-117,1990,https://fbref.com/en/players/f4290206/matchlogs/2020-2021/summary/Marcos-Alonso-Match-Logs
EPL,2020-2021,22,Steven Alzate,co COL,"MF,DF",Brighton,22-228,1998,https://fbref.com/en/players/ad1f61f3/matchlogs/2020-2021/summary/Steven-Alzate-Match-Logs
EPL,2020-2021,23,Daniel Amartey,gh GHA,DF,Leicester City,26-124,1994,https://fbref.com/en/players/1a4ef233/matchlogs/2020-2021/summary/Daniel-Amartey-Match-Logs
EPL,2020-2021,24,Ethan Ampadu,wal WAL,"DF,MF",Sheffield Utd,20-222,2000,https://fbref.com/en/players/10b9fa99/matchlogs/2020-2021/summary/Ethan-Ampadu-Match-Logs
EPL,2020-2021,25,Joachim Andersen,dk DEN,DF,Fulham,24-328,1996,https://fbref.com/en/players/e34fc66d/matchlogs/2020-2021/summary/Joachim-Andersen-Match-Logs
EPL,2020-2021,Rk,Player,Nation,Pos,Squad,Age,Born,Matches
EPL,2020-2021,26,Elliot Anderson,sco SCO,MF,Newcastle Utd,18-169,2002,https://fbref.com/en/players/de31038e/matchlogs/2020-2021/summary/Elliot-Anderson-Match-Logs
EPL,2020-2021,27,Felipe Anderson,br BRA,"FW,MF",West Ham,28-009,1993,https://fbref.com/en/players/9f1893b9/matchlogs/2020-2021/summary/Felipe-Anderson-Match-Logs
EPL,2020-2021,28,Michail Antonio,eng ENG,FW,West Ham,31-027,1990,https://fbref.com/en/players/ac05f970/matchlogs/2020-2021/summary/Michail-Antonio-Match-Logs
EPL,2020-2021,29,Alphonse Areola,fr FRA,GK,Fulham,28-056,1993,https://fbref.com/en/players/2f965a72/matchlogs/2020-2021/summary/Alphonse-Areola-Match-Logs
EPL,2020-2021,30,Stuart Armstrong,sco SCO,MF,Southampton,29-025,1992,https://fbref.com/en/players/97333cf5/matchlogs/2020-2021/summary/Stuart-Armstrong-Match-Logs
EPL,2020-2021,31,Kepa Arrizabalaga,es ESP,GK,Chelsea,26-203,1994,https://fbref.com/en/players/28d596a0/matchlogs/2020-2021/summary/Kepa-Arrizabalaga-Match-Logs
EPL,2020-2021,32,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31-310,1989,https://fbref.com/en/players/d5dd5f1f/matchlogs/2020-2021/summary/Pierre-Emerick-Aubameyang-Match-Logs
EPL,2020-2021,33,Serge Aurier,ci CIV,DF,Tottenham,28-121,1992,https://fbref.com/en/players/5c2b4f07/matchlogs/2020-2021/summary/Serge-Aurier-Match-Logs
EPL,2020-2021,34,Charlie Austin,eng ENG,FW,West Brom,31-293,1989,https://fbref.com/en/players/8d228291/matchlogs/2020-2021/summary/Charlie-Austin-Match-Logs
EPL,2020-2021,35,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,29-225,1991,https://fbref.com/en/players/da052c14/matchlogs/2020-2021/summary/Jordan-Ayew-Match-Logs
EPL,2020-2021,36,Luke Ayling,eng ENG,DF,Leeds United,29-242,1991,https://fbref.com/en/players/420d7c7d/matchlogs/2020-2021/summary/Luke-Ayling-Match-Logs
EPL,2020-2021,37,César Azpilicueta,es ESP,DF,Chelsea,31-239,1989,https://fbref.com/en/players/53cad200/matchlogs/2020-2021/summary/Cesar-Azpilicueta-Match-Logs
EPL,2020-2021,38,Eric Bailly,ci CIV,DF,Manchester Utd,27-012,1994,https://fbref.com/en/players/a1232f4e/matchlogs/2020-2021/summary/Eric-Bailly-Match-Logs
EPL,2020-2021,39,Fabián Balbuena,py PAR,DF,West Ham,29-244,1991,https://fbref.com/en/players/3626f7d9/matchlogs/2020-2021/summary/Fabian-Balbuena-Match-Logs
EPL,2020-2021,40,George Baldock,eng ENG,DF,Sheffield Utd,28-046,1993,https://fbref.com/en/players/394854c4/matchlogs/2020-2021/summary/George-Baldock-Match-Logs
EPL,2020-2021,41,Gareth Bale,wal WAL,FW,Tottenham,31-282,1989,https://fbref.com/en/players/a58bb1e1/matchlogs/2020-2021/summary/Gareth-Bale-Match-Logs
EPL,2020-2021,42,Patrick Bamford,eng ENG,FW,Leeds United,27-231,1993,https://fbref.com/en/players/93feac6e/matchlogs/2020-2021/summary/Patrick-Bamford-Match-Logs
EPL,2020-2021,43,Phil Bardsley,sco SCO,DF,Burnley,35-300,1985,https://fbref.com/en/players/1ae30132/matchlogs/2020-2021/summary/Phil-Bardsley-Match-Logs
EPL,2020-2021,44,Ross Barkley,eng ENG,MF,Chelsea,27-140,1993,https://fbref.com/en/players/3a24769f/matchlogs/2020-2021/summary/Ross-Barkley-Match-Logs
EPL,2020-2021,45,Ross Barkley,eng ENG,MF,Aston Villa,27-140,1993,https://fbref.com/en/players/3a24769f/matchlogs/2020-2021/summary/Ross-Barkley-Match-Logs
EPL,2020-2021,46,Ashley Barnes,eng ENG,FW,Burnley,31-176,1989,https://fbref.com/en/players/2691c772/matchlogs/2020-2021/summary/Ashley-Barnes-Match-Logs
EPL,2020-2021,47,Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-136,1997,https://fbref.com/en/players/3ea50f67/matchlogs/2020-2021/summary/Harvey-Barnes-Match-Logs
EPL,2020-2021,48,Kyle Bartley,eng ENG,DF,West Brom,29-337,1991,https://fbref.com/en/players/18e96f64/matchlogs/2020-2021/summary/Kyle-Bartley-Match-Logs
EPL,2020-2021,49,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32-278,1988,https://fbref.com/en/players/1aa84968/matchlogs/2020-2021/summary/Chris-Basham-Match-Logs
EPL,2020-2021,50,Michy Batshuayi,be BEL,FW,Crystal Palace,27-204,1993,https://fbref.com/en/players/2973d8ff/matchlogs/2020-2021/summary/Michy-Batshuayi-Match-Logs
EPL,2020-2021,Rk,Player,Nation,Pos,Squad,Age,Born,Matches
EPL,2020-2021,51,Jan Bednarek,pl POL,DF,Southampton,25-012,1996,https://fbref.com/en/players/4115ce4e/matchlogs/2020-2021/summary/Jan-Bednarek-Match-Logs
EPL,2020-2021,52,Donny van de Beek,nl NED,"MF,FW",Manchester Utd,24-006,1997,https://fbref.com/en/players/50dc94ce/matchlogs/2020-2021/summary/Donny-van-de-Beek-Match-Logs
EPL,2020-2021,53,Héctor Bellerín,es ESP,DF,Arsenal,26-036,1995,https://fbref.com/en/players/f874dd44/matchlogs/2020-2021/summary/Hector-Bellerin-Match-Logs
EPL,2020-2021,54,Saïd Benrahma,dz ALG,"MF,FW",West Ham,25-257,1995,https://fbref.com/en/players/5a04fd92/matchlogs/2020-2021/summary/Said-Benrahma-Match-Logs
EPL,2020-2021,55,Josh Benson,eng ENG,MF,Burnley,21-140,1999,https://fbref.com/en/players/bf3aeb61/matchlogs/2020-2021/summary/Josh-Benson-Match-Logs
EPL,2020-2021,56,Christian Benteke,be BEL,FW,Crystal Palace,30-142,1990,https://fbref.com/en/players/ab070c55/matchlogs/2020-2021/summary/Christian-Benteke-Match-Logs
EPL,2020-2021,57,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-179,1990,https://fbref.com/en/players/f72293fc/matchlogs/2020-2021/summary/Johann-Berg-Gudmundsson-Match-Logs
EPL,2020-2021,58,Sander Berge,no NOR,MF,Sheffield Utd,23-069,1998,https://fbref.com/en/players/d0b6129f/matchlogs/2020-2021/summary/Sander-Berge-Match-Logs
