League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,Matches
EPL,2014-2015,1,Patrick van Aanholt,nl NED,DF,Sunderland,23,1990,https://fbref.com/en/players/5f09991f/matchlogs/2014-2015/summary/Patrick-van-Aanholt-Match-Logs
EPL,2014-2015,2,Rolando Aarons,eng ENG,MF,Newcastle Utd,18,1995,https://fbref.com/en/players/c5942695/matchlogs/2014-2015/summary/Rolando-Aarons-Match-Logs
EPL,2014-2015,3,Mehdi Abeid,dz ALG,MF,Newcastle Utd,21,1992,https://fbref.com/en/players/a4c3f7af/matchlogs/2014-2015/summary/Mehdi-Abeid-Match-Logs
EPL,2014-2015,4,Charlie Adam,sco SCO,MF,Stoke City,28,1985,https://fbref.com/en/players/aff418dc/matchlogs/2014-2015/summary/Charlie-Adam-Match-Logs
EPL,2014-2015,5,Emmanuel Adebayor,tg TOG,FW,Tottenham,30,1984,https://fbref.com/en/players/936d9e3e/matchlogs/2014-2015/summary/Emmanuel-Adebayor-Match-Logs
EPL,2014-2015,6,Adrián,es ESP,GK,West Ham,27,1987,https://fbref.com/en/players/f76e6b4e/matchlogs/2014-2015/summary/Adrian-Match-Logs
EPL,2014-2015,7,Gabby Agbonlahor,eng ENG,"FW,MF",Aston Villa,27,1986,https://fbref.com/en/players/db80f5f1/matchlogs/2014-2015/summary/Gabby-Agbonlahor-Match-Logs
EPL,2014-2015,8,Sergio Agüero,ar ARG,FW,Manchester City,26,1988,https://fbref.com/en/players/4d034881/matchlogs/2014-2015/summary/Sergio-Aguero-Match-Logs
EPL,2014-2015,9,Nathan Aké,nl NED,"DF,MF",Chelsea,19,1995,https://fbref.com/en/players/eaeca114/matchlogs/2014-2015/summary/Nathan-Ake-Match-Logs
EPL,2014-2015,10,Chuba Akpom,eng ENG,FW,Arsenal,18,1995,https://fbref.com/en/players/e2b384d2/matchlogs/2014-2015/summary/Chuba-Akpom-Match-Logs
EPL,2014-2015,11,Marc Albrighton,eng ENG,"FW,MF",Leicester City,24,1989,https://fbref.com/en/players/b827d5b3/matchlogs/2014-2015/summary/Marc-Albrighton-Match-Logs
EPL,2014-2015,12,Antolín Alcaraz,py PAR,DF,Everton,32,1982,https://fbref.com/en/players/cee38e27/matchlogs/2014-2015/summary/Antolin-Alcaraz-Match-Logs
EPL,2014-2015,13,Toby Alderweireld,be BEL,DF,Southampton,25,1989,https://fbref.com/en/players/f7d50789/matchlogs/2014-2015/summary/Toby-Alderweireld-Match-Logs
EPL,2014-2015,14,Joe Allen,wal WAL,MF,Liverpool,24,1990,https://fbref.com/en/players/9feb8f24/matchlogs/2014-2015/summary/Joe-Allen-Match-Logs
EPL,2014-2015,15,Jak Alnwick,eng ENG,GK,Newcastle Utd,21,1993,https://fbref.com/en/players/b0835fc0/matchlogs/2014-2015/summary/Jak-Alnwick-Match-Logs
EPL,2014-2015,16,Jozy Altidore,us USA,FW,Sunderland,24,1989,https://fbref.com/en/players/8db8ad1e/matchlogs/2014-2015/summary/Jozy-Altidore-Match-Logs
EPL,2014-2015,17,Sone Aluko,ng NGA,"FW,MF",Hull City,25,1989,https://fbref.com/en/players/5a75d4cc/matchlogs/2014-2015/summary/Sone-Aluko-Match-Logs
EPL,2014-2015,18,Ricky Álvarez,ar ARG,MF,Sunderland,26,1988,https://fbref.com/en/players/92a5ac34/matchlogs/2014-2015/summary/Ricky-Alvarez-Match-Logs
EPL,2014-2015,19,Morgan Amalfitano,fr FRA,MF,West Ham,29,1985,https://fbref.com/en/players/ab914649/matchlogs/2014-2015/summary/Morgan-Amalfitano-Match-Logs
EPL,2014-2015,20,Jordi Amat,es ESP,DF,Swansea City,22,1992,https://fbref.com/en/players/d70a2141/matchlogs/2014-2015/summary/Jordi-Amat-Match-Logs
EPL,2014-2015,21,Sammy Ameobi,eng ENG,"FW,MF",Newcastle Utd,22,1992,https://fbref.com/en/players/acd61628/matchlogs/2014-2015/summary/Sammy-Ameobi-Match-Logs
EPL,2014-2015,22,Shola Ameobi,ng NGA,FW,Crystal Palace,32,1981,https://fbref.com/en/players/e79a368b/matchlogs/2014-2015/summary/Shola-Ameobi-Match-Logs
EPL,2014-2015,23,Anderson,br BRA,MF,Manchester Utd,26,1988,https://fbref.com/en/players/ffcbeb74/matchlogs/2014-2015/summary/Anderson-Match-Logs
EPL,2014-2015,24,Victor Anichebe,ng NGA,FW,West Brom,26,1988,https://fbref.com/en/players/4aed5c19/matchlogs/2014-2015/summary/Victor-Anichebe-Match-Logs
EPL,2014-2015,25,Vurnon Anita,cw CUW,"DF,MF",Newcastle Utd,25,1989,https://fbref.com/en/players/2d368fd5/matchlogs/2014-2015/summary/Vurnon-Anita-Match-Logs
EPL,2014-2015,Rk,Player,Nation,Pos,Squad,Age,Born,Matches
EPL,2014-2015,26,Scott Arfield,ca CAN,MF,Burnley,25,1988,https://fbref.com/en/players/b1313ec4/matchlogs/2014-2015/summary/Scott-Arfield-Match-Logs
EPL,2014-2015,27,Adam Armstrong,eng ENG,"FW,MF",Newcastle Utd,17,1997,https://fbref.com/en/players/68c720b5/matchlogs/2014-2015/summary/Adam-Armstrong-Match-Logs
EPL,2014-2015,28,Marko Arnautović,at AUT,"FW,MF",Stoke City,25,1989,https://fbref.com/en/players/00459419/matchlogs/2014-2015/summary/Marko-Arnautovic-Match-Logs
EPL,2014-2015,29,Mikel Arteta,es ESP,MF,Arsenal,32,1982,https://fbref.com/en/players/d934d1e6/matchlogs/2014-2015/summary/Mikel-Arteta-Match-Logs
EPL,2014-2015,30,Oussama Assaidi,ma MAR,"FW,MF",Stoke City,25,1988,https://fbref.com/en/players/483322fe/matchlogs/2014-2015/summary/Oussama-Assaidi-Match-Logs
EPL,2014-2015,31,Christian Atsu,gh GHA,"FW,MF",Everton,22,1992,https://fbref.com/en/players/8816329f/matchlogs/2014-2015/summary/Christian-Atsu-Match-Logs
EPL,2014-2015,32,Charlie Austin,eng ENG,FW,QPR,25,1989,https://fbref.com/en/players/8d228291/matchlogs/2014-2015/summary/Charlie-Austin-Match-Logs
EPL,2014-2015,33,César Azpilicueta,es ESP,DF,Chelsea,24,1989,https://fbref.com/en/players/53cad200/matchlogs/2014-2015/summary/Cesar-Azpilicueta-Match-Logs
EPL,2014-2015,34,Leandro Bacuna,cw CUW,"DF,MF",Aston Villa,22,1991,https://fbref.com/en/players/9dc69d38/matchlogs/2014-2015/summary/Leandro-Bacuna-Match-Logs
EPL,2014-2015,35,Leighton Baines,eng ENG,DF,Everton,29,1984,https://fbref.com/en/players/b18095b6/matchlogs/2014-2015/summary/Leighton-Baines-Match-Logs
EPL,2014-2015,36,Chris Baird,nir NIR,"DF,MF",West Brom,32,1982,https://fbref.com/en/players/55fd8c81/matchlogs/2014-2015/summary/Chris-Baird-Match-Logs
EPL,2014-2015,37,Nathan Baker,eng ENG,DF,Aston Villa,23,1991,https://fbref.com/en/players/b18af9e3/matchlogs/2014-2015/summary/Nathan-Baker-Match-Logs
EPL,2014-2015,38,Mario Balotelli,it ITA,FW,Liverpool,23,1990,https://fbref.com/en/players/8ff07990/matchlogs/2014-2015/summary/Mario-Balotelli-Match-Logs
EPL,2014-2015,39,Barry Bannan,sco SCO,MF,Crystal Palace,24,1989,https://fbref.com/en/players/9469fb13/matchlogs/2014-2015/summary/Barry-Bannan-Match-Logs
