League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,Matches
EPL,2017-2018,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,26,1990,https://fbref.com/en/players/5f09991f/matchlogs/2017-2018/summary/Patrick-van-Aanholt-Match-Logs
EPL,2017-2018,2,Rolando Aarons,eng ENG,"FW,MF",Newcastle Utd,21,1995,https://fbref.com/en/players/c5942695/matchlogs/2017-2018/summary/Rolando-Aarons-Match-Logs
EPL,2017-2018,3,Tammy Abraham,eng ENG,"FW,MF",Swansea City,19,1997,https://fbref.com/en/players/f586779e/matchlogs/2017-2018/summary/Tammy-Abraham-Match-Logs
EPL,2017-2018,4,Charlie Adam,sco SCO,MF,Stoke City,31,1985,https://fbref.com/en/players/aff418dc/matchlogs/2017-2018/summary/Charlie-Adam-Match-Logs
EPL,2017-2018,5,Adrián,es ESP,GK,West Ham,30,1987,https://fbref.com/en/players/f76e6b4e/matchlogs/2017-2018/summary/Adrian-Match-Logs
EPL,2017-2018,6,Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,https://fbref.com/en/players/9a8c6673/matchlogs/2017-2018/summary/Ibrahim-Afellay-Match-Logs
EPL,2017-2018,7,Benik Afobe,cd COD,"FW,MF",Bournemouth,24,1993,https://fbref.com/en/players/b63f4077/matchlogs/2017-2018/summary/Benik-Afobe-Match-Logs
EPL,2017-2018,8,Sergio Agüero,ar ARG,FW,Manchester City,29,1988,https://fbref.com/en/players/4d034881/matchlogs/2017-2018/summary/Sergio-Aguero-Match-Logs
EPL,2017-2018,9,Nathan Aké,nl NED,DF,Bournemouth,22,1995,https://fbref.com/en/players/eaeca114/matchlogs/2017-2018/summary/Nathan-Ake-Match-Logs
EPL,2017-2018,10,Marc Albrighton,eng ENG,"MF,FW",Leicester City,27,1989,https://fbref.com/en/players/b827d5b3/matchlogs/2017-2018/summary/Marc-Albrighton-Match-Logs
EPL,2017-2018,11,Toby Alderweireld,be BEL,DF,Tottenham,28,1989,https://fbref.com/en/players/f7d50789/matchlogs/2017-2018/summary/Toby-Alderweireld-Match-Logs
EPL,2017-2018,12,Trent Alexander-Arnold,eng ENG,DF,Liverpool,18,1998,https://fbref.com/en/players/cd1acf9d/matchlogs/2017-2018/summary/Trent-Alexander-Arnold-Match-Logs
EPL,2017-2018,13,Joe Allen,wal WAL,MF,Stoke City,27,1990,https://fbref.com/en/players/9feb8f24/matchlogs/2017-2018/summary/Joe-Allen-Match-Logs
EPL,2017-2018,14,Dele Alli,eng ENG,"MF,FW",Tottenham,21,1996,https://fbref.com/en/players/cea4ee8f/matchlogs/2017-2018/summary/Dele-Alli-Match-Logs
EPL,2017-2018,15,Marcos Alonso,es ESP,"DF,MF",Chelsea,26,1990,https://fbref.com/en/players/f4290206/matchlogs/2017-2018/summary/Marcos-Alonso-Match-Logs
EPL,2017-2018,16,Daniel Amartey,gh GHA,DF,Leicester City,22,1994,https://fbref.com/en/players/1a4ef233/matchlogs/2017-2018/summary/Daniel-Amartey-Match-Logs
EPL,2017-2018,17,Ethan Ampadu,wal WAL,DF,Chelsea,16,2000,https://fbref.com/en/players/10b9fa99/matchlogs/2017-2018/summary/Ethan-Ampadu-Match-Logs
EPL,2017-2018,18,Nordin Amrabat,ma MAR,FW,Watford,30,1987,https://fbref.com/en/players/7c2a398c/matchlogs/2017-2018/summary/Nordin-Amrabat-Match-Logs
EPL,2017-2018,19,Michail Antonio,eng ENG,"FW,MF",West Ham,27,1990,https://fbref.com/en/players/ac05f970/matchlogs/2017-2018/summary/Michail-Antonio-Match-Logs
EPL,2017-2018,20,Scott Arfield,ca CAN,"FW,MF",Burnley,28,1988,https://fbref.com/en/players/b1313ec4/matchlogs/2017-2018/summary/Scott-Arfield-Match-Logs
EPL,2017-2018,21,Marko Arnautović,at AUT,"FW,MF",West Ham,28,1989,https://fbref.com/en/players/00459419/matchlogs/2017-2018/summary/Marko-Arnautovic-Match-Logs
EPL,2017-2018,22,Harry Arter,ie IRL,MF,Bournemouth,27,1989,https://fbref.com/en/players/2f4c5a52/matchlogs/2017-2018/summary/Harry-Arter-Match-Logs
EPL,2017-2018,23,Christian Atsu,gh GHA,"MF,FW",Newcastle Utd,25,1992,https://fbref.com/en/players/8816329f/matchlogs/2017-2018/summary/Christian-Atsu-Match-Logs
EPL,2017-2018,24,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,28,1989,https://fbref.com/en/players/d5dd5f1f/matchlogs/2017-2018/summary/Pierre-Emerick-Aubameyang-Match-Logs
