League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2015-2016,1,Patrick van Aanholt,nl NED,DF,Sunderland,24,1990,33,33,"2,970",33.0,0.12,0.09,0.21,0.12,0.21
EPL,2015-2016,2,Rolando Aarons,eng ENG,"DF,MF",Newcastle Utd,19,1995,10,3,381,4.2,0.24,0.24,0.47,0.24,0.47
EPL,2015-2016,3,Almen Abdi,ch SUI,MF,Watford,28,1986,32,25,"1,974",21.9,0.09,0.00,0.09,0.09,0.09
EPL,2015-2016,4,Tammy Abraham,eng ENG,FW,Chelsea,17,1997,2,0,55,0.6,0.00,0.00,0.00,0.00,0.00
EPL,2015-2016,5,Charlie Adam,sco SCO,MF,Stoke City,29,1985,22,12,"1,044",11.6,0.09,0.09,0.17,0.09,0.17
EPL,2015-2016,6,Emmanuel Adebayor,tg TOG,FW,Crystal Palace,31,1984,12,7,619,6.9,0.15,0.15,0.29,0.15,0.29
EPL,2015-2016,7,Adrián,es ESP,GK,West Ham,28,1987,32,32,"2,880",32.0,0.00,0.00,0.00,0.00,0.00
EPL,2015-2016,8,Ibrahim Afellay,nl NED,MF,Stoke City,29,1986,31,24,"2,102",23.4,0.09,0.09,0.17,0.09,0.17
EPL,2015-2016,9,Benik Afobe,cd COD,FW,Bournemouth,22,1993,15,12,930,10.3,0.39,0.00,0.39,0.39,0.39
EPL,2015-2016,10,Gabby Agbonlahor,eng ENG,FW,Aston Villa,28,1986,15,13,"1,031",11.5,0.09,0.17,0.26,0.09,0.26
EPL,2015-2016,11,Sergio Agüero,ar ARG,FW,Manchester City,27,1988,30,29,"2,360",26.2,0.92,0.08,0.99,0.76,0.84
EPL,2015-2016,12,Nathan Aké,nl NED,DF,Watford,20,1995,24,20,"1,875",20.8,0.05,0.00,0.05,0.05,0.05
EPL,2015-2016,13,Marc Albrighton,eng ENG,MF,Leicester City,25,1989,38,34,"2,749",30.5,0.07,0.20,0.26,0.07,0.26
EPL,2015-2016,14,Toby Alderweireld,be BEL,DF,Tottenham,26,1989,38,38,"3,419",38.0,0.11,0.05,0.16,0.11,0.16
EPL,2015-2016,15,Joe Allen,wal WAL,MF,Liverpool,25,1990,19,8,735,8.2,0.24,0.12,0.37,0.24,0.37
EPL,2015-2016,16,Dele Alli,eng ENG,MF,Tottenham,19,1996,33,28,"2,470",27.4,0.36,0.33,0.69,0.36,0.69
EPL,2015-2016,17,Ryan Allsop,eng ENG,GK,Bournemouth,23,1992,1,0,45,0.5,0.00,0.00,0.00,0.00,0.00
EPL,2015-2016,18,Daniel Amartey,gh GHA,DF,Leicester City,20,1994,5,1,104,1.2,0.00,0.00,0.00,0.00,0.00
EPL,2015-2016,19,Jordi Amat,es ESP,DF,Swansea City,23,1992,8,5,463,5.1,0.00,0.00,0.00,0.00,0.00
EPL,2015-2016,20,Jordan Amavi,fr FRA,DF,Aston Villa,21,1994,10,9,837,9.3,0.00,0.22,0.22,0.00,0.22
EPL,2015-2016,21,Nordin Amrabat,ma MAR,"MF,FW",Watford,28,1987,12,4,506,5.6,0.00,0.00,0.00,0.00,0.00
EPL,2015-2016,22,José Ángel Crespo,es ESP,FW,Aston Villa,28,1987,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00
EPL,2015-2016,23,Victor Anichebe,ng NGA,FW,West Brom,27,1988,10,3,369,4.1,0.00,0.00,0.00,0.00,0.00
EPL,2015-2016,24,Vurnon Anita,cw CUW,"MF,DF",Newcastle Utd,26,1989,28,24,"2,101",23.3,0.04,0.13,0.17,0.04,0.17
EPL,2015-2016,25,Michail Antonio,eng ENG,"MF,FW",West Ham,25,1990,26,23,"2,057",22.9,0.35,0.13,0.48,0.35,0.48
EPL,2015-2016,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2015-2016,26,Ikechi Anya,sco SCO,"MF,DF",Watford,27,1988,28,17,"1,686",18.7,0.00,0.05,0.05,0.00,0.05
EPL,2015-2016,27,Giedrius Arlauskis,lt LTU,GK,Watford,27,1987,1,0,24,0.3,0.00,0.00,0.00,0.00,0.00
EPL,2015-2016,28,Marko Arnautović,at AUT,"MF,FW",Stoke City,26,1989,34,33,"2,807",31.2,0.35,0.19,0.55,0.26,0.45
EPL,2015-2016,29,Harry Arter,ie IRL,MF,Bournemouth,25,1989,21,21,"1,661",18.5,0.05,0.00,0.05,0.05,0.05
