League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,474,Michel Vorm,nl NED,GK,Tottenham,34,1983,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,475,Matěj Vydra,cz CZE,"FW,MF",Burnley,26,1992,13,3,318,3.5,0.28,0.28,0.57,0.28,0.57
EPL,2018-2019,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,476,Theo Walcott,eng ENG,"FW,MF",Everton,29,1989,37,24,"2,119",23.5,0.21,0.08,0.30,0.21,0.30
EPL,2018-2019,477,Kyle Walker,eng ENG,DF,Manchester City,28,1990,33,30,"2,779",30.9,0.03,0.03,0.06,0.03,0.06
EPL,2018-2019,478,Kyle Walker-Peters,eng ENG,DF,Tottenham,21,1997,6,4,376,4.2,0.00,0.72,0.72,0.00,0.72
EPL,2018-2019,479,Aaron Wan-Bissaka,eng ENG,DF,Crystal Palace,20,1997,35,35,"3,134",34.8,0.00,0.09,0.09,0.00,0.09
EPL,2018-2019,480,Victor Wanyama,ke KEN,MF,Tottenham,27,1991,13,4,516,5.7,0.17,0.00,0.17,0.17,0.17
EPL,2018-2019,481,Danny Ward,eng ENG,FW,Cardiff City,26,1991,14,4,445,4.9,0.20,0.00,0.20,0.20,0.20
EPL,2018-2019,482,Joel Ward,eng ENG,DF,Crystal Palace,28,1989,7,6,552,6.1,0.16,0.00,0.16,0.16,0.16
EPL,2018-2019,483,Stephen Ward,ie IRL,DF,Burnley,32,1985,3,3,228,2.5,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,484,James Ward-Prowse,eng ENG,"MF,DF",Southampton,23,1994,26,21,"1,945",21.6,0.32,0.00,0.32,0.28,0.28
EPL,2018-2019,485,Danny Welbeck,eng ENG,"FW,MF",Arsenal,27,1990,8,1,153,1.7,0.59,0.59,1.18,0.59,1.18
EPL,2018-2019,486,Ashley Westwood,eng ENG,MF,Burnley,28,1990,34,31,"2,824",31.4,0.06,0.22,0.29,0.06,0.29
EPL,2018-2019,487,Connor Wickham,eng ENG,FW,Crystal Palace,25,1993,6,0,67,0.7,0.00,1.34,1.34,0.00,1.34
EPL,2018-2019,488,Georginio Wijnaldum,nl NED,MF,Liverpool,27,1990,35,32,"2,725",30.3,0.10,0.00,0.10,0.10,0.10
EPL,2018-2019,489,Danny Williams,us USA,MF,Huddersfield,29,1989,5,1,96,1.1,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,490,Willian,br BRA,FW,Chelsea,29,1988,32,26,"2,097",23.3,0.13,0.26,0.39,0.13,0.39
EPL,2018-2019,491,Joe Willock,eng ENG,MF,Arsenal,18,1999,2,1,64,0.7,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,492,Ben Wilmot,eng ENG,MF,Watford,18,1999,2,0,28,0.3,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,493,Jack Wilshere,eng ENG,MF,West Ham,26,1992,8,4,392,4.4,0.00,0.23,0.23,0.00,0.23
EPL,2018-2019,494,Callum Wilson,eng ENG,FW,Bournemouth,26,1992,30,29,"2,528",28.1,0.50,0.32,0.82,0.46,0.78
EPL,2018-2019,495,Harry Winks,eng ENG,MF,Tottenham,22,1996,26,17,"1,597",17.7,0.06,0.00,0.06,0.06,0.06
EPL,2018-2019,496,Chris Wood,nz NZL,FW,Burnley,26,1991,38,29,"2,588",28.8,0.35,0.07,0.42,0.35,0.42
EPL,2018-2019,497,Granit Xhaka,ch SUI,"MF,DF",Arsenal,25,1992,29,29,"2,498",27.8,0.14,0.07,0.22,0.14,0.22
EPL,2018-2019,498,Andriy Yarmolenko,ua UKR,"FW,MF",West Ham,28,1989,9,5,459,5.1,0.39,0.00,0.39,0.39,0.39
EPL,2018-2019,499,DeAndre Yedlin,us USA,DF,Newcastle Utd,25,1993,29,28,"2,473",27.5,0.04,0.07,0.11,0.04,0.11
EPL,2018-2019,500,Maya Yoshida,jp JPN,DF,Southampton,29,1988,17,17,"1,518",16.9,0.00,0.06,0.06,0.00,0.06
EPL,2018-2019,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,501,Ashley Young,eng ENG,DF,Manchester Utd,33,1985,30,28,"2,569",28.5,0.07,0.07,0.14,0.07,0.14
EPL,2018-2019,502,Pablo Zabaleta,ar ARG,DF,West Ham,33,1985,26,23,"2,092",23.2,0.00,0.04,0.04,0.00,0.04
EPL,2018-2019,503,Wilfried Zaha,ci CIV,FW,Crystal Palace,25,1992,34,34,"3,036",33.7,0.30,0.15,0.44,0.30,0.44
EPL,2018-2019,504,Andre-Frank Zambo Anguissa,cm CMR,MF,Fulham,22,1995,22,16,"1,517",16.9,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,505,Davide Zappacosta,it ITA,DF,Chelsea,26,1992,4,1,128,1.4,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,506,Oleksandr Zinchenko,ua UKR,DF,Manchester City,21,1996,14,14,"1,151",12.8,0.00,0.23,0.23,0.00,0.23
EPL,2018-2019,507,Kenneth Zohore,dk DEN,FW,Cardiff City,24,1994,19,7,753,8.4,0.12,0.12,0.24,0.12,0.24
EPL,2018-2019,508,Kurt Zouma,fr FRA,DF,Everton,23,1994,32,29,"2,612",29.0,0.07,0.07,0.14,0.07,0.14
