League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,331,João Moutinho,pt POR,MF,Wolves,31,1986,38,35,"3,032",33.7,0.03,0.24,0.27,0.03,0.27
EPL,2018-2019,332,Jacob Murphy,eng ENG,"MF,FW",Newcastle Utd,23,1995,9,3,302,3.4,0.00,0.30,0.30,0.00,0.30
EPL,2018-2019,333,Josh Murphy,eng ENG,"FW,MF",Cardiff City,23,1995,29,22,"1,817",20.2,0.15,0.10,0.25,0.15,0.25
EPL,2018-2019,334,Glenn Murray,eng ENG,FW,Brighton,34,1983,38,30,"2,508",27.9,0.47,0.04,0.50,0.32,0.36
EPL,2018-2019,335,Shkodran Mustafi,de GER,DF,Arsenal,26,1992,31,31,"2,611",29.0,0.07,0.00,0.07,0.07,0.07
EPL,2018-2019,336,Yoshinori Mutō,jp JPN,FW,Newcastle Utd,26,1992,17,5,524,5.8,0.17,0.00,0.17,0.17,0.17
EPL,2018-2019,337,Georges-Kévin N'Koudou,fr FRA,FW,Tottenham,23,1995,1,0,5,0.1,0.00,18.00,18.00,0.00,18.00
EPL,2018-2019,338,Samir Nasri,fr FRA,MF,West Ham,31,1987,5,3,245,2.7,0.00,0.73,0.73,0.00,0.73
EPL,2018-2019,339,Marc Navarro,es ESP,DF,Watford,23,1995,2,1,84,0.9,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,340,Wilfred Ndidi,ng NGA,MF,Leicester City,21,1996,38,37,"3,296",36.6,0.05,0.00,0.05,0.05,0.05
EPL,2018-2019,341,Rúben Neves,pt POR,MF,Wolves,21,1997,35,34,"3,007",33.4,0.12,0.09,0.21,0.06,0.15
EPL,2018-2019,342,Oumar Niasse,sn SEN,"FW,MF",Everton,28,1990,5,0,63,0.7,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,343,Oumar Niasse,sn SEN,FW,Cardiff City,28,1990,13,12,931,10.3,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,344,Eddie Nketiah,eng ENG,"MF,FW",Arsenal,19,1999,5,0,67,0.7,1.34,0.00,1.34,1.34,1.34
EPL,2018-2019,345,Mark Noble,eng ENG,MF,West Ham,31,1987,31,29,"2,291",25.5,0.20,0.20,0.39,0.04,0.24
EPL,2018-2019,346,Håvard Nordtveit,no NOR,DF,Fulham,28,1990,5,4,362,4.0,0.00,0.25,0.25,0.00,0.25
EPL,2018-2019,347,Will Norris,eng ENG,GK,Wolves,24,1993,1,0,1,0.0,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,348,Michael Obafemi,ie IRL,FW,Southampton,18,2000,6,1,137,1.5,0.66,0.66,1.31,0.66,1.31
EPL,2018-2019,349,Pedro Obiang,gq EQG,MF,West Ham,26,1992,24,12,"1,128",12.5,0.00,0.08,0.08,0.00,0.08
EPL,2018-2019,350,Denis Odoi,be BEL,DF,Fulham,30,1988,31,29,"2,594",28.8,0.00,0.03,0.03,0.00,0.03
EPL,2018-2019,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2018-2019,351,Angelo Ogbonna,it ITA,DF,West Ham,30,1988,24,20,"1,874",20.8,0.05,0.05,0.10,0.05,0.10
EPL,2018-2019,352,Stefano Okaka,it ITA,FW,Watford,28,1989,2,0,24,0.3,0.00,0.00,0.00,0.00,0.00
EPL,2018-2019,353,Shinji Okazaki,jp JPN,"FW,MF",Leicester City,32,1986,21,1,288,3.2,0.00,0.31,0.31,0.00,0.31
