League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,Matches
EPL,2016-2017,1,Patrick van Aanholt,nl NED,"DF,MF",Sunderland,25,1990,https://fbref.com/en/players/5f09991f/matchlogs/2016-2017/summary/Patrick-van-Aanholt-Match-Logs
EPL,2016-2017,2,Patrick van Aanholt,nl NED,"DF,MF",Crystal Palace,25,1990,https://fbref.com/en/players/5f09991f/matchlogs/2016-2017/summary/Patrick-van-Aanholt-Match-Logs
EPL,2016-2017,3,Charlie Adam,sco SCO,MF,Stoke City,30,1985,https://fbref.com/en/players/aff418dc/matchlogs/2016-2017/summary/Charlie-Adam-Match-Logs
EPL,2016-2017,4,Albert Adomah,gh GHA,MF,Middlesbrough,28,1987,https://fbref.com/en/players/c7174e81/matchlogs/2016-2017/summary/Albert-Adomah-Match-Logs
EPL,2016-2017,5,Adrián,es ESP,GK,West Ham,29,1987,https://fbref.com/en/players/f76e6b4e/matchlogs/2016-2017/summary/Adrian-Match-Logs
EPL,2016-2017,6,Ibrahim Afellay,nl NED,MF,Stoke City,30,1986,https://fbref.com/en/players/9a8c6673/matchlogs/2016-2017/summary/Ibrahim-Afellay-Match-Logs
EPL,2016-2017,7,Benik Afobe,cd COD,FW,Bournemouth,23,1993,https://fbref.com/en/players/b63f4077/matchlogs/2016-2017/summary/Benik-Afobe-Match-Logs
EPL,2016-2017,8,Sergio Agüero,ar ARG,FW,Manchester City,28,1988,https://fbref.com/en/players/4d034881/matchlogs/2016-2017/summary/Sergio-Aguero-Match-Logs
EPL,2016-2017,9,Dan Agyei,eng ENG,FW,Burnley,19,1997,https://fbref.com/en/players/5c374509/matchlogs/2016-2017/summary/Dan-Agyei-Match-Logs
EPL,2016-2017,10,Ola Aina,ng NGA,"DF,MF",Chelsea,19,1996,https://fbref.com/en/players/246d153b/matchlogs/2016-2017/summary/Ola-Aina-Match-Logs
EPL,2016-2017,11,Nathan Aké,nl NED,DF,Bournemouth,21,1995,https://fbref.com/en/players/eaeca114/matchlogs/2016-2017/summary/Nathan-Ake-Match-Logs
EPL,2016-2017,12,Nathan Aké,nl NED,DF,Chelsea,21,1995,https://fbref.com/en/players/eaeca114/matchlogs/2016-2017/summary/Nathan-Ake-Match-Logs
EPL,2016-2017,13,Marc Albrighton,eng ENG,MF,Leicester City,26,1989,https://fbref.com/en/players/b827d5b3/matchlogs/2016-2017/summary/Marc-Albrighton-Match-Logs
EPL,2016-2017,14,Toby Alderweireld,be BEL,DF,Tottenham,27,1989,https://fbref.com/en/players/f7d50789/matchlogs/2016-2017/summary/Toby-Alderweireld-Match-Logs
EPL,2016-2017,15,Trent Alexander-Arnold,eng ENG,"MF,DF",Liverpool,17,1998,https://fbref.com/en/players/cd1acf9d/matchlogs/2016-2017/summary/Trent-Alexander-Arnold-Match-Logs
EPL,2016-2017,16,Joe Allen,wal WAL,MF,Stoke City,26,1990,https://fbref.com/en/players/9feb8f24/matchlogs/2016-2017/summary/Joe-Allen-Match-Logs
EPL,2016-2017,17,Dele Alli,eng ENG,MF,Tottenham,20,1996,https://fbref.com/en/players/cea4ee8f/matchlogs/2016-2017/summary/Dele-Alli-Match-Logs
EPL,2016-2017,18,Ryan Allsop,eng ENG,GK,Bournemouth,24,1992,https://fbref.com/en/players/af615123/matchlogs/2016-2017/summary/Ryan-Allsop-Match-Logs
EPL,2016-2017,19,Marcos Alonso,es ESP,MF,Chelsea,25,1990,https://fbref.com/en/players/f4290206/matchlogs/2016-2017/summary/Marcos-Alonso-Match-Logs
EPL,2016-2017,20,Daniel Amartey,gh GHA,MF,Leicester City,21,1994,https://fbref.com/en/players/1a4ef233/matchlogs/2016-2017/summary/Daniel-Amartey-Match-Logs
EPL,2016-2017,21,Jordi Amat,es ESP,DF,Swansea City,24,1992,https://fbref.com/en/players/d70a2141/matchlogs/2016-2017/summary/Jordi-Amat-Match-Logs
EPL,2016-2017,22,Nordin Amrabat,ma MAR,"MF,FW",Watford,29,1987,https://fbref.com/en/players/7c2a398c/matchlogs/2016-2017/summary/Nordin-Amrabat-Match-Logs
EPL,2016-2017,23,Victor Anichebe,ng NGA,"FW,MF",Sunderland,28,1988,https://fbref.com/en/players/4aed5c19/matchlogs/2016-2017/summary/Victor-Anichebe-Match-Logs
EPL,2016-2017,24,Michail Antonio,eng ENG,"MF,FW",West Ham,26,1990,https://fbref.com/en/players/ac05f970/matchlogs/2016-2017/summary/Michail-Antonio-Match-Logs
EPL,2016-2017,25,Ikechi Anya,sco SCO,"FW,MF",Watford,28,1988,https://fbref.com/en/players/c55e973d/matchlogs/2016-2017/summary/Ikechi-Anya-Match-Logs
EPL,2016-2017,Rk,Player,Nation,Pos,Squad,Age,Born,Matches
EPL,2016-2017,26,Álvaro Arbeloa,es ESP,DF,West Ham,33,1983,https://fbref.com/en/players/6dc73abd/matchlogs/2016-2017/summary/Alvaro-Arbeloa-Match-Logs
EPL,2016-2017,27,Scott Arfield,ca CAN,MF,Burnley,27,1988,https://fbref.com/en/players/b1313ec4/matchlogs/2016-2017/summary/Scott-Arfield-Match-Logs
EPL,2016-2017,28,Marko Arnautović,at AUT,"MF,FW",Stoke City,27,1989,https://fbref.com/en/players/00459419/matchlogs/2016-2017/summary/Marko-Arnautovic-Match-Logs
EPL,2016-2017,29,Harry Arter,ie IRL,MF,Bournemouth,26,1989,https://fbref.com/en/players/2f4c5a52/matchlogs/2016-2017/summary/Harry-Arter-Match-Logs
EPL,2016-2017,30,Joel Asoro,se SWE,FW,Sunderland,17,1999,https://fbref.com/en/players/13e827f8/matchlogs/2016-2017/summary/Joel-Asoro-Match-Logs
EPL,2016-2017,31,Charlie Austin,eng ENG,FW,Southampton,27,1989,https://fbref.com/en/players/8d228291/matchlogs/2016-2017/summary/Charlie-Austin-Match-Logs
EPL,2016-2017,32,Daniel Ayala,es ESP,DF,Middlesbrough,25,1990,https://fbref.com/en/players/302560a0/matchlogs/2016-2017/summary/Daniel-Ayala-Match-Logs
EPL,2016-2017,33,André Ayew,gh GHA,"MF,FW",West Ham,26,1989,https://fbref.com/en/players/5dbefa9d/matchlogs/2016-2017/summary/Andre-Ayew-Match-Logs
EPL,2016-2017,34,Jordan Ayew,gh GHA,"FW,MF",Swansea City,24,1991,https://fbref.com/en/players/da052c14/matchlogs/2016-2017/summary/Jordan-Ayew-Match-Logs
