League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,npxG,xA,npxG+xA
EPL,2020-2021,196,Ki-Jana Hoever,nl NED,DF,Wolves,19-096,2002,10,3,397,4.4,0.1,0.1,0.1,0.2
EPL,2020-2021,197,Rob Holding,eng ENG,DF,Arsenal,25-216,1995,26,24,"2,198",24.4,1.1,1.1,0.2,1.4
EPL,2020-2021,198,Mason Holgate,eng ENG,DF,Everton,24-184,1996,22,22,"1,942",21.6,0.7,0.7,0.6,1.4
EPL,2020-2021,199,Conor Hourihane,ie IRL,MF,Aston Villa,30-081,1991,4,3,225,2.5,0.5,0.5,0.8,1.3
EPL,2020-2021,200,Callum Hudson-Odoi,eng ENG,"FW,DF",Chelsea,20-168,2000,21,10,999,11.1,1.3,1.3,2.8,4.1
EPL,2020-2021,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,npxG,xA,npxG+xA
EPL,2020-2021,201,Niall Huggins,wal WAL,DF,Leeds United,20-127,2000,1,0,38,0.4,0.0,0.0,0.0,0.0
EPL,2020-2021,202,Pierre Højbjerg,dk DEN,MF,Tottenham,25-262,1995,33,33,"2,970",33.0,0.6,0.6,1.6,2.2
EPL,2020-2021,203,Odion Ighalo,ng NGA,FW,Manchester Utd,31-312,1989,1,0,10,0.1,0.0,0.0,0.0,0.0
EPL,2020-2021,204,Kelechi Iheanacho,ng NGA,FW,Leicester City,24-203,1996,19,11,978,10.9,6.2,5.4,1.9,7.3
EPL,2020-2021,205,Danny Ings,eng ENG,FW,Southampton,28-275,1992,25,23,"1,913",21.3,7.3,5.7,2.5,8.2
EPL,2020-2021,206,Branislav Ivanović,rs SRB,DF,West Brom,37-061,1984,13,8,767,8.5,0.6,0.6,0.1,0.6
EPL,2020-2021,207,Alex Iwobi,ng NGA,"FW,DF",Everton,24-356,1996,27,16,"1,417",15.7,1.0,1.0,1.8,2.8
EPL,2020-2021,208,Phil Jagielka,eng ENG,DF,Sheffield Utd,38-250,1982,9,6,518,5.8,0.0,0.0,0.0,0.0
EPL,2020-2021,209,Alireza Jahanbakhsh,ir IRN,"FW,MF",Brighton,27-256,1993,15,2,272,3.0,1.2,1.2,1.8,3.0
EPL,2020-2021,210,Daniel James,wal WAL,FW,Manchester Utd,23-165,1997,13,9,746,8.3,1.9,1.9,0.9,2.7
EPL,2020-2021,211,Reece James,eng ENG,DF,Chelsea,21-137,1999,26,20,"1,918",21.3,1.4,1.4,2.7,4.1
EPL,2020-2021,212,Alexandre Jankewitz,ch SUI,MF,Southampton,19-120,2001,2,1,3,0.0,0.0,0.0,0.0,0.0
EPL,2020-2021,213,Gabriel Jesus,br BRA,FW,Manchester City,24-021,1997,24,18,"1,706",19.0,7.5,7.5,2.9,10.4
EPL,2020-2021,214,Raúl Jiménez,mx MEX,FW,Wolves,29-354,1991,10,10,823,9.1,2.4,2.4,0.8,3.1
EPL,2020-2021,215,Joelinton,br BRA,"FW,MF",Newcastle Utd,24-253,1996,26,20,"1,771",19.7,4.6,4.6,2.1,6.7
EPL,2020-2021,216,Ben Johnson,eng ENG,DF,West Ham,21-090,2000,13,5,515,5.7,0.4,0.4,0.2,0.6
EPL,2020-2021,217,Sam Johnstone,eng ENG,GK,West Brom,28-030,1993,31,31,"2,790",31.0,0.0,0.0,0.4,0.4
EPL,2020-2021,218,Curtis Jones,eng ENG,MF,Liverpool,20-084,2001,20,12,"1,089",12.1,1.4,1.4,1.1,2.5
EPL,2020-2021,219,Jorginho,it ITA,MF,Chelsea,29-125,1991,23,19,"1,658",18.4,6.2,0.1,1.6,1.8
EPL,2020-2021,220,Willian José,br BRA,FW,Wolves,29-152,1991,12,11,883,9.8,1.7,1.7,0.5,2.2
EPL,2020-2021,221,Diogo Jota,pt POR,FW,Liverpool,24-141,1996,15,9,903,10.0,4.6,4.6,1.5,6.2
EPL,2020-2021,222,James Justin,eng ENG,DF,Leicester City,23-060,1998,23,23,"2,070",23.0,1.6,1.6,1.6,3.2
EPL,2020-2021,223,Ozan Kabak,tr TUR,DF,Liverpool,21-030,2000,8,8,711,7.9,0.1,0.1,0.2,0.3
EPL,2020-2021,224,Aboubakar Kamara,mr MTN,"FW,DF",Fulham,26-048,1995,11,2,315,3.5,0.4,0.4,0.4,0.8
EPL,2020-2021,225,Harry Kane,eng ENG,FW,Tottenham,27-270,1993,30,30,"2,632",29.2,17.3,14.3,6.5,20.8
EPL,2020-2021,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,npxG,xA,npxG+xA
EPL,2020-2021,226,N'Golo Kanté,fr FRA,MF,Chelsea,30-026,1991,26,21,"1,933",21.5,0.8,0.8,1.0,1.9
EPL,2020-2021,227,Moise Kean,it ITA,FW,Everton,21-055,2000,2,0,15,0.2,0.0,0.0,0.0,0.0
EPL,2020-2021,228,Michael Keane,eng ENG,DF,Everton,28-103,1993,30,28,"2,541",28.2,1.2,1.2,0.9,2.1
EPL,2020-2021,229,Neeskens Kebano,cd COD,"FW,MF",Fulham,29-045,1992,5,1,119,1.3,0.3,0.3,0.0,0.3
EPL,2020-2021,230,Naby Keïta,gn GUI,MF,Liverpool,26-073,1995,10,7,520,5.8,0.5,0.5,0.8,1.3
EPL,2020-2021,231,Caoimhín Kelleher,ie IRL,GK,Liverpool,22-152,1998,2,2,180,2.0,0.0,0.0,0.0,0.0
EPL,2020-2021,232,Jonjoe Kenny,eng ENG,DF,Everton,24-040,1997,4,1,79,0.9,0.0,0.0,0.0,0.0
EPL,2020-2021,233,Reda Khadra,de GER,FW,Brighton,19-294,2001,1,0,5,0.1,0.0,0.0,0.0,0.0
EPL,2020-2021,234,Max Kilman,eng ENG,DF,Wolves,23-336,1997,15,12,"1,121",12.5,0.4,0.4,0.5,0.9
EPL,2020-2021,235,Joshua King,no NOR,"MF,FW",Everton,29-099,1992,9,0,132,1.5,0.4,0.4,0.0,0.4
EPL,2020-2021,236,Mateusz Klich,pl POL,MF,Leeds United,30-315,1990,31,25,"2,120",23.6,2.9,1.4,3.6,5.0
EPL,2020-2021,237,Robin Koch,de GER,DF,Leeds United,24-281,1996,14,11,938,10.4,0.7,0.7,0.2,0.9
EPL,2020-2021,238,Sead Kolašinac,ba BIH,DF,Arsenal,27-308,1993,1,1,90,1.0,0.0,0.0,0.0,0.0
EPL,2020-2021,239,Terence Kongolo,nl NED,DF,Fulham,27-069,1994,1,1,90,1.0,0.0,0.0,0.0,0.0
EPL,2020-2021,240,Ezri Konsa,eng ENG,DF,Aston Villa,23-183,1997,29,28,"2,566",28.5,1.7,1.7,0.0,1.7
EPL,2020-2021,241,Cheikhou Kouyaté,sn SEN,DF,Crystal Palace,31-124,1989,29,28,"2,493",27.7,0.8,0.8,0.2,0.9
EPL,2020-2021,242,Mateo Kovačić,hr CRO,MF,Chelsea,26-353,1994,25,20,"1,691",18.8,0.9,0.9,1.8,2.7
EPL,2020-2021,243,Emil Krafth,se SWE,DF,Newcastle Utd,26-265,1994,12,10,946,10.5,0.1,0.1,0.4,0.5
EPL,2020-2021,244,Filip Krovinović,hr CRO,MF,West Brom,25-238,1995,11,5,546,6.1,0.2,0.2,0.3,0.5
EPL,2020-2021,245,Alexandre Lacazette,fr FRA,FW,Arsenal,29-331,1991,28,22,"1,868",20.8,9.7,7.4,2.7,10.1
EPL,2020-2021,246,Adam Lallana,eng ENG,"MF,FW",Brighton,32-349,1988,26,15,"1,395",15.5,2.3,2.3,2.8,5.1
EPL,2020-2021,247,Érik Lamela,ar ARG,"FW,MF",Tottenham,29-051,1992,21,5,680,7.6,1.2,1.2,0.9,2.1
EPL,2020-2021,248,Tariq Lamptey,eng ENG,DF,Brighton,20-206,2000,11,11,886,9.8,0.6,0.6,1.1,1.7
EPL,2020-2021,249,Manuel Lanzini,ar ARG,"MF,FW",West Ham,28-068,1993,14,3,412,4.6,1.1,1.1,0.8,2.0
EPL,2020-2021,250,Aymeric Laporte,fr FRA,DF,Manchester City,26-332,1994,14,12,"1,164",12.9,0.3,0.3,0.2,0.6
EPL,2020-2021,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,npxG,xA,npxG+xA
EPL,2020-2021,251,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,27-164,1993,19,19,"1,625",18.1,1.0,1.0,0.0,1.0
EPL,2020-2021,252,Maxime Le Marchand,fr FRA,DF,Fulham,31-195,1989,2,1,123,1.4,0.0,0.0,0.0,0.0
EPL,2020-2021,253,Mario Lemina,ga GAB,MF,Fulham,27-235,1993,25,16,"1,446",16.1,0.9,0.9,0.8,1.7
EPL,2020-2021,254,Bernd Leno,de GER,GK,Arsenal,29-051,1992,31,31,"2,771",30.8,0.0,0.0,0.0,0.0
EPL,2020-2021,255,Khanya Leshabela,za RSA,MF,Leicester City,21-218,1999,1,0,10,0.1,0.0,0.0,0.0,0.0
EPL,2020-2021,256,Jamal Lewis,nir NIR,DF,Newcastle Utd,23-089,1998,23,20,"1,830",20.3,0.2,0.2,1.6,1.8
EPL,2020-2021,257,Victor Lindelöf,se SWE,DF,Manchester Utd,26-281,1994,25,25,"2,225",24.7,0.7,0.7,0.5,1.2
EPL,2020-2021,258,Jesse Lingard,eng ENG,"MF,FW",West Ham,28-130,1992,10,10,881,9.8,4.6,2.9,0.5,3.4
EPL,2020-2021,259,Jake Livermore,eng ENG,MF,West Brom,31-161,1989,17,15,"1,226",13.6,0.2,0.2,0.2,0.5
EPL,2020-2021,260,Diego Llorente,es ESP,DF,Leeds United,27-251,1993,10,9,811,9.0,0.7,0.7,0.6,1.2
EPL,2020-2021,261,Hugo Lloris,fr FRA,GK,Tottenham,34-119,1986,33,33,"2,970",33.0,0.0,0.0,0.0,0.0
EPL,2020-2021,262,Giovani Lo Celso,ar ARG,MF,Tottenham,25-015,1996,15,8,729,8.1,1.0,1.0,1.1,2.0
EPL,2020-2021,263,Ruben Loftus-Cheek,eng ENG,"MF,FW",Fulham,25-091,1996,27,21,"1,819",20.2,3.1,3.1,1.4,4.4
EPL,2020-2021,264,Ruben Loftus-Cheek,eng ENG,FW,Chelsea,25-091,1996,1,1,60,0.7,0.0,0.0,0.0,0.0
EPL,2020-2021,265,Kevin Long,ie IRL,DF,Burnley,30-249,1990,8,7,637,7.1,0.3,0.3,0.0,0.3
EPL,2020-2021,266,Shane Long,ie IRL,"FW,MF",Southampton,34-092,1987,11,1,210,2.3,0.0,0.0,0.0,0.0
EPL,2020-2021,267,Matthew Longstaff,eng ENG,MF,Newcastle Utd,21-034,2000,5,4,377,4.2,0.0,0.0,0.1,0.1
EPL,2020-2021,268,Sean Longstaff,eng ENG,MF,Newcastle Utd,23-176,1997,16,12,"1,101",12.2,1.1,1.1,0.8,1.9
EPL,2020-2021,269,Ademola Lookman,eng ENG,"FW,MF",Fulham,23-186,1997,29,27,"2,388",26.5,5.1,4.3,4.5,8.8
EPL,2020-2021,270,Max Lowe,eng ENG,DF,Sheffield Utd,23-348,1997,8,7,550,6.1,0.1,0.1,0.2,0.3
EPL,2020-2021,271,Matthew Lowton,eng ENG,DF,Burnley,31-319,1989,28,28,"2,520",28.0,0.5,0.5,1.6,2.1
EPL,2020-2021,272,David Luiz,br BRA,DF,Arsenal,34-002,1987,19,16,"1,344",14.9,0.8,0.8,0.4,1.3
EPL,2020-2021,273,Douglas Luiz,br BRA,MF,Aston Villa,22-350,1998,27,27,"2,352",26.1,1.4,1.4,1.3,2.7
EPL,2020-2021,274,John Lundstram,eng ENG,MF,Sheffield Utd,27-065,1994,26,23,"2,011",22.3,2.0,1.3,1.2,2.5
EPL,2020-2021,275,Alexis Mac Allister,ar ARG,"MF,FW",Brighton,22-121,1998,17,11,926,10.3,1.0,1.0,1.9,2.8
EPL,2020-2021,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,npxG,xA,npxG+xA
EPL,2020-2021,276,James Maddison,eng ENG,"MF,FW",Leicester City,24-152,1996,25,19,"1,718",19.1,3.7,3.7,4.3,8.0
EPL,2020-2021,277,Harry Maguire,eng ENG,DF,Manchester Utd,28-050,1993,32,32,"2,880",32.0,1.8,1.8,0.3,2.1
