League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,npxG,xA,npxG+xA
EPL,2020-2021,308,Illan Meslier,fr FRA,GK,Leeds United,21-053,2000,31,31,"2,790",31.0,0.0,0.0,0.1,0.1
EPL,2020-2021,309,Luka Milivojević,rs SRB,MF,Crystal Palace,30-017,1991,27,23,"2,033",22.6,1.4,0.6,1.2,1.8
EPL,2020-2021,310,James Milner,eng ENG,"MF,DF",Liverpool,35-110,1986,23,11,"1,020",11.3,0.4,0.4,1.2,1.6
EPL,2020-2021,311,Yerry Mina,co COL,DF,Everton,26-213,1994,22,21,"1,786",19.8,1.1,1.1,0.0,1.1
EPL,2020-2021,312,Takumi Minamino,jp JPN,"MF,FW",Liverpool,26-098,1995,9,2,293,3.3,0.7,0.7,0.0,0.7
EPL,2020-2021,313,Takumi Minamino,jp JPN,"MF,FW",Southampton,26-098,1995,6,5,410,4.6,0.7,0.7,0.2,0.9
EPL,2020-2021,314,Tyrone Mings,eng ENG,DF,Aston Villa,28-042,1993,30,30,"2,654",29.5,1.7,1.7,0.6,2.3
EPL,2020-2021,315,Tyrick Mitchell,eng ENG,DF,Crystal Palace,21-235,1999,13,13,"1,170",13.0,0.1,0.1,0.3,0.4
EPL,2020-2021,316,Aleksandar Mitrović,rs SRB,FW,Fulham,26-220,1994,25,12,"1,302",14.5,6.4,4.9,2.5,7.4
EPL,2020-2021,317,Jakub Moder,pl POL,DF,Brighton,22-017,1999,6,3,277,3.1,0.6,0.6,0.1,0.7
EPL,2020-2021,318,Jayson Molumby,ie IRL,MF,Brighton,21-261,1999,1,0,1,0.0,0.0,0.0,0.0,0.0
EPL,2020-2021,319,Wes Morgan,jm JAM,DF,Leicester City,37-093,1984,3,0,18,0.2,0.0,0.0,0.0,0.0
EPL,2020-2021,320,Mason Mount,eng ENG,"MF,FW",Chelsea,22-104,1999,31,27,"2,455",27.3,5.6,4.8,5.9,10.7
EPL,2020-2021,321,Lucas Moura,br BRA,"FW,MF",Tottenham,28-254,1992,28,14,"1,364",15.2,2.2,2.2,2.2,4.4
EPL,2020-2021,322,Lys Mousset,fr FRA,"FW,MF",Sheffield Utd,25-075,1996,10,2,288,3.2,0.7,0.7,0.3,1.1
EPL,2020-2021,323,João Moutinho,pt POR,MF,Wolves,34-228,1986,29,24,"2,179",24.2,0.5,0.5,2.3,2.8
EPL,2020-2021,324,Joel Mumbongo,se SWE,FW,Burnley,22-105,1999,4,0,40,0.4,0.0,0.0,0.0,0.0
EPL,2020-2021,325,Jacob Murphy,eng ENG,"DF,MF",Newcastle Utd,26-059,1995,20,11,"1,086",12.1,1.1,1.1,1.8,2.9
EPL,2020-2021,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,npxG,xA,npxG+xA
EPL,2020-2021,326,Shkodran Mustafi,de GER,DF,Arsenal,29-007,1992,3,0,47,0.5,0.0,0.0,0.0,0.0
EPL,2020-2021,327,Marvelous Nakamba,zw ZIM,MF,Aston Villa,27-095,1994,11,7,571,6.3,0.0,0.0,0.0,0.1
EPL,2020-2021,328,Iliman Ndiaye,fr FRA,MF,Sheffield Utd,21-276,1999,1,0,12,0.1,0.0,0.0,0.0,0.0
EPL,2020-2021,329,Wilfred Ndidi,ng NGA,"MF,DF",Leicester City,24-129,1996,20,19,"1,664",18.5,0.6,0.6,1.0,1.5
EPL,2020-2021,330,Tanguy Ndombele,fr FRA,MF,Tottenham,24-117,1996,30,28,"2,054",22.8,1.4,1.4,2.4,3.8
EPL,2020-2021,331,Reiss Nelson,eng ENG,FW,Arsenal,21-135,1999,2,0,71,0.8,0.0,0.0,0.0,0.0
EPL,2020-2021,332,Pedro Neto,pt POR,"FW,MF",Wolves,21-046,2000,31,30,"2,550",28.3,4.8,4.8,6.1,11.0
EPL,2020-2021,333,Rúben Neves,pt POR,MF,Wolves,24-042,1997,30,26,"2,259",25.1,4.8,2.5,1.8,4.3
EPL,2020-2021,334,Eddie Nketiah,eng ENG,FW,Arsenal,21-329,1999,17,4,423,4.7,2.3,2.3,0.8,3.1
EPL,2020-2021,335,Niels Nkounkou,fr FRA,DF,Everton,20-174,2000,1,1,68,0.8,0.0,0.0,0.0,0.0
EPL,2020-2021,336,Dan Nlundulu,eng ENG,FW,Southampton,22-078,1999,12,0,110,1.2,0.1,0.1,0.0,0.1
EPL,2020-2021,337,Mark Noble,eng ENG,MF,West Ham,33-351,1987,19,7,637,7.1,0.0,0.0,0.1,0.2
EPL,2020-2021,338,Oliver Norwood,nir NIR,MF,Sheffield Utd,30-012,1991,26,20,"1,680",18.7,0.3,0.3,1.3,1.5
EPL,2020-2021,339,Jack O'Connell,eng ENG,DF,Sheffield Utd,27-026,1994,2,2,180,2.0,0.0,0.0,0.0,0.0
EPL,2020-2021,340,Dara O'Shea,ie IRL,DF,West Brom,22-051,1999,25,23,"2,006",22.3,0.2,0.2,0.1,0.3
EPL,2020-2021,341,Michael Obafemi,ie IRL,FW,Southampton,20-292,2000,1,0,14,0.2,0.0,0.0,0.0,0.0
EPL,2020-2021,342,Denis Odoi,be BEL,DF,Fulham,32-332,1988,3,3,270,3.0,0.1,0.1,0.1,0.1
EPL,2020-2021,343,Angelo Ogbonna,it ITA,DF,West Ham,32-336,1988,24,24,"2,132",23.7,1.1,1.1,1.0,2.1
EPL,2020-2021,344,Robin Olsen,se SWE,GK,Everton,31-106,1990,7,7,630,7.0,0.0,0.0,0.0,0.0
EPL,2020-2021,345,Josh Onomah,eng ENG,MF,Fulham,23-362,1997,7,2,171,1.9,0.5,0.5,0.0,0.5
EPL,2020-2021,346,Divock Origi,be BEL,FW,Liverpool,26-006,1995,9,2,186,2.1,0.9,0.9,0.2,1.1
EPL,2020-2021,347,Ben Osborn,eng ENG,"MF,DF",Sheffield Utd,26-262,1994,18,12,"1,165",12.9,1.0,1.0,1.5,2.5
EPL,2020-2021,348,Owen Otasowie,us USA,MF,Wolves,20-004,2001,5,1,117,1.3,0.4,0.4,0.1,0.6
EPL,2020-2021,349,Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,27-252,1993,10,2,238,2.6,0.3,0.3,0.2,0.5
EPL,2020-2021,350,Emerson Palmieri,it ITA,DF,Chelsea,26-264,1994,2,0,90,1.0,0.0,0.0,0.0,0.0
EPL,2020-2021,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,npxG,xA,npxG+xA
EPL,2020-2021,351,Thomas Partey,gh GHA,MF,Arsenal,27-315,1993,19,15,"1,256",14.0,0.8,0.8,0.9,1.7
EPL,2020-2021,352,Rui Patrício,pt POR,GK,Wolves,33-068,1988,32,32,"2,879",32.0,0.0,0.0,0.0,0.0
EPL,2020-2021,353,Bailey Peacock-Farrell,nir NIR,GK,Burnley,24-177,1996,3,3,270,3.0,0.0,0.0,0.0,0.0
EPL,2020-2021,354,Lee Peltier,eng ENG,DF,West Brom,34-134,1986,4,3,229,2.5,0.0,0.0,0.0,0.0
EPL,2020-2021,355,Nicolas Pépé,ci CIV,FW,Arsenal,25-330,1995,25,13,"1,333",14.8,6.0,5.2,0.8,6.0
EPL,2020-2021,356,Matheus Pereira,br BRA,"MF,FW",West Brom,24-354,1996,28,25,"2,127",23.6,5.5,3.2,4.1,7.3
EPL,2020-2021,357,Ricardo Pereira,pt POR,DF,Leicester City,27-200,1993,12,9,838,9.3,0.4,0.4,0.3,0.8
EPL,2020-2021,358,Ayoze Pérez,es ESP,"FW,MF",Leicester City,27-275,1993,19,13,"1,072",11.9,2.4,2.4,1.1,3.5
EPL,2020-2021,359,Kalvin Phillips,eng ENG,MF,Leeds United,25-143,1995,24,24,"2,112",23.5,0.3,0.3,3.5,3.8
EPL,2020-2021,360,Matt Phillips,sco SCO,"MF,DF",West Brom,30-042,1991,27,16,"1,386",15.4,2.4,2.4,2.1,4.5
EPL,2020-2021,361,Nathaniel Phillips,eng ENG,DF,Liverpool,24-034,1997,12,10,"1,006",11.2,0.2,0.2,0.3,0.4
EPL,2020-2021,362,Jordan Pickford,eng ENG,GK,Everton,27-048,1994,25,25,"2,202",24.5,0.0,0.0,0.0,0.0
EPL,2020-2021,363,Erik Pieters,nl NED,"DF,MF",Burnley,32-260,1988,20,13,"1,266",14.1,0.2,0.2,0.5,0.7
EPL,2020-2021,364,Daniel Podence,pt POR,"FW,MF",Wolves,25-185,1995,21,20,"1,505",16.7,2.9,2.9,1.8,4.7
EPL,2020-2021,365,Paul Pogba,fr FRA,"MF,FW",Manchester Utd,28-040,1993,22,18,"1,612",17.9,1.8,1.8,1.5,3.4
EPL,2020-2021,366,Nick Pope,eng ENG,GK,Burnley,29-005,1992,29,29,"2,610",29.0,0.0,0.0,0.4,0.4
EPL,2020-2021,367,Dennis Praet,be BEL,"MF,FW",Leicester City,26-345,1994,15,10,718,8.0,0.5,0.5,0.8,1.3
EPL,2020-2021,368,Davy Pröpper,nl NED,MF,Brighton,29-234,1991,7,2,213,2.4,0.1,0.1,0.0,0.1
EPL,2020-2021,369,Christian Pulisic,us USA,"FW,MF",Chelsea,22-218,1998,22,13,"1,305",14.5,4.2,4.2,2.3,6.4
EPL,2020-2021,370,Aaron Ramsdale,eng ENG,GK,Sheffield Utd,22-345,1998,32,32,"2,880",32.0,0.0,0.0,0.1,0.1
EPL,2020-2021,371,Jacob Ramsey,eng ENG,MF,Aston Villa,19-331,2001,16,5,462,5.1,0.3,0.3,0.2,0.5
EPL,2020-2021,372,Kayne Ramsey,eng ENG,DF,Southampton,20-196,2000,1,1,90,1.0,0.0,0.0,0.0,0.0
EPL,2020-2021,373,Darren Randolph,ie IRL,GK,West Ham,33-347,1987,2,2,180,2.0,0.0,0.0,0.0,0.0
EPL,2020-2021,374,Marcus Rashford,eng ENG,FW,Manchester Utd,23-175,1997,32,30,"2,601",28.9,8.4,8.4,3.0,11.4
EPL,2020-2021,375,Tim Ream,us USA,DF,Fulham,33-201,1987,5,5,450,5.0,0.0,0.0,0.0,0.0
EPL,2020-2021,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,npxG,xA,npxG+xA
EPL,2020-2021,376,Nathan Redmond,eng ENG,"MF,FW",Southampton,27-049,1994,23,12,"1,267",14.1,2.4,2.4,2.2,4.6
EPL,2020-2021,377,Harrison Reed,eng ENG,MF,Fulham,26-087,1995,29,24,"2,126",23.6,0.3,0.3,1.4,1.7
EPL,2020-2021,378,Sergio Reguilón,es ESP,DF,Tottenham,24-129,1996,22,21,"1,794",19.9,1.2,1.2,1.5,2.8
EPL,2020-2021,379,Bobby Reid,jm JAM,"FW,MF",Fulham,28-081,1993,28,23,"1,947",21.6,4.5,4.5,0.9,5.4
EPL,2020-2021,380,Declan Rice,eng ENG,MF,West Ham,22-100,1999,29,29,"2,610",29.0,2.0,1.3,2.0,3.3
EPL,2020-2021,381,Lewis Richardson,eng ENG,"FW,MF",Burnley,18-076,2003,2,0,4,0.0,0.0,0.0,0.0,0.0
EPL,2020-2021,382,Richarlison,br BRA,FW,Everton,23-349,1997,28,27,"2,341",26.0,9.6,8.9,2.6,11.4
EPL,2020-2021,383,Jaïro Riedewald,nl NED,MF,Crystal Palace,24-227,1996,27,15,"1,469",16.3,0.6,0.6,0.9,1.5
EPL,2020-2021,384,Matt Ritchie,sco SCO,"DF,MF",Newcastle Utd,31-226,1989,12,9,817,9.1,0.3,0.3,0.9,1.1
EPL,2020-2021,385,Tyler Roberts,wal WAL,"MF,FW",Leeds United,22-102,1999,21,11,"1,068",11.9,1.6,1.6,1.5,3.1
EPL,2020-2021,386,Andrew Robertson,sco SCO,DF,Liverpool,27-044,1994,32,32,"2,844",31.6,1.3,1.3,5.5,6.8
EPL,2020-2021,387,Antonee Robinson,us USA,DF,Fulham,23-259,1997,26,22,"1,982",22.0,0.5,0.5,1.4,2.0
EPL,2020-2021,388,Callum Robinson,ie IRL,"FW,MF",West Brom,26-081,1995,24,17,"1,354",15.0,2.5,2.5,0.8,3.3
EPL,2020-2021,389,Jack Robinson,eng ENG,DF,Sheffield Utd,27-235,1993,8,6,607,6.7,0.3,0.3,0.0,0.3
EPL,2020-2021,390,Hal Robson-Kanu,wal WAL,"FW,MF",West Brom,31-338,1989,15,0,326,3.6,0.1,0.1,0.2,0.3
EPL,2020-2021,391,Marek Rodák,sk SVK,GK,Fulham,24-132,1996,1,1,90,1.0,0.0,0.0,0.0,0.0
EPL,2020-2021,392,Joe Rodon,wal WAL,DF,Tottenham,23-184,1997,11,8,732,8.1,0.0,0.0,0.0,0.0
EPL,2020-2021,393,Rodri,es ESP,MF,Manchester City,24-306,1996,29,27,"2,353",26.1,2.2,1.5,1.5,3.0
EPL,2020-2021,394,Rodrigo,es ESP,"MF,FW",Leeds United,30-049,1991,21,12,"1,089",12.1,3.8,3.8,1.8,5.7
EPL,2020-2021,395,James Rodríguez,co COL,"FW,MF",Everton,29-286,1991,22,20,"1,687",18.7,3.2,3.2,5.2,8.4
EPL,2020-2021,396,Jay Rodriguez,eng ENG,"FW,MF",Burnley,31-269,1989,26,12,"1,146",12.7,1.5,1.5,1.7,3.3
EPL,2020-2021,397,Oriol Romeu,es ESP,MF,Southampton,29-212,1991,20,20,"1,732",19.2,0.4,0.4,1.1,1.5
EPL,2020-2021,398,John Ruddy,eng ENG,GK,Wolves,34-182,1986,1,0,1,0.0,0.0,0.0,0.0,0.0
EPL,2020-2021,399,Antonio Rüdiger,de GER,DF,Chelsea,28-052,1993,15,15,"1,350",15.0,0.4,0.4,0.3,0.7
EPL,2020-2021,400,Mathew Ryan,au AUS,GK,Brighton,29-016,1992,11,11,990,11.0,0.0,0.0,0.0,0.0
EPL,2020-2021,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,npxG,xA,npxG+xA
EPL,2020-2021,401,Mathew Ryan,au AUS,GK,Arsenal,29-016,1992,2,2,180,2.0,0.0,0.0,0.0,0.0
EPL,2020-2021,402,Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,24-043,1997,19,13,"1,073",11.9,1.8,1.8,2.7,4.5
EPL,2020-2021,403,Romain Saïss,ma MAR,DF,Wolves,31-029,1990,23,23,"2,047",22.7,3.0,3.0,0.2,3.2
EPL,2020-2021,404,Bukayo Saka,eng ENG,"FW,DF",Arsenal,19-231,2001,28,27,"2,317",25.7,6.6,6.6,4.3,10.9
EPL,2020-2021,405,Mamadou Sakho,fr FRA,DF,Crystal Palace,31-070,1990,4,3,276,3.1,0.0,0.0,0.0,0.0
EPL,2020-2021,406,Mohamed Salah,eg EGY,FW,Liverpool,28-313,1992,31,28,"2,543",28.3,16.7,12.2,4.3,16.4
EPL,2020-2021,407,Mohammed Salisu,gh GHA,DF,Southampton,22-007,1999,7,5,453,5.0,0.3,0.3,0.0,0.4
EPL,2020-2021,408,Davinson Sánchez,co COL,DF,Tottenham,24-316,1996,17,16,"1,396",15.5,1.1,1.1,0.0,1.1
EPL,2020-2021,409,Robert Sánchez,es ESP,GK,Brighton,23-157,1997,21,21,"1,890",21.0,0.0,0.0,0.0,0.0
EPL,2020-2021,410,Morgan Sanson,fr FRA,MF,Aston Villa,26-249,1994,9,3,294,3.3,0.0,0.0,0.1,0.2
EPL,2020-2021,411,Romaine Sawyers,kn SKN,MF,West Brom,29-173,1991,19,17,"1,487",16.5,0.1,0.1,0.4,0.5
EPL,2020-2021,412,Dane Scarlett,eng ENG,FW,Tottenham,17-031,2004,1,0,1,0.0,0.0,0.0,0.0,0.0
EPL,2020-2021,413,Fabian Schär,ch SUI,DF,Newcastle Utd,29-125,1991,16,13,"1,210",13.4,0.4,0.4,0.0,0.4
EPL,2020-2021,414,Jeffrey Schlupp,gh GHA,MF,Crystal Palace,28-122,1992,20,12,"1,081",12.0,1.4,1.4,1.4,2.7
EPL,2020-2021,415,Kasper Schmeichel,dk DEN,GK,Leicester City,34-170,1986,32,32,"2,880",32.0,0.0,0.0,0.0,0.0
EPL,2020-2021,416,Nélson Semedo,pt POR,DF,Wolves,27-159,1993,29,29,"2,566",28.5,1.4,1.4,1.0,2.4
EPL,2020-2021,417,Jamie Shackleton,eng ENG,"MF,DF",Leeds United,21-198,1999,13,3,461,5.1,0.0,0.0,0.3,0.3
EPL,2020-2021,418,Xherdan Shaqiri,ch SUI,"MF,FW",Liverpool,29-196,1991,13,5,524,5.8,0.4,0.4,2.9,3.3
EPL,2020-2021,419,Billy Sharp,eng ENG,FW,Sheffield Utd,35-078,1986,16,7,735,8.2,2.7,1.2,0.6,1.8
EPL,2020-2021,420,Luke Shaw,eng ENG,DF,Manchester Utd,25-286,1995,28,26,"2,294",25.5,0.5,0.5,4.5,5.0
EPL,2020-2021,421,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,29-056,1992,24,23,"2,077",23.1,1.8,1.8,2.0,3.8
EPL,2020-2021,422,Shola Shoretire,eng ENG,FW,Manchester Utd,17-081,2004,1,0,2,0.0,0.0,0.0,0.0,0.0
EPL,2020-2021,423,Gylfi Sigurðsson,is ISL,MF,Everton,31-228,1989,30,19,"1,834",20.4,5.1,2.8,4.1,6.9
EPL,2020-2021,424,Bernardo Silva,pt POR,"MF,FW",Manchester City,26-257,1994,24,22,"1,899",21.1,2.8,2.8,3.6,6.4
EPL,2020-2021,425,Fábio Silva,pt POR,FW,Wolves,18-279,2002,26,6,895,9.9,4.4,3.7,0.4,4.1
EPL,2020-2021,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,npxG,xA,npxG+xA
EPL,2020-2021,426,Thiago Silva,br BRA,DF,Chelsea,36-214,1984,18,18,"1,485",16.5,0.8,0.8,0.3,1.1
EPL,2020-2021,427,Moussa Sissoko,fr FRA,MF,Tottenham,31-251,1989,24,15,"1,583",17.6,0.4,0.4,0.5,0.9
EPL,2020-2021,428,Islam Slimani,dz ALG,FW,Leicester City,32-310,1988,1,0,20,0.2,0.0,0.0,0.0,0.1
EPL,2020-2021,429,William Smallbone,ie IRL,MF,Southampton,21-062,2000,3,2,172,1.9,0.1,0.1,0.0,0.1
EPL,2020-2021,430,Emile Smith-Rowe,eng ENG,"MF,FW",Arsenal,20-270,2000,16,14,"1,125",12.5,1.1,1.1,2.8,3.9
EPL,2020-2021,431,Robert Snodgrass,sco SCO,"MF,FW",West Brom,33-229,1987,8,6,526,5.8,0.2,0.2,0.3,0.5
EPL,2020-2021,432,Robert Snodgrass,sco SCO,"FW,DF",West Ham,33-229,1987,3,0,5,0.1,0.0,0.0,0.0,0.0
EPL,2020-2021,433,Cédric Soares,pt POR,DF,Arsenal,29-236,1991,10,8,746,8.3,0.2,0.2,0.9,1.1
EPL,2020-2021,434,Tomáš Souček,cz CZE,MF,West Ham,26-056,1995,32,32,"2,879",32.0,7.2,7.2,1.5,8.7
EPL,2020-2021,435,Çağlar Söyüncü,tr TUR,DF,Leicester City,24-336,1996,17,13,"1,279",14.2,0.2,0.2,0.1,0.4
EPL,2020-2021,436,Zack Steffen,us USA,GK,Manchester City,26-022,1995,1,1,90,1.0,0.0,0.0,0.0,0.0
EPL,2020-2021,437,Dale Stephens,eng ENG,MF,Burnley,31-316,1989,7,3,261,2.9,0.2,0.2,0.0,0.2
EPL,2020-2021,438,Jack Stephens,eng ENG,DF,Southampton,27-087,1994,13,12,"1,087",12.1,0.3,0.3,0.4,0.7
EPL,2020-2021,439,Raheem Sterling,eng ENG,FW,Manchester City,26-137,1994,27,24,"2,176",24.2,10.3,9.5,4.0,13.5
EPL,2020-2021,440,Enda Stevens,ie IRL,DF,Sheffield Utd,30-289,1990,24,24,"2,160",24.0,1.0,1.0,0.9,1.9
EPL,2020-2021,441,John Stones,eng ENG,DF,Manchester City,26-331,1994,20,20,"1,753",19.5,2.2,2.2,0.1,2.3
EPL,2020-2021,442,Pascal Struijk,nl NED,"DF,MF",Leeds United,21-256,1999,21,18,"1,648",18.3,1.8,1.8,0.1,1.9
EPL,2020-2021,443,Japhet Tanganga,eng ENG,DF,Tottenham,22-024,1999,4,4,315,3.5,0.1,0.1,0.0,0.1
EPL,2020-2021,444,Matt Targett,eng ENG,DF,Aston Villa,25-218,1995,31,31,"2,774",30.8,0.2,0.2,2.1,2.3
EPL,2020-2021,445,James Tarkowski,eng ENG,DF,Burnley,28-156,1992,30,30,"2,700",30.0,1.8,1.8,0.7,2.5
EPL,2020-2021,446,Percy Tau,za RSA,"FW,MF",Brighton,26-346,1994,2,1,85,0.9,0.0,0.0,0.0,0.0
EPL,2020-2021,447,Sidnei Tavares,pt POR,MF,Leicester City,19-207,2001,2,1,85,0.9,0.1,0.1,0.0,0.1
EPL,2020-2021,448,Charlie Taylor,eng ENG,DF,Burnley,27-218,1993,23,22,"1,886",21.0,0.1,0.1,1.1,1.1
EPL,2020-2021,449,Neil Taylor,wal WAL,DF,Aston Villa,32-076,1989,1,0,16,0.2,0.0,0.0,0.0,0.0
EPL,2020-2021,450,Allan Tchaptchet,fr FRA,DF,Southampton,19-124,2001,1,0,13,0.1,0.0,0.0,0.0,0.0
EPL,2020-2021,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,npxG,xA,npxG+xA
EPL,2020-2021,451,Nathan Tella,eng ENG,"FW,MF",Southampton,21-293,1999,13,4,535,5.9,0.5,0.5,0.2,0.8
EPL,2020-2021,452,Alex Telles,br BRA,DF,Manchester Utd,28-130,1992,7,6,510,5.7,0.1,0.1,0.8,1.0
EPL,2020-2021,453,Kenny Tete,nl NED,DF,Fulham,25-197,1995,18,15,"1,246",13.8,0.1,0.1,1.5,1.6
EPL,2020-2021,454,Luke Thomas,eng ENG,DF,Leicester City,19-318,2001,8,7,540,6.0,0.1,0.1,0.2,0.3
EPL,2020-2021,455,Youri Tielemans,be BEL,MF,Leicester City,23-352,1997,32,31,"2,817",31.3,3.8,2.3,2.3,4.6
EPL,2020-2021,456,Kieran Tierney,sco SCO,DF,Arsenal,23-323,1997,23,23,"2,014",22.4,0.4,0.4,3.7,4.1
EPL,2020-2021,457,James Tomkins,eng ENG,DF,Crystal Palace,32-026,1989,5,4,388,4.3,0.1,0.1,0.0,0.1
EPL,2020-2021,458,Fikayo Tomori,eng ENG,DF,Chelsea,23-126,1997,1,0,45,0.5,0.0,0.0,0.0,0.0
EPL,2020-2021,459,Ferrán Torres,es ESP,FW,Manchester City,21-054,2000,19,11,"1,025",11.4,4.2,4.2,1.5,5.7
EPL,2020-2021,460,Cenk Tosun,tr TUR,FW,Everton,29-321,1991,5,0,48,0.5,0.0,0.0,0.1,0.1
EPL,2020-2021,461,Andros Townsend,eng ENG,"MF,FW",Crystal Palace,29-282,1991,28,20,"1,820",20.2,1.6,1.6,2.5,4.1
EPL,2020-2021,462,Conor Townsend,eng ENG,DF,West Brom,28-051,1993,19,19,"1,694",18.8,0.6,0.6,1.3,1.9
EPL,2020-2021,463,Adama Traoré,es ESP,FW,Wolves,25-089,1996,31,23,"2,233",24.8,1.6,1.6,4.6,6.2
EPL,2020-2021,464,Bertrand Traoré,bf BFA,FW,Aston Villa,25-230,1995,29,22,"1,756",19.5,4.9,4.9,2.4,7.3
EPL,2020-2021,465,Trézéguet,eg EGY,FW,Aston Villa,26-205,1994,21,12,"1,166",13.0,3.8,3.8,2.0,5.8
EPL,2020-2021,466,Leandro Trossard,be BEL,"FW,MF",Brighton,26-141,1994,29,25,"2,200",24.4,4.3,4.3,3.8,8.2
EPL,2020-2021,467,Kostas Tsimikas,gr GRE,DF,Liverpool,24-347,1996,1,0,6,0.1,0.0,0.0,0.0,0.0
EPL,2020-2021,468,Axel Tuanzebe,eng ENG,DF,Manchester Utd,23-161,1997,6,1,134,1.5,0.0,0.0,0.0,0.0
EPL,2020-2021,469,Cengiz Ünder,tr TUR,"MF,FW",Leicester City,23-284,1997,9,1,281,3.1,0.3,0.3,1.8,2.0
EPL,2020-2021,470,Yan Valery,fr FRA,"DF,MF",Southampton,22-061,1999,3,1,103,1.1,0.3,0.3,0.0,0.3
EPL,2020-2021,471,Jamie Vardy,eng ENG,FW,Leicester City,34-103,1987,28,25,"2,311",25.7,16.5,11.2,4.7,16.0
EPL,2020-2021,472,Joël Veltman,nl NED,DF,Brighton,29-099,1992,26,23,"2,101",23.3,1.1,1.1,1.0,2.2
EPL,2020-2021,473,Jannik Vestergaard,dk DEN,DF,Southampton,28-264,1992,24,23,"2,115",23.5,1.9,1.9,0.6,2.4
EPL,2020-2021,474,Rúben Vinagre,pt POR,DF,Wolves,22-015,1999,2,1,173,1.9,0.0,0.0,0.0,0.0
EPL,2020-2021,475,Carlos Vinícius,br BRA,FW,Tottenham,26-030,1995,9,3,308,3.4,1.4,1.4,0.1,1.5
EPL,2020-2021,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,npxG,xA,npxG+xA
EPL,2020-2021,476,João Virgínia,pt POR,GK,Everton,21-196,1999,1,0,48,0.5,0.0,0.0,0.0,0.0
EPL,2020-2021,477,Vitinha,pt POR,"MF,FW",Wolves,21-070,2000,14,2,270,3.0,0.4,0.4,0.3,0.7
EPL,2020-2021,478,Jake Vokins,eng ENG,DF,Southampton,21-038,2000,1,1,66,0.7,0.0,0.0,0.2,0.2
EPL,2020-2021,479,Matěj Vydra,cz CZE,FW,Burnley,28-358,1992,22,11,"1,049",11.7,4.5,4.5,1.2,5.7
EPL,2020-2021,480,Theo Walcott,eng ENG,"MF,FW",Southampton,32-039,1989,18,18,"1,461",16.2,2.9,2.9,1.1,4.1
EPL,2020-2021,481,Theo Walcott,eng ENG,FW,Everton,32-039,1989,1,0,13,0.1,0.0,0.0,0.0,0.0
EPL,2020-2021,482,Kyle Walker,eng ENG,DF,Manchester City,30-331,1990,22,20,"1,766",19.6,0.2,0.2,0.5,0.8
EPL,2020-2021,483,Kyle Walker-Peters,eng ENG,DF,Southampton,24-011,1997,24,24,"2,136",23.7,0.6,0.6,0.7,1.3
EPL,2020-2021,484,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,23-149,1997,30,30,"2,700",30.0,0.9,0.9,1.8,2.7
EPL,2020-2021,485,Joel Ward,eng ENG,DF,Crystal Palace,31-177,1989,19,18,"1,626",18.1,0.0,0.0,0.4,0.4
EPL,2020-2021,486,James Ward-Prowse,eng ENG,MF,Southampton,26-174,1994,32,32,"2,880",32.0,4.1,1.8,3.2,5.0
EPL,2020-2021,487,Ollie Watkins,eng ENG,FW,Aston Villa,25-115,1995,31,31,"2,790",31.0,13.0,11.5,3.4,14.9
EPL,2020-2021,488,Caleb Watts,au AUS,"MF,FW",Southampton,19-098,2002,3,0,39,0.4,0.0,0.0,0.0,0.0
EPL,2020-2021,489,Adam Webster,eng ENG,DF,Brighton,26-110,1995,23,23,"2,054",22.8,1.0,1.0,0.2,1.2
EPL,2020-2021,490,Danny Welbeck,eng ENG,FW,Brighton,30-149,1990,19,12,"1,171",13.0,5.6,4.9,1.4,6.2
EPL,2020-2021,491,Timo Werner,de GER,FW,Chelsea,25-049,1996,30,24,"2,157",24.0,9.7,9.7,4.3,14.0
EPL,2020-2021,492,Ashley Westwood,eng ENG,MF,Burnley,31-023,1990,32,32,"2,870",31.9,0.5,0.5,4.3,4.8
EPL,2020-2021,493,Ben White,eng ENG,"DF,MF",Brighton,23-198,1997,31,31,"2,741",30.5,0.5,0.5,0.7,1.2
EPL,2020-2021,494,Georginio Wijnaldum,nl NED,MF,Liverpool,30-164,1990,32,29,"2,518",28.0,2.9,2.9,1.4,4.4
EPL,2020-2021,495,Brandon Williams,eng ENG,DF,Manchester Utd,20-233,2000,2,0,8,0.1,0.0,0.0,0.0,0.0
EPL,2020-2021,496,Neco Williams,wal WAL,DF,Liverpool,20-011,2001,5,3,248,2.8,0.1,0.1,0.3,0.4
