League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,242,N'Golo Kanté,fr FRA,MF,Chelsea,26,1991,34,34,"2,994",33.3,0.02,0.07,0.10,0.02,0.10
EPL,2017-2018,243,Loris Karius,de GER,GK,Liverpool,24,1993,19,19,"1,710",19.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,244,Orestis Karnezis,gr GRE,GK,Watford,32,1985,15,14,"1,292",14.4,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,245,Beram Kayal,il ISR,MF,Brighton,29,1988,19,8,745,8.3,0.04,0.12,0.16,0.04,0.16
EPL,2017-2018,246,Michael Keane,eng ENG,DF,Everton,24,1993,30,29,"2,560",28.4,0.04,0.02,0.06,0.04,0.06
EPL,2017-2018,247,Martin Kelly,eng ENG,DF,Crystal Palace,27,1990,15,12,"1,195",13.3,0.03,0.00,0.03,0.03,0.03
EPL,2017-2018,248,Kenedy,br BRA,"MF,FW",Newcastle Utd,21,1996,13,13,"1,023",11.4,0.18,0.18,0.37,0.18,0.37
EPL,2017-2018,249,Jonjoe Kenny,eng ENG,DF,Everton,20,1997,19,17,"1,590",17.7,0.01,0.06,0.07,0.01,0.07
EPL,2017-2018,250,Andy King,wal WAL,MF,Swansea City,28,1988,11,9,715,7.9,0.12,0.01,0.14,0.12,0.14
EPL,2017-2018,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,251,Andy King,wal WAL,MF,Leicester City,28,1988,11,5,537,6.0,0.14,0.01,0.15,0.14,0.15
EPL,2017-2018,252,Joshua King,no NOR,"FW,MF",Bournemouth,25,1992,33,27,"2,453",27.3,0.28,0.16,0.44,0.23,0.39
EPL,2017-2018,253,Davy Klaassen,nl NED,"MF,FW",Everton,24,1993,7,3,251,2.8,0.00,0.04,0.04,0.00,0.04
EPL,2017-2018,254,Ragnar Klavan,ee EST,DF,Liverpool,31,1985,19,16,"1,451",16.1,0.00,0.01,0.01,0.00,0.01
EPL,2017-2018,255,Anthony Knockaert,fr FRA,"MF,FW",Brighton,25,1991,33,27,"2,421",26.9,0.13,0.09,0.22,0.13,0.22
EPL,2017-2018,256,Sead Kolašinac,ba BIH,"DF,MF",Arsenal,24,1993,27,25,"2,147",23.9,0.11,0.10,0.21,0.11,0.21
EPL,2017-2018,257,Vincent Kompany,be BEL,DF,Manchester City,31,1986,17,17,"1,394",15.5,0.03,0.02,0.06,0.03,0.06
EPL,2017-2018,258,Terence Kongolo,nl NED,DF,Huddersfield,23,1994,13,11,"1,049",11.7,0.02,0.03,0.05,0.02,0.05
EPL,2017-2018,259,Laurent Koscielny,fr FRA,DF,Arsenal,31,1985,25,25,"2,225",24.7,0.08,0.02,0.09,0.08,0.09
EPL,2017-2018,260,Cheikhou Kouyaté,sn SEN,MF,West Ham,27,1989,33,32,"2,799",31.1,0.08,0.03,0.11,0.08,0.11
EPL,2017-2018,261,Bojan Krkić,es ESP,MF,Stoke City,26,1990,1,1,71,0.8,0.01,0.02,0.03,0.01,0.03
EPL,2017-2018,262,Grzegorz Krychowiak,pl POL,MF,West Brom,27,1990,27,20,"1,641",18.2,0.05,0.08,0.14,0.05,0.14
EPL,2017-2018,263,Rajiv van La Parra,nl NED,"FW,MF",Huddersfield,26,1991,33,26,"2,137",23.7,0.15,0.05,0.20,0.11,0.16
EPL,2017-2018,264,Alexandre Lacazette,fr FRA,FW,Arsenal,26,1991,32,26,"2,202",24.5,0.48,0.14,0.62,0.42,0.56
EPL,2017-2018,265,Freddie Ladapo,eng ENG,FW,Crystal Palace,24,1993,1,0,17,0.2,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,266,Adam Lallana,eng ENG,"MF,FW",Liverpool,29,1988,12,1,308,3.4,0.51,0.16,0.66,0.51,0.66
EPL,2017-2018,267,Érik Lamela,ar ARG,"FW,MF",Tottenham,25,1992,25,7,843,9.4,0.33,0.16,0.49,0.33,0.49
EPL,2017-2018,268,Manuel Lanzini,ar ARG,"MF,FW",West Ham,24,1993,27,23,"2,042",22.7,0.17,0.16,0.34,0.14,0.30
EPL,2017-2018,269,Aymeric Laporte,fr FRA,DF,Manchester City,23,1994,9,9,806,9.0,0.01,0.01,0.01,0.01,0.01
EPL,2017-2018,270,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,23,1993,33,32,"2,928",32.5,0.04,0.01,0.05,0.04,0.05
EPL,2017-2018,271,Florian Lejeune,fr FRA,DF,Newcastle Utd,26,1991,24,24,"2,103",23.4,0.01,0.06,0.07,0.01,0.07
EPL,2017-2018,272,Mario Lemina,ga GAB,MF,Southampton,23,1993,25,20,"1,720",19.1,0.04,0.02,0.06,0.04,0.06
EPL,2017-2018,273,Aaron Lennon,eng ENG,"FW,MF",Everton,30,1987,15,9,793,8.8,0.03,0.05,0.08,0.03,0.08
EPL,2017-2018,274,Aaron Lennon,eng ENG,"MF,FW",Burnley,30,1987,14,13,"1,118",12.4,0.05,0.09,0.14,0.05,0.14
EPL,2017-2018,275,Victor Lindelöf,se SWE,DF,Manchester Utd,23,1994,17,13,"1,285",14.3,0.00,0.02,0.02,0.00,0.02
EPL,2017-2018,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,276,Jesse Lingard,eng ENG,"MF,FW",Manchester Utd,24,1992,33,20,"1,817",20.2,0.38,0.15,0.53,0.38,0.53
EPL,2017-2018,277,Jake Livermore,eng ENG,MF,West Brom,27,1989,34,30,"2,674",29.7,0.07,0.07,0.14,0.07,0.14
EPL,2017-2018,278,Fernando Llorente,es ESP,"FW,DF",Tottenham,32,1985,16,1,238,2.6,0.42,0.12,0.54,0.42,0.54
EPL,2017-2018,279,Hugo Lloris,fr FRA,GK,Tottenham,30,1986,36,36,"3,240",36.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,280,Jürgen Locadia,nl NED,"FW,MF",Brighton,23,1993,6,3,224,2.5,0.40,0.05,0.45,0.40,0.45
EPL,2017-2018,281,Ruben Loftus-Cheek,eng ENG,"MF,FW",Crystal Palace,21,1996,24,21,"1,874",20.8,0.16,0.12,0.28,0.16,0.28
EPL,2017-2018,282,Joe Lolley,eng ENG,"MF,FW",Huddersfield,24,1992,6,2,221,2.5,0.06,0.02,0.08,0.06,0.08
EPL,2017-2018,283,Kevin Long,ie IRL,DF,Burnley,26,1990,16,16,"1,440",16.0,0.08,0.06,0.14,0.08,0.14
EPL,2017-2018,284,Shane Long,ie IRL,FW,Southampton,30,1987,30,15,"1,582",17.6,0.28,0.08,0.36,0.28,0.36
EPL,2017-2018,285,Ademola Lookman,eng ENG,"MF,FW",Everton,19,1997,7,1,159,1.8,0.07,0.41,0.48,0.07,0.48
EPL,2017-2018,286,Jonas Lössl,dk DEN,GK,Huddersfield,28,1989,38,38,"3,420",38.0,0.00,0.01,0.01,0.00,0.01
EPL,2017-2018,287,Dejan Lovren,hr CRO,DF,Liverpool,28,1989,29,24,"2,127",23.6,0.07,0.06,0.13,0.07,0.13
EPL,2017-2018,288,Chris Löwe,de GER,DF,Huddersfield,28,1989,23,19,"1,588",17.6,0.02,0.03,0.05,0.02,0.05
EPL,2017-2018,289,Matthew Lowton,eng ENG,DF,Burnley,28,1989,26,25,"2,295",25.5,0.01,0.06,0.07,0.01,0.07
EPL,2017-2018,290,David Luiz,br BRA,"DF,MF",Chelsea,30,1987,10,9,840,9.3,0.06,0.01,0.07,0.06,0.07
EPL,2017-2018,291,Romelu Lukaku,be BEL,FW,Manchester Utd,24,1993,34,33,"2,867",31.9,0.43,0.16,0.59,0.40,0.56
EPL,2017-2018,292,Dodi Lukebakio,be BEL,MF,Watford,19,1997,1,0,16,0.2,0.08,0.21,0.29,0.08,0.29
EPL,2017-2018,293,Levi Lumeka,eng ENG,FW,Crystal Palace,18,1998,1,0,26,0.3,0.37,0.00,0.37,0.37,0.37
EPL,2017-2018,294,Harry Maguire,eng ENG,DF,Leicester City,24,1993,38,38,"3,420",38.0,0.07,0.05,0.12,0.07,0.12
EPL,2017-2018,295,Riyad Mahrez,dz ALG,"MF,FW",Leicester City,26,1991,36,34,"2,950",32.8,0.16,0.24,0.40,0.16,0.40
EPL,2017-2018,296,Ainsley Maitland-Niles,eng ENG,"DF,MF",Arsenal,19,1997,15,8,914,10.2,0.02,0.07,0.09,0.02,0.09
EPL,2017-2018,297,Scott Malone,eng ENG,DF,Huddersfield,26,1991,22,12,"1,119",12.4,0.06,0.04,0.10,0.06,0.10
EPL,2017-2018,298,Sadio Mané,sn SEN,"FW,MF",Liverpool,25,1992,29,28,"2,190",24.3,0.44,0.20,0.64,0.44,0.64
EPL,2017-2018,299,Eliaquim Mangala,fr FRA,DF,Everton,26,1991,2,2,134,1.5,0.03,0.00,0.03,0.03,0.03
EPL,2017-2018,300,Eliaquim Mangala,fr FRA,DF,Manchester City,26,1991,9,4,488,5.4,0.04,0.05,0.09,0.04,0.09
EPL,2017-2018,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,301,Javier Manquillo,es ESP,DF,Newcastle Utd,23,1994,21,20,"1,758",19.5,0.00,0.02,0.03,0.00,0.03
EPL,2017-2018,302,Solly March,eng ENG,"MF,FW",Brighton,23,1994,36,18,"1,851",20.6,0.06,0.08,0.14,0.06,0.14
EPL,2017-2018,303,Adrian Mariappa,jm JAM,DF,Watford,30,1986,28,24,"2,210",24.6,0.02,0.01,0.03,0.02,0.03
EPL,2017-2018,304,João Mário,pt POR,"MF,FW",West Ham,24,1993,13,12,"1,022",11.4,0.16,0.13,0.29,0.16,0.29
EPL,2017-2018,305,Anthony Martial,fr FRA,"FW,MF",Manchester Utd,21,1995,30,18,"1,582",17.6,0.38,0.29,0.67,0.34,0.63
EPL,2017-2018,306,Cuco Martina,cw CUW,DF,Everton,27,1989,21,20,"1,830",20.3,0.01,0.05,0.06,0.01,0.06
EPL,2017-2018,307,Bruno Martins Indi,nl NED,DF,Stoke City,25,1992,17,14,"1,243",13.8,0.03,0.01,0.04,0.03,0.04
EPL,2017-2018,308,Arthur Masuaku,cd COD,"MF,DF",West Ham,23,1993,27,21,"1,870",20.8,0.01,0.11,0.12,0.01,0.12
EPL,2017-2018,309,Juan Mata,es ESP,"FW,MF",Manchester Utd,29,1988,28,23,"1,922",21.4,0.14,0.21,0.35,0.14,0.35
EPL,2017-2018,310,Nemanja Matić,rs SRB,MF,Manchester Utd,28,1988,36,35,"3,118",34.6,0.02,0.05,0.07,0.02,0.07
EPL,2017-2018,311,Joël Matip,cm CMR,DF,Liverpool,25,1991,25,22,"1,997",22.2,0.10,0.02,0.12,0.10,0.12
EPL,2017-2018,312,Konstantinos Mavropanos,gr GRE,"DF,MF",Arsenal,19,1997,3,3,195,2.2,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,313,Alfie Mawson,eng ENG,DF,Swansea City,23,1994,38,38,"3,420",38.0,0.05,0.01,0.06,0.05,0.06
EPL,2017-2018,314,Eric Maxim Choupo-Moting,cm CMR,"FW,MF",Stoke City,28,1989,30,26,"2,314",25.7,0.21,0.13,0.34,0.21,0.34
EPL,2017-2018,315,Chancel Mbemba,cd COD,DF,Newcastle Utd,22,1994,9,7,672,7.5,0.00,0.05,0.05,0.00,0.05
EPL,2017-2018,316,James McArthur,sco SCO,"MF,FW",Crystal Palace,29,1987,33,27,"2,431",27.0,0.18,0.04,0.22,0.18,0.22
EPL,2017-2018,317,Gareth McAuley,nir NIR,DF,West Brom,37,1979,9,5,458,5.1,0.01,0.00,0.01,0.01,0.01
EPL,2017-2018,318,Oliver McBurnie,sco SCO,FW,Swansea City,21,1996,11,2,276,3.1,0.15,0.15,0.30,0.15,0.30
EPL,2017-2018,319,Alex McCarthy,eng ENG,GK,Southampton,27,1989,18,18,"1,620",18.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,320,James McCarthy,ie IRL,MF,Everton,26,1990,4,3,205,2.3,0.01,0.01,0.02,0.01,0.02
EPL,2017-2018,321,James McClean,ie IRL,"MF,FW",West Brom,28,1989,30,14,"1,406",15.6,0.10,0.05,0.15,0.10,0.15
EPL,2017-2018,322,Sam McQueen,eng ENG,"DF,FW",Southampton,22,1995,7,1,148,1.6,0.01,0.13,0.14,0.01,0.14
EPL,2017-2018,323,Scott McTominay,sco SCO,MF,Manchester Utd,20,1996,13,7,634,7.0,0.06,0.01,0.07,0.06,0.07
EPL,2017-2018,324,Ben Mee,eng ENG,DF,Burnley,27,1989,29,29,"2,610",29.0,0.06,0.01,0.07,0.06,0.07
EPL,2017-2018,325,Benjamin Mendy,fr FRA,DF,Manchester City,23,1994,7,4,363,4.0,0.05,0.12,0.18,0.05,0.18
EPL,2017-2018,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,326,Mikel Merino,es ESP,MF,Newcastle Utd,21,1996,24,14,"1,347",15.0,0.04,0.04,0.08,0.04,0.08
EPL,2017-2018,327,Per Mertesacker,de GER,DF,Arsenal,32,1984,6,4,366,4.1,0.06,0.00,0.06,0.06,0.06
EPL,2017-2018,328,Roque Mesa,es ESP,MF,Swansea City,28,1989,11,9,754,8.4,0.02,0.03,0.05,0.02,0.05
EPL,2017-2018,329,Simon Mignolet,be BEL,GK,Liverpool,29,1988,19,19,"1,710",19.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,330,Luka Milivojević,rs SRB,MF,Crystal Palace,26,1991,36,35,"3,080",34.2,0.21,0.03,0.25,0.06,0.09
EPL,2017-2018,331,James Milner,eng ENG,MF,Liverpool,31,1986,32,16,"1,775",19.7,0.09,0.18,0.26,0.09,0.26
EPL,2017-2018,332,Tyrone Mings,eng ENG,DF,Bournemouth,24,1993,4,3,201,2.2,0.01,0.04,0.04,0.01,0.04
EPL,2017-2018,333,Kevin Mirallas,be BEL,"FW,MF",Everton,29,1987,5,2,138,1.5,0.10,0.04,0.14,0.10,0.14
EPL,2017-2018,334,Aleksandar Mitrović,rs SRB,FW,Newcastle Utd,22,1994,6,0,95,1.1,1.71,0.38,2.09,1.71,2.09
EPL,2017-2018,335,Henrikh Mkhitaryan,am ARM,"FW,MF",Arsenal,28,1989,11,9,794,8.8,0.20,0.27,0.47,0.20,0.47
EPL,2017-2018,336,Henrikh Mkhitaryan,am ARM,"MF,FW",Manchester Utd,28,1989,15,11,922,10.2,0.09,0.34,0.43,0.09,0.43
EPL,2017-2018,337,Nacho Monreal,es ESP,DF,Arsenal,31,1986,28,26,"2,243",24.9,0.07,0.05,0.12,0.07,0.12
EPL,2017-2018,338,Aaron Mooy,au AUS,MF,Huddersfield,26,1990,36,34,"3,067",34.1,0.07,0.11,0.19,0.05,0.16
EPL,2017-2018,339,Álvaro Morata,es ESP,FW,Chelsea,24,1992,31,24,"2,061",22.9,0.56,0.15,0.71,0.56,0.71
EPL,2017-2018,340,Alberto Moreno,es ESP,DF,Liverpool,25,1992,16,14,"1,266",14.1,0.04,0.06,0.09,0.04,0.09
EPL,2017-2018,341,Wes Morgan,jm JAM,DF,Leicester City,33,1984,32,32,"2,817",31.3,0.05,0.01,0.06,0.05,0.06
EPL,2017-2018,342,James Morrison,sco SCO,MF,West Brom,31,1986,4,2,207,2.3,0.29,0.04,0.33,0.29,0.33
EPL,2017-2018,343,Victor Moses,ng NGA,"DF,MF",Chelsea,26,1990,28,25,"2,110",23.4,0.14,0.12,0.25,0.14,0.25
EPL,2017-2018,344,Steve Mounié,bj BEN,FW,Huddersfield,22,1994,28,21,"1,855",20.6,0.26,0.05,0.30,0.26,0.30
EPL,2017-2018,345,Lucas Moura,br BRA,FW,Tottenham,24,1992,6,2,210,2.3,0.08,0.09,0.17,0.08,0.17
EPL,2017-2018,346,Lys Mousset,fr FRA,"FW,MF",Bournemouth,21,1996,23,4,596,6.6,0.18,0.06,0.23,0.18,0.23
EPL,2017-2018,347,Jacob Murphy,eng ENG,"FW,MF",Newcastle Utd,22,1995,25,13,"1,148",12.8,0.13,0.10,0.23,0.13,0.23
EPL,2017-2018,348,Jamie Murphy,sco SCO,MF,Brighton,27,1989,4,1,168,1.9,0.03,0.01,0.04,0.03,0.04
EPL,2017-2018,349,Glenn Murray,eng ENG,FW,Brighton,33,1983,35,25,"2,192",24.4,0.47,0.04,0.52,0.29,0.33
EPL,2017-2018,350,Charly Musonda Jr.,be BEL,FW,Chelsea,20,1996,3,0,37,0.4,0.51,1.22,1.72,0.51,1.72
EPL,2017-2018,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,351,Shkodran Mustafi,de GER,DF,Arsenal,25,1992,27,25,"2,273",25.3,0.04,0.02,0.06,0.04,0.06
EPL,2017-2018,352,Boaz Myhill,wal WAL,GK,West Brom,34,1982,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,353,Georges-Kévin N'Koudou,fr FRA,MF,Tottenham,22,1995,1,0,1,0.0,,,,,
EPL,2017-2018,354,Georges-Kévin N'Koudou,fr FRA,MF,Burnley,22,1995,8,2,228,2.5,0.04,0.00,0.04,0.04,0.04
EPL,2017-2018,355,Luciano Narsingh,nl NED,"FW,MF",Swansea City,26,1990,18,5,625,6.9,0.18,0.15,0.33,0.18,0.33
EPL,2017-2018,356,Kyle Naughton,eng ENG,DF,Swansea City,28,1988,34,34,"3,030",33.7,0.01,0.01,0.02,0.01,0.02
EPL,2017-2018,357,Badou Ndiaye,sn SEN,MF,Stoke City,26,1990,13,13,"1,138",12.6,0.10,0.02,0.12,0.10,0.12
EPL,2017-2018,358,Wilfred Ndidi,ng NGA,MF,Leicester City,20,1996,33,33,"2,898",32.2,0.06,0.02,0.08,0.06,0.08
EPL,2017-2018,359,Reiss Nelson,eng ENG,"MF,FW",Arsenal,17,1999,3,2,145,1.6,0.07,0.02,0.09,0.07,0.09
EPL,2017-2018,360,Julien Ngoy,be BEL,"FW,MF",Stoke City,19,1997,1,0,20,0.2,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,361,Oumar Niasse,sn SEN,FW,Everton,27,1990,22,10,"1,087",12.1,0.55,0.16,0.71,0.55,0.71
EPL,2017-2018,362,Eddie Nketiah,eng ENG,"FW,MF",Arsenal,18,1999,3,0,20,0.2,0.24,0.00,0.24,0.24,0.24
EPL,2017-2018,363,Lukas Nmecha,de GER,FW,Manchester City,18,1998,2,0,16,0.2,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,364,Mark Noble,eng ENG,MF,West Ham,30,1987,29,28,"2,400",26.7,0.08,0.06,0.14,0.03,0.09
EPL,2017-2018,365,Allan Nyom,cm CMR,DF,West Brom,29,1988,29,25,"2,310",25.7,0.00,0.04,0.04,0.00,0.04
EPL,2017-2018,366,Aiden O'Neill,au AUS,MF,Burnley,19,1998,1,0,1,0.0,,,,,
EPL,2017-2018,367,Michael Obafemi,ie IRL,FW,Southampton,17,2000,1,0,9,0.1,2.58,0.00,2.58,2.58,2.58
EPL,2017-2018,368,Pedro Obiang,gq EQG,MF,West Ham,25,1992,21,18,"1,563",17.4,0.02,0.02,0.05,0.02,0.05
EPL,2017-2018,369,Angelo Ogbonna,it ITA,DF,West Ham,29,1988,32,32,"2,880",32.0,0.02,0.02,0.03,0.02,0.03
EPL,2017-2018,370,Stefano Okaka,it ITA,"FW,MF",Watford,27,1989,15,3,453,5.0,0.24,0.07,0.31,0.24,0.31
EPL,2017-2018,371,Shinji Okazaki,jp JPN,"MF,FW",Leicester City,31,1986,27,17,"1,324",14.7,0.40,0.13,0.53,0.40,0.53
EPL,2017-2018,372,Martin Olsson,se SWE,"DF,MF",Swansea City,29,1988,36,36,"3,149",35.0,0.02,0.03,0.05,0.02,0.05
EPL,2017-2018,373,Divock Origi,be BEL,FW,Liverpool,22,1995,1,0,10,0.1,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,374,David Ospina,co COL,GK,Arsenal,28,1988,5,4,381,4.2,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,375,Nicolás Otamendi,ar ARG,DF,Manchester City,29,1988,34,33,"2,967",33.0,0.09,0.01,0.10,0.09,0.10
EPL,2017-2018,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,376,Reece Oxford,eng ENG,MF,West Ham,18,1998,1,0,5,0.1,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,377,Alex Oxlade-Chamberlain,eng ENG,"MF,DF",Arsenal,23,1993,3,3,241,2.7,0.09,0.17,0.26,0.09,0.26
EPL,2017-2018,378,Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,23,1993,32,14,"1,493",16.6,0.12,0.22,0.34,0.12,0.34
EPL,2017-2018,379,Mesut Özil,de GER,"MF,FW",Arsenal,28,1988,26,24,"2,163",24.0,0.17,0.29,0.47,0.17,0.47
EPL,2017-2018,380,Kasey Palmer,jm JAM,"MF,FW",Huddersfield,20,1996,4,1,170,1.9,0.04,0.01,0.05,0.04,0.05
EPL,2017-2018,381,Emerson Palmieri,it ITA,"DF,MF",Chelsea,22,1994,5,3,280,3.1,0.03,0.02,0.06,0.03,0.06
EPL,2017-2018,382,Pedro,es ESP,"FW,MF",Chelsea,30,1987,31,17,"1,523",16.9,0.25,0.09,0.34,0.25,0.34
EPL,2017-2018,383,Roberto Pereyra,ar ARG,"MF,FW",Watford,26,1991,32,18,"1,624",18.0,0.20,0.14,0.33,0.20,0.33
EPL,2017-2018,384,Ayoze Pérez,es ESP,"MF,FW",Newcastle Utd,24,1993,36,28,"2,492",27.7,0.24,0.12,0.35,0.24,0.35
EPL,2017-2018,385,Matt Phillips,sco SCO,"MF,FW",West Brom,26,1991,30,23,"2,093",23.3,0.09,0.18,0.28,0.09,0.28
EPL,2017-2018,386,Jordan Pickford,eng ENG,GK,Everton,23,1994,38,38,"3,420",38.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,387,Jérémy Pied,fr FRA,DF,Southampton,28,1989,2,2,180,2.0,0.03,0.20,0.23,0.03,0.23
EPL,2017-2018,388,Erik Pieters,nl NED,"DF,MF",Stoke City,28,1988,31,30,"2,718",30.2,0.00,0.04,0.04,0.00,0.04
EPL,2017-2018,389,Paul Pogba,fr FRA,MF,Manchester Utd,24,1993,27,25,"2,148",23.9,0.27,0.16,0.44,0.27,0.44
EPL,2017-2018,390,Nick Pope,eng ENG,GK,Burnley,25,1992,35,34,"3,115",34.6,0.00,0.02,0.02,0.00,0.02
EPL,2017-2018,391,Alex Pritchard,eng ENG,"MF,FW",Huddersfield,24,1993,14,12,998,11.1,0.15,0.23,0.38,0.15,0.38
EPL,2017-2018,392,Sebastian Prödl,at AUT,DF,Watford,30,1987,21,17,"1,570",17.4,0.04,0.01,0.05,0.04,0.05
EPL,2017-2018,393,Davy Pröpper,nl NED,MF,Brighton,25,1991,35,35,"3,119",34.7,0.06,0.03,0.09,0.06,0.09
EPL,2017-2018,394,Marc Pugh,eng ENG,"MF,FW",Bournemouth,30,1987,20,11,985,10.9,0.14,0.06,0.21,0.14,0.21
EPL,2017-2018,395,Jason Puncheon,eng ENG,"MF,FW",Crystal Palace,31,1986,10,6,645,7.2,0.09,0.05,0.14,0.09,0.14
EPL,2017-2018,396,Collin Quaner,de GER,"FW,MF",Huddersfield,26,1991,26,13,"1,280",14.2,0.10,0.17,0.26,0.10,0.26
EPL,2017-2018,397,Sandro Ramírez,es ESP,"FW,MF",Everton,22,1995,8,3,278,3.1,0.26,0.00,0.26,0.26,0.26
EPL,2017-2018,398,Aaron Ramsey,wal WAL,MF,Arsenal,26,1990,24,21,"1,846",20.5,0.25,0.23,0.47,0.25,0.47
EPL,2017-2018,399,Àngel Rangel,es ESP,DF,Swansea City,34,1982,4,2,156,1.7,0.00,0.05,0.05,0.00,0.05
EPL,2017-2018,400,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,19,1997,35,17,"1,813",20.1,0.22,0.23,0.45,0.22,0.45
EPL,2017-2018,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,401,Nathan Redmond,eng ENG,"FW,MF",Southampton,23,1994,31,22,"1,945",21.6,0.11,0.17,0.27,0.11,0.27
EPL,2017-2018,402,Winston Reid,nz NZL,DF,West Ham,29,1988,17,17,"1,452",16.1,0.02,0.01,0.03,0.02,0.03
EPL,2017-2018,403,Declan Rice,eng ENG,"DF,MF",West Ham,18,1999,26,15,"1,430",15.9,0.01,0.00,0.01,0.01,0.01
EPL,2017-2018,404,Richarlison,br BRA,"FW,MF",Watford,20,1997,38,32,"2,823",31.4,0.32,0.10,0.43,0.32,0.43
EPL,2017-2018,405,Jaïro Riedewald,nl NED,"MF,DF",Crystal Palace,20,1996,12,4,442,4.9,0.01,0.02,0.03,0.01,0.03
EPL,2017-2018,406,Matt Ritchie,sco SCO,"MF,FW",Newcastle Utd,27,1989,35,32,"2,804",31.2,0.10,0.17,0.27,0.10,0.27
EPL,2017-2018,407,Connor Roberts,wal WAL,MF,Swansea City,21,1995,4,3,268,3.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,408,Andrew Robertson,sco SCO,DF,Liverpool,23,1994,22,22,"1,940",21.6,0.03,0.14,0.17,0.03,0.17
EPL,2017-2018,409,Hal Robson-Kanu,wal WAL,"FW,MF",West Brom,28,1989,21,8,827,9.2,0.25,0.07,0.32,0.25,0.32
EPL,2017-2018,410,Jay Rodriguez,eng ENG,"FW,MF",West Brom,28,1989,37,31,"2,812",31.2,0.26,0.04,0.29,0.23,0.27
EPL,2017-2018,411,Marcos Rojo,ar ARG,DF,Manchester Utd,27,1990,9,8,640,7.1,0.02,0.05,0.06,0.02,0.06
EPL,2017-2018,412,Sergio Romero,ar ARG,GK,Manchester Utd,30,1987,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,413,Oriol Romeu,es ESP,MF,Southampton,25,1991,34,34,"2,897",32.2,0.06,0.04,0.10,0.06,0.10
EPL,2017-2018,414,Salomón Rondón,ve VEN,FW,West Brom,27,1989,36,32,"2,767",30.7,0.22,0.05,0.28,0.22,0.28
EPL,2017-2018,415,Wayne Rooney,eng ENG,"MF,FW",Everton,31,1985,31,27,"2,268",25.2,0.34,0.10,0.44,0.15,0.25
EPL,2017-2018,416,Danny Rose,eng ENG,"DF,MF",Tottenham,27,1990,10,9,800,8.9,0.08,0.11,0.19,0.08,0.19
EPL,2017-2018,417,Liam Rosenior,eng ENG,DF,Brighton,33,1984,3,1,164,1.8,0.02,0.00,0.02,0.02,0.02
EPL,2017-2018,418,Wayne Routledge,eng ENG,"MF,FW",Swansea City,32,1985,15,4,429,4.8,0.08,0.21,0.29,0.08,0.29
EPL,2017-2018,419,Antonio Rüdiger,de GER,DF,Chelsea,24,1993,27,25,"2,338",26.0,0.07,0.02,0.09,0.07,0.09
EPL,2017-2018,420,Mathew Ryan,au AUS,GK,Brighton,25,1992,38,38,"3,420",38.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,421,Abdelhamid Sabiri,de GER,"MF,DF",Huddersfield,20,1996,5,2,220,2.4,0.08,0.09,0.17,0.08,0.17
EPL,2017-2018,422,Henri Saivet,sn SEN,MF,Newcastle Utd,26,1990,1,1,83,0.9,0.02,0.00,0.02,0.02,0.02
