League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,99,Lewis Cook,eng ENG,MF,Bournemouth,20,1997,29,25,"2,237",24.9,0.02,0.06,0.08,0.02,0.08
EPL,2017-2018,100,Steve Cook,eng ENG,DF,Bournemouth,26,1991,34,31,"2,767",30.7,0.07,0.01,0.09,0.07,0.09
EPL,2017-2018,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,101,Francis Coquelin,fr FRA,"MF,DF",Arsenal,26,1991,7,1,169,1.9,0.02,0.14,0.16,0.02,0.16
EPL,2017-2018,102,Jack Cork,eng ENG,MF,Burnley,28,1989,38,38,"3,420",38.0,0.06,0.02,0.08,0.06,0.08
EPL,2017-2018,103,Thibaut Courtois,be BEL,GK,Chelsea,25,1992,35,35,"3,150",35.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,104,Philippe Coutinho,br BRA,"MF,FW",Liverpool,25,1992,14,13,"1,109",12.3,0.21,0.35,0.56,0.21,0.56
EPL,2017-2018,105,Martin Cranie,eng ENG,"DF,MF",Huddersfield,30,1986,3,2,180,2.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,106,Aaron Cresswell,eng ENG,DF,West Ham,27,1989,36,35,"3,069",34.1,0.02,0.08,0.10,0.02,0.10
EPL,2017-2018,107,Peter Crouch,eng ENG,FW,Stoke City,36,1981,31,14,"1,567",17.4,0.24,0.16,0.40,0.24,0.40
EPL,2017-2018,108,Josh Cullen,ie IRL,"FW,MF",West Ham,21,1996,2,0,8,0.1,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,109,Charlie Daniels,eng ENG,"DF,MF",Bournemouth,30,1986,35,34,"3,002",33.4,0.01,0.07,0.08,0.01,0.08
EPL,2017-2018,110,Danilo,br BRA,DF,Manchester City,26,1991,23,13,"1,349",15.0,0.06,0.01,0.07,0.06,0.07
EPL,2017-2018,111,Scott Dann,eng ENG,DF,Crystal Palace,30,1987,17,16,"1,435",15.9,0.12,0.01,0.13,0.12,0.13
EPL,2017-2018,112,Karl Darlow,eng ENG,GK,Newcastle Utd,26,1990,10,10,900,10.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,113,Matteo Darmian,it ITA,DF,Manchester Utd,27,1989,8,5,444,4.9,0.00,0.00,0.01,0.00,0.01
EPL,2017-2018,114,Ben Davies,wal WAL,DF,Tottenham,24,1993,29,26,"2,324",25.8,0.04,0.12,0.16,0.04,0.16
EPL,2017-2018,115,Tom Davies,eng ENG,MF,Everton,19,1998,33,20,"1,900",21.1,0.06,0.03,0.09,0.06,0.09
EPL,2017-2018,116,Steven Davis,nir NIR,MF,Southampton,32,1985,23,17,"1,521",16.9,0.05,0.06,0.11,0.05,0.11
EPL,2017-2018,117,Craig Dawson,eng ENG,DF,West Brom,27,1990,28,28,"2,510",27.9,0.08,0.04,0.12,0.08,0.12
EPL,2017-2018,118,Kevin De Bruyne,be BEL,MF,Manchester City,26,1991,37,36,"3,073",34.1,0.17,0.36,0.53,0.17,0.53
EPL,2017-2018,119,Troy Deeney,eng ENG,FW,Watford,29,1988,29,20,"1,844",20.5,0.39,0.09,0.47,0.19,0.28
EPL,2017-2018,120,Jermain Defoe,eng ENG,FW,Bournemouth,34,1982,24,11,"1,088",12.1,0.40,0.09,0.49,0.40,0.49
EPL,2017-2018,121,Steven Defour,be BEL,MF,Burnley,29,1988,24,24,"1,997",22.2,0.04,0.06,0.09,0.04,0.09
EPL,2017-2018,122,Damien Delaney,ie IRL,DF,Crystal Palace,36,1981,2,1,96,1.1,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,123,Fabian Delph,eng ENG,DF,Manchester City,27,1989,22,21,"1,741",19.3,0.01,0.06,0.07,0.01,0.07
EPL,2017-2018,124,Mousa Dembélé,be BEL,MF,Tottenham,30,1987,28,21,"1,879",20.9,0.02,0.04,0.06,0.02,0.06
EPL,2017-2018,125,Laurent Depoitre,be BEL,FW,Huddersfield,28,1988,33,18,"1,820",20.2,0.19,0.02,0.21,0.19,0.21
EPL,2017-2018,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,xG,xA,xG+xA,npxG,npxG+xA
EPL,2017-2018,126,Mike van der Hoorn,nl NED,DF,Swansea City,24,1992,24,24,"1,944",21.6,0.04,0.01,0.05,0.04,0.05
EPL,2017-2018,127,Gerard Deulofeu,es ESP,"FW,MF",Watford,23,1994,7,5,435,4.8,0.12,0.12,0.24,0.12,0.24
EPL,2017-2018,128,Fousseni Diabaté,ml MLI,"MF,FW",Leicester City,21,1995,14,5,587,6.5,0.06,0.05,0.11,0.06,0.11
EPL,2017-2018,129,Mohamed Diamé,sn SEN,MF,Newcastle Utd,30,1987,31,23,"2,041",22.7,0.06,0.02,0.08,0.06,0.08
EPL,2017-2018,130,Brahim Díaz,es ESP,"FW,MF",Manchester City,17,1999,5,0,55,0.6,0.70,0.00,0.70,0.70,0.70
EPL,2017-2018,131,Eric Dier,eng ENG,"MF,DF",Tottenham,23,1994,34,32,"2,824",31.4,0.06,0.07,0.12,0.06,0.12
EPL,2017-2018,132,Virgil van Dijk,nl NED,DF,Liverpool,26,1991,14,14,"1,260",14.0,0.10,0.04,0.14,0.10,0.14
EPL,2017-2018,133,Virgil van Dijk,nl NED,DF,Southampton,26,1991,12,11,994,11.0,0.10,0.00,0.10,0.10,0.10
EPL,2017-2018,134,Abdoulaye Doucouré,fr FRA,MF,Watford,24,1993,37,37,"3,324",36.9,0.08,0.06,0.15,0.08,0.15
EPL,2017-2018,135,Aleksandar Dragović,at AUT,DF,Leicester City,26,1991,11,7,769,8.5,0.02,0.00,0.02,0.02,0.02
EPL,2017-2018,136,Danny Drinkwater,eng ENG,MF,Chelsea,27,1990,12,5,527,5.9,0.02,0.02,0.04,0.02,0.04
EPL,2017-2018,137,Martin Dúbravka,sk SVK,GK,Newcastle Utd,28,1989,12,12,"1,080",12.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,138,Shane Duffy,ie IRL,DF,Brighton,25,1992,37,37,"3,292",36.6,0.05,0.03,0.08,0.05,0.08
EPL,2017-2018,139,Paul Dummett,wal WAL,DF,Newcastle Utd,25,1991,20,19,"1,602",17.8,0.01,0.02,0.04,0.01,0.04
EPL,2017-2018,140,Lewis Dunk,eng ENG,DF,Brighton,25,1991,38,38,"3,420",38.0,0.06,0.01,0.07,0.06,0.07
EPL,2017-2018,141,Nathan Dyer,eng ENG,"MF,FW",Swansea City,29,1987,24,16,"1,307",14.5,0.05,0.05,0.10,0.05,0.10
EPL,2017-2018,142,Ederson,br BRA,GK,Manchester City,23,1993,36,36,"3,194",35.5,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,143,Tom Edwards,eng ENG,DF,Stoke City,18,1999,6,6,481,5.3,0.00,0.05,0.06,0.00,0.06
EPL,2017-2018,144,Rob Elliot,ie IRL,GK,Newcastle Utd,31,1986,16,16,"1,440",16.0,0.00,0.00,0.00,0.00,0.00
EPL,2017-2018,145,Mohamed Elneny,eg EGY,MF,Arsenal,25,1992,13,11,867,9.6,0.04,0.07,0.11,0.04,0.11
EPL,2017-2018,146,Christian Eriksen,dk DEN,"MF,FW",Tottenham,25,1992,37,37,"3,218",35.8,0.19,0.35,0.54,0.19,0.54
