League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2014-2015,46,Joey Barton,eng ENG,MF,QPR,31,1982,28,27,"2,349",26.1,1,3,1,0,0,11,1
EPL,2014-2015,47,Asmir Begović,ba BIH,GK,Stoke City,27,1987,35,35,"3,150",35.0,0,0,0,0,0,3,0
EPL,2014-2015,48,Héctor Bellerín,es ESP,"DF,MF",Arsenal,19,1995,20,17,"1,563",17.4,2,1,2,0,0,5,0
EPL,2014-2015,49,Hatem Ben Arfa,fr FRA,"FW,MF",Hull City,27,1987,8,5,383,4.3,0,0,0,0,0,1,0
EPL,2014-2015,50,Darren Bent,eng ENG,FW,Aston Villa,30,1984,7,0,83,0.9,0,0,0,0,0,0,0
EPL,2014-2015,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2014-2015,51,Nabil Bentaleb,dz ALG,MF,Tottenham,19,1994,26,25,"2,193",24.4,0,2,0,0,0,8,0
EPL,2014-2015,52,Christian Benteke,be BEL,FW,Aston Villa,23,1990,29,26,"2,379",26.4,13,2,12,1,1,1,1
EPL,2014-2015,53,Saido Berahino,bi BDI,"FW,MF",West Brom,20,1993,38,32,"2,924",32.5,14,1,10,4,4,2,0
EPL,2014-2015,54,Ryan Bertrand,eng ENG,"DF,MF",Southampton,24,1989,34,34,"3,054",33.9,2,2,2,0,0,3,1
EPL,2014-2015,55,Muhamed Bešić,ba BIH,"DF,MF",Everton,21,1992,23,15,"1,284",14.3,0,0,0,0,0,8,0
EPL,2014-2015,56,Mame Biram Diouf,sn SEN,"FW,MF",Stoke City,26,1987,34,28,"2,433",27.0,11,3,11,0,0,7,0
EPL,2014-2015,57,Tyler Blackett,eng ENG,DF,Manchester Utd,20,1994,11,6,654,7.3,0,0,0,0,0,3,1
EPL,2014-2015,58,Sebastián Blanco,ar ARG,"FW,MF",West Brom,26,1988,3,0,39,0.4,0,0,0,0,0,1,0
EPL,2014-2015,59,Daley Blind,nl NED,"DF,MF",Manchester Utd,24,1990,25,25,"2,169",24.1,2,2,2,0,0,4,0
EPL,2014-2015,60,Yannick Bolasie,cd COD,"FW,MF",Crystal Palace,25,1989,34,31,"2,769",30.8,4,6,4,0,0,3,0
EPL,2014-2015,61,Wilfried Bony,ci CIV,FW,Manchester City,25,1988,10,2,302,3.4,2,1,2,0,0,1,0
EPL,2014-2015,62,Wilfried Bony,ci CIV,FW,Swansea City,25,1988,20,16,"1,297",14.4,9,2,8,1,1,3,1
EPL,2014-2015,63,Fabio Borini,it ITA,"FW,MF",Liverpool,23,1991,12,3,397,4.4,1,1,1,0,0,2,1
EPL,2014-2015,64,Dedryck Boyata,be BEL,DF,Manchester City,23,1990,2,1,92,1.0,0,0,0,0,0,1,0
EPL,2014-2015,65,George Boyd,sco SCO,"FW,MF",Hull City,28,1985,1,0,10,0.1,0,0,0,0,0,0,0
EPL,2014-2015,66,George Boyd,sco SCO,"FW,MF",Burnley,28,1985,35,35,"3,005",33.4,5,2,5,0,0,7,0
EPL,2014-2015,67,Robbie Brady,ie IRL,"DF,FW",Hull City,22,1992,27,17,"1,759",19.5,0,2,0,0,0,2,0
EPL,2014-2015,68,Liam Bridcutt,sco SCO,"DF,MF",Sunderland,25,1989,18,10,912,10.1,0,2,0,0,0,7,1
EPL,2014-2015,69,Leon Britton,eng ENG,MF,Swansea City,31,1982,9,7,534,5.9,0,0,0,0,0,1,0
EPL,2014-2015,70,Izzy Brown,eng ENG,"FW,MF",Chelsea,17,1997,1,0,12,0.1,0,0,0,0,0,0,0
EPL,2014-2015,71,Wes Brown,eng ENG,DF,Sunderland,34,1979,25,23,"1,993",22.1,0,0,0,0,0,5,1
EPL,2014-2015,72,Tyias Browning,eng ENG,DF,Everton,20,1994,2,0,31,0.3,0,0,0,0,0,0,0
EPL,2014-2015,73,Alex Bruce,nir NIR,DF,Hull City,29,1984,22,17,"1,449",16.1,0,1,0,0,0,3,0
EPL,2014-2015,74,Chris Brunt,nir NIR,"DF,MF",West Brom,29,1984,34,33,"2,894",32.2,2,9,2,0,0,5,0
EPL,2014-2015,75,Will Buckley,eng ENG,"FW,MF",Sunderland,24,1989,22,9,876,9.7,0,2,0,0,0,2,0
EPL,2014-2015,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2014-2015,76,Reece Burke,eng ENG,DF,West Ham,17,1996,5,4,415,4.6,0,0,0,0,0,0,0
EPL,2014-2015,77,Jack Butland,eng ENG,GK,Stoke City,21,1993,3,3,270,3.0,0,0,0,0,0,0,0
EPL,2014-2015,78,Willy Caballero,ar ARG,GK,Manchester City,32,1981,2,2,180,2.0,0,0,0,0,0,0,0
EPL,2014-2015,79,Rémy Cabella,fr FRA,"FW,MF",Newcastle Utd,24,1990,31,21,"1,943",21.6,1,2,1,0,0,2,0
EPL,2014-2015,80,Gary Cahill,eng ENG,DF,Chelsea,28,1985,36,33,"2,986",33.2,1,1,1,0,0,5,0
EPL,2014-2015,81,Esteban Cambiasso,ar ARG,MF,Leicester City,33,1980,31,27,"2,415",26.8,5,1,5,0,0,1,0
EPL,2014-2015,82,Geoff Cameron,us USA,"DF,MF",Stoke City,29,1985,27,21,"2,138",23.8,0,1,0,0,0,4,0
EPL,2014-2015,83,Fraizer Campbell,eng ENG,FW,Crystal Palace,26,1987,20,13,"1,172",13.0,4,0,4,0,0,5,0
EPL,2014-2015,84,Joel Campbell,cr CRC,"FW,MF",Arsenal,22,1992,4,0,41,0.5,0,0,0,0,0,0,0
EPL,2014-2015,85,Emre Can,de GER,"DF,MF",Liverpool,20,1994,27,23,"2,065",22.9,1,0,1,0,0,3,1
EPL,2014-2015,86,Étienne Capoue,fr FRA,MF,Tottenham,26,1988,12,11,897,10.0,0,0,0,0,0,2,0
EPL,2014-2015,87,Michael Carrick,eng ENG,MF,Manchester Utd,33,1981,18,16,"1,457",16.2,1,2,1,0,0,1,0
EPL,2014-2015,88,Andy Carroll,eng ENG,FW,West Ham,25,1989,14,12,"1,024",11.4,5,1,5,0,0,2,0
EPL,2014-2015,89,Tom Carroll,eng ENG,MF,Swansea City,22,1992,13,8,692,7.7,0,0,0,0,0,1,0
EPL,2014-2015,90,Lee Cattermole,eng ENG,MF,Sunderland,26,1988,28,26,"2,357",26.2,1,0,1,0,0,14,0
EPL,2014-2015,91,Steven Caulker,eng ENG,DF,QPR,22,1991,35,34,"3,015",33.5,1,0,1,0,0,1,0
EPL,2014-2015,92,Santi Cazorla,es ESP,MF,Arsenal,29,1984,37,33,"2,990",33.2,7,11,1,6,6,5,0
EPL,2014-2015,93,Petr Čech,cz CZE,GK,Chelsea,32,1982,7,6,607,6.7,0,0,0,0,0,0,0
EPL,2014-2015,94,Nacer Chadli,be BEL,"FW,MF",Tottenham,24,1989,35,28,"2,406",26.7,11,5,11,0,0,3,0
EPL,2014-2015,95,Nathaniel Chalobah,eng ENG,"DF,MF",Burnley,19,1994,4,0,69,0.8,0,0,0,0,0,1,0
EPL,2014-2015,96,Marouane Chamakh,ma MAR,FW,Crystal Palace,30,1984,18,15,"1,149",12.8,2,0,2,0,0,4,0
EPL,2014-2015,97,Calum Chambers,eng ENG,"DF,MF",Arsenal,19,1995,23,17,"1,573",17.5,1,0,1,0,0,8,1
EPL,2014-2015,98,James Chester,wal WAL,DF,Hull City,25,1989,23,23,"1,872",20.8,2,0,2,0,0,5,1
EPL,2014-2015,99,Vlad Chiricheș,ro ROU,DF,Tottenham,24,1989,10,8,708,7.9,0,0,0,0,0,3,1
EPL,2014-2015,100,Andreas Christensen,dk DEN,DF,Chelsea,18,1996,1,0,13,0.1,0,0,0,0,0,0,0
EPL,2014-2015,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2014-2015,101,Lee Chung-yong,kr KOR,"FW,MF",Crystal Palace,26,1988,3,1,92,1.0,0,0,0,0,0,0,0
EPL,2014-2015,102,Papiss Cissé,sn SEN,FW,Newcastle Utd,29,1985,22,11,"1,158",12.9,11,1,10,1,1,1,0
EPL,2014-2015,103,Aly Cissokho,fr FRA,DF,Aston Villa,26,1987,25,24,"2,128",23.6,0,0,0,0,0,1,0
EPL,2014-2015,104,Ciaran Clark,ie IRL,"DF,MF",Aston Villa,24,1989,25,22,"1,991",22.1,1,2,1,0,0,9,1
EPL,2014-2015,105,Tom Cleverley,eng ENG,MF,Manchester Utd,24,1989,1,1,90,1.0,0,0,0,0,0,1,0
EPL,2014-2015,106,Tom Cleverley,eng ENG,MF,Aston Villa,24,1989,31,31,"2,507",27.9,3,0,3,0,0,6,0
EPL,2014-2015,107,Gaël Clichy,fr FRA,DF,Manchester City,29,1985,23,23,"2,057",22.9,1,3,1,0,0,1,0
EPL,2014-2015,108,Nathaniel Clyne,eng ENG,DF,Southampton,23,1991,35,35,"3,146",35.0,2,0,2,0,0,4,0
EPL,2014-2015,109,Sebastián Coates,uy URU,DF,Sunderland,23,1990,9,8,823,9.1,0,0,0,0,0,1,0
EPL,2014-2015,110,Jack Colback,eng ENG,MF,Newcastle Utd,24,1989,35,35,"3,128",34.8,4,6,4,0,0,12,0
EPL,2014-2015,111,Carlton Cole,eng ENG,FW,West Ham,30,1983,23,8,912,10.1,2,0,2,0,0,2,0
EPL,2014-2015,112,Joe Cole,eng ENG,MF,Aston Villa,32,1981,12,3,284,3.2,1,1,1,0,0,0,0
EPL,2014-2015,113,Séamus Coleman,ie IRL,"DF,MF",Everton,25,1988,35,34,"3,066",34.1,3,2,3,0,0,5,0
EPL,2014-2015,114,James Collins,wal WAL,DF,West Ham,30,1983,27,21,"1,882",20.9,0,0,0,0,0,6,1
EPL,2014-2015,115,Fabricio Coloccini,ar ARG,"DF,MF",Newcastle Utd,32,1982,32,32,"2,836",31.5,1,0,1,0,0,3,1
EPL,2014-2015,116,Brandon Comley,ms MSR,MF,QPR,18,1995,1,0,11,0.1,0,0,0,0,0,0,0
EPL,2014-2015,117,Francis Coquelin,fr FRA,"DF,MF",Arsenal,23,1991,22,19,"1,661",18.5,0,0,0,0,0,5,0
EPL,2014-2015,118,Jack Cork,eng ENG,"DF,MF",Swansea City,25,1989,15,15,"1,324",14.7,1,0,1,0,0,1,0
EPL,2014-2015,119,Jack Cork,eng ENG,"DF,MF",Southampton,25,1989,12,5,481,5.3,2,0,2,0,0,0,0
EPL,2014-2015,120,Diego Costa,es ESP,FW,Chelsea,25,1988,26,24,"2,068",23.0,20,3,19,1,1,8,0
EPL,2014-2015,121,Thibaut Courtois,be BEL,GK,Chelsea,22,1992,32,32,"2,813",31.3,0,0,0,0,0,1,0
EPL,2014-2015,122,Philippe Coutinho,br BRA,"FW,MF",Liverpool,22,1992,35,32,"2,792",31.0,5,5,5,0,0,3,0
EPL,2014-2015,123,Aaron Cresswell,eng ENG,"DF,MF",West Ham,24,1989,38,38,"3,420",38.0,2,4,2,0,0,5,0
EPL,2014-2015,124,Peter Crouch,eng ENG,FW,Stoke City,33,1981,33,17,"1,685",18.7,8,2,8,0,0,4,0
EPL,2014-2015,125,Juan Cuadrado,co COL,"DF,FW",Chelsea,26,1988,12,4,315,3.5,0,0,0,0,0,2,0
EPL,2014-2015,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
EPL,2014-2015,126,Scott Dann,eng ENG,DF,Crystal Palace,27,1987,34,34,"2,920",32.4,2,3,2,0,0,6,0
EPL,2014-2015,127,Jason Davidson,au AUS,"DF,MF",West Brom,23,1991,2,1,102,1.1,0,0,0,0,0,0,0
EPL,2014-2015,128,Ben Davies,wal WAL,"DF,MF",Tottenham,21,1993,14,9,895,9.9,0,1,0,0,0,3,0
EPL,2014-2015,129,Curtis Davies,eng ENG,DF,Hull City,29,1985,21,21,"1,812",20.1,0,0,0,0,0,2,0
EPL,2014-2015,130,Kelvin Davis,eng ENG,GK,Southampton,37,1976,7,6,617,6.9,0,0,0,0,0,0,0
EPL,2014-2015,131,Steven Davis,nir NIR,MF,Southampton,29,1985,35,32,"2,637",29.3,0,2,0,0,0,3,0
EPL,2014-2015,132,Craig Dawson,eng ENG,DF,West Brom,24,1990,29,29,"2,590",28.8,2,0,2,0,0,6,0
EPL,2014-2015,133,Michael Dawson,eng ENG,DF,Hull City,30,1983,28,28,"2,432",27.0,1,0,1,0,0,7,0
EPL,2014-2015,134,Ritchie De Laet,be BEL,DF,Leicester City,25,1988,26,20,"1,883",20.9,0,1,0,0,0,3,0
EPL,2014-2015,135,Mathieu Debuchy,fr FRA,DF,Arsenal,29,1985,10,10,805,8.9,1,0,1,0,0,2,0
EPL,2014-2015,136,Jermain Defoe,eng ENG,FW,Sunderland,31,1982,17,17,"1,451",16.1,4,0,4,0,0,1,0
EPL,2014-2015,137,Damien Delaney,ie IRL,DF,Crystal Palace,33,1981,29,28,"2,434",27.0,0,0,0,0,0,7,1
EPL,2014-2015,138,Fabian Delph,eng ENG,"DF,MF",Aston Villa,24,1989,28,27,"2,434",27.0,0,3,0,0,0,1,1
EPL,2014-2015,139,Mousa Dembélé,be BEL,MF,Tottenham,27,1987,26,10,"1,146",12.7,1,1,1,0,0,1,0
