Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2016-2017,2016-09-20,Tue,EFL Cup,Third round,Home,L 2–3,Bournemouth,Preston,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-11-19,Sat,Premier League,Matchweek 12,Away,W 1–0,Bournemouth,Stoke City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-11-27,Sun,Premier League,Matchweek 13,Away,L 1–3,Bournemouth,Arsenal,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-01-07,Sat,FA Cup,Third round,Away,L 0–3,Bournemouth,Millwall,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-01-31,Tue,Premier League,Matchweek 23,Home,L 0–2,Bournemouth,Crystal Palace,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-02-04,Sat,Premier League,Matchweek 24,Away,L 3–6,Bournemouth,Everton,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-02-13,Mon,Premier League,Matchweek 25,Home,L 0–2,Bournemouth,Manchester City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-02-25,Sat,Premier League,Matchweek 26,Away,L 1–2,Bournemouth,West Brom,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-03-04,Sat,Premier League,Matchweek 27,Away,D 1–1,Bournemouth,Manchester Utd,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-03-11,Sat,Premier League,Matchweek 28,Home,W 3–2,Bournemouth,West Ham,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-03-18,Sat,Premier League,Matchweek 29,Home,W 2–0,Bournemouth,Swansea City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-04-01,Sat,Premier League,Matchweek 30,Away,D 0–0,Bournemouth,Southampton,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-04-05,Wed,Premier League,Matchweek 31,Away,D 2–2,Bournemouth,Liverpool,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-04-08,Sat,Premier League,Matchweek 32,Home,L 1–3,Bournemouth,Chelsea,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-04-15,Sat,Premier League,Matchweek 33,Away,L 0–4,Bournemouth,Tottenham,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-04-22,Sat,Premier League,Matchweek 34,Home,W 4–0,Bournemouth,Middlesbrough,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-04-29,Sat,Premier League,Matchweek 35,Away,W 1–0,Bournemouth,Sunderland,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-05-06,Sat,Premier League,Matchweek 36,Home,D 2–2,Bournemouth,Stoke City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-05-13,Sat,Premier League,Matchweek 37,Home,W 2–1,Bournemouth,Burnley,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2017-05-21,Sun,Premier League,Matchweek 38,Away,D 1–1,Bournemouth,Leicester City,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
