Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2016-2017,2016-08-14,Sun,Premier League,Matchweek 1,Away,W 4–3,Liverpool,Arsenal,Y,FW,90,0,0,0,0,4,0,0,0,2,0,1,2,1,1,0,0,0,Match Report
2016-2017,2016-08-20,Sat,Premier League,Matchweek 2,Away,L 0–2,Liverpool,Burnley,Y,FW,90,0,0,0,0,2,1,0,0,0,2,0,3,1,0,0,0,0,Match Report
2016-2017,2016-08-23,Tue,EFL Cup,Second round,Away,W 5–0,Liverpool,Burton Albion,Y,FW,63,1,0,0,0,3,2,0,0,1,0,0,0,0,2,0,0,0,Match Report
2016-2017,2016-08-27,Sat,Premier League,Matchweek 3,Away,D 1–1,Liverpool,Tottenham,Y,FW,90,0,0,0,0,1,0,0,0,3,3,0,1,1,0,0,1,0,Match Report
2016-2017,2016-09-10,Sat,Premier League,Matchweek 4,Home,W 4–1,Liverpool,Leicester City,Y,FW,90,2,0,0,0,3,3,0,0,1,0,1,1,0,0,0,0,0,Match Report
2016-2017,2016-09-20,Tue,EFL Cup,Third round,Away,W 3–0,Liverpool,Derby County,Y,FW,77,0,0,0,0,3,1,0,0,1,0,0,1,1,1,0,0,0,Match Report
2016-2017,2016-09-24,Sat,Premier League,Matchweek 6,Home,W 5–1,Liverpool,Hull City,Y,FW,90,0,0,0,0,4,1,0,0,0,0,0,2,2,0,0,0,0,Match Report
2016-2017,2016-10-01,Sat,Premier League,Matchweek 7,Away,W 2–1,Liverpool,Swansea City,Y,FW,84,1,0,0,0,3,2,0,0,1,1,1,2,0,3,0,1,0,Match Report
2016-2017,2016-10-06,Thu,WCQ,WCQ — CONMEBOL (M),Home,W 5–0,br Brazil,bo Bolivia,N,,24,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
2016-2017,2016-10-11,Tue,WCQ,WCQ — CONMEBOL (M),Away,W 2–0,br Brazil,ve Venezuela,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
