Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2016-2017,2016-08-13,Sat,Premier League,Matchweek 1,Home,D 1–1,Everton,Tottenham,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-08-15,Mon,PL2 — Div. 1,Regular Season,Away,W 2–0,Everton,Tottenham,Y,,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2016-2017,2016-08-22,Mon,PL2 — Div. 1,Regular Season,Home,W 2–0,Everton,Derby County,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2016-2017,2016-08-25,Thu,PL2 — Div. 1,Regular Season,Away,W 4–1,Everton,Leicester City,Y,,58,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2016-2017,2016-08-27,Sat,Premier League,Matchweek 3,Home,W 1–0,Everton,Stoke City,N,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2016-2017,2016-09-12,Mon,Premier League,Matchweek 4,Away,W 3–0,Everton,Sunderland,N,,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Match Report
2016-2017,2016-09-13,Tue,PL2 — Div. 1,Regular Season,Home,L 0–1,Everton,Sunderland,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2016-2017,2016-09-19,Mon,PL2 — Div. 1,Regular Season,Away,W 5–0,Everton,Arsenal,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2016-2017,2016-09-26,Mon,PL2 — Div. 1,Regular Season,Home,W 2–0,Everton,Manchester Utd,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2016-2017,2016-09-30,Fri,Premier League,Matchweek 7,Home,D 1–1,Everton,Crystal Palace,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-10-17,Mon,PL2 — Div. 1,Regular Season,Away,W 6–3,Everton,Reading,Y,,66,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2016-2017,2016-10-23,Sun,PL2 — Div. 1,Regular Season,Away,L 0–2,Everton,Liverpool,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2016-2017,2016-10-31,Mon,PL2 — Div. 1,Regular Season,Home,D 1–1,Everton,Chelsea,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2016-2017,2016-11-05,Sat,Premier League,Matchweek 11,Away,L 0–5,Everton,Chelsea,N,,25,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,Match Report
2016-2017,2016-11-20,Sun,PL2 — Div. 1,Regular Season,Home,W 1–0,Everton,Manchester City,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2016-2017,2016-11-28,Mon,PL2 — Div. 1,Regular Season,Away,D 1–1,Everton,Southampton,Y,,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2016-2017,2016-12-12,Mon,PL2 — Div. 1,Regular Season,Home,W 4–1,Everton,Leicester City,Y,,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2016-2017,2016-12-26,Mon,Premier League,Matchweek 18,Away,W 2–0,Everton,Leicester City,N,,23,0,0,0,0,2,1,0,0,1,1,0,0,2,0,0,0,0,Match Report
2016-2017,2016-12-30,Fri,Premier League,Matchweek 19,Away,D 2–2,Everton,Hull City,N,,25,0,0,0,0,0,0,1,0,1,1,0,2,1,1,0,0,0,Match Report
2016-2017,2017-01-02,Mon,Premier League,Matchweek 20,Home,W 3–0,Everton,Southampton,Y,DM,90,0,1,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,Match Report
