Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2016-2017,2016-08-14,Sun,Premier League,Matchweek 1,Home,L 3–4,Arsenal,Liverpool,Y,DM,90,0,0,0,0,0,0,1,0,4,3,0,1,1,1,0,0,0,Match Report
2016-2017,2016-08-20,Sat,Premier League,Matchweek 2,Away,D 0–0,Arsenal,Leicester City,Y,DM,90,0,0,0,0,0,0,1,0,3,3,0,0,5,4,0,0,0,Match Report
2016-2017,2016-08-27,Sat,Premier League,Matchweek 3,Away,W 3–1,Arsenal,Watford,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-09-10,Sat,Premier League,Matchweek 4,Home,W 2–1,Arsenal,Southampton,Y,DM,90,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0,Match Report
2016-2017,2016-09-13,Tue,Champions Lg,Group stage,Away,D 1–1,eng Arsenal,fr Paris S-G,Y,DM,71,0,0,0,0,2,0,1,0,3,1,0,1,0,3,0,0,0,Match Report
2016-2017,2016-09-17,Sat,Premier League,Matchweek 5,Away,W 4–1,Arsenal,Hull City,Y,DM,90,0,0,0,0,3,0,0,0,1,1,0,0,2,4,0,0,0,Match Report
2016-2017,2016-09-24,Sat,Premier League,Matchweek 6,Home,W 3–0,Arsenal,Chelsea,Y,DM,31,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,Match Report
2016-2017,2016-10-15,Sat,Premier League,Matchweek 8,Home,W 3–2,Arsenal,Swansea City,N,,23,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,Match Report
2016-2017,2016-10-19,Wed,Champions Lg,Group stage,Home,W 6–0,eng Arsenal,bg Ludogorets,Y,DM,90,0,0,0,0,0,0,0,0,4,0,0,1,7,7,0,0,0,Match Report
2016-2017,2016-10-22,Sat,Premier League,Matchweek 9,Home,D 0–0,Arsenal,Middlesbrough,Y,DM,90,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,Match Report
2016-2017,2016-10-29,Sat,Premier League,Matchweek 10,Away,W 4–1,Arsenal,Sunderland,Y,DM,88,0,0,0,0,1,0,0,0,1,3,0,0,2,4,0,0,0,Match Report
2016-2017,2016-11-01,Tue,Champions Lg,Group stage,Away,W 3–2,eng Arsenal,bg Ludogorets,Y,DM,90,0,0,0,0,0,0,1,0,4,1,0,1,1,5,0,0,0,Match Report
2016-2017,2016-11-06,Sun,Premier League,Matchweek 11,Home,D 1–1,Arsenal,Tottenham,Y,DM,64,0,0,0,0,1,0,0,0,0,2,0,0,1,3,0,0,0,Match Report
2016-2017,2016-11-19,Sat,Premier League,Matchweek 12,Away,D 1–1,Arsenal,Manchester Utd,Y,DM,79,0,0,0,0,1,0,0,0,1,1,0,0,6,2,0,0,0,Match Report
2016-2017,2016-11-23,Wed,Champions Lg,Group stage,Home,D 2–2,eng Arsenal,fr Paris S-G,Y,DM,80,0,0,0,0,0,0,1,0,2,0,1,0,4,1,0,0,0,Match Report
2016-2017,2016-11-27,Sun,Premier League,Matchweek 13,Home,W 3–1,Arsenal,Bournemouth,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2016-2017,2016-11-30,Wed,EFL Cup,Quarter-finals,Home,L 0–2,Arsenal,Southampton,Y,DM,90,0,0,0,0,3,1,0,0,1,0,0,0,2,1,0,0,0,Match Report
2016-2017,2016-12-03,Sat,Premier League,Matchweek 14,Away,W 5–1,Arsenal,West Ham,Y,DM,86,0,0,0,0,0,0,1,0,1,3,0,0,4,5,0,0,0,Match Report
2016-2017,2016-12-10,Sat,Premier League,Matchweek 15,Home,W 3–1,Arsenal,Stoke City,Y,DM,90,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,0,0,Match Report
2016-2017,2016-12-13,Tue,Premier League,Matchweek 16,Away,L 1–2,Arsenal,Everton,Y,DM,87,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,Match Report
2016-2017,2016-12-18,Sun,Premier League,Matchweek 17,Away,L 1–2,Arsenal,Manchester City,Y,DM,74,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,Match Report
2016-2017,2016-12-26,Mon,Premier League,Matchweek 18,Home,W 1–0,Arsenal,West Brom,Y,DM,73,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,0,Match Report
2016-2017,2017-01-01,Sun,Premier League,Matchweek 19,Home,W 2–0,Arsenal,Crystal Palace,N,,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Match Report
2016-2017,2017-01-03,Tue,Premier League,Matchweek 20,Away,D 3–3,Arsenal,Bournemouth,Y,DM,27,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,Match Report
2016-2017,2017-01-22,Sun,Premier League,Matchweek 22,Home,W 2–1,Arsenal,Burnley,N,,22,0,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,1,Match Report
2016-2017,2017-01-31,Tue,Premier League,Matchweek 23,Home,L 1–2,Arsenal,Watford,Y,DM,66,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Match Report
2016-2017,2017-02-04,Sat,Premier League,Matchweek 24,Away,L 1–3,Arsenal,Chelsea,Y,DM,64,0,0,0,0,2,0,0,0,2,4,0,0,2,0,0,0,0,Match Report
2016-2017,2017-02-11,Sat,Premier League,Matchweek 25,Home,W 2–0,Arsenal,Hull City,Y,DM,90,0,0,0,0,1,0,0,0,2,2,0,0,5,3,0,0,0,Match Report
2016-2017,2017-02-15,Wed,Champions Lg,Round of 16,Away,L 1–5,eng Arsenal,de Bayern Munich,Y,DM,77,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,Match Report
2016-2017,2017-03-04,Sat,Premier League,Matchweek 27,Away,L 1–3,Arsenal,Liverpool,Y,DM,45,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,Match Report
2016-2017,2017-03-07,Tue,Champions Lg,Round of 16,Home,L 1–5,eng Arsenal,de Bayern Munich,N,,18,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,Match Report
2016-2017,2017-03-11,Sat,FA Cup,Quarter-finals,Home,W 5–0,Arsenal,Lincoln City,N,,30,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2016-2017,2017-03-18,Sat,Premier League,Matchweek 29,Away,L 1–3,Arsenal,West Brom,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
