League,Season,Rk,Player,Nation,Pos,Squad,Age,Born,Matches
EPL,2019-2020,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,https://fbref.com/en/players/5f09991f/matchlogs/2019-2020/summary/Patrick-van-Aanholt-Match-Logs
EPL,2019-2020,2,Max Aarons,eng ENG,DF,Norwich City,19,2000,https://fbref.com/en/players/774cf58b/matchlogs/2019-2020/summary/Max-Aarons-Match-Logs
EPL,2019-2020,3,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,https://fbref.com/en/players/f586779e/matchlogs/2019-2020/summary/Tammy-Abraham-Match-Logs
EPL,2019-2020,4,Che Adams,sco SCO,FW,Southampton,23,1996,https://fbref.com/en/players/f2bf1b0f/matchlogs/2019-2020/summary/Che-Adams-Match-Logs
EPL,2019-2020,5,Adrián,es ESP,GK,Liverpool,32,1987,https://fbref.com/en/players/f76e6b4e/matchlogs/2019-2020/summary/Adrian-Match-Logs
EPL,2019-2020,6,Sergio Agüero,ar ARG,FW,Manchester City,31,1988,https://fbref.com/en/players/4d034881/matchlogs/2019-2020/summary/Sergio-Aguero-Match-Logs
EPL,2019-2020,7,Albian Ajeti,ch SUI,"MF,FW",West Ham,22,1997,https://fbref.com/en/players/2b1c4abd/matchlogs/2019-2020/summary/Albian-Ajeti-Match-Logs
EPL,2019-2020,8,Nathan Aké,nl NED,DF,Bournemouth,24,1995,https://fbref.com/en/players/eaeca114/matchlogs/2019-2020/summary/Nathan-Ake-Match-Logs
EPL,2019-2020,9,Marc Albrighton,eng ENG,"MF,DF",Leicester City,29,1989,https://fbref.com/en/players/b827d5b3/matchlogs/2019-2020/summary/Marc-Albrighton-Match-Logs
EPL,2019-2020,10,Toby Alderweireld,be BEL,DF,Tottenham,30,1989,https://fbref.com/en/players/f7d50789/matchlogs/2019-2020/summary/Toby-Alderweireld-Match-Logs
EPL,2019-2020,11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,https://fbref.com/en/players/cd1acf9d/matchlogs/2019-2020/summary/Trent-Alexander-Arnold-Match-Logs
EPL,2019-2020,12,Alisson,br BRA,GK,Liverpool,26,1992,https://fbref.com/en/players/7a2e46a8/matchlogs/2019-2020/summary/Alisson-Match-Logs
EPL,2019-2020,13,Dele Alli,eng ENG,"MF,FW",Tottenham,23,1996,https://fbref.com/en/players/cea4ee8f/matchlogs/2019-2020/summary/Dele-Alli-Match-Logs
EPL,2019-2020,14,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,25,1994,https://fbref.com/en/players/862a1c15/matchlogs/2019-2020/summary/Miguel-Almiron-Match-Logs
EPL,2019-2020,15,Marcos Alonso,es ESP,DF,Chelsea,28,1990,https://fbref.com/en/players/f4290206/matchlogs/2019-2020/summary/Marcos-Alonso-Match-Logs
EPL,2019-2020,16,Steven Alzate,co COL,"MF,DF",Brighton,20,1998,https://fbref.com/en/players/ad1f61f3/matchlogs/2019-2020/summary/Steven-Alzate-Match-Logs
EPL,2019-2020,17,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,26,1993,https://fbref.com/en/players/9260926b/matchlogs/2019-2020/summary/Ibrahim-Amadou-Match-Logs
EPL,2019-2020,18,Felipe Anderson,br BRA,"MF,FW",West Ham,26,1993,https://fbref.com/en/players/9f1893b9/matchlogs/2019-2020/summary/Felipe-Anderson-Match-Logs
EPL,2019-2020,19,Florin Andone,ro ROU,"MF,FW",Brighton,26,1993,https://fbref.com/en/players/dc008610/matchlogs/2019-2020/summary/Florin-Andone-Match-Logs
EPL,2019-2020,20,Angeliño,es ESP,DF,Manchester City,22,1997,https://fbref.com/en/players/30941e96/matchlogs/2019-2020/summary/Angelino-Match-Logs
EPL,2019-2020,21,Faustino Anjorin,eng ENG,FW,Chelsea,17,2001,https://fbref.com/en/players/b105919e/matchlogs/2019-2020/summary/Faustino-Anjorin-Match-Logs
EPL,2019-2020,22,Michail Antonio,eng ENG,FW,West Ham,29,1990,https://fbref.com/en/players/ac05f970/matchlogs/2019-2020/summary/Michail-Antonio-Match-Logs
EPL,2019-2020,23,Stuart Armstrong,sco SCO,MF,Southampton,27,1992,https://fbref.com/en/players/97333cf5/matchlogs/2019-2020/summary/Stuart-Armstrong-Match-Logs
EPL,2019-2020,24,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,https://fbref.com/en/players/28d596a0/matchlogs/2019-2020/summary/Kepa-Arrizabalaga-Match-Logs
EPL,2019-2020,25,Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,27,1992,https://fbref.com/en/players/8816329f/matchlogs/2019-2020/summary/Christian-Atsu-Match-Logs
EPL,2019-2020,Rk,Player,Nation,Pos,Squad,Age,Born,Matches
EPL,2019-2020,26,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,30,1989,https://fbref.com/en/players/d5dd5f1f/matchlogs/2019-2020/summary/Pierre-Emerick-Aubameyang-Match-Logs
EPL,2019-2020,27,Serge Aurier,ci CIV,DF,Tottenham,26,1992,https://fbref.com/en/players/5c2b4f07/matchlogs/2019-2020/summary/Serge-Aurier-Match-Logs
EPL,2019-2020,28,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,27,1991,https://fbref.com/en/players/da052c14/matchlogs/2019-2020/summary/Jordan-Ayew-Match-Logs
