League,Season,Team_Home,Date,game_id,Goal_Home,Win_Home,o_rating_Home,d_rating_Home,Team_Away,Goal_Away,Win_Away,o_rating_Away,d_rating_Away
Bundesliga,2017-2018,Hamburger SV,2017-08-19,3970,1.0,1,0.84358025,0.77617604,Augsburg,0.0,0,0.0,0.77866775
LaLiga,2017-2018,Sevilla,2017-08-19,6938,1.0,0,0.80698943,1.4995112,Espanyol,1.0,0,0.28945503,1.1109028
LaLiga,2017-2018,Girona,2017-08-19,6937,2.0,0,0.1409281,0.7983146,Atlético Madrid,2.0,0,0.39375705,1.1737224
LaLiga,2017-2018,Celta Vigo,2017-08-19,6936,2.0,0,0.53727996,1.3356146,Real Sociedad,3.0,1,0.0,1.2586198
Ligue1,2017-2018,Saint-Étienne,2017-08-19,2686,3.0,1,0.16515571,0.9312359,Amiens,0.0,0,0.2253105,0.88181025
Ligue1,2017-2018,Nice,2017-08-19,2687,2.0,1,1.387126,1.0385044,Guingamp,0.0,0,1.2929183,1.2121514
EPL,2017-2018,Burnley,2017-08-19,1154,0.0,0,0.7411672,0.90804,West Brom,1.0,1,0.60038835,0.77617604
EPL,2017-2018,Bournemouth,2017-08-19,1153,0.0,0,0.0,1.1088666,Watford,2.0,1,1.6740004,0.8529743
EPL,2017-2018,Leicester City,2017-08-19,1152,2.0,1,1.4915797,1.2419398,Brighton,0.0,0,0.45698118,1.1567279
EPL,2017-2018,Southampton,2017-08-19,1151,3.0,1,0.9498043,1.2373579,West Ham,2.0,0,0.0789687,0.9390975
Ligue1,2017-2018,Rennes,2017-08-19,2688,2.0,0,0.9191404,0.8645972,Dijon,2.0,0,0.34885088,1.2740728
EPL,2017-2018,Swansea City,2017-08-19,1150,0.0,0,0.0,0.9678204,Manchester Utd,4.0,1,2.638217,1.3743412
Bundesliga,2017-2018,Mainz 05,2017-08-19,3968,0.0,0,0.0,0.7309862,Hannover 96,1.0,1,0.0,0.8657698
Bundesliga,2017-2018,Wolfsburg,2017-08-19,3969,0.0,0,0.3015623,0.77617604,Dortmund,3.0,1,0.9391021,0.870216
SerieA,2017-2018,Hellas Verona,2017-08-19,5415,1.0,0,0.0,1.1317855,Napoli,3.0,1,2.2640977,1.3712378
EPL,2017-2018,Liverpool,2017-08-19,1155,1.0,1,1.0837278,0.977865,Crystal Palace,0.0,0,0.0,0.77617604
EPL,2017-2018,Stoke City,2017-08-19,1156,1.0,1,0.49513942,0.7948228,Arsenal,0.0,0,0.9495448,1.2108701
SerieA,2017-2018,Juventus,2017-08-19,5414,3.0,1,2.951202,1.1787335,Cagliari,0.0,0,0.61653054,1.4907897
Bundesliga,2017-2018,Hoffenheim,2017-08-19,3967,1.0,1,1.1976882,1.4743142,Werder Bremen,0.0,0,0.37241593,1.1236039
SerieA,2017-2018,Udinese,2017-08-20,5420,1.0,0,0.76110727,0.87197053,Chievo,2.0,1,0.38143244,0.8248511
SerieA,2017-2018,Sampdoria,2017-08-20,5417,2.0,1,1.3004872,1.2131143,Benevento,1.0,0,0.69167966,0.88483953
SerieA,2017-2018,Lazio,2017-08-20,5423,0.0,0,0.2660161,0.95207596,SPAL,0.0,0,0.87309426,0.9968498
SerieA,2017-2018,Crotone,2017-08-20,5418,0.0,0,0.31097046,0.9460878,Milan,3.0,1,2.3891594,0.7634079
SerieA,2017-2018,Bologna,2017-08-20,5419,1.0,0,0.42577597,1.3053896,Torino,1.0,0,0.8696018,1.2365433
SerieA,2017-2018,Sassuolo,2017-08-20,5422,0.0,0,0.0,0.7819811,Genoa,0.0,0,0.18479267,1.1827958
SerieA,2017-2018,Inter,2017-08-20,5421,3.0,1,1.9279603,1.104862,Fiorentina,0.0,0,0.8123534,1.3659098
EPL,2017-2018,Tottenham,2017-08-20,1158,1.0,0,0.10734783,0.8215297,Chelsea,2.0,1,0.28632882,0.77617604
EPL,2017-2018,Huddersfield,2017-08-20,1157,1.0,1,2.064162,0.7948068,Newcastle Utd,0.0,0,0.17340457,0.7968718
SerieA,2017-2018,Atalanta,2017-08-20,5416,0.0,0,0.08596033,0.7862781,Roma,1.0,1,0.110022984,0.77617604
Ligue1,2017-2018,Paris S-G,2017-08-20,2691,6.0,1,2.2763824,1.3908775,Toulouse,2.0,0,0.45400026,0.8727775
Ligue1,2017-2018,Marseille,2017-08-20,2690,1.0,0,0.70933974,1.2838669,Angers,1.0,0,0.1480343,0.77617604
Ligue1,2017-2018,Lille,2017-08-20,2689,0.0,0,0.0,0.8896588,Caen,2.0,1,1.1396139,0.77617604
Bundesliga,2017-2018,M'Gladbach,2017-08-20,3974,1.0,1,1.5832458,1.0304086,Köln,0.0,0,0.5137965,1.155427
