Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att_Passes,Cmp%,Prog_Passes,Carries,Prog_2_Carries,Succ,Att_2_Dribbles,Match Report
2018-2019,2018-09-15,Sat,PL2 — Div. 1,Matchweek 5,Home,W 3–0,Liverpool,Swansea City,Y,FW,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-09-26,Wed,EFL Cup,Third round,Home,L 1–2,Liverpool,Chelsea,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-11-03,Sat,PL2 — Div. 1,Matchweek 10,Home,W 3–1,Liverpool,Leicester City,Y,FW,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2019-01-30,Wed,Premier League,Matchweek 24,Home,W 4–0,Bournemouth,Chelsea,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2019-02-02,Sat,Premier League,Matchweek 25,Away,L 0–2,Bournemouth,Cardiff City,Y,FW,61,0,0,0,0,0,0,0,0,37,13,2,0,1,0.0,0.0,0.1,3,0,16,25,64.0,2,31,6,4,5,Match Report
2018-2019,2019-02-09,Sat,Premier League,Matchweek 26,Away,L 0–3,Bournemouth,Liverpool,N,"RW,FW",32,0,0,0,0,1,0,0,0,18,11,0,0,1,0.0,0.0,0.0,3,0,8,10,80.0,0,12,2,1,1,Match Report
2018-2019,2019-02-23,Sat,Premier League,Matchweek 27,Home,D 1–1,Bournemouth,Wolves,Y,FW,89,0,0,0,0,4,2,0,0,37,31,2,1,2,0.4,0.4,0.0,1,0,11,18,61.1,0,19,1,1,2,Match Report
2018-2019,2019-03-09,Sat,Premier League,Matchweek 30,Away,W 2–0,Bournemouth,Huddersfield,N,FW,26,0,0,0,0,0,0,0,0,14,11,0,0,1,0.0,0.0,0.3,3,0,5,7,71.4,1,14,1,2,3,Match Report
2018-2019,2019-03-16,Sat,Premier League,Matchweek 31,Home,D 2–2,Bournemouth,Newcastle Utd,N,RM,16,0,1,0,0,0,0,0,0,9,7,1,0,1,0.0,0.0,0.1,2,2,3,4,75.0,0,8,2,1,3,Match Report
2018-2019,2019-03-30,Sat,Premier League,Matchweek 32,Away,L 0–2,Bournemouth,Leicester City,N,"FW,AM",27,0,0,0,0,0,0,0,0,12,16,0,0,1,0.0,0.0,0.0,1,0,4,5,80.0,1,8,0,0,0,Match Report
2018-2019,2019-04-06,Sat,Premier League,Matchweek 33,Home,L 1–3,Bournemouth,Burnley,N,"FW,CM",32,0,0,0,0,1,0,0,0,14,10,2,0,0,0.2,0.2,0.0,1,0,5,7,71.4,0,9,1,0,0,Match Report
2018-2019,2019-04-13,Sat,Premier League,Matchweek 34,Away,W 5–0,Bournemouth,Brighton,N,FW,15,0,0,0,0,3,1,0,0,13,11,0,0,0,0.2,0.2,0.0,0,0,7,8,87.5,1,7,0,0,0,Match Report
2018-2019,2019-04-20,Sat,Premier League,Matchweek 35,Home,L 0–1,Bournemouth,Fulham,N,FW,30,0,0,0,0,0,0,0,0,10,5,1,0,0,0.0,0.0,0.0,1,0,7,8,87.5,1,9,1,0,0,Match Report
2018-2019,2019-04-27,Sat,Premier League,Matchweek 36,Away,D 3–3,Bournemouth,Southampton,N,RW,19,0,0,0,0,0,0,0,0,11,4,0,0,0,0.0,0.0,0.1,2,0,7,9,77.8,0,10,3,0,0,Match Report
