Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att_Passes,Cmp%,Prog_Passes,Carries,Prog_2_Carries,Succ,Att_2_Dribbles,Match Report
2018-2019,2018-08-11,Sat,Premier League,Matchweek 1,Away,L 0–2,Brighton,Watford,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-08-19,Sun,Premier League,Matchweek 2,Home,W 3–2,Brighton,Manchester Utd,N,AM,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Match Report
2018-2019,2018-08-20,Mon,PL2 — Div. 1,Matchweek 2,Away,D 1–1,Brighton,Arsenal,Y,AM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-08-25,Sat,Premier League,Matchweek 3,Away,L 0–1,Brighton,Liverpool,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-08-28,Tue,EFL Cup,Second round,Home,L 0–1,Brighton,Southampton,Y*,DM,89,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2018-2019,2018-09-01,Sat,Premier League,Matchweek 4,Home,D 2–2,Brighton,Fulham,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-09-07,Fri,UEFA Nations League,League C,Away,L 0–1,il Israel,al Albania,Y,AM,70,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-09-17,Mon,Premier League,Matchweek 5,Away,D 2–2,Brighton,Southampton,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-09-22,Sat,Premier League,Matchweek 6,Home,L 1–2,Brighton,Tottenham,N,"DM,CM",70,0,0,0,0,0,0,1,0,26,29,3,0,1,0.0,0.0,0.4,1,0,14,18,77.8,2,15,2,0,1,Match Report
2018-2019,2018-09-29,Sat,Premier League,Matchweek 7,Away,L 0–2,Brighton,Manchester City,Y,CM,90,0,0,0,0,0,0,0,0,35,52,3,2,1,0.0,0.0,0.0,0,0,15,25,60.0,2,21,1,0,0,Match Report
2018-2019,2018-10-05,Fri,Premier League,Matchweek 8,Home,W 1–0,Brighton,West Ham,Y,DM,90,0,1,0,0,0,0,1,0,41,39,5,3,4,0.0,0.0,0.5,2,1,17,22,77.3,0,22,2,2,3,Match Report
2018-2019,2018-10-11,Thu,UEFA Nations League,League C,Home,W 2–1,il Israel,sco Scotland,Y,DM,81,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-10-14,Sun,UEFA Nations League,League C,Home,W 2–0,il Israel,al Albania,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-10-20,Sat,Premier League,Matchweek 9,Away,W 1–0,Brighton,Newcastle Utd,Y,CM,90,1,0,0,0,0,0,1,0,33,14,1,0,4,0.0,0.0,0.0,0,0,14,21,66.7,1,16,0,1,2,Match Report
2018-2019,2018-10-27,Sat,Premier League,Matchweek 10,Home,W 1–0,Brighton,Wolves,Y,CM,90,0,0,0,0,0,0,1,0,44,27,3,0,3,0.0,0.0,0.0,0,0,20,29,69.0,3,25,1,1,1,Match Report
2018-2019,2018-11-03,Sat,Premier League,Matchweek 11,Away,L 1–3,Brighton,Everton,Y,CM,76,0,0,0,0,0,0,0,0,41,16,3,1,0,0.0,0.0,0.1,2,0,19,31,61.3,6,15,0,1,2,Match Report
2018-2019,2018-11-10,Sat,Premier League,Matchweek 12,Away,L 1–2,Brighton,Cardiff City,Y,CM,90,0,0,0,0,0,0,0,0,49,18,5,1,1,0.0,0.0,0.0,1,0,24,36,66.7,3,31,1,1,1,Match Report
2018-2019,2018-11-15,Thu,Friendlies (M),Friendlies (M),Home,W 7–0,il Israel,gt Guatemala,Y,CM,54,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-11-20,Tue,UEFA Nations League,League C,Away,L 2–3,il Israel,sco Scotland,Y,CM,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
