Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att_Passes,Cmp%,Prog_Passes,Carries,Prog_2_Carries,Succ,Att_2_Dribbles,Match Report
2018-2019,2018-08-11,Sat,Premier League,Matchweek 1,Away,D 2–2,Everton,Wolves,Y,LW,85,2,0,0,0,2,2,1,0,48,29,2,1,3,0.4,0.4,0.2,1,0,24,31,77.4,3,35,5,0,1,Match Report
2018-2019,2018-08-18,Sat,Premier League,Matchweek 2,Home,W 2–1,Everton,Southampton,Y,AM,85,1,0,0,0,2,1,0,0,44,18,1,1,1,0.2,0.2,0.0,3,0,17,27,63.0,4,34,5,1,2,Match Report
2018-2019,2018-08-25,Sat,Premier League,Matchweek 3,Away,D 2–2,Everton,Bournemouth,Y,"AM,LW",40,0,0,0,0,1,0,0,1,19,5,0,0,0,0.0,0.0,0.0,1,0,9,14,64.3,0,17,2,1,1,Match Report
2018-2019,2018-09-07,Fri,Friendlies (M),Friendlies (M),Away,W 2–0,br Brazil,us United States,N,,16,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-09-11,Tue,Friendlies (M),Friendlies (M),Home,W 5–0,br Brazil,sv El Salvador,Y,FW,53,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-09-23,Sun,Premier League,Matchweek 6,Away,L 0–2,Everton,Arsenal,Y,LW,90,0,0,0,0,4,2,0,0,39,16,1,2,1,0.2,0.2,0.0,1,0,15,25,60.0,1,31,8,3,7,Match Report
2018-2019,2018-09-29,Sat,Premier League,Matchweek 7,Home,W 3–0,Everton,Fulham,Y,LW,87,0,0,0,0,5,1,0,0,60,25,4,1,1,0.4,0.4,0.2,4,0,25,37,67.6,4,50,11,3,5,Match Report
2018-2019,2018-10-02,Tue,EFL Cup,Third round,Home,W 1 (3)–1 (4),Everton,Southampton,N,,61,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2018-2019,2018-10-06,Sat,Premier League,Matchweek 8,Away,W 2–1,Everton,Leicester City,Y,"FW,LW",90,1,0,0,0,1,1,0,0,47,6,0,2,0,0.2,0.2,0.0,0,0,20,36,55.6,2,36,9,1,2,Match Report
2018-2019,2018-10-12,Fri,Friendlies (M),Friendlies (M),Away,W 2–0,br Brazil,sa Saudi Arabia,N,,19,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-10-21,Sun,Premier League,Matchweek 9,Home,W 2–0,Everton,Crystal Palace,Y,"FW,LW",90,0,0,0,0,2,0,0,0,43,10,1,0,1,0.2,0.2,0.0,5,1,18,28,64.3,2,36,5,1,3,Match Report
2018-2019,2018-10-28,Sun,Premier League,Matchweek 10,Away,L 1–2,Everton,Manchester Utd,Y,FW,90,0,0,0,0,2,1,0,0,40,16,3,0,1,0.1,0.1,0.5,3,1,11,21,52.4,3,32,3,1,3,Match Report
2018-2019,2018-11-03,Sat,Premier League,Matchweek 11,Home,W 3–1,Everton,Brighton,Y,FW,90,2,0,0,0,4,2,0,0,40,13,0,0,0,1.2,1.2,0.0,5,3,15,26,57.7,2,36,3,2,3,Match Report
2018-2019,2018-11-11,Sun,Premier League,Matchweek 12,Away,D 0–0,Everton,Chelsea,Y,FW,88,0,0,0,0,2,0,0,0,29,13,0,0,0,0.1,0.1,0.0,1,0,11,17,64.7,1,20,3,0,0,Match Report
2018-2019,2018-11-16,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,br Brazil,uy Uruguay,N,,24,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-11-20,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,br Brazil,cm Cameroon,N,,83,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2018-2019,2018-11-24,Sat,Premier League,Matchweek 13,Home,W 1–0,Everton,Cardiff City,Y,"FW,LW",90,0,0,0,0,2,2,0,0,47,7,0,0,0,0.3,0.3,0.0,1,0,20,30,66.7,2,40,10,0,2,Match Report
2018-2019,2018-12-02,Sun,Premier League,Matchweek 14,Away,L 0–1,Everton,Liverpool,Y,FW,90,0,0,0,0,1,1,0,0,34,25,4,0,1,0.1,0.1,0.0,0,0,11,16,68.8,1,30,3,1,5,Match Report
2018-2019,2018-12-05,Wed,Premier League,Matchweek 15,Home,D 1–1,Everton,Newcastle Utd,Y,"LW,FW",90,1,0,0,0,6,1,0,0,60,12,3,0,0,0.6,0.6,0.0,5,0,26,38,68.4,2,55,4,5,7,Match Report
2018-2019,2018-12-10,Mon,Premier League,Matchweek 16,Home,D 2–2,Everton,Watford,Y,"FW,LW",90,1,0,0,0,2,1,0,0,39,15,1,1,3,0.3,0.3,0.0,1,0,9,17,52.9,0,26,2,0,2,Match Report
2018-2019,2018-12-15,Sat,Premier League,Matchweek 17,Away,L 1–3,Everton,Manchester City,Y,"RW,FW",90,0,0,0,0,3,0,0,0,28,33,0,0,1,0.4,0.4,0.0,2,0,16,20,80.0,2,15,3,0,1,Match Report
2018-2019,2018-12-23,Sun,Premier League,Matchweek 18,Home,L 2–6,Everton,Tottenham,Y,LW,74,0,1,0,0,1,0,0,0,29,31,0,0,1,0.1,0.1,0.1,1,1,13,21,61.9,0,23,4,2,2,Match Report
2018-2019,2018-12-26,Wed,Premier League,Matchweek 19,Away,W 5–1,Everton,Burnley,N,FW,24,1,0,0,0,4,1,1,0,19,3,0,0,0,0.3,0.3,0.0,2,1,7,11,63.6,1,14,2,2,2,Match Report
2018-2019,2018-12-29,Sat,Premier League,Matchweek 20,Away,L 0–1,Everton,Brighton,Y,FW,90,0,0,0,0,2,2,0,0,29,10,0,0,1,0.2,0.2,0.0,2,0,12,19,63.2,1,16,2,1,1,Match Report
2018-2019,2019-01-01,Tue,Premier League,Matchweek 21,Home,L 0–1,Everton,Leicester City,Y,LW,90,0,0,0,0,5,0,0,0,54,25,3,0,0,0.3,0.3,0.0,5,0,18,30,60.0,5,36,8,2,3,Match Report
2018-2019,2019-01-05,Sat,FA Cup,Third round,Home,W 2–1,Everton,Lincoln City,N,,11,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2018-2019,2019-01-13,Sun,Premier League,Matchweek 22,Home,W 2–0,Everton,Bournemouth,Y,FW,86,0,0,0,0,6,0,1,0,35,20,1,0,1,0.6,0.6,0.0,4,0,12,17,70.6,0,19,2,0,0,Match Report
2018-2019,2019-01-19,Sat,Premier League,Matchweek 23,Away,L 1–2,Everton,Southampton,Y,FW,64,0,0,0,0,0,0,0,0,23,13,0,1,0,0.0,0.0,0.0,1,0,8,14,57.1,2,19,2,0,0,Match Report
2018-2019,2019-01-26,Sat,FA Cup,Fourth round,Away,L 2–3,Everton,Millwall,Y,AM,90,1,0,0,0,2,1,0,0,,,,1,,,,,,,,,,,,,,,Match Report
2018-2019,2019-01-29,Tue,Premier League,Matchweek 24,Away,W 1–0,Everton,Huddersfield,Y,LM,85,1,0,0,0,3,2,0,0,51,25,2,1,1,0.6,0.6,0.0,1,1,24,33,72.7,7,36,4,2,3,Match Report
2018-2019,2019-02-02,Sat,Premier League,Matchweek 25,Home,L 1–3,Everton,Wolves,Y,LM,90,0,0,0,0,0,0,0,0,53,13,2,1,2,0.0,0.0,0.1,2,0,26,34,76.5,2,36,4,1,3,Match Report
