Season,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2014-2015,2014-09-23,Tue,League Cup,Third round,Away,L 0–3,Everton,Swansea City,Y,,56,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2014-10-02,Thu,Europa Lg,Group stage,Away,D 1–1,eng Everton,ru Krasnodar,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2014-10-05,Sun,Premier League,Matchweek 7,Away,L 1–2,Everton,Manchester Utd,N,,27,0,0,0,0,1,1,0,0,2,1,1,1,2,0,0,,,Match Report
2014-2015,2014-12-11,Thu,Europa Lg,Group stage,Home,L 0–1,eng Everton,ru Krasnodar,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2014-12-28,Sun,Premier League,Matchweek 19,Away,L 2–3,Everton,Newcastle Utd,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2015-01-01,Thu,Premier League,Matchweek 20,Away,L 0–2,Everton,Hull City,N,,45,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,,,Match Report
2014-2015,2015-01-06,Tue,FA Cup,Third round,Home,D 1–1,Everton,West Ham,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2015-01-10,Sat,Premier League,Matchweek 21,Home,D 1–1,Everton,Manchester City,N,"On matchday squad, but did not play",,,,,,,,,,,,,,,,,,,Match Report
2014-2015,2015-01-13,Tue,FA Cup,Third round,Away,D 2 (8)–2 (9),Everton,West Ham,N,,54,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-2015,2015-01-19,Mon,Premier League,Matchweek 22,Home,D 0–0,Everton,West Brom,N,,45,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,,,Match Report
2014-2015,2015-01-31,Sat,Premier League,Matchweek 23,Away,W 1–0,Everton,Crystal Palace,N,,23,0,0,0,0,1,0,1,0,0,1,0,2,1,0,0,,,Match Report
2014-2015,2015-02-07,Sat,Premier League,Matchweek 24,Home,D 0–0,Everton,Liverpool,Y,,90,0,0,0,0,0,0,1,0,2,1,0,6,0,2,0,,,Match Report
2014-2015,2015-02-11,Wed,Premier League,Matchweek 25,Away,L 0–1,Everton,Chelsea,Y,,90,0,0,0,0,0,0,0,0,1,3,0,3,1,2,0,,,Match Report
2014-2015,2015-02-19,Thu,Europa Lg,Round of 32,Away,W 4–1,eng Everton,ch Young Boys,Y,,58,0,1,0,0,,,0,0,,,,,,,0,,,Match Report
